time,Atlanta,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Johnson (J. Teague gains possession),,,,Jump ball: A. Horford vs. A. Johnson (J. Teague gains possession)
11:39.0,A. Horford misses 2-pt shot from 2 ft (block by A. Johnson),,0-0,,
11:38.0,,,0-0,,Defensive rebound by M. Smart
11:24.0,,,0-0,,J. Crowder misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by P. Millsap,,0-0,,
11:11.0,K. Bazemore misses 3-pt shot from 25 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by J. Sullinger
10:58.0,,,0-3,3,A. Johnson makes 3-pt shot from 25 ft (assist by I. Thomas)
10:45.0,A. Horford misses 2-pt shot from 20 ft,,0-3,,
10:44.0,,,0-3,,Defensive rebound by A. Johnson
10:37.0,,,0-3,,M. Smart misses 2-pt shot from 16 ft
10:36.0,Defensive rebound by A. Horford,,0-3,,
10:30.0,K. Bazemore makes 2-pt shot from 2 ft (assist by A. Horford),2,2-3,,
10:17.0,,,2-3,,Shooting foul by P. Millsap (drawn by A. Johnson)
10:17.0,,,2-4,1,A. Johnson makes free throw 1 of 2
10:17.0,,,2-5,1,A. Johnson makes free throw 2 of 2
10:05.0,K. Bazemore misses 3-pt shot from 22 ft,,2-5,,
10:03.0,,,2-5,,Defensive rebound by J. Sullinger
9:57.0,,,2-5,,I. Thomas misses 3-pt shot from 26 ft
9:56.0,,,2-5,,Offensive rebound by A. Johnson
9:53.0,,,2-5,,A. Johnson misses 2-pt shot from 2 ft
9:52.0,Defensive rebound by K. Bazemore,,2-5,,
9:39.0,P. Millsap makes 2-pt shot from 1 ft,2,4-5,,
9:22.0,,,4-5,,M. Smart misses 2-pt shot from 22 ft
9:20.0,Defensive rebound by A. Horford,,4-5,,
9:02.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,6-5,,
8:53.0,,,6-5,,Turnover by I. Thomas (lost ball)
8:37.0,K. Bazemore makes 2-pt shot from 1 ft (assist by A. Horford),2,8-5,,
8:23.0,,,8-7,2,M. Smart makes 2-pt shot from 1 ft
8:06.0,P. Millsap misses 3-pt shot from 26 ft,,8-7,,
8:05.0,,,8-7,,Defensive rebound by J. Sullinger
7:59.0,Violation by K. Bazemore (kicked ball),,8-7,,
7:40.0,,,8-9,2,J. Sullinger makes 2-pt shot from 15 ft (assist by I. Thomas)
7:29.0,Shooting foul by A. Johnson (drawn by P. Millsap),,8-9,,
7:29.0,P. Millsap makes free throw 1 of 2,1,9-9,,
7:29.0,P. Millsap misses free throw 2 of 2,,9-9,,
7:27.0,,,9-9,,Defensive rebound by A. Johnson
7:07.0,,,9-9,,A. Johnson misses 2-pt shot from 3 ft
7:06.0,,,9-9,,Offensive rebound by J. Sullinger
7:06.0,,,9-11,2,J. Sullinger makes 2-pt shot from 1 ft
6:43.0,J. Teague misses 2-pt shot from 16 ft,,9-11,,
6:42.0,,,9-11,,Defensive rebound by I. Thomas
6:36.0,,,9-11,,M. Smart misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by P. Millsap,,9-11,,
6:23.0,A. Horford makes 2-pt shot at rim (assist by K. Bazemore),2,11-11,,
6:02.0,,,11-11,,A. Johnson misses 3-pt shot from 25 ft
6:01.0,,,11-11,,Offensive rebound by Team
6:01.0,,,11-11,,Boston full timeout
6:01.0,T. Splitter enters the game for A. Horford,,11-11,,
5:52.0,,,11-13,2,J. Sullinger makes 2-pt shot from 13 ft
5:40.0,Turnover by J. Teague (bad pass; steal by J. Sullinger),,11-13,,
5:34.0,,,11-15,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
5:14.0,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore),2,13-15,,
5:02.0,,,13-15,,J. Sullinger misses 3-pt shot from 26 ft
5:01.0,,,13-15,,Offensive rebound by J. Crowder
4:57.0,,,13-15,,I. Thomas misses 2-pt shot from 17 ft
4:56.0,,,13-15,,Offensive rebound by J. Crowder
4:52.0,,,13-15,,J. Crowder misses 3-pt shot from 24 ft
4:51.0,Defensive rebound by K. Korver,,13-15,,
4:39.0,K. Bazemore makes 2-pt shot at rim,2,15-15,,
4:21.0,,,15-15,,Shooting foul by K. Bazemore (drawn by I. Thomas)
4:21.0,,,15-15,,I. Thomas misses free throw 1 of 2
4:21.0,,,15-15,,Offensive rebound by Team
4:21.0,,,15-15,,E. Turner enters the game for M. Smart
4:21.0,,,15-15,,K. Olynyk enters the game for J. Sullinger
4:21.0,D. Schroder enters the game for J. Teague,,15-15,,
4:21.0,T. Sefolosha enters the game for K. Bazemore,,15-15,,
4:21.0,,,15-16,1,I. Thomas makes free throw 2 of 2
3:59.0,T. Sefolosha misses 2-pt shot from 2 ft,,15-16,,
3:57.0,,,15-16,,Defensive rebound by I. Thomas
3:52.0,,,15-16,,I. Thomas misses 2-pt shot from 1 ft
3:51.0,Defensive rebound by T. Sefolosha,,15-16,,
3:35.0,Turnover by P. Millsap (lost ball; steal by A. Johnson),,15-16,,
3:22.0,,,15-16,,Turnover by E. Turner (discontinued dribble)
3:22.0,,,15-16,,J. Jerebko enters the game for I. Thomas
3:22.0,J. Holiday enters the game for K. Korver,,15-16,,
3:10.0,Shooting foul by E. Turner (drawn by D. Schroder),,15-16,,
3:10.0,D. Schroder misses free throw 1 of 2,,15-16,,
3:10.0,Offensive rebound by Team,,15-16,,
3:10.0,D. Schroder makes free throw 2 of 2,1,16-16,,
2:55.0,,,16-16,,E. Turner misses 2-pt shot from 12 ft
2:54.0,,,16-16,,Offensive rebound by K. Olynyk
2:54.0,,,16-16,,K. Olynyk misses 2-pt shot from 2 ft
2:53.0,,,16-16,,Offensive rebound by J. Jerebko
2:52.0,,,16-16,,J. Jerebko misses 2-pt shot from 2 ft
2:51.0,Defensive rebound by T. Splitter,,16-16,,
2:32.0,P. Millsap makes 3-pt shot from 27 ft (assist by D. Schroder),3,19-16,,
2:20.0,,,19-18,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Johnson)
2:06.0,D. Schroder misses 2-pt shot from 2 ft,,19-18,,
2:05.0,,,19-18,,Defensive rebound by E. Turner
1:58.0,,,19-18,,K. Olynyk misses 2-pt shot from 2 ft
1:58.0,Defensive rebound by Team,,19-18,,
1:58.0,Atlanta full timeout,,19-18,,
1:58.0,A. Horford enters the game for P. Millsap,,19-18,,
1:58.0,M. Scott enters the game for T. Splitter,,19-18,,
1:58.0,,,19-18,,R. Hunter enters the game for J. Crowder
1:58.0,,,19-18,,D. Lee enters the game for A. Johnson
1:45.0,J. Holiday misses 3-pt shot from 24 ft,,19-18,,
1:44.0,,,19-18,,Defensive rebound by K. Olynyk
1:33.0,,,19-21,3,K. Olynyk makes 3-pt shot from 23 ft (assist by E. Turner)
1:17.0,A. Horford makes 3-pt shot from 25 ft (assist by D. Schroder),3,22-21,,
1:07.0,Personal foul by D. Schroder (drawn by E. Turner),,22-21,,
0:57.0,,,22-21,,D. Lee misses 2-pt shot from 2 ft (block by A. Horford)
0:56.0,Defensive rebound by M. Scott,,22-21,,
0:48.0,,,22-21,,Personal foul by E. Turner (drawn by A. Horford)
0:37.0,T. Sefolosha makes 2-pt shot from 19 ft (assist by A. Horford),2,24-21,,
0:29.0,,,24-23,2,K. Olynyk makes 2-pt shot from 20 ft
0:07.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by A. Horford),2,26-23,,
0:00.0,,,26-23,,K. Olynyk misses 3-pt shot from 24 ft
0:00.0,,,26-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-26,3,R. Hunter makes 3-pt shot from 26 ft (assist by E. Turner)
11:31.0,,,26-26,,Personal foul by E. Turner (drawn by A. Horford)
11:16.0,T. Sefolosha misses 2-pt shot from 2 ft,,26-26,,
11:16.0,,,26-26,,Defensive rebound by D. Lee
11:11.0,,,26-26,,Turnover by J. Jerebko (lost ball)
11:11.0,,,26-26,,M. Smart enters the game for E. Turner
10:53.0,Turnover by D. Schroder (discontinued dribble),,26-26,,
10:34.0,,,26-26,,Turnover by M. Smart (bad pass; steal by A. Horford)
10:28.0,J. Holiday misses 3-pt shot from 24 ft,,26-26,,
10:26.0,,,26-26,,Defensive rebound by R. Hunter
10:18.0,,,26-26,,K. Olynyk misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by A. Horford,,26-26,,
10:13.0,,,26-26,,Personal foul by R. Hunter (drawn by M. Scott)
10:13.0,K. Korver enters the game for J. Holiday,,26-26,,
9:58.0,M. Scott makes 2-pt shot from 1 ft (assist by D. Schroder),2,28-26,,
9:43.0,,,28-26,,R. Hunter misses 2-pt shot from 1 ft (block by A. Horford)
9:42.0,Defensive rebound by D. Schroder,,28-26,,
9:35.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by K. Korver),2,30-26,,
9:35.0,,,30-26,,Boston full timeout
9:35.0,,,30-26,,T. Zeller enters the game for K. Olynyk
9:35.0,,,30-26,,J. Crowder enters the game for J. Jerebko
9:20.0,,,30-26,,R. Hunter misses 2-pt shot from 9 ft
9:19.0,Defensive rebound by K. Korver,,30-26,,
9:05.0,D. Schroder misses 3-pt shot from 26 ft,,30-26,,
9:03.0,,,30-26,,Defensive rebound by R. Hunter
8:52.0,,,30-29,3,M. Smart makes 3-pt shot from 25 ft (assist by D. Lee)
8:31.0,A. Horford makes 2-pt shot from 18 ft (assist by D. Schroder),2,32-29,,
8:22.0,,,32-29,,Turnover by T. Zeller (lost ball; steal by M. Scott)
8:12.0,A. Horford makes 2-pt shot at rim (assist by M. Scott),2,34-29,,
7:58.0,,,34-31,2,D. Lee makes 2-pt shot from 1 ft (assist by T. Zeller)
7:37.0,M. Scott misses 2-pt shot at rim,,34-31,,
7:36.0,,,34-31,,Defensive rebound by M. Smart
7:29.0,,,34-31,,J. Crowder misses 3-pt shot from 26 ft
7:29.0,Defensive rebound by Team,,34-31,,
7:29.0,J. Teague enters the game for D. Schroder,,34-31,,
7:29.0,K. Bazemore enters the game for T. Sefolosha,,34-31,,
7:18.0,J. Teague makes 2-pt shot from 3 ft,2,36-31,,
7:07.0,,,36-31,,Shooting foul by M. Scott (drawn by J. Crowder)
7:07.0,,,36-32,1,J. Crowder makes free throw 1 of 2
7:07.0,,,36-32,,I. Thomas enters the game for R. Hunter
7:07.0,T. Splitter enters the game for A. Horford,,36-32,,
7:07.0,,,36-33,1,J. Crowder makes free throw 2 of 2
6:42.0,K. Bazemore misses 2-pt shot from 2 ft,,36-33,,
6:41.0,,,36-33,,Defensive rebound by T. Zeller
6:38.0,,,36-33,,M. Smart misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by K. Korver,,36-33,,
6:33.0,Turnover by J. Teague (traveling),,36-33,,
6:18.0,,,36-35,2,T. Zeller makes 2-pt shot from 8 ft
6:18.0,,,36-35,,Shooting foul by K. Korver (drawn by T. Zeller)
6:18.0,,,36-36,1,T. Zeller makes free throw 1 of 1
6:15.0,P. Millsap enters the game for M. Scott,,36-36,,
6:15.0,,,36-36,,A. Johnson enters the game for D. Lee
6:13.0,Offensive foul by K. Korver,,36-36,,
6:13.0,Turnover by K. Korver (offensive foul),,36-36,,
6:00.0,,,36-36,,I. Thomas misses 3-pt shot from 26 ft
5:59.0,Defensive rebound by K. Bazemore,,36-36,,
5:43.0,J. Teague misses 2-pt shot from 16 ft,,36-36,,
5:42.0,Offensive rebound by T. Splitter,,36-36,,
5:35.0,,,36-36,,Personal block foul by J. Crowder (drawn by J. Teague)
5:35.0,Official timeout,,36-36,,
5:25.0,K. Korver misses 3-pt shot from 28 ft,,36-36,,
5:24.0,,,36-36,,Defensive rebound by T. Zeller
5:10.0,Personal foul by K. Bazemore (drawn by J. Crowder),,36-36,,
4:58.0,,,36-36,,A. Johnson misses 2-pt shot from 2 ft
4:54.0,,,36-36,,Offensive rebound by J. Crowder
4:54.0,,,36-36,,J. Crowder misses 2-pt shot from 1 ft
4:52.0,,,36-36,,Offensive rebound by A. Johnson
4:52.0,,,36-36,,A. Johnson misses 2-pt shot at rim
4:51.0,Defensive rebound by P. Millsap,,36-36,,
4:37.0,T. Splitter makes 2-pt shot from 1 ft (assist by J. Teague),2,38-36,,
4:24.0,,,38-36,,J. Crowder misses 2-pt shot from 15 ft
4:23.0,Defensive rebound by J. Teague,,38-36,,
4:13.0,K. Korver makes 3-pt shot from 26 ft (assist by J. Teague),3,41-36,,
3:59.0,,,41-38,2,T. Zeller makes 2-pt shot at rim (assist by A. Johnson)
3:45.0,T. Splitter misses 2-pt shot from 1 ft,,41-38,,
3:44.0,Offensive rebound by J. Teague,,41-38,,
3:29.0,K. Bazemore misses 2-pt shot from 1 ft,,41-38,,
3:28.0,,,41-38,,Defensive rebound by J. Crowder
3:21.0,,,41-41,3,I. Thomas makes 3-pt shot from 25 ft (assist by M. Smart)
3:18.0,Atlanta full timeout,,41-41,,
3:18.0,A. Horford enters the game for T. Splitter,,41-41,,
3:18.0,,,41-41,,J. Sullinger enters the game for T. Zeller
3:11.0,Turnover by J. Teague (bad pass; steal by J. Crowder),,41-41,,
3:08.0,Violation by J. Teague (def goaltending),,41-41,,
3:08.0,,,41-43,2,I. Thomas makes 2-pt shot from 1 ft
2:52.0,A. Horford misses 2-pt shot from 2 ft,,41-43,,
2:51.0,,,41-43,,Defensive rebound by A. Johnson
2:44.0,,,41-43,,Turnover by M. Smart (traveling)
2:44.0,T. Sefolosha enters the game for K. Korver,,41-43,,
2:23.0,P. Millsap misses 2-pt shot from 6 ft,,41-43,,
2:22.0,,,41-43,,Defensive rebound by J. Sullinger
2:19.0,,,41-43,,Offensive foul by A. Johnson
2:19.0,,,41-43,,Turnover by A. Johnson (offensive foul)
2:05.0,K. Bazemore makes 2-pt shot at rim (assist by A. Horford),2,43-43,,
1:42.0,,,43-43,,J. Sullinger misses 2-pt shot from 17 ft
1:40.0,Defensive rebound by P. Millsap,,43-43,,
