time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (T. Ariza gains possession),,,,Jump ball: D. Howard vs. D. Jordan (T. Ariza gains possession)
11:40.0,,,0-0,,D. Howard misses 2-pt shot from 5 ft
11:39.0,Defensive rebound by D. Jordan,,0-0,,
11:26.0,J. Green misses 2-pt shot from 2 ft (block by J. Harden),,0-0,,
11:26.0,Offensive rebound by Team,,0-0,,
11:23.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,3-0,,
11:10.0,,,3-0,,D. Motiejunas misses 2-pt shot from 17 ft
11:10.0,Defensive rebound by C. Paul,,3-0,,
11:04.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul),2,5-0,,
10:50.0,,,5-2,2,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas)
10:29.0,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul),2,7-2,,
10:19.0,,,7-4,2,J. Harden makes 2-pt shot from 9 ft
10:19.0,,,7-4,,Shooting foul by J. Redick (drawn by J. Harden)
10:19.0,,,7-5,1,J. Harden makes free throw 1 of 1
10:04.0,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan),3,10-5,,
9:42.0,,,10-5,,Turnover by J. Harden (lost ball; steal by J. Green)
9:37.0,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul),2,12-5,,
9:37.0,,,12-5,,Houston full timeout
9:23.0,,,12-5,,Turnover by J. Harden (lost ball; steal by C. Paul)
9:17.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,15-5,,
9:03.0,,,15-5,,T. Ariza misses 2-pt shot from 22 ft
9:02.0,Defensive rebound by C. Paul,,15-5,,
8:54.0,Turnover by C. Paul (lost ball; steal by P. Beverley),,15-5,,
8:48.0,,,15-7,2,P. Beverley makes 2-pt shot at rim
8:38.0,D. Jordan makes 2-pt shot at rim (assist by L. Mbah a Moute),2,17-7,,
8:25.0,,,17-7,,T. Ariza misses 2-pt shot from 19 ft
8:24.0,Defensive rebound by D. Jordan,,17-7,,
8:21.0,,,17-7,,Personal foul by T. Ariza
8:21.0,,,17-7,,C. Brewer enters the game for D. Motiejunas
8:07.0,J. Green misses 2-pt shot from 4 ft,,17-7,,
8:06.0,,,17-7,,Defensive rebound by J. Harden
7:59.0,,,17-10,3,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza)
7:50.0,,,17-10,,Personal foul by P. Beverley
7:45.0,C. Paul misses 3-pt shot from 24 ft,,17-10,,
7:44.0,,,17-10,,Defensive rebound by D. Howard
7:35.0,,,17-10,,T. Ariza misses 3-pt shot from 23 ft
7:33.0,,,17-10,,Offensive rebound by D. Howard
7:33.0,,,17-10,,D. Howard misses 2-pt shot at rim
7:32.0,,,17-10,,Offensive rebound by D. Howard
7:19.0,,,17-10,,Turnover by D. Howard (3 sec)
7:09.0,C. Paul misses 2-pt shot from 11 ft,,17-10,,
7:08.0,,,17-10,,Defensive rebound by J. Harden
6:59.0,,,17-10,,J. Harden misses 2-pt shot from 1 ft (block by J. Green)
6:58.0,Defensive rebound by L. Mbah a Moute,,17-10,,
6:50.0,C. Paul misses 3-pt shot from 24 ft,,17-10,,
6:49.0,,,17-10,,Defensive rebound by C. Brewer
6:45.0,,,17-10,,Turnover by C. Brewer (lost ball; steal by C. Paul)
6:38.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,20-10,,
6:13.0,,,20-12,2,T. Ariza makes 2-pt shot from 3 ft
5:50.0,J. Redick misses 2-pt shot from 15 ft,,20-12,,
5:49.0,,,20-12,,Defensive rebound by J. Harden
5:33.0,,,20-12,,Shooting foul by J. Redick (drawn by D. Howard)
5:33.0,,,20-12,,D. Howard misses free throw 1 of 2
5:33.0,,,20-12,,Offensive rebound by Team
5:33.0,J. Crawford enters the game for J. Redick,,20-12,,
5:33.0,,,20-13,1,D. Howard makes free throw 2 of 2
5:18.0,C. Paul makes 2-pt shot from 9 ft,2,22-13,,
5:04.0,,,22-13,,T. Ariza misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by D. Jordan,,22-13,,
4:54.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,24-13,,
4:54.0,,,24-13,,Houston full timeout
4:54.0,,,24-13,,C. Capela enters the game for D. Howard
