time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: I. Mahinmi vs. J. Valanciunas (K. Lowry gains possession)
11:43.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 13 ft (assist by D. DeRozan)
11:28.0,P. George misses 2-pt shot from 11 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by L. Scola
11:22.0,,,0-2,,K. Lowry misses 2-pt shot from 2 ft (block by G. Hill)
11:22.0,Defensive rebound by Team,,0-2,,
11:10.0,M. Ellis makes 2-pt shot from 17 ft (assist by I. Mahinmi),2,2-2,,
10:45.0,,,2-4,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. Carroll)
10:33.0,C. Miles misses 2-pt shot from 18 ft,,2-4,,
10:32.0,,,2-4,,Defensive rebound by J. Valanciunas
10:22.0,,,2-6,2,D. Carroll makes 2-pt shot from 8 ft (assist by D. DeRozan)
10:11.0,P. George misses 2-pt shot from 17 ft,,2-6,,
10:10.0,,,2-6,,Defensive rebound by J. Valanciunas
10:05.0,,,2-6,,Turnover by K. Lowry (bad pass; steal by P. George)
9:58.0,P. George misses 3-pt shot from 24 ft,,2-6,,
9:57.0,,,2-6,,Defensive rebound by L. Scola
9:36.0,,,2-6,,D. DeRozan misses 2-pt shot from 10 ft
9:34.0,Defensive rebound by G. Hill,,2-6,,
9:29.0,Turnover by G. Hill (bad pass; steal by L. Scola),,2-6,,
9:25.0,,,2-6,,Shooting foul by C. Miles (drawn by D. DeRozan)
9:25.0,,,2-6,,D. DeRozan misses free throw 1 of 2
9:25.0,,,2-6,,Offensive rebound by Team
9:25.0,,,2-6,,D. DeRozan misses free throw 2 of 2
9:24.0,Defensive rebound by Team,,2-6,,
9:24.0,,,2-6,,Loose ball foul by J. Valanciunas (drawn by I. Mahinmi)
9:05.0,C. Miles misses 3-pt shot from 24 ft,,2-6,,
9:04.0,,,2-6,,Defensive rebound by L. Scola
8:55.0,,,2-6,,Turnover by D. DeRozan (lost ball; steal by M. Ellis)
8:50.0,P. George misses 2-pt shot from 1 ft,,2-6,,
8:48.0,Offensive rebound by C. Miles,,2-6,,
8:45.0,C. Miles makes 2-pt shot from 1 ft,2,4-6,,
8:37.0,,,4-8,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
8:37.0,Indiana full timeout,,4-8,,
8:28.0,C. Miles makes 3-pt shot from 24 ft (assist by G. Hill),3,7-8,,
8:12.0,,,7-8,,Shooting foul by M. Ellis (drawn by D. DeRozan)
8:12.0,,,7-8,,D. DeRozan misses free throw 1 of 2
8:12.0,,,7-8,,Offensive rebound by Team
8:12.0,,,7-9,1,D. DeRozan makes free throw 2 of 2
8:04.0,Offensive foul by I. Mahinmi,,7-9,,
8:04.0,Turnover by I. Mahinmi (offensive foul),,7-9,,
7:43.0,,,7-9,,Turnover by L. Scola (lost ball; steal by C. Miles)
7:39.0,Turnover by C. Miles (bad pass; steal by D. DeRozan),,7-9,,
7:34.0,,,7-9,,Turnover by L. Scola (lost ball)
7:24.0,G. Hill misses 3-pt shot from 24 ft,,7-9,,
7:23.0,,,7-9,,Defensive rebound by J. Valanciunas
7:16.0,,,7-9,,Shooting foul by M. Ellis (drawn by D. DeRozan)
7:16.0,,,7-10,1,D. DeRozan makes free throw 1 of 2
7:16.0,R. Stuckey enters the game for M. Ellis,,7-10,,
7:16.0,,,7-10,,D. DeRozan misses free throw 2 of 2
7:15.0,,,7-10,,Offensive rebound by L. Scola
7:09.0,,,7-10,,D. Carroll misses 3-pt shot from 24 ft
