time,New York,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. H. Whiteside (K. Porzingis gains possession),,,,Jump ball: R. Lopez vs. H. Whiteside (K. Porzingis gains possession)
11:40.0,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Calderon),3,3-0,,
11:19.0,,,3-0,,C. Bosh misses 2-pt shot from 16 ft
11:18.0,Defensive rebound by J. Calderon,,3-0,,
11:12.0,,,3-0,,Personal foul by L. Deng (drawn by R. Lopez)
11:04.0,A. Afflalo misses 2-pt shot from 12 ft,,3-0,,
11:03.0,,,3-0,,Defensive rebound by H. Whiteside
10:57.0,,,3-0,,G. Dragic misses 2-pt shot from 12 ft
10:56.0,,,3-0,,Offensive rebound by G. Dragic
10:55.0,,,3-2,2,G. Dragic makes 2-pt shot at rim
10:41.0,K. Porzingis misses 2-pt shot from 14 ft,,3-2,,
10:40.0,,,3-2,,Defensive rebound by H. Whiteside
10:34.0,,,3-2,,G. Dragic misses 2-pt shot from 1 ft
10:33.0,Defensive rebound by J. Calderon,,3-2,,
10:19.0,R. Lopez misses 2-pt shot from 1 ft (block by H. Whiteside),,3-2,,
10:18.0,Offensive rebound by Team,,3-2,,
10:15.0,J. Calderon makes 2-pt shot from 18 ft (assist by C. Anthony),2,5-2,,
9:58.0,,,5-2,,C. Bosh misses 2-pt shot from 18 ft
9:57.0,Defensive rebound by C. Anthony,,5-2,,
9:51.0,C. Anthony makes 2-pt shot from 12 ft,2,7-2,,
9:29.0,,,7-4,2,D. Wade makes 2-pt shot from 8 ft
9:19.0,,,7-4,,Personal foul by D. Wade (drawn by K. Porzingis)
9:11.0,C. Anthony misses 2-pt shot from 15 ft,,7-4,,
9:10.0,Offensive rebound by R. Lopez,,7-4,,
9:09.0,R. Lopez misses 2-pt shot from 1 ft,,7-4,,
9:08.0,,,7-4,,Defensive rebound by G. Dragic
9:02.0,,,7-4,,Turnover by G. Dragic (bad pass; steal by J. Calderon)
8:55.0,J. Calderon makes 2-pt shot from 16 ft (assist by A. Afflalo),2,9-4,,
8:38.0,,,9-6,2,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic)
8:17.0,A. Afflalo makes 2-pt shot from 16 ft (assist by R. Lopez),2,11-6,,
7:56.0,,,11-6,,D. Wade misses 2-pt shot from 1 ft
7:55.0,Defensive rebound by K. Porzingis,,11-6,,
7:43.0,Shooting foul by C. Bosh (drawn by C. Anthony),,11-6,,
7:43.0,C. Anthony makes free throw 1 of 2,1,12-6,,
7:43.0,C. Anthony makes free throw 2 of 2,1,13-6,,
7:32.0,,,13-8,2,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic)
7:16.0,C. Anthony misses 2-pt shot from 3 ft,,13-8,,
7:15.0,,,13-8,,Defensive rebound by D. Wade
7:11.0,,,13-8,,Offensive charge foul by D. Wade
7:11.0,,,13-8,,Turnover by D. Wade (offensive foul)
6:57.0,,,13-8,,J. Winslow enters the game for C. Bosh
6:47.0,Turnover by Team (shot clock),,13-8,,
6:34.0,,,13-10,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
6:18.0,K. Porzingis misses 2-pt shot from 2 ft,,13-10,,
6:17.0,Offensive rebound by R. Lopez,,13-10,,
6:16.0,R. Lopez makes 2-pt shot at rim,2,15-10,,
6:00.0,,,15-13,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
5:48.0,K. Porzingis misses 2-pt shot from 10 ft,,15-13,,
5:47.0,Offensive rebound by R. Lopez,,15-13,,
5:46.0,R. Lopez makes 2-pt shot at rim,2,17-13,,
5:37.0,,,17-13,,Miami full timeout
5:37.0,,,17-13,,G. Green enters the game for D. Wade
5:24.0,,,17-13,,H. Whiteside misses 2-pt shot from 16 ft
5:23.0,Defensive rebound by K. Porzingis,,17-13,,
5:12.0,K. Porzingis misses 2-pt shot from 1 ft (block by H. Whiteside),,17-13,,
5:11.0,Offensive rebound by R. Lopez,,17-13,,
4:56.0,Turnover by C. Anthony (bad pass; steal by L. Deng),,17-13,,
4:40.0,,,17-15,2,G. Dragic makes 2-pt shot from 12 ft
4:16.0,Turnover by C. Anthony (bad pass),,17-15,,
4:16.0,L. Thomas enters the game for K. Porzingis,,17-15,,
3:58.0,,,17-17,2,L. Deng makes 2-pt shot from 1 ft
3:48.0,L. Thomas misses 3-pt shot from 23 ft,,17-17,,
3:47.0,,,17-17,,Defensive rebound by G. Green
3:40.0,,,17-17,,G. Green misses 3-pt shot from 24 ft
3:38.0,,,17-17,,Offensive rebound by Team
3:38.0,,,17-17,,J. McRoberts enters the game for L. Deng
3:38.0,L. Galloway enters the game for J. Calderon,,17-17,,
3:24.0,,,17-17,,H. Whiteside misses 2-pt shot from 4 ft
3:23.0,,,17-17,,Offensive rebound by Team
3:23.0,Loose ball foul by L. Galloway (drawn by J. McRoberts),,17-17,,
3:08.0,,,17-17,,J. Winslow misses 2-pt shot from 6 ft
3:07.0,Defensive rebound by C. Anthony,,17-17,,
2:59.0,C. Anthony misses 3-pt shot from 24 ft,,17-17,,
2:58.0,,,17-17,,Defensive rebound by H. Whiteside
2:44.0,,,17-19,2,G. Green makes 2-pt shot from 1 ft (assist by G. Dragic)
2:18.0,R. Lopez makes 2-pt shot from 5 ft,2,19-19,,
2:02.0,,,19-19,,G. Dragic misses 2-pt shot from 11 ft
2:01.0,,,19-19,,Offensive rebound by H. Whiteside
2:00.0,,,19-19,,Shooting foul by L. Thomas (drawn by H. Whiteside)
2:00.0,New York full timeout,,19-19,,
