time,Denver,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. A. Stoudemire (G. Dragic gains possession),,,,Jump ball: N. Jokic vs. A. Stoudemire (G. Dragic gains possession)
11:44.0,,,0-2,2,A. Stoudemire makes 2-pt shot from 2 ft (assist by G. Dragic)
11:30.0,Turnover by E. Mudiay (lost ball; steal by L. Deng),,0-2,,
11:25.0,,,0-2,,D. Wade misses 2-pt shot from 1 ft
11:24.0,Defensive rebound by N. Jokic,,0-2,,
11:19.0,G. Harris misses 3-pt shot from 24 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by J. Johnson
11:00.0,,,0-4,2,L. Deng makes 2-pt shot from 19 ft (assist by J. Johnson)
10:36.0,J. Sampson makes 2-pt shot from 15 ft (assist by N. Jokic),2,2-4,,
10:26.0,,,2-6,2,G. Dragic makes 2-pt shot from 11 ft
10:08.0,G. Harris makes 2-pt shot from 2 ft,2,4-6,,
9:53.0,,,4-6,,Turnover by G. Dragic (bad pass)
9:38.0,Shooting foul by A. Stoudemire (drawn by K. Faried),,4-6,,
9:38.0,K. Faried makes free throw 1 of 2,1,5-6,,
9:38.0,K. Faried misses free throw 2 of 2,,5-6,,
9:37.0,,,5-6,,Defensive rebound by L. Deng
9:23.0,,,5-6,,Turnover by D. Wade (lost ball; steal by G. Harris)
9:17.0,J. Sampson makes 2-pt shot from 2 ft,2,7-6,,
9:00.0,,,7-8,2,D. Wade makes 2-pt shot from 1 ft
8:36.0,E. Mudiay misses 3-pt shot from 24 ft,,7-8,,
8:35.0,Offensive rebound by K. Faried,,7-8,,
8:32.0,K. Faried makes 2-pt shot from 2 ft,2,9-8,,
8:19.0,,,9-8,,L. Deng misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by E. Mudiay,,9-8,,
8:13.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,11-8,,
7:53.0,,,11-11,3,G. Dragic makes 3-pt shot from 24 ft (assist by L. Deng)
7:45.0,Shooting foul by A. Stoudemire (drawn by G. Harris),,11-11,,
7:45.0,G. Harris misses free throw 1 of 2,,11-11,,
7:45.0,Offensive rebound by Team,,11-11,,
7:45.0,,,11-11,,H. Whiteside enters the game for A. Stoudemire
7:45.0,G. Harris makes free throw 2 of 2,1,12-11,,
7:29.0,,,12-11,,H. Whiteside misses 2-pt shot from 1 ft
7:28.0,,,12-11,,Offensive rebound by L. Deng
7:27.0,,,12-13,2,L. Deng makes 2-pt shot from 1 ft
7:19.0,Turnover by E. Mudiay (lost ball; steal by D. Wade),,12-13,,
7:18.0,,,12-13,,Turnover by D. Wade (lost ball; steal by G. Harris)
7:14.0,G. Harris makes 2-pt shot from 8 ft,2,14-13,,
6:51.0,,,14-13,,Turnover by H. Whiteside (lost ball; steal by J. Sampson)
6:48.0,K. Faried makes 2-pt shot from 3 ft (assist by E. Mudiay),2,16-13,,
6:48.0,Shooting foul by G. Dragic (drawn by K. Faried),,16-13,,
6:48.0,K. Faried makes free throw 1 of 1,1,17-13,,
6:41.0,,,17-13,,G. Dragic misses 2-pt shot from 2 ft
6:40.0,Defensive rebound by N. Jokic,,17-13,,
6:35.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,19-13,,
6:35.0,,,19-13,,Miami full timeout
6:25.0,Personal foul by J. Sampson,,19-13,,
6:17.0,,,19-13,,Shooting foul by K. Faried (drawn by L. Deng)
6:17.0,,,19-14,1,L. Deng makes free throw 1 of 2
6:17.0,,,19-15,1,L. Deng makes free throw 2 of 2
