time,Indiana,pts.away,score,pts.home,Minnesota
0:53.0,,,21-21,,Personal foul by K. Towns (drawn by G. Robinson)
0:36.0,P. George misses 2-pt shot from 22 ft,,21-21,,
0:34.0,,,21-21,,Defensive rebound by T. Jones
0:21.0,,,21-21,,G. Dieng misses 2-pt shot from 17 ft
0:19.0,Defensive rebound by J. Hill,,21-21,,
0:01.0,J. Hill misses 2-pt shot from 19 ft,,21-21,,
0:00.0,Offensive rebound by Team,,21-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,G. Robinson misses 2-pt shot from 1 ft,,21-21,,
11:32.0,,,21-21,,Defensive rebound by G. Dieng
11:20.0,,,21-24,3,A. Payne makes 3-pt shot from 23 ft (assist by G. Dieng)
10:56.0,J. Hill makes 2-pt shot from 14 ft,2,23-24,,
10:40.0,,,23-24,,Z. LaVine misses 2-pt shot from 19 ft
10:39.0,Defensive rebound by C. Budinger,,23-24,,
10:21.0,J. Hill misses 2-pt shot from 7 ft,,23-24,,
10:20.0,,,23-24,,Defensive rebound by T. Jones
10:16.0,,,23-24,,Z. LaVine misses 2-pt shot from 1 ft
10:15.0,Defensive rebound by G. Robinson,,23-24,,
10:01.0,Shooting foul by S. Muhammad (drawn by C. Budinger),,23-24,,
10:01.0,C. Budinger makes free throw 1 of 2,1,24-24,,
10:01.0,C. Budinger makes free throw 2 of 2,1,25-24,,
9:47.0,,,25-24,,Turnover by S. Muhammad (lost ball; steal by C. Budinger)
9:44.0,R. Stuckey enters the game for G. Robinson,,25-24,,
9:35.0,,,25-24,,Violation by G. Dieng (def goaltending)
9:35.0,J. Hill makes 2-pt shot at rim (assist by C. Budinger),2,27-24,,
9:19.0,,,27-24,,S. Muhammad misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by G. Hill,,27-24,,
9:06.0,L. Allen makes 2-pt shot from 4 ft (assist by G. Hill),2,29-24,,
8:52.0,,,29-24,,S. Muhammad misses 2-pt shot from 1 ft
8:51.0,Defensive rebound by C. Budinger,,29-24,,
8:42.0,Turnover by J. Hill (lost ball),,29-24,,
8:42.0,,,29-24,,Minnesota full timeout
8:24.0,,,29-26,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
8:06.0,Turnover by C. Budinger (traveling),,29-26,,
7:44.0,,,29-28,2,G. Dieng makes 2-pt shot from 20 ft
7:26.0,R. Stuckey misses 2-pt shot from 14 ft (block by T. Jones),,29-28,,
