time,Golden State,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. I. Mahinmi (S. Curry gains possession),,,,Jump ball: A. Bogut vs. I. Mahinmi (S. Curry gains possession)
11:47.0,S. Curry misses 3-pt shot from 25 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by P. George
11:39.0,,,0-0,,P. George misses 2-pt shot from 18 ft
11:38.0,Defensive rebound by S. Curry,,0-0,,
11:18.0,D. Green misses 3-pt shot from 26 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by I. Mahinmi
11:12.0,,,0-0,,P. George misses 2-pt shot from 1 ft
11:10.0,,,0-0,,Offensive rebound by P. George
11:10.0,,,0-2,2,P. George makes 2-pt shot from 1 ft
11:02.0,K. Thompson misses 3-pt shot from 26 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by C. Miles
10:56.0,,,0-2,,Shooting foul by K. Thompson (drawn by C. Miles)
10:56.0,,,0-3,1,C. Miles makes free throw 1 of 3
10:56.0,,,0-4,1,C. Miles makes free throw 2 of 3
10:56.0,,,0-5,1,C. Miles makes free throw 3 of 3
10:43.0,S. Curry makes 2-pt shot at rim (assist by A. Bogut),2,2-5,,
10:36.0,,,2-7,2,C. Miles makes 2-pt shot from 20 ft
10:25.0,B. Rush makes 2-pt shot from 21 ft (assist by D. Green),2,4-7,,
10:11.0,,,4-9,2,G. Hill makes 2-pt shot from 21 ft (assist by P. George)
9:59.0,,,4-9,,Personal foul by P. George (drawn by K. Thompson)
9:51.0,D. Green misses 2-pt shot from 2 ft,,4-9,,
9:51.0,,,4-9,,Defensive rebound by Team
9:34.0,,,4-11,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George)
9:24.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,6-11,,
9:13.0,,,6-13,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
9:02.0,S. Curry misses 2-pt shot from 19 ft,,6-13,,
9:01.0,,,6-13,,Defensive rebound by P. George
8:55.0,,,6-13,,P. George misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by K. Thompson,,6-13,,
8:49.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,8-13,,
8:49.0,Shooting foul by I. Mahinmi (drawn by S. Curry),,8-13,,
8:49.0,S. Curry makes free throw 1 of 1,1,9-13,,
8:37.0,,,9-13,,M. Ellis misses 2-pt shot from 14 ft
8:35.0,Defensive rebound by A. Bogut,,9-13,,
8:28.0,K. Thompson makes 3-pt shot from 24 ft (assist by B. Rush),3,12-13,,
8:09.0,,,12-13,,Shooting foul by D. Green (drawn by P. George)
8:09.0,,,12-13,,P. George misses free throw 1 of 2
8:09.0,,,12-13,,Offensive rebound by Team
8:09.0,,,12-14,1,P. George makes free throw 2 of 2
7:54.0,K. Thompson misses 3-pt shot from 26 ft,,12-14,,
7:52.0,,,12-14,,Defensive rebound by P. George
7:41.0,,,12-14,,P. George misses 2-pt shot from 6 ft
7:41.0,Defensive rebound by K. Thompson,,12-14,,
7:34.0,K. Thompson makes 3-pt shot from 25 ft,3,15-14,,
7:22.0,,,15-17,3,P. George makes 3-pt shot from 25 ft (assist by G. Hill)
7:07.0,S. Curry misses 3-pt shot from 27 ft,,15-17,,
