time,LA Clippers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. Z. Pachulia (C. Paul gains possession),,,,Jump ball: D. Jordan vs. Z. Pachulia (C. Paul gains possession)
11:40.0,Turnover by L. Stephenson (lost ball; steal by D. Williams),,0-0,,
11:34.0,,,0-3,3,D. Nowitzki makes 3-pt shot from 23 ft (assist by D. Williams)
11:11.0,,,0-3,,Shooting block foul by D. Williams (drawn by B. Griffin)
11:11.0,B. Griffin makes free throw 1 of 2,1,1-3,,
11:11.0,B. Griffin misses free throw 2 of 2,,1-3,,
11:10.0,,,1-3,,Defensive rebound by D. Nowitzki
10:54.0,,,1-3,,Shooting foul by J. Redick (drawn by Z. Pachulia)
10:54.0,,,1-4,1,Z. Pachulia makes free throw 1 of 2
10:54.0,,,1-5,1,Z. Pachulia makes free throw 2 of 2
10:35.0,C. Paul makes 2-pt shot from 18 ft,2,3-5,,
10:22.0,,,3-7,2,W. Matthews makes 2-pt shot from 9 ft
10:10.0,,,3-7,,Personal foul by R. Felton (drawn by J. Redick)
10:02.0,D. Jordan misses 2-pt shot at rim,,3-7,,
10:00.0,,,3-7,,Defensive rebound by D. Nowitzki
9:51.0,,,3-9,2,W. Matthews makes 2-pt shot from 3 ft
9:51.0,,,3-9,,Shooting foul by L. Stephenson (drawn by W. Matthews)
9:51.0,,,3-10,1,W. Matthews makes free throw 1 of 1
9:31.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,5-10,,
9:15.0,,,5-12,2,W. Matthews makes 2-pt shot from 12 ft
9:05.0,L. Stephenson misses 3-pt shot from 23 ft,,5-12,,
9:04.0,,,5-12,,Defensive rebound by D. Nowitzki
8:55.0,,,5-12,,Turnover by R. Felton (step out of bounds)
8:43.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,7-12,,
8:27.0,,,7-12,,Turnover by W. Matthews (bad pass; steal by B. Griffin)
8:22.0,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul),2,9-12,,
8:06.0,,,9-14,2,D. Williams makes 2-pt shot from 12 ft
7:53.0,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin),3,12-14,,
7:27.0,,,12-14,,D. Williams misses 3-pt shot from 23 ft
7:26.0,Defensive rebound by D. Jordan,,12-14,,
7:12.0,D. Jordan misses 2-pt shot from 6 ft,,12-14,,
7:11.0,,,12-14,,Defensive rebound by D. Nowitzki
7:00.0,,,12-14,,Z. Pachulia misses 2-pt shot from 16 ft
6:59.0,Defensive rebound by D. Jordan,,12-14,,
6:57.0,,,12-14,,Personal block foul by W. Matthews (drawn by C. Paul)
6:45.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,15-14,,
6:44.0,,,15-14,,Dallas full timeout
6:26.0,,,15-16,2,R. Felton makes 2-pt shot from 21 ft
6:10.0,B. Griffin misses 2-pt shot from 18 ft,,15-16,,
6:09.0,,,15-16,,Defensive rebound by W. Matthews
6:01.0,,,15-16,,D. Harris enters the game for W. Matthews
6:01.0,,,15-16,,D. Powell enters the game for D. Nowitzki
5:53.0,,,15-18,2,R. Felton makes 2-pt shot from 18 ft
5:39.0,L. Stephenson misses 2-pt shot from 12 ft,,15-18,,
5:38.0,Offensive rebound by L. Stephenson,,15-18,,
5:37.0,L. Stephenson misses 2-pt shot from 1 ft (block by Z. Pachulia),,15-18,,
5:35.0,Offensive rebound by L. Stephenson,,15-18,,
5:33.0,L. Stephenson makes 2-pt shot from 2 ft,2,17-18,,
5:23.0,,,17-18,,D. Powell misses 2-pt shot from 5 ft (block by J. Redick)
5:22.0,,,17-18,,Offensive rebound by D. Powell
5:18.0,,,17-18,,R. Felton misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by D. Jordan,,17-18,,
5:16.0,Turnover by D. Jordan (bad pass; steal by D. Williams),,17-18,,
5:09.0,,,17-18,,Z. Pachulia misses 2-pt shot from 14 ft
5:08.0,Defensive rebound by D. Jordan,,17-18,,
5:04.0,,,17-18,,Personal foul by D. Powell (drawn by D. Jordan)
5:04.0,J. Crawford enters the game for L. Stephenson,,17-18,,
4:52.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,19-18,,
4:52.0,Shooting foul by D. Powell (drawn by B. Griffin),,19-18,,
4:52.0,B. Griffin misses free throw 1 of 1,,19-18,,
4:52.0,,,19-18,,Defensive rebound by Z. Pachulia
4:38.0,Shooting block foul by B. Griffin (drawn by Z. Pachulia),,19-18,,
4:38.0,,,19-18,,Z. Pachulia misses free throw 1 of 2
4:38.0,,,19-18,,Offensive rebound by Team
4:38.0,,,19-18,,S. Mejri enters the game for D. Powell
4:38.0,,,19-19,1,Z. Pachulia makes free throw 2 of 2
4:38.0,,,19-19,,Personal take foul by S. Mejri
4:38.0,D. Jordan misses free throw 1 of 2,,19-19,,
4:38.0,Offensive rebound by Team,,19-19,,
4:38.0,,,19-19,,C. Villanueva enters the game for S. Mejri
4:38.0,D. Jordan makes free throw 2 of 2,1,20-19,,
4:19.0,,,20-19,,Z. Pachulia misses 2-pt shot from 19 ft
4:18.0,Defensive rebound by B. Griffin,,20-19,,
4:09.0,C. Paul misses 2-pt shot from 16 ft,,20-19,,
4:08.0,,,20-19,,Defensive rebound by Team
4:08.0,J. Smith enters the game for D. Jordan,,20-19,,
4:08.0,A. Rivers enters the game for J. Redick,,20-19,,
3:58.0,,,20-19,,C. Villanueva misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by J. Smith,,20-19,,
3:51.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,22-19,,
3:36.0,,,22-19,,Turnover by D. Williams (bad pass; steal by A. Rivers)
3:28.0,,,22-19,,Personal foul by D. Williams (drawn by J. Crawford)
3:28.0,J. Crawford makes free throw 1 of 2,1,23-19,,
3:28.0,,,23-19,,J. Barea enters the game for D. Williams
3:28.0,P. Pierce enters the game for B. Griffin,,23-19,,
3:28.0,,,23-19,,D. Nowitzki enters the game for Z. Pachulia
3:28.0,,,23-19,,J. Anderson enters the game for R. Felton
3:28.0,J. Crawford makes free throw 2 of 2,1,24-19,,
3:17.0,,,24-19,,D. Harris misses 3-pt shot from 24 ft
