time,Detroit,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. I. Mahinmi (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. I. Mahinmi (R. Jackson gains possession)
11:45.0,S. Johnson misses 2-pt shot from 3 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by M. Ellis
11:22.0,,,0-0,,M. Ellis misses 2-pt shot from 16 ft
11:22.0,Defensive rebound by R. Jackson,,0-0,,
11:13.0,S. Johnson misses 3-pt shot from 25 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by M. Ellis
10:55.0,,,0-2,2,G. Hill makes 2-pt shot from 21 ft (assist by M. Ellis)
10:32.0,S. Johnson makes 2-pt shot from 3 ft (assist by M. Morris),2,2-2,,
10:16.0,,,2-4,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Turner)
9:54.0,,,2-4,,Personal foul by I. Mahinmi (drawn by A. Drummond)
9:41.0,E. Ilyasova misses 3-pt shot from 23 ft,,2-4,,
9:40.0,,,2-4,,Defensive rebound by Team
9:25.0,,,2-6,2,P. George makes 2-pt shot from 15 ft
9:04.0,Turnover by A. Drummond (offensive goaltending),,2-6,,
8:55.0,Personal foul by S. Johnson (drawn by M. Ellis),,2-6,,
8:45.0,,,2-8,2,P. George makes 2-pt shot from 17 ft (assist by G. Hill)
8:30.0,R. Jackson makes 2-pt shot from 15 ft,2,4-8,,
8:13.0,,,4-8,,M. Turner misses 2-pt shot from 2 ft
8:13.0,Defensive rebound by A. Drummond,,4-8,,
8:06.0,M. Morris misses 3-pt shot from 25 ft,,4-8,,
8:06.0,,,4-8,,Defensive rebound by M. Turner
7:55.0,,,4-10,2,G. Hill makes 2-pt shot from 18 ft
7:47.0,Detroit full timeout,,4-10,,
7:35.0,Turnover by A. Drummond (lost ball; steal by M. Ellis),,4-10,,
7:30.0,,,4-13,3,P. George makes 3-pt shot from 25 ft (assist by M. Turner)
7:11.0,R. Jackson makes 2-pt shot from 18 ft,2,6-13,,
6:53.0,,,6-15,2,M. Ellis makes 2-pt shot from 13 ft
6:38.0,E. Ilyasova misses 2-pt shot from 18 ft,,6-15,,
6:38.0,,,6-15,,Defensive rebound by P. George
6:26.0,,,6-15,,Offensive foul by I. Mahinmi
6:26.0,,,6-15,,Turnover by I. Mahinmi (offensive foul)
6:26.0,,,6-15,,J. Hill enters the game for I. Mahinmi
6:18.0,Turnover by E. Ilyasova (traveling),,6-15,,
6:00.0,,,6-17,2,M. Turner makes 2-pt shot from 17 ft (assist by J. Hill)
5:36.0,Shooting foul by G. Hill (drawn by E. Ilyasova),,6-17,,
5:36.0,E. Ilyasova misses free throw 1 of 2,,6-17,,
5:36.0,Offensive rebound by Team,,6-17,,
5:36.0,E. Ilyasova makes free throw 2 of 2,1,7-17,,
5:29.0,Personal block foul by R. Jackson (drawn by G. Hill),,7-17,,
5:18.0,,,7-19,2,M. Turner makes 2-pt shot from 17 ft (assist by G. Hill)
5:01.0,M. Morris makes 3-pt shot from 22 ft (assist by S. Johnson),3,10-19,,
4:47.0,,,10-22,3,G. Hill makes 3-pt shot from 25 ft
4:24.0,Turnover by R. Jackson (bad pass; steal by J. Hill),,10-22,,
4:17.0,,,10-24,2,M. Turner makes 2-pt shot at rim (assist by P. George)
4:09.0,Detroit full timeout,,10-24,,
4:09.0,A. Baynes enters the game for E. Ilyasova,,10-24,,
4:09.0,D. Hilliard enters the game for A. Drummond,,10-24,,
4:09.0,A. Tolliver enters the game for S. Johnson,,10-24,,
3:58.0,R. Jackson misses 2-pt shot from 3 ft,,10-24,,
3:55.0,Offensive rebound by A. Baynes,,10-24,,
3:48.0,A. Baynes misses 2-pt shot from 2 ft,,10-24,,
3:48.0,Offensive rebound by A. Baynes,,10-24,,
3:47.0,A. Baynes makes 2-pt shot from 2 ft,2,12-24,,
3:36.0,,,12-26,2,M. Turner makes 2-pt shot from 17 ft (assist by M. Ellis)
3:21.0,Turnover by A. Baynes (lost ball; steal by J. Hill),,12-26,,
3:11.0,,,12-26,,Turnover by J. Hill (bad pass)
2:57.0,M. Morris makes 2-pt shot from 17 ft,2,14-26,,
2:32.0,,,14-28,2,M. Turner makes 2-pt shot from 3 ft (assist by M. Ellis)
2:19.0,Turnover by A. Tolliver (bad pass; steal by P. George),,14-28,,
2:15.0,,,14-30,2,P. George makes 2-pt shot from 2 ft
1:50.0,M. Morris makes 2-pt shot from 17 ft,2,16-30,,
1:49.0,,,16-30,,Indiana full timeout
1:49.0,B. Jennings enters the game for R. Jackson,,16-30,,
1:49.0,,,16-30,,C. Miles enters the game for G. Hill
1:49.0,,,16-30,,J. Young enters the game for M. Ellis
1:49.0,,,16-30,,M. Turner misses 2-pt shot from 7 ft
1:49.0,Defensive rebound by A. Tolliver,,16-30,,
1:24.0,A. Tolliver makes 3-pt shot from 24 ft (assist by B. Jennings),3,19-30,,
1:10.0,,,19-30,,C. Miles misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by A. Baynes,,19-30,,
1:04.0,A. Tolliver misses 2-pt shot from 1 ft (block by M. Turner),,19-30,,
1:01.0,,,19-30,,Defensive rebound by P. George
0:57.0,Shooting block foul by A. Baynes (drawn by P. George),,19-30,,
0:57.0,,,19-31,1,P. George makes free throw 1 of 2
0:57.0,,,19-32,1,P. George makes free throw 2 of 2
0:44.0,Shooting foul by P. George (drawn by M. Morris),,19-32,,
0:44.0,M. Morris makes free throw 1 of 2,1,20-32,,
0:44.0,M. Morris misses free throw 2 of 2,,20-32,,
0:44.0,,,20-32,,Defensive rebound by M. Turner
0:22.0,,,20-32,,J. Hill misses 2-pt shot from 3 ft
0:22.0,Defensive rebound by A. Tolliver,,20-32,,
0:13.0,,,20-32,,Personal foul by C. Miles (drawn by A. Baynes)
