time,Milwaukee,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Allen vs. G. Monroe (J. Parker gains possession),,,,Jump ball: L. Allen vs. G. Monroe (J. Parker gains possession)
11:40.0,K. Middleton misses 3-pt shot from 26 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by Team
11:27.0,,,0-0,,C. Miles misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
11:26.0,Defensive rebound by K. Middleton,,0-0,,
11:18.0,Shooting foul by P. George (drawn by G. Antetokounmpo),,0-0,,
11:18.0,G. Antetokounmpo makes free throw 1 of 2,1,1-0,,
11:18.0,G. Antetokounmpo makes free throw 2 of 2,1,2-0,,
11:08.0,Violation by G. Antetokounmpo (def goaltending),,2-0,,
11:08.0,,,2-2,2,L. Allen makes 2-pt shot at rim (assist by P. George)
10:58.0,J. Parker misses 2-pt shot from 2 ft (block by L. Allen),,2-2,,
10:57.0,,,2-2,,Defensive rebound by P. George
10:38.0,,,2-5,3,G. Hill makes 3-pt shot from 25 ft
10:24.0,Turnover by M. Carter-Williams (bad pass),,2-5,,
10:10.0,,,2-5,,Turnover by M. Ellis (lost ball; steal by M. Carter-Williams)
10:06.0,Shooting foul by L. Allen (drawn by G. Antetokounmpo),,2-5,,
10:06.0,G. Antetokounmpo misses free throw 1 of 2,,2-5,,
10:06.0,Offensive rebound by Team,,2-5,,
10:06.0,G. Antetokounmpo makes free throw 2 of 2,1,3-5,,
9:56.0,,,3-5,,C. Miles misses 3-pt shot from 26 ft (block by G. Antetokounmpo)
9:55.0,Defensive rebound by M. Carter-Williams,,3-5,,
9:47.0,J. Parker makes 2-pt shot from 11 ft (assist by K. Middleton),2,5-5,,
9:31.0,,,5-5,,P. George misses 3-pt shot from 25 ft
9:29.0,,,5-5,,Offensive rebound by L. Allen
9:18.0,,,5-5,,M. Ellis misses 3-pt shot from 23 ft
9:17.0,Defensive rebound by M. Carter-Williams,,5-5,,
9:05.0,Shooting foul by C. Miles (drawn by G. Monroe),,5-5,,
9:05.0,G. Monroe makes free throw 1 of 2,1,6-5,,
9:05.0,G. Monroe makes free throw 2 of 2,1,7-5,,
8:53.0,,,7-8,3,P. George makes 3-pt shot from 24 ft (assist by M. Ellis)
8:31.0,G. Monroe makes 2-pt shot from 4 ft,2,9-8,,
8:14.0,,,9-8,,L. Allen misses 2-pt shot from 10 ft
8:11.0,,,9-8,,Offensive rebound by P. George
8:06.0,,,9-8,,Turnover by P. George (traveling)
7:45.0,M. Carter-Williams makes 2-pt shot from 5 ft,2,11-8,,
7:28.0,,,11-8,,Turnover by M. Ellis (bad pass; steal by G. Antetokounmpo)
7:23.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,13-8,,
7:23.0,,,13-8,,Indiana full timeout
7:23.0,,,13-8,,Violation by Team (delay of game)
7:16.0,Personal foul by J. Parker (drawn by P. George),,13-8,,
6:58.0,,,13-10,2,L. Allen makes 2-pt shot from 13 ft (assist by P. George)
6:37.0,G. Monroe misses 2-pt shot from 5 ft,,13-10,,
6:37.0,,,13-10,,Defensive rebound by L. Allen
6:23.0,,,13-10,,M. Ellis misses 2-pt shot from 1 ft
6:22.0,Defensive rebound by M. Carter-Williams,,13-10,,
6:14.0,K. Middleton makes 3-pt shot from 23 ft (assist by J. Parker),3,16-10,,
5:48.0,,,16-12,2,G. Hill makes 2-pt shot from 5 ft
5:35.0,M. Carter-Williams misses 2-pt shot from 10 ft,,16-12,,
5:35.0,,,16-12,,Defensive rebound by C. Miles
5:28.0,,,16-12,,Turnover by C. Miles (traveling)
5:28.0,J. Henson enters the game for G. Monroe,,16-12,,
5:20.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,19-12,,
5:04.0,,,19-12,,G. Hill misses 2-pt shot from 13 ft
5:03.0,Defensive rebound by K. Middleton,,19-12,,
4:58.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,21-12,,
4:38.0,,,21-12,,C. Miles misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by G. Antetokounmpo,,21-12,,
4:34.0,Shooting foul by M. Ellis (drawn by G. Antetokounmpo),,21-12,,
4:34.0,G. Antetokounmpo makes free throw 1 of 2,1,22-12,,
4:34.0,,,22-12,,R. Stuckey enters the game for G. Hill
4:34.0,,,22-12,,M. Turner enters the game for L. Allen
4:34.0,G. Antetokounmpo makes free throw 2 of 2,1,23-12,,
4:21.0,,,23-12,,M. Ellis misses 3-pt shot from 27 ft
4:20.0,Defensive rebound by J. Henson,,23-12,,
4:07.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,23-12,,
4:07.0,,,23-12,,Defensive rebound by M. Turner
4:03.0,,,23-14,2,C. Miles makes 2-pt shot at rim (assist by P. George)
3:47.0,Turnover by M. Carter-Williams (lost ball; steal by M. Ellis),,23-14,,
3:43.0,,,23-14,,Turnover by P. George (lost ball)
3:43.0,O. Mayo enters the game for G. Antetokounmpo,,23-14,,
3:30.0,J. Parker makes 2-pt shot from 3 ft (assist by J. Henson),2,25-14,,
3:10.0,,,25-14,,Turnover by C. Miles (bad pass; steal by J. Henson)
3:04.0,K. Middleton makes 2-pt shot from 1 ft,2,27-14,,
3:04.0,,,27-14,,Indiana full timeout
3:04.0,,,27-14,,S. Hill enters the game for C. Miles
2:47.0,,,27-14,,Shooting foul by M. Carter-Williams (drawn by M. Ellis)
2:47.0,Milwaukee full timeout,,27-14,,
2:47.0,J. Bayless enters the game for M. Carter-Williams,,27-14,,
2:47.0,,,27-14,,M. Ellis misses free throw 1 of 2
2:47.0,,,27-14,,Offensive rebound by Team
2:47.0,,,27-15,1,M. Ellis makes free throw 2 of 2
2:37.0,J. Parker misses 2-pt shot from 8 ft,,27-15,,
2:35.0,,,27-15,,Defensive rebound by M. Turner
2:20.0,,,27-18,3,P. George makes 3-pt shot from 24 ft
2:13.0,Offensive foul by J. Henson,,27-18,,
2:13.0,Turnover by J. Henson (offensive foul),,27-18,,
2:13.0,G. Antetokounmpo enters the game for J. Parker,,27-18,,
2:13.0,G. Monroe enters the game for J. Henson,,27-18,,
1:59.0,,,27-18,,Turnover by M. Ellis (bad pass; steal by G. Monroe)
1:57.0,Turnover by G. Antetokounmpo (traveling),,27-18,,
1:40.0,,,27-18,,M. Turner misses 2-pt shot from 10 ft
1:40.0,Defensive rebound by G. Antetokounmpo,,27-18,,
1:32.0,O. Mayo makes 2-pt shot from 1 ft,2,29-18,,
1:26.0,Shooting block foul by J. Bayless (drawn by M. Ellis),,29-18,,
1:26.0,,,29-19,1,M. Ellis makes free throw 1 of 2
1:26.0,,,29-20,1,M. Ellis makes free throw 2 of 2
1:14.0,G. Monroe makes 2-pt shot from 3 ft,2,31-20,,
1:08.0,,,31-20,,Turnover by M. Ellis (back court)
0:50.0,G. Monroe makes 2-pt shot from 1 ft,2,33-20,,
0:45.0,Personal foul by O. Mayo (drawn by R. Stuckey),,33-20,,
0:45.0,,,33-21,1,R. Stuckey makes free throw 1 of 2
0:45.0,,,33-22,1,R. Stuckey makes free throw 2 of 2
0:33.0,Turnover by J. Bayless (bad pass; steal by P. George),,33-22,,
0:28.0,,,33-24,2,R. Stuckey makes 2-pt shot from 1 ft (assist by P. George)
0:04.0,K. Middleton misses 2-pt shot from 19 ft,,33-24,,
0:03.0,,,33-24,,Defensive rebound by M. Turner
0:00.0,,,33-24,,R. Stuckey misses 3-pt shot from 48 ft (block by K. Middleton)
0:00.0,,,33-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,33-24,,M. Turner misses 2-pt shot from 19 ft
11:47.0,Defensive rebound by O. Mayo,,33-24,,
11:29.0,G. Monroe makes 2-pt shot from 5 ft,2,35-24,,
11:13.0,,,35-24,,R. Stuckey misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by G. Monroe,,35-24,,
11:03.0,G. Antetokounmpo makes 2-pt shot at rim,2,37-24,,
10:39.0,,,37-24,,R. Stuckey misses 2-pt shot from 4 ft
10:39.0,Defensive rebound by G. Monroe,,37-24,,
10:27.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,37-24,,
10:27.0,,,37-24,,Defensive rebound by M. Turner
10:20.0,,,37-24,,G. Hill misses 2-pt shot from 1 ft
10:19.0,Defensive rebound by G. Antetokounmpo,,37-24,,
10:08.0,O. Mayo misses 3-pt shot from 23 ft,,37-24,,
10:07.0,,,37-24,,Defensive rebound by M. Turner
10:01.0,Personal foul by G. Monroe (drawn by G. Hill),,37-24,,
10:01.0,,,37-24,,L. Allen enters the game for M. Turner
9:52.0,,,37-26,2,L. Allen makes 2-pt shot from 1 ft (assist by R. Stuckey)
9:33.0,G. Monroe makes 2-pt shot from 15 ft (assist by O. Mayo),2,39-26,,
9:22.0,,,39-28,2,L. Allen makes 2-pt shot from 20 ft (assist by R. Stuckey)
9:03.0,Turnover by R. Vaughn (bad pass; steal by C. Budinger),,39-28,,
8:58.0,,,39-28,,G. Hill misses 2-pt shot from 1 ft
8:57.0,Defensive rebound by R. Vaughn,,39-28,,
8:54.0,Turnover by J. Bayless (step out of bounds),,39-28,,
8:54.0,Official timeout,,39-28,,
8:39.0,,,39-28,,Turnover by G. Hill (lost ball; steal by O. Mayo)
8:20.0,G. Monroe makes 2-pt shot from 6 ft,2,41-28,,
8:08.0,Personal foul by J. Bayless (drawn by L. Allen),,41-28,,
8:04.0,,,41-30,2,C. Budinger makes 2-pt shot at rim (assist by L. Allen)
7:47.0,O. Mayo misses 2-pt shot from 19 ft,,41-30,,
7:46.0,,,41-30,,Defensive rebound by L. Allen
7:33.0,,,41-32,2,R. Stuckey makes 2-pt shot from 4 ft (assist by C. Budinger)
7:16.0,O. Mayo misses 2-pt shot from 1 ft,,41-32,,
7:16.0,,,41-32,,Defensive rebound by C. Budinger
7:07.0,,,41-34,2,L. Allen makes 2-pt shot from 19 ft (assist by R. Stuckey)
6:59.0,Milwaukee full timeout,,41-34,,
6:59.0,M. Carter-Williams enters the game for G. Monroe,,41-34,,
6:59.0,J. Henson enters the game for J. Bayless,,41-34,,
6:43.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,43-34,,
6:30.0,Personal foul by R. Vaughn (drawn by C. Budinger),,43-34,,
6:30.0,,,43-34,,M. Turner enters the game for L. Allen
6:18.0,,,43-34,,S. Hill misses 2-pt shot from 4 ft (block by M. Carter-Williams)
6:18.0,,,43-34,,Offensive rebound by Team
6:15.0,,,43-34,,G. Hill misses 2-pt shot from 16 ft
6:15.0,,,43-34,,Offensive rebound by M. Turner
6:13.0,,,43-36,2,M. Turner makes 2-pt shot at rim
5:48.0,M. Carter-Williams misses 2-pt shot from 18 ft,,43-36,,
5:47.0,,,43-36,,Defensive rebound by M. Turner
5:37.0,,,43-36,,R. Stuckey misses 2-pt shot at rim (block by G. Antetokounmpo)
5:37.0,Defensive rebound by Team,,43-36,,
5:19.0,J. Henson misses 2-pt shot from 4 ft,,43-36,,
5:18.0,,,43-36,,Defensive rebound by G. Hill
5:09.0,Shooting block foul by M. Carter-Williams (drawn by M. Turner),,43-36,,
5:09.0,,,43-36,,M. Turner misses free throw 1 of 2
5:09.0,,,43-36,,Offensive rebound by Team
5:09.0,,,43-36,,C. Miles enters the game for G. Hill
5:09.0,,,43-36,,M. Ellis enters the game for S. Hill
5:09.0,J. Parker enters the game for G. Antetokounmpo,,43-36,,
5:09.0,K. Middleton enters the game for R. Vaughn,,43-36,,
5:09.0,,,43-37,1,M. Turner makes free throw 2 of 2
4:55.0,M. Carter-Williams misses 2-pt shot at rim,,43-37,,
4:54.0,Offensive rebound by J. Henson,,43-37,,
4:51.0,J. Henson makes 2-pt shot from 1 ft,2,45-37,,
4:32.0,Violation by M. Carter-Williams (kicked ball),,45-37,,
4:32.0,J. Bayless enters the game for O. Mayo,,45-37,,
4:28.0,,,45-37,,Turnover by M. Ellis (lost ball; steal by M. Carter-Williams)
4:23.0,J. Henson misses 2-pt shot at rim,,45-37,,
4:22.0,,,45-37,,Defensive rebound by R. Stuckey
