time,Brooklyn,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. R. Lopez (T. Young gains possession),,,,Jump ball: B. Lopez vs. R. Lopez (T. Young gains possession)
11:49.0,T. Young misses 2-pt shot from 2 ft,,0-0,,
11:48.0,,,0-0,,Defensive rebound by R. Lopez
11:31.0,,,0-2,2,A. Afflalo makes 2-pt shot from 18 ft (assist by C. Anthony)
11:12.0,Turnover by J. Jack (bad pass),,0-2,,
10:56.0,,,0-4,2,A. Afflalo makes 2-pt shot from 4 ft (assist by C. Anthony)
10:40.0,T. Young makes 2-pt shot from 14 ft,2,2-4,,
10:25.0,,,2-4,,C. Anthony misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by R. Hollis-Jefferson,,2-4,,
10:11.0,J. Johnson makes 2-pt shot from 16 ft,2,4-4,,
9:50.0,,,4-4,,J. Calderon misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by T. Young,,4-4,,
9:41.0,T. Young makes 2-pt shot from 16 ft,2,6-4,,
9:28.0,,,6-6,2,R. Lopez makes 2-pt shot from 4 ft
9:07.0,J. Johnson misses 2-pt shot from 15 ft,,6-6,,
9:05.0,,,6-6,,Defensive rebound by K. Porzingis
8:56.0,,,6-9,3,A. Afflalo makes 3-pt shot from 23 ft (assist by J. Calderon)
8:37.0,B. Lopez misses 2-pt shot from 6 ft,,6-9,,
8:35.0,,,6-9,,Defensive rebound by J. Calderon
8:21.0,,,6-12,3,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Calderon)
8:04.0,T. Young misses 2-pt shot from 3 ft (block by R. Lopez),,6-12,,
8:02.0,,,6-12,,Defensive rebound by J. Calderon
7:56.0,,,6-15,3,C. Anthony makes 3-pt shot from 23 ft (assist by J. Calderon)
7:55.0,Brooklyn full timeout,,6-15,,
7:45.0,J. Jack misses 2-pt shot from 17 ft,,6-15,,
7:43.0,,,6-15,,Defensive rebound by C. Anthony
7:22.0,,,6-18,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon)
7:07.0,J. Jack misses 2-pt shot from 17 ft,,6-18,,
7:05.0,,,6-18,,Defensive rebound by A. Afflalo
6:55.0,,,6-18,,C. Anthony misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by R. Hollis-Jefferson,,6-18,,
6:46.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,6-18,,
6:45.0,,,6-18,,Defensive rebound by K. Porzingis
6:35.0,,,6-20,2,K. Porzingis makes 2-pt shot from 4 ft (assist by J. Calderon)
6:14.0,B. Lopez misses 2-pt shot from 4 ft,,6-20,,
6:13.0,,,6-20,,Defensive rebound by K. Porzingis
6:06.0,,,6-20,,Turnover by J. Calderon (lost ball; steal by J. Jack)
6:01.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by B. Lopez),2,8-20,,
5:47.0,,,8-20,,K. Porzingis misses 2-pt shot from 2 ft
5:45.0,,,8-20,,Offensive rebound by K. Porzingis
5:44.0,,,8-20,,Shooting foul by B. Lopez (drawn by K. Porzingis)
5:44.0,,,8-21,1,K. Porzingis makes free throw 1 of 2
5:44.0,B. Bogdanovic enters the game for R. Hollis-Jefferson,,8-21,,
5:44.0,,,8-22,1,K. Porzingis makes free throw 2 of 2
5:34.0,B. Lopez makes 2-pt shot from 5 ft (assist by J. Jack),2,10-22,,
5:23.0,,,10-25,3,K. Porzingis makes 3-pt shot from 24 ft (assist by R. Lopez)
5:04.0,B. Lopez misses 2-pt shot from 3 ft,,10-25,,
5:02.0,,,10-25,,Defensive rebound by K. Porzingis
4:46.0,,,10-25,,Shooting foul by B. Bogdanovic (drawn by A. Afflalo)
