time,Portland,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. M. Plumlee (I. Smith gains possession),,,,Jump ball: N. Noel vs. M. Plumlee (I. Smith gains possession)
11:50.0,,,0-2,2,J. Okafor makes 2-pt shot from 6 ft (assist by J. Sampson)
11:34.0,C. McCollum misses 2-pt shot from 17 ft,,0-2,,
11:32.0,,,0-2,,Defensive rebound by N. Noel
11:15.0,,,0-4,2,J. Okafor makes 2-pt shot from 17 ft
10:56.0,Turnover by D. Lillard (lost ball),,0-4,,
10:38.0,,,0-4,,J. Sampson misses 2-pt shot from 8 ft
10:37.0,Defensive rebound by D. Lillard,,0-4,,
10:30.0,D. Lillard misses 2-pt shot from 18 ft,,0-4,,
10:29.0,,,0-4,,Defensive rebound by N. Noel
10:16.0,,,0-7,3,I. Canaan makes 3-pt shot from 26 ft (assist by I. Smith)
9:54.0,N. Vonleh makes 2-pt shot from 18 ft (assist by M. Plumlee),2,2-7,,
9:24.0,,,2-9,2,J. Okafor makes 2-pt shot from 9 ft (assist by I. Smith)
9:01.0,A. Aminu misses 2-pt shot from 15 ft,,2-9,,
8:57.0,,,2-9,,Defensive rebound by Team
8:42.0,,,2-11,2,J. Okafor makes 2-pt shot from 14 ft (assist by J. Sampson)
8:30.0,Shooting foul by I. Smith (drawn by D. Lillard),,2-11,,
8:30.0,D. Lillard makes free throw 1 of 2,1,3-11,,
8:30.0,D. Lillard makes free throw 2 of 2,1,4-11,,
8:14.0,,,4-13,2,J. Okafor makes 2-pt shot from 5 ft
8:00.0,D. Lillard misses 3-pt shot from 27 ft,,4-13,,
7:59.0,,,4-13,,Defensive rebound by J. Sampson
7:46.0,Shooting block foul by N. Vonleh (drawn by I. Smith),,4-13,,
7:46.0,,,4-14,1,I. Smith makes free throw 1 of 2
7:46.0,,,4-15,1,I. Smith makes free throw 2 of 2
7:30.0,C. McCollum misses 2-pt shot from 13 ft,,4-15,,
7:29.0,,,4-15,,Defensive rebound by J. Sampson
7:16.0,,,4-15,,Shooting foul by A. Aminu (drawn by J. Sampson)
7:16.0,Portland full timeout,,4-15,,
7:16.0,,,4-15,,J. Sampson misses free throw 1 of 2
7:16.0,,,4-15,,Offensive rebound by Team
7:16.0,,,4-16,1,J. Sampson makes free throw 2 of 2
7:01.0,N. Vonleh makes 2-pt shot from 17 ft (assist by C. McCollum),2,6-16,,
6:49.0,Personal foul by N. Vonleh (drawn by N. Noel),,6-16,,
6:35.0,,,6-16,,I. Smith misses 2-pt shot from 15 ft
6:33.0,Defensive rebound by N. Vonleh,,6-16,,
6:31.0,,,6-16,,Personal foul by J. Sampson (drawn by M. Plumlee)
6:21.0,C. McCollum misses 2-pt shot from 13 ft,,6-16,,
6:20.0,,,6-16,,Defensive rebound by N. Noel
6:08.0,,,6-16,,I. Canaan misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by A. Aminu,,6-16,,
6:01.0,C. McCollum makes 2-pt shot from 9 ft,2,8-16,,
5:43.0,,,8-16,,N. Noel misses 2-pt shot from 3 ft
5:41.0,Defensive rebound by M. Plumlee,,8-16,,
5:32.0,N. Vonleh misses 3-pt shot from 25 ft,,8-16,,
