time,Golden State,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McAdoo vs. K. Towns (R. Rubio gains possession),,,,Jump ball: J. McAdoo vs. K. Towns (R. Rubio gains possession)
11:43.0,Personal foul by H. Barnes,,0-0,,
11:33.0,,,0-2,2,R. Rubio makes 2-pt shot from 21 ft
11:13.0,K. Thompson misses 2-pt shot from 3 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by K. Towns
11:06.0,,,0-2,,Turnover by R. Rubio (lost ball; steal by D. Green)
11:00.0,J. McAdoo makes 2-pt shot from 1 ft (assist by D. Green),2,2-2,,
10:38.0,,,2-2,,K. Towns misses 2-pt shot from 15 ft
10:37.0,Defensive rebound by H. Barnes,,2-2,,
10:21.0,H. Barnes makes 2-pt shot at rim (assist by D. Green),2,4-2,,
10:02.0,,,4-2,,Turnover by R. Rubio (lost ball; steal by S. Curry)
9:56.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,7-2,,
9:34.0,,,7-2,,A. Wiggins misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by S. Curry,,7-2,,
9:21.0,Turnover by K. Thompson (lost ball; steal by R. Rubio),,7-2,,
9:17.0,,,7-4,2,Z. LaVine makes 2-pt shot at rim (assist by K. Towns)
9:07.0,K. Thompson misses 2-pt shot from 5 ft,,7-4,,
9:06.0,,,7-4,,Defensive rebound by Z. LaVine
9:04.0,,,7-4,,Offensive foul by G. Dieng
9:04.0,,,7-4,,Turnover by G. Dieng (offensive foul)
8:45.0,J. McAdoo makes 2-pt shot from 1 ft (assist by D. Green),2,9-4,,
8:17.0,,,9-4,,Turnover by Team (shot clock)
8:08.0,K. Thompson misses 2-pt shot from 1 ft (block by G. Dieng),,9-4,,
8:07.0,,,9-4,,Defensive rebound by Team
7:53.0,,,9-4,,Turnover by R. Rubio (lost ball; steal by D. Green)
7:47.0,Shooting foul by K. Towns (drawn by J. McAdoo),,9-4,,
7:47.0,J. McAdoo misses free throw 1 of 2,,9-4,,
7:47.0,Offensive rebound by Team,,9-4,,
7:47.0,J. McAdoo makes free throw 2 of 2,1,10-4,,
7:31.0,,,10-6,2,K. Towns makes 2-pt shot from 2 ft (assist by Z. LaVine)
7:08.0,K. Thompson misses 2-pt shot from 1 ft,,10-6,,
7:07.0,,,10-6,,Defensive rebound by G. Dieng
6:58.0,,,10-9,3,R. Rubio makes 3-pt shot from 25 ft
6:41.0,S. Curry makes 2-pt shot from 22 ft (assist by D. Green),2,12-9,,
6:31.0,,,12-12,3,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio)
6:21.0,,,12-12,,Personal foul by R. Rubio
6:18.0,S. Curry misses 3-pt shot from 24 ft,,12-12,,
6:17.0,,,12-12,,Defensive rebound by K. Towns
6:08.0,,,12-12,,Turnover by R. Rubio (lost ball; steal by J. McAdoo)
6:00.0,S. Curry misses 3-pt shot from 25 ft,,12-12,,
5:59.0,,,12-12,,Defensive rebound by Z. LaVine
5:55.0,,,12-12,,Minnesota full timeout
5:50.0,,,12-12,,A. Wiggins misses 2-pt shot from 6 ft
5:48.0,Defensive rebound by D. Green,,12-12,,
5:42.0,S. Curry misses 2-pt shot from 2 ft,,12-12,,
5:41.0,,,12-12,,Defensive rebound by A. Wiggins
5:29.0,,,12-14,2,A. Wiggins makes 2-pt shot from 22 ft
5:06.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,14-14,,
4:51.0,,,14-16,2,A. Wiggins makes 2-pt shot from 11 ft
4:35.0,S. Curry makes 3-pt shot from 24 ft,3,17-16,,
4:15.0,,,17-19,3,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns)
3:55.0,H. Barnes makes 2-pt shot from 1 ft (assist by S. Curry),2,19-19,,
3:45.0,,,19-19,,G. Dieng misses 2-pt shot from 21 ft
3:44.0,Defensive rebound by K. Thompson,,19-19,,
3:34.0,J. McAdoo misses 2-pt shot from 5 ft,,19-19,,
3:34.0,,,19-19,,Defensive rebound by K. Towns
3:29.0,,,19-19,,Shooting foul by K. Thompson (drawn by R. Rubio)
3:29.0,,,19-20,1,R. Rubio makes free throw 1 of 2
3:29.0,Golden State full timeout,,19-20,,
3:29.0,M. Speights enters the game for J. McAdoo,,19-20,,
3:29.0,S. Livingston enters the game for H. Barnes,,19-20,,
3:29.0,L. Barbosa enters the game for K. Thompson,,19-20,,
3:29.0,,,19-21,1,R. Rubio makes free throw 2 of 2
3:17.0,M. Speights makes 2-pt shot from 20 ft (assist by D. Green),2,21-21,,
2:56.0,,,21-23,2,A. Wiggins makes 2-pt shot from 14 ft
2:41.0,S. Curry misses 2-pt shot from 4 ft,,21-23,,
2:41.0,,,21-23,,Defensive rebound by K. Towns
2:39.0,Technical foul by Team,,21-23,,
2:39.0,,,21-24,1,R. Rubio makes technical free throw
2:25.0,,,21-27,3,R. Rubio makes 3-pt shot from 26 ft (assist by A. Wiggins)
2:17.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,23-27,,
2:03.0,,,23-29,2,K. Towns makes 2-pt shot from 5 ft (assist by R. Rubio)
1:45.0,Shooting foul by G. Dieng (drawn by S. Curry),,23-29,,
1:45.0,S. Curry makes free throw 1 of 2,1,24-29,,
1:45.0,,,24-29,,S. Muhammad enters the game for G. Dieng
1:45.0,S. Curry misses free throw 2 of 2,,24-29,,
1:39.0,,,24-29,,Defensive rebound by K. Towns
1:20.0,,,24-29,,S. Muhammad misses 3-pt shot from 25 ft (block by S. Livingston)
1:20.0,,,24-29,,Offensive rebound by Team
1:20.0,,,24-29,,Turnover by Team (shot clock)
1:20.0,,,24-29,,T. Jones enters the game for R. Rubio
1:06.0,,,24-29,,Personal foul by T. Jones
1:06.0,D. Green misses free throw 1 of 2,,24-29,,
1:06.0,Offensive rebound by Team,,24-29,,
1:06.0,D. Green makes free throw 2 of 2,1,25-29,,
0:56.0,,,25-29,,Z. LaVine misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by D. Green,,25-29,,
0:47.0,S. Livingston makes 2-pt shot from 10 ft,2,27-29,,
0:29.0,,,27-29,,A. Wiggins misses 2-pt shot from 18 ft
0:29.0,Defensive rebound by D. Green,,27-29,,
0:08.0,S. Curry misses 2-pt shot from 19 ft,,27-29,,
0:07.0,Offensive rebound by D. Green,,27-29,,
0:06.0,D. Green misses 2-pt shot from 2 ft,,27-29,,
0:04.0,Offensive rebound by S. Curry,,27-29,,
0:01.0,S. Curry misses 3-pt shot from 25 ft,,27-29,,
0:00.0,,,27-29,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Speights makes 2-pt shot at rim (assist by S. Livingston),2,29-29,,
11:27.0,,,29-29,,Shooting foul by S. Livingston (drawn by A. Wiggins)
11:27.0,,,29-30,1,A. Wiggins makes free throw 1 of 2
11:27.0,,,29-30,,T. Prince enters the game for Z. LaVine
11:27.0,,,29-31,1,A. Wiggins makes free throw 2 of 2
11:08.0,M. Speights makes 2-pt shot from 11 ft (assist by S. Livingston),2,31-31,,
10:53.0,,,31-31,,Shooting foul by B. Rush (drawn by A. Wiggins)
10:53.0,,,31-32,1,A. Wiggins makes free throw 1 of 2
10:53.0,,,31-33,1,A. Wiggins makes free throw 2 of 2
10:39.0,S. Livingston misses 2-pt shot from 13 ft,,31-33,,
10:37.0,,,31-33,,Defensive rebound by T. Prince
10:28.0,,,31-33,,K. Towns misses 2-pt shot from 19 ft
10:28.0,,,31-33,,Offensive rebound by K. Towns
10:26.0,,,31-33,,K. Towns misses 2-pt shot from 6 ft (block by M. Speights)
10:25.0,,,31-33,,Offensive rebound by Team
10:20.0,,,31-33,,K. Towns misses 2-pt shot from 22 ft
10:19.0,,,31-33,,Offensive rebound by K. Towns
10:16.0,,,31-35,2,K. Towns makes 2-pt shot from 1 ft
10:02.0,B. Rush makes 3-pt shot from 26 ft (assist by M. Speights),3,34-35,,
9:42.0,,,34-37,2,K. Towns makes 2-pt shot from 19 ft
9:36.0,Golden State full timeout,,34-37,,
9:28.0,M. Speights misses 2-pt shot from 17 ft,,34-37,,
9:27.0,Offensive rebound by H. Barnes,,34-37,,
9:20.0,B. Rush misses 3-pt shot from 24 ft,,34-37,,
9:19.0,Offensive rebound by M. Speights,,34-37,,
