time,Denver,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Jokic (M. Chalmers gains possession),,,,Jump ball: M. Gasol vs. N. Jokic (M. Chalmers gains possession)
11:40.0,,,0-0,,J. Green misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by N. Jokic,,0-0,,
11:26.0,N. Jokic makes 3-pt shot from 24 ft,3,3-0,,
11:02.0,,,3-0,,M. Gasol misses 2-pt shot from 14 ft
11:01.0,Defensive rebound by J. Nelson,,3-0,,
10:47.0,D. Gallinari misses 3-pt shot from 23 ft,,3-0,,
10:46.0,Offensive rebound by D. Arthur,,3-0,,
10:42.0,J. Nelson misses 3-pt shot from 24 ft,,3-0,,
10:42.0,,,3-0,,Defensive rebound by J. Green
10:31.0,,,3-0,,J. Green misses 2-pt shot from 10 ft
10:30.0,,,3-0,,Offensive rebound by J. Green
10:29.0,,,3-2,2,J. Green makes 2-pt shot at rim
10:05.0,N. Jokic makes 2-pt shot from 8 ft,2,5-2,,
9:54.0,,,5-2,,M. Gasol misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by D. Arthur,,5-2,,
9:44.0,D. Arthur misses 2-pt shot from 20 ft,,5-2,,
9:43.0,Offensive rebound by N. Jokic,,5-2,,
9:38.0,N. Jokic makes 2-pt shot at rim,2,7-2,,
9:33.0,,,7-2,,Memphis full timeout
9:15.0,,,7-4,2,M. Barnes makes 2-pt shot from 16 ft
9:03.0,Turnover by N. Jokic (bad pass; steal by M. Gasol),,7-4,,
8:57.0,,,7-7,3,M. Barnes makes 3-pt shot from 23 ft (assist by M. Chalmers)
8:45.0,Shooting foul by T. Allen (drawn by G. Harris),,7-7,,
8:45.0,G. Harris makes free throw 1 of 2,1,8-7,,
8:45.0,G. Harris makes free throw 2 of 2,1,9-7,,
8:37.0,Personal foul by N. Jokic (drawn by M. Gasol),,9-7,,
8:26.0,,,9-9,2,M. Gasol makes 2-pt shot from 11 ft
8:14.0,Turnover by D. Arthur (bad pass),,9-9,,
8:03.0,,,9-9,,J. Green misses 2-pt shot at rim (block by D. Arthur)
8:00.0,Defensive rebound by N. Jokic,,9-9,,
7:48.0,Turnover by G. Harris (bad pass; steal by M. Gasol),,9-9,,
7:39.0,,,9-9,,Turnover by M. Chalmers (bad pass)
7:24.0,G. Harris misses 2-pt shot from 5 ft,,9-9,,
7:22.0,Offensive rebound by G. Harris,,9-9,,
7:20.0,Turnover by D. Gallinari (traveling),,9-9,,
7:05.0,,,9-12,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Green)
7:04.0,Denver full timeout,,9-12,,
6:43.0,D. Gallinari makes 2-pt shot at rim,2,11-12,,
6:27.0,Personal foul by N. Jokic (drawn by M. Gasol),,11-12,,
6:27.0,J. Nurkic enters the game for N. Jokic,,11-12,,
6:15.0,,,11-15,3,J. Green makes 3-pt shot from 24 ft
6:04.0,D. Arthur misses 2-pt shot from 1 ft,,11-15,,
6:01.0,,,11-15,,Defensive rebound by T. Allen
5:49.0,,,11-15,,M. Gasol misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by D. Arthur,,11-15,,
5:38.0,D. Gallinari makes 3-pt shot from 24 ft (assist by D. Arthur),3,14-15,,
5:21.0,,,14-18,3,J. Green makes 3-pt shot from 25 ft (assist by M. Barnes)
5:07.0,D. Gallinari misses 2-pt shot from 20 ft,,14-18,,
5:07.0,Offensive rebound by J. Nurkic,,14-18,,
5:02.0,,,14-18,,Personal foul by M. Gasol (drawn by J. Nurkic)
5:02.0,,,14-18,,Z. Randolph enters the game for T. Allen
4:59.0,Shooting foul by Z. Randolph (drawn by D. Gallinari),,14-18,,
4:59.0,D. Gallinari makes free throw 1 of 2,1,15-18,,
4:59.0,D. Gallinari makes free throw 2 of 2,1,16-18,,
4:43.0,,,16-18,,M. Barnes misses 2-pt shot from 20 ft
4:41.0,Defensive rebound by J. Nelson,,16-18,,
4:34.0,G. Harris makes 3-pt shot from 23 ft (assist by J. Nelson),3,19-18,,
4:16.0,,,19-18,,M. Chalmers misses 2-pt shot from 2 ft
4:15.0,Defensive rebound by D. Arthur,,19-18,,
4:09.0,D. Gallinari misses 2-pt shot at rim,,19-18,,
4:09.0,,,19-18,,Defensive rebound by Team
4:09.0,J. Lauvergne enters the game for D. Arthur,,19-18,,
3:52.0,,,19-18,,Z. Randolph misses 2-pt shot from 16 ft
3:52.0,Defensive rebound by D. Gallinari,,19-18,,
3:38.0,J. Lauvergne misses 2-pt shot from 21 ft,,19-18,,
3:37.0,Offensive rebound by J. Nurkic,,19-18,,
3:37.0,J. Nurkic misses 2-pt shot at rim,,19-18,,
3:37.0,Offensive rebound by D. Gallinari,,19-18,,
3:37.0,D. Gallinari makes 2-pt shot from 2 ft,2,21-18,,
3:37.0,Shooting foul by M. Barnes (drawn by D. Gallinari),,21-18,,
3:37.0,,,21-18,,V. Carter enters the game for M. Barnes
3:37.0,D. Gallinari makes free throw 1 of 1,1,22-18,,
3:16.0,,,22-18,,J. Green misses 2-pt shot from 3 ft
3:14.0,Defensive rebound by J. Nurkic,,22-18,,
3:09.0,D. Gallinari makes 2-pt shot at rim (assist by J. Nelson),2,24-18,,
2:59.0,Personal foul by G. Harris (drawn by M. Chalmers),,24-18,,
2:59.0,W. Barton enters the game for G. Harris,,24-18,,
2:59.0,,,24-18,,J. Green enters the game for M. Gasol
2:49.0,,,24-20,2,Z. Randolph makes 2-pt shot from 1 ft
2:35.0,Shooting foul by J. Green (drawn by D. Gallinari),,24-20,,
2:35.0,D. Gallinari makes free throw 1 of 2,1,25-20,,
2:35.0,R. Foye enters the game for J. Nelson,,25-20,,
2:35.0,D. Gallinari makes free throw 2 of 2,1,26-20,,
2:13.0,,,26-20,,J. Green misses 2-pt shot from 20 ft
2:12.0,Defensive rebound by J. Lauvergne,,26-20,,
1:53.0,J. Lauvergne makes 2-pt shot at rim,2,28-20,,
1:40.0,,,28-20,,Shooting foul by D. Gallinari (drawn by J. Green)
1:40.0,,,28-21,1,J. Green makes free throw 1 of 2
1:40.0,,,28-22,1,J. Green makes free throw 2 of 2
1:20.0,J. Lauvergne misses 2-pt shot from 3 ft,,28-22,,
1:19.0,,,28-22,,Defensive rebound by J. Green
1:14.0,,,28-22,,Z. Randolph misses 2-pt shot at rim (block by J. Nurkic)
1:14.0,,,28-22,,Offensive rebound by Team
1:14.0,,,28-22,,T. Allen enters the game for J. Green
1:14.0,M. Miller enters the game for D. Gallinari,,28-22,,
1:07.0,,,28-24,2,Z. Randolph makes 2-pt shot from 12 ft
0:53.0,J. Nurkic misses 2-pt shot from 1 ft,,28-24,,
0:51.0,Offensive rebound by J. Lauvergne,,28-24,,
0:51.0,J. Lauvergne makes 2-pt shot from 3 ft,2,30-24,,
0:45.0,,,30-24,,Shooting foul by J. Nurkic (drawn by M. Chalmers)
0:45.0,,,30-25,1,M. Chalmers makes free throw 1 of 2
0:45.0,,,30-26,1,M. Chalmers makes free throw 2 of 2
0:29.0,W. Barton misses 2-pt shot at rim (block by T. Allen),,30-26,,
0:29.0,Offensive rebound by Team,,30-26,,
0:20.0,R. Foye misses 2-pt shot from 18 ft,,30-26,,
0:18.0,,,30-26,,Defensive rebound by T. Allen
0:13.0,,,30-28,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Chalmers)
0:13.0,,,30-28,,Shooting foul by J. Nurkic (drawn by T. Allen)
0:13.0,,,30-28,,J. Ennis enters the game for V. Carter
0:13.0,,,30-29,1,T. Allen makes free throw 1 of 1
0:00.0,W. Barton misses 2-pt shot from 17 ft,,30-29,,
0:00.0,Offensive rebound by Team,,30-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Turnover by J. Lauvergne (step out of bounds),,30-29,,
11:18.0,,,30-29,,Z. Randolph misses 2-pt shot from 20 ft
11:17.0,Defensive rebound by W. Barton,,30-29,,
11:09.0,W. Barton misses 2-pt shot from 18 ft,,30-29,,
11:07.0,,,30-29,,Defensive rebound by Z. Randolph
10:59.0,,,30-29,,V. Carter misses 3-pt shot from 25 ft
10:59.0,,,30-29,,Offensive rebound by J. Green
10:48.0,,,30-29,,Shooting foul by M. Miller (drawn by Z. Randolph)
10:48.0,,,30-30,1,Z. Randolph makes free throw 1 of 2
10:48.0,,,30-31,1,Z. Randolph makes free throw 2 of 2
10:38.0,,,30-31,,Violation by J. Green (kicked ball)
10:36.0,Offensive foul by J. Hickson,,30-31,,
10:36.0,Turnover by J. Hickson (offensive foul),,30-31,,
10:23.0,,,30-31,,M. Chalmers misses 2-pt shot from 20 ft
10:23.0,Defensive rebound by J. Hickson,,30-31,,
10:14.0,W. Barton makes 2-pt shot from 3 ft,2,32-31,,
10:05.0,Personal foul by W. Barton (drawn by V. Carter),,32-31,,
9:54.0,,,32-31,,J. Green misses 2-pt shot from 20 ft
9:54.0,Defensive rebound by W. Barton,,32-31,,
9:38.0,J. Hickson misses 2-pt shot at rim,,32-31,,
9:37.0,Offensive rebound by W. Barton,,32-31,,
9:37.0,W. Barton makes 2-pt shot at rim,2,34-31,,
9:26.0,,,34-31,,Turnover by M. Chalmers (back court)
9:10.0,W. Barton misses 2-pt shot from 17 ft,,34-31,,
9:08.0,,,34-31,,Defensive rebound by M. Chalmers
8:54.0,,,34-31,,Z. Randolph misses 2-pt shot from 1 ft
8:53.0,Defensive rebound by J. Lauvergne,,34-31,,
8:42.0,J. Lauvergne misses 2-pt shot from 2 ft,,34-31,,
8:42.0,Offensive rebound by J. Lauvergne,,34-31,,
8:40.0,J. Lauvergne misses 2-pt shot from 3 ft,,34-31,,
8:38.0,,,34-31,,Defensive rebound by Z. Randolph
8:30.0,,,34-31,,J. Green misses 2-pt shot from 18 ft
8:29.0,Defensive rebound by R. Foye,,34-31,,
8:23.0,W. Barton misses 2-pt shot from 16 ft,,34-31,,
8:21.0,,,34-31,,Defensive rebound by M. Chalmers
