time,Sacramento,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. I. Mahinmi (M. Ellis gains possession),,,,Jump ball: D. Cousins vs. I. Mahinmi (M. Ellis gains possession)
11:43.0,,,0-0,,Turnover by P. George (bad pass)
11:26.0,B. McLemore misses 2-pt shot from 15 ft,,0-0,,
11:26.0,Offensive rebound by Team,,0-0,,
11:19.0,O. Casspi misses 2-pt shot from 2 ft (block by C. Miles),,0-0,,
11:19.0,Offensive rebound by Team,,0-0,,
11:13.0,,,0-0,,Personal foul by P. George (drawn by R. Gay)
11:07.0,Turnover by D. Cousins (lost ball; steal by G. Hill),,0-0,,
11:03.0,,,0-2,2,G. Hill makes 2-pt shot at rim (assist by C. Miles)
10:47.0,R. Rondo misses 2-pt shot from 19 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by G. Hill
10:31.0,,,0-2,,P. George misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by O. Casspi,,0-2,,
10:25.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,2-2,,
10:12.0,,,2-2,,Turnover by I. Mahinmi (lost ball)
10:00.0,D. Cousins makes 2-pt shot from 4 ft (assist by R. Rondo),2,4-2,,
9:39.0,,,4-2,,I. Mahinmi misses 2-pt shot from 16 ft
9:38.0,Defensive rebound by R. Rondo,,4-2,,
9:31.0,D. Cousins misses 3-pt shot from 26 ft,,4-2,,
9:30.0,,,4-2,,Defensive rebound by M. Ellis
9:23.0,,,4-5,3,C. Miles makes 3-pt shot from 25 ft
9:11.0,Turnover by D. Cousins (lost ball; steal by M. Ellis),,4-5,,
9:05.0,,,4-7,2,M. Ellis makes 2-pt shot from 15 ft (assist by G. Hill)
8:53.0,D. Cousins misses 2-pt shot from 1 ft,,4-7,,
8:52.0,,,4-7,,Defensive rebound by I. Mahinmi
8:46.0,,,4-10,3,G. Hill makes 3-pt shot from 27 ft (assist by M. Ellis)
8:43.0,Sacramento full timeout,,4-10,,
8:29.0,,,4-10,,Personal foul by G. Hill (drawn by R. Rondo)
8:24.0,R. Rondo makes 2-pt shot from 1 ft,2,6-10,,
8:10.0,,,6-13,3,G. Hill makes 3-pt shot from 27 ft
7:57.0,R. Rondo makes 2-pt shot at rim,2,8-13,,
7:48.0,,,8-13,,P. George misses 2-pt shot from 19 ft
7:48.0,Defensive rebound by O. Casspi,,8-13,,
7:39.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,10-13,,
7:28.0,,,10-13,,C. Miles misses 2-pt shot at rim (block by D. Cousins)
7:26.0,Defensive rebound by O. Casspi,,10-13,,
7:22.0,B. McLemore makes 2-pt shot at rim (assist by R. Rondo),2,12-13,,
7:06.0,,,12-13,,Shooting foul by B. McLemore (drawn by C. Miles)
7:06.0,Sacramento full timeout,,12-13,,
7:06.0,Violation by Team (delay of game),,12-13,,
7:06.0,,,12-13,,Violation by Team (delay of game)
7:06.0,,,12-14,1,C. Miles makes free throw 1 of 2
7:06.0,,,12-15,1,C. Miles makes free throw 2 of 2
6:54.0,D. Cousins misses 2-pt shot from 1 ft,,12-15,,
6:53.0,,,12-15,,Defensive rebound by I. Mahinmi
6:48.0,,,12-15,,G. Hill misses 2-pt shot from 17 ft
6:47.0,Defensive rebound by B. McLemore,,12-15,,
6:40.0,B. McLemore misses 3-pt shot from 24 ft,,12-15,,
6:40.0,,,12-15,,Defensive rebound by G. Hill
6:33.0,Personal foul by R. Gay (drawn by I. Mahinmi),,12-15,,
6:22.0,,,12-15,,G. Hill misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by D. Cousins,,12-15,,
6:10.0,D. Cousins misses 2-pt shot from 19 ft,,12-15,,
6:09.0,,,12-15,,Defensive rebound by C. Miles
6:05.0,Personal foul by R. Rondo (drawn by I. Mahinmi),,12-15,,
6:05.0,D. Collison enters the game for B. McLemore,,12-15,,
5:50.0,,,12-18,3,G. Hill makes 3-pt shot from 24 ft
5:31.0,R. Rondo misses 3-pt shot from 23 ft,,12-18,,
5:29.0,Offensive rebound by R. Rondo,,12-18,,
5:26.0,R. Rondo makes 2-pt shot from 5 ft,2,14-18,,
5:13.0,,,14-18,,C. Miles misses 3-pt shot from 26 ft
5:13.0,Defensive rebound by D. Cousins,,14-18,,
5:03.0,D. Cousins makes 2-pt shot from 4 ft (assist by R. Rondo),2,16-18,,
5:03.0,Shooting foul by G. Hill (drawn by D. Cousins),,16-18,,
5:03.0,,,16-18,,R. Stuckey enters the game for G. Hill
5:03.0,D. Cousins makes free throw 1 of 1,1,17-18,,
4:42.0,,,17-18,,R. Stuckey misses 2-pt shot from 8 ft
4:41.0,Defensive rebound by D. Cousins,,17-18,,
4:31.0,D. Cousins misses 2-pt shot from 20 ft,,17-18,,
4:30.0,,,17-18,,Defensive rebound by P. George
4:23.0,,,17-20,2,C. Miles makes 2-pt shot at rim
4:06.0,R. Rondo makes 2-pt shot from 1 ft,2,19-20,,
3:53.0,,,19-20,,C. Miles misses 3-pt shot from 23 ft
3:52.0,Defensive rebound by D. Cousins,,19-20,,
3:44.0,O. Casspi makes 2-pt shot from 2 ft (assist by R. Rondo),2,21-20,,
3:36.0,,,21-20,,Indiana full timeout
3:36.0,,,21-20,,L. Allen enters the game for C. Miles
3:36.0,,,21-20,,J. Hill enters the game for I. Mahinmi
3:36.0,M. Belinelli enters the game for O. Casspi,,21-20,,
3:36.0,K. Koufos enters the game for D. Cousins,,21-20,,
3:33.0,,,21-23,3,P. George makes 3-pt shot from 26 ft (assist by M. Ellis)
3:16.0,R. Gay makes 2-pt shot from 13 ft (assist by M. Belinelli),2,23-23,,
2:57.0,,,23-25,2,J. Hill makes 2-pt shot from 8 ft
2:41.0,Turnover by R. Rondo (bad pass; steal by L. Allen),,23-25,,
2:26.0,,,23-25,,L. Allen misses 2-pt shot from 3 ft (block by R. Gay)
2:24.0,,,23-25,,Offensive rebound by L. Allen
2:15.0,,,23-25,,Turnover by J. Hill (lost ball; steal by D. Collison)
2:12.0,Turnover by R. Rondo (bad pass),,23-25,,
1:53.0,,,23-25,,J. Hill misses 2-pt shot from 3 ft
1:53.0,Defensive rebound by R. Rondo,,23-25,,
1:49.0,Shooting foul by P. George (drawn by R. Rondo),,23-25,,
1:49.0,R. Rondo misses free throw 1 of 2,,23-25,,
1:49.0,Offensive rebound by Team,,23-25,,
1:49.0,,,23-25,,C. Budinger enters the game for P. George
1:49.0,R. Rondo makes free throw 2 of 2,1,24-25,,
1:37.0,,,24-25,,Turnover by R. Stuckey (bad pass; steal by R. Rondo)
1:33.0,D. Collison makes 2-pt shot from 1 ft (assist by R. Rondo),2,26-25,,
1:14.0,,,26-27,2,J. Hill makes 2-pt shot from 16 ft (assist by C. Budinger)
1:00.0,Turnover by R. Rondo (lost ball; steal by M. Ellis),,26-27,,
0:59.0,,,26-27,,Turnover by J. Hill (bad pass)
0:43.0,K. Koufos makes 2-pt shot from 1 ft (assist by R. Gay),2,28-27,,
0:33.0,,,28-27,,R. Stuckey misses 2-pt shot from 11 ft
0:32.0,Defensive rebound by M. Belinelli,,28-27,,
0:28.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,30-27,,
0:07.0,,,30-27,,L. Allen misses 2-pt shot from 6 ft
0:06.0,Defensive rebound by R. Gay,,30-27,,
0:00.0,D. Collison misses 3-pt shot from 26 ft,,30-27,,
0:00.0,,,30-27,,Defensive rebound by R. Stuckey
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Belinelli makes 2-pt shot from 16 ft (assist by R. Rondo),2,32-27,,
11:22.0,,,32-27,,R. Stuckey misses 2-pt shot from 12 ft
11:22.0,,,32-27,,Offensive rebound by L. Allen
11:20.0,,,32-27,,Shooting foul by K. Koufos (drawn by R. Stuckey)
11:20.0,,,32-28,1,R. Stuckey makes free throw 1 of 2
11:20.0,,,32-29,1,R. Stuckey makes free throw 2 of 2
10:57.0,D. Collison makes 2-pt shot from 14 ft,2,34-29,,
10:32.0,,,34-29,,Turnover by L. Allen (bad pass; steal by K. Koufos)
10:26.0,D. Collison misses 2-pt shot from 2 ft (block by L. Allen),,34-29,,
10:26.0,Offensive rebound by Team,,34-29,,
10:26.0,D. Cousins enters the game for R. Rondo,,34-29,,
10:23.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Collison),3,37-29,,
10:22.0,,,37-29,,Indiana full timeout
10:01.0,,,37-29,,J. Hill misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by O. Casspi,,37-29,,
9:36.0,M. Belinelli misses 3-pt shot from 28 ft,,37-29,,
9:35.0,Offensive rebound by K. Koufos,,37-29,,
