time,Cleveland,pts.away,score,pts.home,Toronto
8:32.0,,,9-11,,D. DeRozan misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by T. Thompson,,9-11,,
8:21.0,K. Irving misses 2-pt shot from 18 ft,,9-11,,
8:20.0,,,9-11,,Defensive rebound by B. Biyombo
7:56.0,,,9-11,,K. Lowry misses 3-pt shot from 23 ft
7:55.0,Defensive rebound by K. Love,,9-11,,
7:48.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,12-11,,
7:40.0,,,12-11,,Toronto full timeout
7:25.0,,,12-13,2,D. DeRozan makes 2-pt shot from 18 ft
7:25.0,,,12-13,,Shooting foul by K. Irving (drawn by D. DeRozan)
7:25.0,,,12-14,1,D. DeRozan makes free throw 1 of 1
7:13.0,J. Smith misses 3-pt shot from 25 ft,,12-14,,
7:12.0,,,12-14,,Defensive rebound by K. Lowry
7:04.0,,,12-17,3,K. Lowry makes 3-pt shot from 24 ft
6:53.0,,,12-17,,Personal foul by L. Scola
6:37.0,L. James makes 2-pt shot from 20 ft,2,14-17,,
6:11.0,,,14-17,,Turnover by B. Biyombo (lost ball; steal by J. Smith)
6:00.0,K. Irving misses 2-pt shot from 20 ft,,14-17,,
6:00.0,,,14-17,,Defensive rebound by B. Biyombo
5:54.0,,,14-19,2,K. Lowry makes 2-pt shot from 2 ft
5:40.0,Shooting foul by K. Lowry (drawn by J. Smith),,14-19,,
5:40.0,J. Smith makes free throw 1 of 2,1,15-19,,
5:40.0,,,15-19,,C. Joseph enters the game for K. Lowry
5:40.0,J. Smith makes free throw 2 of 2,1,16-19,,
5:26.0,,,16-19,,D. DeRozan misses 2-pt shot from 20 ft
5:26.0,Defensive rebound by J. Smith,,16-19,,
5:13.0,K. Love misses 2-pt shot from 10 ft,,16-19,,
5:13.0,,,16-19,,Defensive rebound by B. Biyombo
4:58.0,,,16-21,2,D. Carroll makes 2-pt shot from 17 ft (assist by L. Scola)
4:36.0,K. Irving misses 2-pt shot from 17 ft,,16-21,,
4:35.0,,,16-21,,Defensive rebound by B. Biyombo
4:16.0,,,16-21,,D. Carroll misses 3-pt shot from 25 ft
4:16.0,Defensive rebound by K. Love,,16-21,,
4:11.0,L. James makes 2-pt shot at rim (assist by K. Love),2,18-21,,
3:39.0,,,18-21,,D. DeRozan misses 2-pt shot from 18 ft
3:38.0,,,18-21,,Offensive rebound by Team
3:38.0,,,18-21,,Turnover by Team (shot clock)
3:38.0,I. Shumpert enters the game for L. James,,18-21,,
3:23.0,J. Smith makes 3-pt shot from 25 ft (assist by I. Shumpert),3,21-21,,
2:58.0,,,21-23,2,D. DeRozan makes 2-pt shot from 6 ft
2:40.0,K. Love misses 2-pt shot from 12 ft,,21-23,,
2:39.0,,,21-23,,Defensive rebound by B. Biyombo
2:25.0,,,21-25,2,C. Joseph makes 2-pt shot from 3 ft
2:05.0,K. Irving misses 2-pt shot from 3 ft,,21-25,,
2:03.0,,,21-25,,Defensive rebound by B. Biyombo
1:55.0,,,21-25,,L. Scola misses 3-pt shot from 24 ft
1:54.0,,,21-25,,Offensive rebound by B. Biyombo
1:50.0,,,21-25,,D. Carroll misses 3-pt shot from 23 ft
1:49.0,Defensive rebound by T. Thompson,,21-25,,
1:45.0,,,21-25,,Personal foul by L. Scola
1:45.0,Cleveland full timeout,,21-25,,
1:45.0,,,21-25,,T. Ross enters the game for D. Carroll
1:45.0,,,21-25,,P. Patterson enters the game for L. Scola
1:33.0,K. Love misses 2-pt shot from 12 ft,,21-25,,
1:32.0,,,21-25,,Defensive rebound by T. Ross
1:13.0,,,21-25,,P. Patterson misses 3-pt shot from 23 ft
1:13.0,Defensive rebound by J. Smith,,21-25,,
1:07.0,K. Irving misses 2-pt shot from 3 ft (block by B. Biyombo),,21-25,,
1:05.0,,,21-25,,Defensive rebound by P. Patterson
1:00.0,,,21-25,,T. Ross misses 2-pt shot from 2 ft (block by K. Love)
0:58.0,Defensive rebound by T. Thompson,,21-25,,
0:52.0,I. Shumpert makes 3-pt shot from 25 ft,3,24-25,,
0:37.0,,,24-27,2,D. DeRozan makes 2-pt shot from 15 ft
0:15.0,J. Smith misses 3-pt shot from 27 ft,,24-27,,
0:14.0,,,24-27,,Defensive rebound by B. Biyombo
0:04.0,,,24-27,,C. Joseph misses 2-pt shot from 2 ft
0:01.0,,,24-27,,Offensive rebound by B. Biyombo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,C. Frye makes 2-pt shot from 1 ft (assist by I. Shumpert),2,26-27,,
11:29.0,,,26-27,,P. Patterson misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by L. James,,26-27,,
11:21.0,Turnover by L. James (bad pass),,26-27,,
11:04.0,,,26-30,3,T. Ross makes 3-pt shot from 24 ft (assist by J. Johnson)
10:45.0,M. Dellavedova misses 2-pt shot from 2 ft,,26-30,,
10:43.0,Offensive rebound by L. James,,26-30,,
10:40.0,L. James makes 2-pt shot from 2 ft,2,28-30,,
10:27.0,,,28-30,,T. Ross misses 3-pt shot from 24 ft
10:26.0,,,28-30,,Offensive rebound by C. Joseph
10:22.0,,,28-33,3,K. Lowry makes 3-pt shot from 25 ft (assist by C. Joseph)
10:07.0,,,28-33,,Personal foul by T. Ross
9:57.0,C. Frye makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,31-33,,
9:34.0,,,31-36,3,J. Johnson makes 3-pt shot from 23 ft (assist by K. Lowry)
9:22.0,R. Jefferson misses 3-pt shot from 23 ft,,31-36,,
9:21.0,,,31-36,,Defensive rebound by C. Joseph
9:04.0,,,31-38,2,C. Joseph makes 2-pt shot from 3 ft
8:45.0,Shooting foul by C. Joseph (drawn by L. James),,31-38,,
8:45.0,Official timeout,,31-38,,
8:45.0,J. Smith enters the game for R. Jefferson,,31-38,,
8:45.0,L. James misses free throw 1 of 2,,31-38,,
8:45.0,Offensive rebound by Team,,31-38,,
8:45.0,L. James makes free throw 2 of 2,1,32-38,,
8:32.0,,,32-38,,P. Patterson misses 2-pt shot from 22 ft
8:32.0,,,32-38,,Offensive rebound by K. Lowry
8:18.0,,,32-38,,T. Ross misses 2-pt shot from 1 ft
8:17.0,Defensive rebound by C. Frye,,32-38,,
8:07.0,M. Dellavedova misses 3-pt shot from 23 ft,,32-38,,
8:07.0,Offensive rebound by Team,,32-38,,
8:07.0,,,32-38,,Loose ball foul by K. Lowry
8:07.0,,,32-38,,D. DeRozan enters the game for K. Lowry
7:51.0,M. Dellavedova misses 2-pt shot from 8 ft,,32-38,,
7:50.0,,,32-38,,Defensive rebound by J. Johnson
7:31.0,,,32-38,,J. Johnson misses 3-pt shot from 24 ft
7:31.0,Defensive rebound by J. Smith,,32-38,,
7:18.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,35-38,,
6:59.0,Def 3 sec tech foul by L. James,,35-38,,
6:59.0,,,35-39,1,D. DeRozan makes technical free throw
6:59.0,K. Irving enters the game for M. Dellavedova,,35-39,,
6:59.0,,,35-39,,B. Biyombo enters the game for J. Johnson
6:45.0,,,35-41,2,C. Joseph makes 2-pt shot from 15 ft
6:30.0,J. Smith misses 3-pt shot from 24 ft,,35-41,,
6:30.0,Offensive rebound by L. James,,35-41,,
6:25.0,J. Smith misses 3-pt shot from 25 ft,,35-41,,
6:24.0,,,35-41,,Defensive rebound by B. Biyombo
6:09.0,,,35-41,,D. DeRozan misses 2-pt shot from 6 ft
6:08.0,Defensive rebound by I. Shumpert,,35-41,,
6:00.0,I. Shumpert misses 2-pt shot from 6 ft,,35-41,,
6:00.0,,,35-41,,Defensive rebound by B. Biyombo
5:36.0,,,35-44,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan)
5:23.0,K. Irving makes 2-pt shot from 19 ft,2,37-44,,
5:17.0,,,37-44,,Toronto full timeout
5:17.0,K. Love enters the game for I. Shumpert,,37-44,,
5:17.0,,,37-44,,D. Carroll enters the game for T. Ross
5:02.0,,,37-44,,P. Patterson misses 2-pt shot from 12 ft
5:01.0,Defensive rebound by L. James,,37-44,,
4:39.0,L. James misses 3-pt shot from 24 ft,,37-44,,
4:38.0,,,37-44,,Defensive rebound by D. Carroll
4:32.0,,,37-46,2,D. DeRozan makes 2-pt shot from 2 ft (assist by D. Carroll)
4:19.0,K. Irving misses 2-pt shot from 1 ft (block by B. Biyombo),,37-46,,
4:16.0,,,37-46,,Defensive rebound by C. Joseph
4:10.0,,,37-49,3,C. Joseph makes 3-pt shot from 25 ft (assist by P. Patterson)
4:09.0,Cleveland full timeout,,37-49,,
4:09.0,T. Thompson enters the game for C. Frye,,37-49,,
3:48.0,K. Love misses 3-pt shot from 23 ft,,37-49,,
3:48.0,,,37-49,,Defensive rebound by C. Joseph
3:42.0,,,37-52,3,D. Carroll makes 3-pt shot from 26 ft (assist by C. Joseph)
3:17.0,K. Irving misses 3-pt shot from 24 ft,,37-52,,
3:17.0,,,37-52,,Defensive rebound by B. Biyombo
3:08.0,,,37-52,,D. DeRozan misses 2-pt shot from 19 ft
3:07.0,,,37-52,,Offensive rebound by Team
3:07.0,Loose ball foul by K. Irving,,37-52,,
2:58.0,,,37-52,,Shooting foul by T. Thompson (drawn by D. DeRozan)
2:58.0,,,37-53,1,D. DeRozan makes free throw 1 of 2
2:58.0,,,37-54,1,D. DeRozan makes free throw 2 of 2
2:48.0,K. Irving makes 2-pt shot from 21 ft,2,39-54,,
2:29.0,,,39-56,2,D. DeRozan makes 2-pt shot from 15 ft
2:17.0,K. Irving makes 3-pt shot from 25 ft,3,42-56,,
1:56.0,,,42-58,2,D. DeRozan makes 2-pt shot from 16 ft
1:40.0,,,42-58,,Personal foul by C. Joseph
1:34.0,K. Irving misses 3-pt shot from 25 ft,,42-58,,
1:34.0,,,42-58,,Defensive rebound by P. Patterson
1:24.0,,,42-58,,D. Carroll misses 2-pt shot from 4 ft
1:24.0,,,42-58,,Offensive rebound by B. Biyombo
1:22.0,,,42-60,2,P. Patterson makes 2-pt shot from 3 ft (assist by B. Biyombo)
1:03.0,L. James misses 2-pt shot from 5 ft,,42-60,,
1:02.0,,,42-60,,Defensive rebound by B. Biyombo
0:47.0,,,42-60,,B. Biyombo misses 2-pt shot at rim (block by T. Thompson)
0:45.0,Defensive rebound by T. Thompson,,42-60,,
0:44.0,,,42-60,,Personal foul by B. Biyombo
0:44.0,,,42-60,,Technical foul by C. Joseph
0:44.0,Technical foul by T. Thompson,,42-60,,
0:44.0,K. Irving makes free throw 1 of 2,1,43-60,,
0:44.0,K. Irving makes free throw 2 of 2,1,44-60,,
0:29.0,,,44-60,,D. DeRozan misses 2-pt shot from 21 ft
0:28.0,,,44-60,,Offensive rebound by B. Biyombo
0:22.0,,,44-60,,D. Carroll misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by K. Irving,,44-60,,
0:02.0,L. James makes 3-pt shot from 25 ft,3,47-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,K. Irving misses 2-pt shot from 10 ft,,47-60,,
11:34.0,,,47-60,,Defensive rebound by D. DeRozan
11:17.0,,,47-60,,Turnover by D. Carroll (lost ball; steal by L. James)
11:07.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,50-60,,
10:52.0,,,50-60,,D. DeRozan misses 2-pt shot from 18 ft
10:51.0,Defensive rebound by L. James,,50-60,,
10:47.0,Offensive charge foul by L. James,,50-60,,
10:47.0,Turnover by L. James (offensive foul),,50-60,,
10:27.0,,,50-62,2,D. DeRozan makes 2-pt shot from 1 ft
10:15.0,K. Irving misses 2-pt shot from 1 ft,,50-62,,
10:15.0,Offensive rebound by T. Thompson,,50-62,,
10:13.0,,,50-62,,Personal foul by D. Carroll
10:03.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,53-62,,
9:47.0,,,53-62,,Turnover by L. Scola (lost ball; steal by L. James)
9:44.0,Shooting foul by D. DeRozan (drawn by L. James),,53-62,,
9:44.0,L. James makes 2-pt shot from 2 ft,2,55-62,,
9:44.0,L. James makes free throw 1 of 1,1,56-62,,
9:27.0,,,56-64,2,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry)
9:09.0,L. James misses 3-pt shot from 24 ft,,56-64,,
9:08.0,,,56-64,,Defensive rebound by D. DeRozan
8:57.0,,,56-64,,Turnover by D. Carroll (bad pass)
8:35.0,K. Irving misses 3-pt shot from 25 ft,,56-64,,
8:34.0,,,56-64,,Defensive rebound by D. Carroll
8:23.0,,,56-64,,D. Carroll misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by K. Irving,,56-64,,
8:10.0,Turnover by K. Irving (bad pass),,56-64,,
7:55.0,,,56-64,,D. DeRozan misses 2-pt shot from 18 ft
7:54.0,Defensive rebound by T. Thompson,,56-64,,
7:45.0,T. Thompson misses 2-pt shot at rim (block by B. Biyombo),,56-64,,
7:44.0,,,56-64,,Defensive rebound by K. Lowry
7:36.0,,,56-64,,Shooting foul by L. James (drawn by D. DeRozan)
7:36.0,,,56-65,1,D. DeRozan makes free throw 1 of 2
7:36.0,,,56-66,1,D. DeRozan makes free throw 2 of 2
7:17.0,K. Love misses 2-pt shot from 6 ft,,56-66,,
7:16.0,,,56-66,,Defensive rebound by D. Carroll
7:03.0,,,56-66,,K. Lowry misses 3-pt shot from 27 ft
7:01.0,Defensive rebound by J. Smith,,56-66,,
6:52.0,Turnover by T. Thompson (offensive goaltending),,56-66,,
6:34.0,,,56-66,,D. Carroll misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by K. Love,,56-66,,
6:26.0,L. James misses 2-pt shot from 3 ft (block by B. Biyombo),,56-66,,
6:25.0,Offensive rebound by L. James,,56-66,,
6:21.0,L. James makes 2-pt shot from 2 ft,2,58-66,,
6:09.0,,,58-66,,D. Carroll misses 2-pt shot from 1 ft
6:09.0,,,58-66,,Offensive rebound by D. Carroll
6:07.0,,,58-68,2,D. Carroll makes 2-pt shot from 1 ft
5:41.0,Shooting foul by B. Biyombo (drawn by L. James),,58-68,,
5:41.0,,,58-68,,Toronto full timeout
5:41.0,,,58-68,,P. Patterson enters the game for L. Scola
5:41.0,L. James makes free throw 1 of 2,1,59-68,,
5:41.0,L. James misses free throw 2 of 2,,59-68,,
5:39.0,,,59-68,,Defensive rebound by B. Biyombo
5:21.0,,,59-70,2,D. DeRozan makes 2-pt shot from 4 ft
5:03.0,L. James misses 3-pt shot from 24 ft,,59-70,,
5:02.0,Offensive rebound by T. Thompson,,59-70,,
4:58.0,J. Smith makes 3-pt shot from 25 ft (assist by T. Thompson),3,62-70,,
4:39.0,,,62-70,,B. Biyombo misses 2-pt shot from 12 ft
4:39.0,Defensive rebound by L. James,,62-70,,
4:20.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,65-70,,
4:16.0,,,65-70,,Toronto full timeout
4:00.0,,,65-72,2,D. DeRozan makes 2-pt shot from 8 ft
3:40.0,J. Smith misses 3-pt shot from 25 ft,,65-72,,
3:38.0,Offensive rebound by L. James,,65-72,,
3:36.0,L. James makes 2-pt shot from 2 ft,2,67-72,,
3:20.0,,,67-74,2,P. Patterson makes 2-pt shot from 5 ft
3:01.0,K. Love misses 2-pt shot from 18 ft,,67-74,,
3:00.0,,,67-74,,Defensive rebound by K. Lowry
2:46.0,,,67-74,,K. Lowry misses 2-pt shot from 6 ft
2:45.0,,,67-74,,Offensive rebound by B. Biyombo
2:40.0,,,67-74,,Shooting foul by T. Thompson (drawn by K. Lowry)
2:40.0,Cleveland full timeout,,67-74,,
2:40.0,C. Frye enters the game for T. Thompson,,67-74,,
2:40.0,,,67-75,1,K. Lowry makes free throw 1 of 2
2:40.0,,,67-76,1,K. Lowry makes free throw 2 of 2
2:19.0,K. Irving misses 3-pt shot from 23 ft,,67-76,,
2:18.0,,,67-76,,Defensive rebound by D. DeRozan
2:14.0,,,67-76,,Turnover by K. Lowry (lost ball; steal by K. Irving)
2:05.0,K. Love misses 3-pt shot from 23 ft,,67-76,,
2:05.0,,,67-76,,Defensive rebound by B. Biyombo
1:54.0,Personal foul by L. James,,67-76,,
1:54.0,M. Dellavedova enters the game for K. Irving,,67-76,,
1:39.0,,,67-76,,D. DeRozan misses 3-pt shot from 25 ft
1:39.0,,,67-76,,Offensive rebound by B. Biyombo
1:37.0,,,67-76,,Shooting foul by C. Frye (drawn by B. Biyombo)
1:37.0,,,67-77,1,B. Biyombo makes free throw 1 of 2
1:37.0,,,67-77,,C. Joseph enters the game for K. Lowry
1:37.0,,,67-77,,B. Biyombo misses free throw 2 of 2
1:36.0,Defensive rebound by K. Love,,67-77,,
1:15.0,K. Love misses 3-pt shot from 25 ft,,67-77,,
1:14.0,Offensive rebound by M. Dellavedova,,67-77,,
1:08.0,C. Frye makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,70-77,,
0:48.0,,,70-77,,D. DeRozan misses 2-pt shot from 6 ft (block by C. Frye)
0:47.0,Defensive rebound by C. Frye,,70-77,,
0:42.0,J. Smith misses 3-pt shot from 24 ft,,70-77,,
0:41.0,,,70-77,,Defensive rebound by B. Biyombo
0:29.0,,,70-77,,Turnover by C. Joseph (lost ball; steal by C. Frye)
0:06.0,J. Smith misses 3-pt shot from 24 ft,,70-77,,
0:06.0,,,70-77,,Defensive rebound by C. Joseph
0:00.0,,,70-80,3,C. Joseph makes 3-pt shot from 28 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,70-83,3,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph)
11:20.0,Turnover by M. Dellavedova (bad pass),,70-83,,
11:06.0,,,70-85,2,K. Lowry makes 2-pt shot from 2 ft
10:51.0,Turnover by R. Jefferson (step out of bounds),,70-85,,
10:35.0,,,70-85,,T. Ross misses 3-pt shot from 23 ft
10:35.0,Defensive rebound by M. Dellavedova,,70-85,,
10:18.0,Turnover by K. Irving (lost ball; steal by P. Patterson),,70-85,,
10:05.0,,,70-85,,Offensive foul by C. Joseph
10:05.0,,,70-85,,Turnover by C. Joseph (offensive foul)
9:46.0,Shooting foul by P. Patterson (drawn by R. Jefferson),,70-85,,
9:46.0,R. Jefferson makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,72-85,,
9:46.0,R. Jefferson makes free throw 1 of 1,1,73-85,,
9:21.0,,,73-85,,C. Joseph misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by R. Jefferson,,73-85,,
9:13.0,K. Irving misses 3-pt shot from 24 ft,,73-85,,
9:12.0,,,73-85,,Defensive rebound by P. Patterson
9:03.0,,,73-85,,P. Patterson misses 3-pt shot from 23 ft
9:01.0,Defensive rebound by K. Irving,,73-85,,
8:51.0,C. Frye misses 3-pt shot from 22 ft,,73-85,,
8:50.0,,,73-85,,Defensive rebound by K. Lowry
8:29.0,,,73-85,,C. Joseph misses 2-pt shot from 4 ft
8:28.0,Defensive rebound by R. Jefferson,,73-85,,
8:10.0,K. Irving misses 2-pt shot from 7 ft,,73-85,,
8:10.0,,,73-85,,Defensive rebound by P. Patterson
8:06.0,,,73-85,,Toronto full timeout
8:06.0,L. James enters the game for K. Irving,,73-85,,
8:06.0,,,73-85,,D. DeRozan enters the game for P. Patterson
8:06.0,,,73-85,,B. Biyombo enters the game for T. Ross
7:49.0,,,73-85,,C. Joseph misses 2-pt shot from 12 ft
7:48.0,Defensive rebound by C. Frye,,73-85,,
7:36.0,M. Dellavedova misses 2-pt shot from 2 ft,,73-85,,
7:35.0,,,73-85,,Defensive rebound by D. DeRozan
7:21.0,,,73-85,,K. Lowry misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by I. Shumpert,,73-85,,
7:06.0,R. Jefferson misses 3-pt shot from 23 ft,,73-85,,
7:05.0,,,73-85,,Defensive rebound by B. Biyombo
6:45.0,,,73-85,,Turnover by K. Lowry (lost ball; steal by C. Frye)
6:38.0,R. Jefferson makes 2-pt shot from 1 ft,2,75-85,,
6:20.0,Violation by C. Frye (kicked ball),,75-85,,
6:20.0,,,75-85,,P. Patterson enters the game for J. Johnson
6:20.0,J. Smith enters the game for R. Jefferson,,75-85,,
6:20.0,K. Irving enters the game for M. Dellavedova,,75-85,,
6:08.0,,,75-85,,D. DeRozan misses 2-pt shot from 18 ft
6:07.0,,,75-85,,Offensive rebound by P. Patterson
6:00.0,,,75-85,,D. DeRozan misses 2-pt shot from 18 ft
6:00.0,,,75-85,,Offensive rebound by B. Biyombo
5:56.0,,,75-85,,B. Biyombo misses 2-pt shot from 3 ft (block by I. Shumpert)
5:56.0,Defensive rebound by I. Shumpert,,75-85,,
5:56.0,Official timeout,,75-85,,
5:43.0,J. Smith makes 2-pt shot at rim (assist by L. James),2,77-85,,
5:22.0,,,77-87,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
5:03.0,J. Smith misses 3-pt shot from 24 ft,,77-87,,
5:03.0,,,77-87,,Defensive rebound by P. Patterson
4:56.0,Violation by C. Frye (kicked ball),,77-87,,
4:39.0,,,77-89,2,B. Biyombo makes 2-pt shot from 4 ft (assist by D. DeRozan)
4:20.0,L. James misses 2-pt shot from 3 ft,,77-89,,
4:19.0,,,77-89,,Defensive rebound by K. Lowry
4:13.0,,,77-89,,P. Patterson misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by I. Shumpert,,77-89,,
3:55.0,Offensive foul by I. Shumpert,,77-89,,
3:55.0,Turnover by I. Shumpert (offensive foul),,77-89,,
3:38.0,,,77-91,2,B. Biyombo makes 2-pt shot at rim (assist by D. DeRozan)
3:38.0,Cleveland full timeout,,77-91,,
3:21.0,,,77-91,,Flagrant foul type 1 by B. Biyombo
3:21.0,L. James makes flagrant free throw 1 of 2,1,78-91,,
3:21.0,L. James makes flagrant free throw 2 of 2,1,79-91,,
3:05.0,K. Irving misses 3-pt shot from 23 ft,,79-91,,
3:04.0,,,79-91,,Defensive rebound by B. Biyombo
2:49.0,,,79-91,,Turnover by K. Lowry (lost ball; steal by C. Frye)
2:45.0,Shooting foul by K. Lowry (drawn by K. Irving),,79-91,,
2:45.0,K. Irving makes free throw 1 of 2,1,80-91,,
2:45.0,K. Irving makes free throw 2 of 2,1,81-91,,
2:21.0,,,81-93,2,K. Lowry makes 2-pt shot from 15 ft
1:56.0,Turnover by K. Irving (lost ball),,81-93,,
1:38.0,,,81-95,2,C. Joseph makes 2-pt shot from 12 ft
1:38.0,Cleveland full timeout,,81-95,,
1:38.0,D. Jones enters the game for L. James,,81-95,,
1:38.0,M. Williams enters the game for J. Smith,,81-95,,
1:38.0,J. Jones enters the game for K. Irving,,81-95,,
1:38.0,T. Mozgov enters the game for C. Frye,,81-95,,
1:34.0,,,81-95,,Personal foul by P. Patterson
1:34.0,Technical foul by J. Jones,,81-95,,
1:34.0,,,81-96,1,D. DeRozan makes technical free throw
1:22.0,M. Williams makes 3-pt shot from 25 ft,3,84-96,,
1:01.0,,,84-99,3,K. Lowry makes 3-pt shot from 25 ft
0:41.0,M. Williams misses 3-pt shot from 27 ft,,84-99,,
0:41.0,,,84-99,,Defensive rebound by B. Biyombo
0:18.0,,,84-99,,K. Lowry misses 3-pt shot from 27 ft
0:16.0,,,84-99,,Offensive rebound by B. Biyombo
0:00.0,End of 4th quarter,,,,End of 4th quarter
