time,Indiana,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. I. Mahinmi (J. Green gains possession),,,,Jump ball: M. Gasol vs. I. Mahinmi (J. Green gains possession)
11:40.0,,,0-0,,M. Gasol misses 2-pt shot from 3 ft
11:38.0,Defensive rebound by M. Ellis,,0-0,,
11:24.0,P. George misses 2-pt shot from 22 ft,,0-0,,
11:24.0,Offensive rebound by I. Mahinmi,,0-0,,
11:00.0,I. Mahinmi misses 2-pt shot from 4 ft (block by M. Gasol),,0-0,,
11:00.0,Offensive rebound by I. Mahinmi,,0-0,,
10:58.0,I. Mahinmi misses 2-pt shot from 2 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by M. Gasol
10:40.0,,,0-2,2,C. Lee makes 2-pt shot from 21 ft (assist by M. Conley)
10:24.0,Turnover by P. George (lost ball),,0-2,,
10:00.0,,,0-4,2,M. Barnes makes 2-pt shot from 7 ft
9:51.0,Shooting foul by J. Green (drawn by I. Mahinmi),,0-4,,
9:51.0,I. Mahinmi makes free throw 1 of 2,1,1-4,,
9:51.0,I. Mahinmi misses free throw 2 of 2,,1-4,,
9:50.0,,,1-4,,Defensive rebound by M. Barnes
9:36.0,,,1-7,3,M. Barnes makes 3-pt shot from 22 ft (assist by M. Conley)
9:23.0,I. Mahinmi misses 2-pt shot from 4 ft (block by J. Green),,1-7,,
9:21.0,,,1-7,,Defensive rebound by C. Lee
8:59.0,,,1-7,,C. Lee misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by C. Miles,,1-7,,
8:45.0,C. Miles misses 3-pt shot from 28 ft,,1-7,,
8:44.0,,,1-7,,Defensive rebound by M. Conley
8:39.0,,,1-9,2,M. Barnes makes 2-pt shot from 21 ft (assist by M. Conley)
8:26.0,G. Hill misses 3-pt shot from 26 ft,,1-9,,
8:25.0,,,1-9,,Defensive rebound by M. Gasol
8:16.0,,,1-9,,M. Conley misses 2-pt shot from 18 ft
8:15.0,Defensive rebound by I. Mahinmi,,1-9,,
7:54.0,P. George makes 3-pt shot from 24 ft,3,4-9,,
