time,Miami,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Whiteside (G. Temple gains possession),,,,Jump ball: M. Gortat vs. H. Whiteside (G. Temple gains possession)
11:38.0,,,0-2,2,O. Porter makes 2-pt shot from 21 ft
11:13.0,D. Wade makes 2-pt shot at rim,2,2-2,,
11:09.0,,,2-2,,Shooting foul by G. Dragic (drawn by G. Temple)
11:09.0,,,2-3,1,G. Temple makes free throw 1 of 2
11:09.0,,,2-3,,G. Temple misses free throw 2 of 2
11:07.0,Defensive rebound by H. Whiteside,,2-3,,
10:49.0,G. Dragic misses 2-pt shot from 17 ft,,2-3,,
10:48.0,,,2-3,,Defensive rebound by J. Dudley
10:41.0,,,2-3,,O. Porter misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by H. Whiteside,,2-3,,
10:29.0,,,2-3,,Personal foul by J. Dudley (drawn by C. Bosh)
10:14.0,G. Dragic misses 2-pt shot from 14 ft,,2-3,,
10:13.0,,,2-3,,Defensive rebound by J. Dudley
10:04.0,,,2-3,,J. Wall misses 2-pt shot from 13 ft
10:03.0,,,2-3,,Offensive rebound by M. Gortat
10:00.0,,,2-3,,M. Gortat misses 2-pt shot from 1 ft
9:59.0,Defensive rebound by L. Deng,,2-3,,
9:52.0,C. Bosh makes 2-pt shot from 17 ft (assist by G. Dragic),2,4-3,,
9:38.0,,,4-3,,G. Temple misses 2-pt shot from 17 ft
9:37.0,,,4-3,,Offensive rebound by M. Gortat
9:29.0,,,4-3,,M. Gortat misses 2-pt shot from 11 ft (block by H. Whiteside)
9:28.0,Defensive rebound by H. Whiteside,,4-3,,
9:22.0,G. Dragic misses 2-pt shot from 2 ft,,4-3,,
9:21.0,Offensive rebound by L. Deng,,4-3,,
9:14.0,H. Whiteside misses 2-pt shot from 14 ft,,4-3,,
9:13.0,,,4-3,,Defensive rebound by M. Gortat
9:04.0,,,4-3,,Turnover by O. Porter (lost ball; steal by C. Bosh)
9:04.0,,,4-3,,Clear path foul by J. Wall
9:04.0,C. Bosh makes clear path free throw 1 of 2,1,5-3,,
9:04.0,C. Bosh makes clear path free throw 2 of 2,1,6-3,,
8:45.0,L. Deng makes 2-pt shot from 2 ft (assist by C. Bosh),2,8-3,,
8:30.0,,,8-3,,Turnover by G. Temple (bad pass; steal by G. Dragic)
8:27.0,G. Dragic makes 2-pt shot from 1 ft,2,10-3,,
8:09.0,,,10-5,2,J. Wall makes 2-pt shot from 20 ft
7:48.0,D. Wade misses 2-pt shot from 20 ft,,10-5,,
7:47.0,,,10-5,,Defensive rebound by J. Wall
7:38.0,,,10-8,3,J. Wall makes 3-pt shot from 25 ft (assist by G. Temple)
7:20.0,H. Whiteside misses 2-pt shot from 1 ft,,10-8,,
7:19.0,,,10-8,,Defensive rebound by J. Dudley
7:11.0,,,10-8,,G. Temple misses 2-pt shot from 13 ft
7:10.0,Defensive rebound by L. Deng,,10-8,,
6:47.0,L. Deng makes 2-pt shot from 20 ft (assist by C. Bosh),2,12-8,,
6:34.0,,,12-10,2,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall)
6:12.0,H. Whiteside misses 2-pt shot from 15 ft,,12-10,,
6:11.0,,,12-10,,Defensive rebound by O. Porter
6:02.0,,,12-10,,Turnover by M. Gortat (bad pass; steal by H. Whiteside)
5:55.0,G. Dragic makes 2-pt shot from 15 ft,2,14-10,,
5:41.0,,,14-10,,M. Gortat misses 2-pt shot from 1 ft (block by H. Whiteside)
5:39.0,,,14-10,,Offensive rebound by M. Gortat
