time,Denver,pts.away,score,pts.home,Golden State
7:44.0,Loose ball foul by N. Jokic (drawn by A. Bogut),,2-19,,
7:28.0,,,2-19,,S. Curry misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by N. Jokic,,2-19,,
7:20.0,Shooting foul by D. Green (drawn by D. Gallinari),,2-19,,
7:20.0,D. Gallinari misses free throw 1 of 2,,2-19,,
7:20.0,Offensive rebound by Team,,2-19,,
7:20.0,D. Gallinari misses free throw 2 of 2,,2-19,,
7:18.0,,,2-19,,Defensive rebound by D. Green
7:13.0,,,2-19,,Turnover by D. Green (traveling)
6:58.0,Turnover by N. Jokic (traveling),,2-19,,
6:43.0,,,2-19,,D. Green misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by G. Harris,,2-19,,
6:37.0,Turnover by G. Harris (lost ball),,2-19,,
6:37.0,J. Nurkic enters the game for N. Jokic,,2-19,,
6:16.0,,,2-21,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
6:07.0,Turnover by W. Barton (bad pass; steal by S. Curry),,2-21,,
6:01.0,,,2-21,,K. Thompson misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by J. Nurkic,,2-21,,
5:52.0,W. Barton makes 2-pt shot from 1 ft,2,4-21,,
5:46.0,,,4-23,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
5:46.0,Denver full timeout,,4-23,,
5:46.0,R. Foye enters the game for J. Nelson,,4-23,,
5:38.0,Turnover by J. Nurkic (lost ball; steal by S. Curry),,4-23,,
5:21.0,,,4-23,,S. Curry misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by W. Barton,,4-23,,
5:11.0,J. Nurkic misses 2-pt shot from 5 ft (block by A. Bogut),,4-23,,
5:10.0,Offensive rebound by J. Nurkic,,4-23,,
5:07.0,J. Nurkic misses 2-pt shot from 3 ft,,4-23,,
5:06.0,,,4-23,,Defensive rebound by A. Bogut
4:51.0,,,4-25,2,D. Green makes 2-pt shot from 1 ft
4:38.0,G. Harris misses 2-pt shot from 15 ft,,4-25,,
4:38.0,,,4-25,,Defensive rebound by A. Bogut
4:29.0,,,4-25,,K. Thompson misses 3-pt shot from 24 ft
4:29.0,Defensive rebound by W. Barton,,4-25,,
4:14.0,J. Nurkic misses 2-pt shot from 3 ft (block by D. Green),,4-25,,
4:13.0,Offensive rebound by D. Gallinari,,4-25,,
4:13.0,D. Gallinari makes 2-pt shot from 2 ft,2,6-25,,
4:13.0,Shooting foul by A. Bogut (drawn by D. Gallinari),,6-25,,
4:13.0,,,6-25,,Golden State full timeout
4:13.0,,,6-25,,S. Livingston enters the game for A. Iguodala
4:13.0,D. Gallinari misses free throw 1 of 1,,6-25,,
4:10.0,,,6-25,,Defensive rebound by K. Thompson
4:01.0,Personal foul by G. Harris (drawn by D. Green),,6-25,,
3:58.0,,,6-25,,Turnover by S. Curry (bad pass)
3:40.0,Shooting foul by S. Livingston (drawn by J. Nurkic),,6-25,,
3:40.0,J. Nurkic makes free throw 1 of 2,1,7-25,,
3:40.0,,,7-25,,I. Clark enters the game for S. Curry
3:40.0,,,7-25,,M. Speights enters the game for A. Bogut
3:40.0,J. Nurkic misses free throw 2 of 2,,7-25,,
3:39.0,,,7-25,,Defensive rebound by D. Green
3:26.0,,,7-27,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
3:18.0,Shooting foul by M. Speights (drawn by J. Nurkic),,7-27,,
3:18.0,J. Nurkic makes free throw 1 of 2,1,8-27,,
3:18.0,M. Miller enters the game for D. Gallinari,,8-27,,
3:18.0,J. Nurkic makes free throw 2 of 2,1,9-27,,
3:08.0,,,9-27,,Shooting foul by M. Miller (drawn by D. Green)
3:08.0,,,9-28,1,D. Green makes free throw 1 of 2
3:08.0,,,9-29,1,D. Green makes free throw 2 of 2
2:45.0,J. Nurkic misses 2-pt shot from 4 ft,,9-29,,
2:44.0,,,9-29,,Defensive rebound by M. Speights
2:37.0,,,9-31,2,M. Speights makes 2-pt shot from 18 ft (assist by S. Livingston)
2:23.0,W. Barton makes 2-pt shot from 2 ft,2,11-31,,
2:09.0,,,11-31,,M. Speights misses 2-pt shot from 16 ft
2:08.0,Defensive rebound by W. Barton,,11-31,,
2:00.0,J. Nurkic misses 2-pt shot from 5 ft,,11-31,,
1:59.0,,,11-31,,Defensive rebound by D. Green
1:50.0,Personal foul by M. Miller (drawn by S. Livingston),,11-31,,
1:50.0,D. Arthur enters the game for J. Nurkic,,11-31,,
1:50.0,J. Nelson enters the game for G. Harris,,11-31,,
1:41.0,,,11-31,,Shooting foul by D. Arthur (drawn by M. Speights)
1:41.0,,,11-31,,M. Speights misses free throw 1 of 2
1:41.0,,,11-31,,Offensive rebound by Team
1:41.0,,,11-32,1,M. Speights makes free throw 2 of 2
1:25.0,D. Arthur misses 2-pt shot from 20 ft,,11-32,,
1:24.0,Offensive rebound by M. Miller,,11-32,,
1:19.0,J. Nelson misses 3-pt shot from 25 ft,,11-32,,
1:17.0,,,11-32,,Defensive rebound by K. Thompson
1:09.0,,,11-34,2,S. Livingston makes 2-pt shot from 13 ft
0:51.0,W. Barton misses 3-pt shot from 24 ft,,11-34,,
0:51.0,Offensive rebound by J. Nelson,,11-34,,
0:43.0,M. Miller misses 3-pt shot from 25 ft,,11-34,,
0:42.0,Offensive rebound by W. Barton,,11-34,,
0:40.0,W. Barton misses 2-pt shot from 16 ft,,11-34,,
0:37.0,Offensive rebound by D. Arthur,,11-34,,
0:36.0,W. Barton misses 3-pt shot from 26 ft,,11-34,,
0:34.0,,,11-34,,Defensive rebound by K. Thompson
0:22.0,,,11-37,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
0:03.0,J. Nelson makes 2-pt shot at rim,2,13-37,,
0:01.0,,,13-37,,K. Thompson misses 3-pt shot from 47 ft
0:00.0,,,13-37,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,M. Miller misses 3-pt shot from 24 ft,,13-37,,
11:49.0,Offensive rebound by M. Miller,,13-37,,
11:39.0,D. Arthur makes 2-pt shot from 8 ft,2,15-37,,
11:39.0,Shooting foul by J. Thompson (drawn by D. Arthur),,15-37,,
11:39.0,D. Arthur misses free throw 1 of 1,,15-37,,
11:36.0,,,15-37,,Defensive rebound by A. Iguodala
11:20.0,,,15-37,,M. Speights misses 2-pt shot from 1 ft
11:20.0,,,15-37,,Offensive rebound by M. Speights
11:20.0,,,15-37,,M. Speights misses 2-pt shot from 1 ft
11:20.0,,,15-37,,Offensive rebound by Team
11:07.0,,,15-37,,J. Thompson misses 2-pt shot from 12 ft
11:07.0,Defensive rebound by W. Barton,,15-37,,
10:54.0,D. Arthur makes 2-pt shot from 5 ft (assist by R. Foye),2,17-37,,
10:43.0,,,17-37,,Turnover by S. Livingston (bad pass; steal by W. Barton)
10:37.0,W. Barton makes 2-pt shot from 3 ft,2,19-37,,
10:09.0,,,19-39,2,A. Iguodala makes 2-pt shot from 16 ft
9:58.0,J. Nelson makes 3-pt shot from 25 ft,3,22-39,,
9:46.0,,,22-39,,Turnover by M. Speights (3 sec)
9:26.0,D. Arthur misses 2-pt shot from 3 ft (block by S. Livingston),,22-39,,
9:25.0,Offensive rebound by D. Arthur,,22-39,,
9:24.0,D. Arthur misses 2-pt shot from 3 ft,,22-39,,
9:22.0,,,22-39,,Defensive rebound by M. Speights
9:16.0,,,22-39,,Shooting foul by J. Nelson (drawn by S. Livingston)
9:16.0,,,22-40,1,S. Livingston makes free throw 1 of 2
9:16.0,,,22-41,1,S. Livingston makes free throw 2 of 2
8:55.0,R. Foye misses 2-pt shot from 3 ft,,22-41,,
8:55.0,,,22-41,,Defensive rebound by J. Thompson
8:43.0,,,22-43,2,I. Clark makes 2-pt shot from 2 ft
8:33.0,J. Nelson makes 3-pt shot from 25 ft (assist by M. Miller),3,25-43,,
8:19.0,,,25-43,,Shooting foul by M. Miller (drawn by J. Thompson)
8:19.0,Official timeout,,25-43,,
8:19.0,,,25-43,,S. Curry enters the game for M. Speights
8:19.0,,,25-43,,J. Thompson misses free throw 1 of 2
8:19.0,,,25-43,,Offensive rebound by Team
8:19.0,,,25-44,1,J. Thompson makes free throw 2 of 2
8:05.0,J. Nelson misses 3-pt shot from 24 ft,,25-44,,
8:03.0,Offensive rebound by D. Arthur,,25-44,,
8:00.0,R. Foye misses 3-pt shot from 26 ft,,25-44,,
7:59.0,,,25-44,,Defensive rebound by J. Thompson
7:45.0,Personal foul by J. Nelson (drawn by S. Curry),,25-44,,
7:45.0,,,25-44,,K. Thompson enters the game for S. Livingston
7:45.0,G. Harris enters the game for R. Foye,,25-44,,
7:45.0,D. Gallinari enters the game for M. Miller,,25-44,,
7:33.0,,,25-44,,K. Thompson misses 2-pt shot from 21 ft
7:33.0,Defensive rebound by Team,,25-44,,
7:14.0,D. Arthur makes 2-pt shot from 13 ft (assist by W. Barton),2,27-44,,
6:53.0,,,27-46,2,J. Thompson makes 2-pt shot at rim (assist by S. Curry)
6:36.0,G. Harris makes 2-pt shot from 8 ft (assist by J. Nelson),2,29-46,,
6:25.0,,,29-46,,Turnover by S. Curry (bad pass; steal by G. Harris)
6:25.0,K. Faried enters the game for D. Arthur,,29-46,,
6:25.0,,,29-46,,D. Green enters the game for J. Thompson
6:04.0,W. Barton misses 2-pt shot from 10 ft,,29-46,,
6:03.0,Offensive rebound by J. Nelson,,29-46,,
5:53.0,G. Harris misses 3-pt shot from 23 ft,,29-46,,
5:52.0,Offensive rebound by K. Faried,,29-46,,
5:40.0,D. Gallinari makes 2-pt shot from 15 ft (assist by W. Barton),2,31-46,,
5:25.0,,,31-46,,Shooting foul by D. Gallinari (drawn by K. Thompson)
5:25.0,,,31-46,,Golden State full timeout
5:25.0,,,31-46,,A. Bogut enters the game for I. Clark
5:25.0,,,31-47,1,K. Thompson makes free throw 1 of 2
5:25.0,,,31-47,,K. Thompson misses free throw 2 of 2
5:24.0,Defensive rebound by W. Barton,,31-47,,
5:10.0,K. Faried makes 2-pt shot from 2 ft,2,33-47,,
4:48.0,,,33-50,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
4:34.0,Turnover by J. Nelson (bad pass; steal by D. Green),,33-50,,
4:25.0,,,33-50,,S. Curry misses 3-pt shot from 25 ft
4:24.0,,,33-50,,Offensive rebound by D. Green
4:22.0,,,33-50,,Turnover by A. Bogut (back court)
4:04.0,D. Gallinari makes 2-pt shot from 17 ft (assist by J. Nelson),2,35-50,,
3:43.0,,,35-52,2,A. Iguodala makes 2-pt shot at rim
3:43.0,Denver full timeout,,35-52,,
3:43.0,,,35-52,,S. Livingston enters the game for A. Iguodala
3:28.0,D. Gallinari makes 2-pt shot at rim (assist by G. Harris),2,37-52,,
3:07.0,,,37-52,,S. Curry misses 3-pt shot from 25 ft
3:06.0,,,37-52,,Offensive rebound by Team
3:06.0,Loose ball foul by D. Gallinari (drawn by D. Green),,37-52,,
3:06.0,,,37-52,,D. Green misses free throw 1 of 2
3:06.0,,,37-52,,Offensive rebound by Team
3:06.0,,,37-52,,J. Thompson enters the game for A. Bogut
3:06.0,,,37-52,,D. Green misses free throw 2 of 2
3:04.0,Defensive rebound by W. Barton,,37-52,,
2:53.0,J. Nelson makes 2-pt shot at rim,2,39-52,,
2:35.0,,,39-54,2,S. Livingston makes 2-pt shot from 1 ft (assist by J. Thompson)
2:16.0,Shooting foul by S. Livingston (drawn by D. Gallinari),,39-54,,
2:16.0,D. Gallinari makes free throw 1 of 2,1,40-54,,
2:16.0,,,40-54,,I. Clark enters the game for S. Curry
2:16.0,D. Gallinari makes free throw 2 of 2,1,41-54,,
2:01.0,,,41-57,3,D. Green makes 3-pt shot from 25 ft (assist by I. Clark)
1:48.0,Shooting foul by S. Livingston (drawn by W. Barton),,41-57,,
1:48.0,W. Barton misses free throw 1 of 2,,41-57,,
1:48.0,Offensive rebound by Team,,41-57,,
1:48.0,,,41-57,,A. Iguodala enters the game for S. Livingston
1:48.0,W. Barton misses free throw 2 of 2,,41-57,,
1:47.0,,,41-57,,Defensive rebound by D. Green
1:29.0,,,41-57,,K. Thompson misses 2-pt shot from 19 ft
1:27.0,Defensive rebound by Team,,41-57,,
1:13.0,J. Nelson makes 2-pt shot from 20 ft,2,43-57,,
0:56.0,,,43-59,2,K. Thompson makes 2-pt shot from 22 ft (assist by J. Thompson)
0:44.0,J. Nelson misses 3-pt shot from 24 ft,,43-59,,
0:43.0,,,43-59,,Defensive rebound by Team
0:43.0,Loose ball foul by K. Faried (drawn by J. Thompson),,43-59,,
0:43.0,,,43-59,,J. Thompson misses free throw 1 of 2
0:43.0,,,43-59,,Offensive rebound by Team
0:43.0,,,43-60,1,J. Thompson makes free throw 2 of 2
0:33.0,Shooting foul by I. Clark (drawn by J. Nelson),,43-60,,
0:33.0,J. Nelson makes free throw 1 of 2,1,44-60,,
0:33.0,N. Jokic enters the game for D. Gallinari,,44-60,,
0:33.0,J. Nelson makes free throw 2 of 2,1,45-60,,
0:33.0,Personal foul by N. Jokic (drawn by J. Thompson),,45-60,,
0:33.0,,,45-60,,J. Thompson misses free throw 1 of 2
0:33.0,,,45-60,,Offensive rebound by Team
0:33.0,D. Gallinari enters the game for N. Jokic,,45-60,,
0:33.0,,,45-61,1,J. Thompson makes free throw 2 of 2
0:19.0,K. Faried misses 2-pt shot from 2 ft,,45-61,,
0:19.0,,,45-61,,Defensive rebound by K. Thompson
0:16.0,Personal foul by K. Faried (drawn by J. Thompson),,45-61,,
0:16.0,,,45-62,1,J. Thompson makes free throw 1 of 2
0:16.0,,,45-63,1,J. Thompson makes free throw 2 of 2
0:01.0,W. Barton makes 2-pt shot from 17 ft (assist by J. Nelson),2,47-63,,
0:00.0,,,47-63,,Technical foul by D. Green
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,W. Barton makes technical free throw,1,48-63,,
11:46.0,Shooting foul by A. Iguodala (drawn by W. Barton),,48-63,,
11:46.0,W. Barton makes free throw 1 of 2,1,49-63,,
11:46.0,W. Barton misses free throw 2 of 2,,49-63,,
11:45.0,,,49-63,,Defensive rebound by D. Green
11:39.0,Personal foul by W. Barton (drawn by A. Iguodala),,49-63,,
11:25.0,,,49-65,2,D. Green makes 2-pt shot from 2 ft (assist by A. Iguodala)
11:08.0,W. Barton misses 2-pt shot from 9 ft,,49-65,,
11:07.0,,,49-65,,Defensive rebound by D. Green
10:49.0,,,49-68,3,I. Clark makes 3-pt shot from 25 ft (assist by A. Iguodala)
10:34.0,G. Harris makes 2-pt shot from 1 ft (assist by K. Faried),2,51-68,,
10:21.0,,,51-70,2,K. Thompson makes 2-pt shot from 15 ft (assist by A. Bogut)
10:10.0,,,51-70,,Personal foul by A. Bogut (drawn by D. Gallinari)
10:00.0,Turnover by J. Nelson (bad pass; steal by K. Thompson),,51-70,,
9:47.0,,,51-72,2,K. Thompson makes 2-pt shot from 13 ft (assist by D. Green)
9:46.0,Denver full timeout,,51-72,,
9:34.0,J. Nelson misses 3-pt shot from 25 ft,,51-72,,
9:33.0,Offensive rebound by K. Faried,,51-72,,
9:33.0,K. Faried makes 2-pt shot at rim,2,53-72,,
9:09.0,,,53-74,2,I. Clark makes 2-pt shot from 8 ft
8:56.0,G. Harris misses 3-pt shot from 24 ft,,53-74,,
8:55.0,,,53-74,,Defensive rebound by I. Clark
8:41.0,,,53-74,,Shooting foul by J. Nelson (drawn by D. Green)
8:41.0,,,53-75,1,D. Green makes free throw 1 of 2
8:41.0,,,53-76,1,D. Green makes free throw 2 of 2
8:25.0,Turnover by W. Barton (bad pass; steal by D. Green),,53-76,,
8:19.0,,,53-76,,Turnover by D. Green (bad pass)
8:06.0,G. Harris misses 2-pt shot from 2 ft,,53-76,,
8:04.0,Offensive rebound by K. Faried,,53-76,,
8:04.0,K. Faried misses 2-pt shot from 1 ft,,53-76,,
7:59.0,Offensive rebound by K. Faried,,53-76,,
7:59.0,K. Faried misses 2-pt shot from 1 ft (block by A. Bogut),,53-76,,
7:57.0,,,53-76,,Defensive rebound by D. Green
7:39.0,,,53-76,,Turnover by I. Clark (lost ball; steal by D. Gallinari)
7:29.0,D. Gallinari makes 2-pt shot at rim (assist by K. Faried),2,55-76,,
7:29.0,Shooting foul by A. Bogut (drawn by D. Gallinari),,55-76,,
7:29.0,D. Gallinari makes free throw 1 of 1,1,56-76,,
7:21.0,,,56-76,,Turnover by I. Clark (bad pass; steal by D. Gallinari)
7:16.0,J. Nelson makes 2-pt shot at rim (assist by D. Gallinari),2,58-76,,
6:59.0,,,58-76,,K. Thompson misses 2-pt shot from 12 ft
6:56.0,,,58-76,,Offensive rebound by A. Bogut
6:56.0,,,58-76,,A. Bogut misses 2-pt shot from 2 ft
6:55.0,,,58-76,,Offensive rebound by A. Bogut
6:55.0,,,58-76,,A. Bogut misses 2-pt shot from 2 ft
6:53.0,Defensive rebound by J. Nelson,,58-76,,
6:50.0,W. Barton misses 3-pt shot from 26 ft,,58-76,,
6:48.0,Offensive rebound by K. Faried,,58-76,,
6:48.0,K. Faried misses 2-pt shot from 2 ft,,58-76,,
6:46.0,Offensive rebound by J. Nelson,,58-76,,
6:34.0,D. Gallinari misses 3-pt shot from 25 ft,,58-76,,
6:34.0,,,58-76,,Defensive rebound by D. Green
6:19.0,,,58-76,,D. Green misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by K. Faried,,58-76,,
6:07.0,K. Faried makes 2-pt shot from 1 ft (assist by W. Barton),2,60-76,,
6:06.0,,,60-76,,Golden State full timeout
5:44.0,,,60-76,,A. Iguodala misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by D. Gallinari,,60-76,,
5:19.0,D. Gallinari misses 2-pt shot from 10 ft,,60-76,,
5:18.0,,,60-76,,Defensive rebound by A. Bogut
5:07.0,,,60-78,2,A. Bogut makes 2-pt shot at rim (assist by K. Thompson)
4:44.0,J. Nelson misses 2-pt shot from 17 ft,,60-78,,
4:43.0,,,60-78,,Defensive rebound by D. Green
4:33.0,,,60-80,2,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green)
4:01.0,J. Nelson makes 2-pt shot from 1 ft (assist by K. Faried),2,62-80,,
3:52.0,,,62-80,,K. Thompson misses 2-pt shot from 18 ft
3:49.0,Defensive rebound by G. Harris,,62-80,,
3:42.0,G. Harris misses 2-pt shot from 11 ft,,62-80,,
3:42.0,Offensive rebound by Team,,62-80,,
3:42.0,,,62-80,,Loose ball foul by A. Bogut (drawn by K. Faried)
3:42.0,,,62-80,,S. Livingston enters the game for A. Iguodala
3:42.0,,,62-80,,M. Speights enters the game for A. Bogut
3:35.0,D. Gallinari misses 3-pt shot from 23 ft,,62-80,,
3:33.0,,,62-80,,Defensive rebound by M. Speights
3:10.0,,,62-82,2,I. Clark makes 2-pt shot from 2 ft
2:58.0,Shooting foul by S. Livingston (drawn by W. Barton),,62-82,,
2:58.0,W. Barton makes free throw 1 of 2,1,63-82,,
2:58.0,D. Arthur enters the game for K. Faried,,63-82,,
2:58.0,R. Foye enters the game for J. Nelson,,63-82,,
2:58.0,W. Barton makes free throw 2 of 2,1,64-82,,
2:40.0,,,64-82,,Turnover by M. Speights (bad pass; steal by G. Harris)
2:34.0,G. Harris makes 2-pt shot from 2 ft,2,66-82,,
2:20.0,,,66-82,,K. Thompson misses 2-pt shot from 2 ft
2:20.0,,,66-82,,Offensive rebound by M. Speights
2:20.0,,,66-84,2,M. Speights makes 2-pt shot from 1 ft
2:20.0,,,66-84,,Shooting foul by D. Arthur (drawn by M. Speights)
2:20.0,,,66-85,1,M. Speights makes free throw 1 of 1
2:04.0,G. Harris makes 2-pt shot at rim (assist by R. Foye),2,68-85,,
1:45.0,,,68-85,,M. Speights misses 2-pt shot from 12 ft
1:42.0,Defensive rebound by W. Barton,,68-85,,
1:34.0,D. Gallinari makes 2-pt shot from 2 ft (assist by W. Barton),2,70-85,,
1:23.0,,,70-88,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
1:01.0,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Barton),3,73-88,,
0:48.0,Personal foul by D. Arthur (drawn by M. Speights),,73-88,,
0:48.0,,,73-88,,J. Thompson enters the game for D. Green
0:48.0,J. Nelson enters the game for G. Harris,,73-88,,
0:44.0,,,73-88,,M. Speights misses 2-pt shot from 19 ft
0:43.0,Defensive rebound by J. Nelson,,73-88,,
0:32.0,W. Barton misses 3-pt shot from 26 ft,,73-88,,
0:32.0,Offensive rebound by D. Gallinari,,73-88,,
0:32.0,D. Gallinari makes 2-pt shot at rim,2,75-88,,
0:10.0,,,75-90,2,I. Clark makes 2-pt shot from 9 ft
0:03.0,J. Nelson makes 2-pt shot from 20 ft,2,77-90,,
0:01.0,,,77-90,,M. Speights misses 3-pt shot from 76 ft
0:00.0,,,77-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,77-90,,I. Clark misses 3-pt shot from 24 ft
11:38.0,,,77-90,,Offensive rebound by M. Speights
11:28.0,,,77-90,,A. Iguodala misses 2-pt shot from 19 ft
11:27.0,Defensive rebound by J. Nelson,,77-90,,
11:15.0,M. Miller misses 2-pt shot from 3 ft,,77-90,,
11:15.0,Offensive rebound by R. Foye,,77-90,,
11:06.0,W. Barton makes 3-pt shot from 25 ft (assist by R. Foye),3,80-90,,
11:06.0,Violation by Team (delay of game),,80-90,,
10:42.0,,,80-90,,S. Livingston misses 2-pt shot from 13 ft
10:41.0,Defensive rebound by M. Miller,,80-90,,
10:36.0,W. Barton misses 3-pt shot from 25 ft,,80-90,,
10:34.0,,,80-90,,Defensive rebound by J. Thompson
10:25.0,,,80-92,2,J. Thompson makes 2-pt shot at rim (assist by S. Livingston)
10:04.0,,,80-92,,Personal foul by J. Thompson (drawn by M. Miller)
9:58.0,D. Arthur makes 2-pt shot from 13 ft (assist by J. Nelson),2,82-92,,
9:34.0,,,82-92,,J. Thompson misses 2-pt shot from 7 ft
9:34.0,Defensive rebound by W. Barton,,82-92,,
9:22.0,D. Arthur makes 2-pt shot from 10 ft (assist by W. Barton),2,84-92,,
9:13.0,,,84-92,,Golden State full timeout
9:13.0,,,84-92,,K. Thompson enters the game for I. Clark
9:13.0,,,84-92,,D. Green enters the game for M. Speights
9:13.0,,,84-92,,A. Bogut enters the game for J. Thompson
8:57.0,,,84-92,,S. Livingston misses 2-pt shot from 6 ft
8:56.0,,,84-92,,Offensive rebound by D. Green
8:56.0,,,84-92,,D. Green misses 2-pt shot at rim
8:55.0,,,84-92,,Offensive rebound by D. Green
8:55.0,,,84-92,,D. Green misses 2-pt shot at rim
8:53.0,,,84-92,,Offensive rebound by D. Green
8:52.0,Personal foul by M. Miller (drawn by D. Green),,84-92,,
8:45.0,,,84-92,,K. Thompson misses 2-pt shot from 17 ft
8:44.0,Defensive rebound by J. Nelson,,84-92,,
8:35.0,Turnover by W. Barton (bad pass; steal by D. Green),,84-92,,
8:22.0,Violation by D. Arthur (def goaltending),,84-92,,
8:22.0,,,84-94,2,D. Green makes 2-pt shot from 2 ft (assist by S. Livingston)
7:57.0,J. Nelson misses 3-pt shot from 24 ft,,84-94,,
7:57.0,,,84-94,,Defensive rebound by A. Iguodala
7:43.0,,,84-96,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
7:43.0,Denver full timeout,,84-96,,
7:43.0,D. Gallinari enters the game for M. Miller,,84-96,,
7:24.0,R. Foye makes 2-pt shot from 1 ft (assist by D. Gallinari),2,86-96,,
7:08.0,,,86-96,,K. Thompson misses 2-pt shot from 21 ft
7:07.0,Defensive rebound by W. Barton,,86-96,,
6:49.0,,,86-96,,Personal foul by A. Bogut (drawn by D. Gallinari)
6:40.0,D. Arthur makes 2-pt shot from 6 ft (assist by W. Barton),2,88-96,,
6:23.0,,,88-96,,K. Thompson misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by W. Barton,,88-96,,
6:10.0,W. Barton makes 2-pt shot from 15 ft,2,90-96,,
5:52.0,,,90-96,,Turnover by D. Green (bad pass; steal by R. Foye)
5:44.0,Turnover by W. Barton (lost ball; steal by A. Iguodala),,90-96,,
5:37.0,,,90-98,2,K. Thompson makes 2-pt shot at rim (assist by D. Green)
5:21.0,Turnover by D. Arthur (bad pass; steal by K. Thompson),,90-98,,
5:11.0,Personal foul by J. Nelson (drawn by D. Green),,90-98,,
5:11.0,G. Harris enters the game for J. Nelson,,90-98,,
5:11.0,K. Faried enters the game for D. Arthur,,90-98,,
5:11.0,,,90-98,,I. Clark enters the game for S. Livingston
4:56.0,,,90-98,,Turnover by Team (shot clock)
4:47.0,K. Faried makes 2-pt shot from 2 ft (assist by R. Foye),2,92-98,,
4:23.0,,,92-98,,A. Iguodala misses 2-pt shot from 16 ft
4:19.0,Defensive rebound by K. Faried,,92-98,,
4:15.0,W. Barton misses 3-pt shot from 26 ft,,92-98,,
4:14.0,,,92-98,,Defensive rebound by D. Green
4:05.0,,,92-100,2,I. Clark makes 2-pt shot from 2 ft (assist by D. Green)
4:03.0,Denver full timeout,,92-100,,
4:03.0,J. Nelson enters the game for R. Foye,,92-100,,
3:47.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Nelson),3,95-100,,
3:31.0,,,95-100,,K. Thompson misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by W. Barton,,95-100,,
3:22.0,K. Faried makes 2-pt shot from 1 ft (assist by J. Nelson),2,97-100,,
