time,Oklahoma City,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:56.0,Jump ball: S. Adams vs. T. Duncan,,,,Jump ball: S. Adams vs. T. Duncan
11:34.0,,,0-0,,D. Green misses 2-pt shot from 2 ft
11:33.0,Defensive rebound by S. Adams,,0-0,,
11:30.0,Shooting foul by K. Leonard (drawn by R. Westbrook),,0-0,,
11:30.0,R. Westbrook misses free throw 1 of 2,,0-0,,
11:30.0,Offensive rebound by Team,,0-0,,
11:30.0,R. Westbrook makes free throw 2 of 2,1,1-0,,
11:11.0,,,1-2,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
10:48.0,R. Westbrook makes 2-pt shot from 19 ft,2,3-2,,
10:31.0,,,3-2,,L. Aldridge misses 2-pt shot from 6 ft
10:29.0,Defensive rebound by S. Adams,,3-2,,
10:24.0,R. Westbrook misses 2-pt shot from 15 ft,,3-2,,
10:23.0,,,3-2,,Defensive rebound by K. Leonard
10:10.0,,,3-2,,T. Duncan misses 2-pt shot from 1 ft
10:09.0,Defensive rebound by S. Ibaka,,3-2,,
9:57.0,K. Durant misses 2-pt shot at rim,,3-2,,
9:56.0,,,3-2,,Defensive rebound by L. Aldridge
9:36.0,,,3-2,,T. Duncan misses 2-pt shot from 1 ft
9:35.0,,,3-2,,Offensive rebound by T. Duncan
9:35.0,,,3-2,,T. Duncan misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by A. Roberson,,3-2,,
9:28.0,R. Westbrook makes 2-pt shot from 1 ft,2,5-2,,
9:07.0,,,5-2,,D. Green misses 2-pt shot from 13 ft
9:06.0,Defensive rebound by R. Westbrook,,5-2,,
9:05.0,Turnover by R. Westbrook (lost ball; steal by D. Green),,5-2,,
9:00.0,,,5-2,,K. Leonard misses 2-pt shot from 2 ft
8:59.0,Defensive rebound by S. Ibaka,,5-2,,
8:46.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,7-2,,
8:46.0,,,7-2,,San Antonio full timeout
8:31.0,,,7-2,,T. Duncan misses 2-pt shot from 1 ft (block by S. Ibaka)
8:29.0,Defensive rebound by S. Adams,,7-2,,
8:25.0,K. Durant misses 3-pt shot from 25 ft,,7-2,,
8:23.0,Offensive rebound by S. Adams,,7-2,,
8:13.0,Turnover by K. Durant (lost ball; steal by D. Green),,7-2,,
8:09.0,,,7-2,,D. Green misses 2-pt shot from 2 ft
8:09.0,,,7-2,,Offensive rebound by Team
7:55.0,,,7-2,,K. Leonard misses 2-pt shot from 11 ft
7:54.0,Defensive rebound by S. Adams,,7-2,,
7:48.0,R. Westbrook makes 2-pt shot from 2 ft,2,9-2,,
7:30.0,,,9-2,,Turnover by D. Green (lost ball; steal by S. Ibaka)
7:25.0,Turnover by A. Roberson (lost ball; steal by K. Leonard),,9-2,,
7:18.0,,,9-2,,K. Leonard misses 3-pt shot from 26 ft
7:16.0,,,9-2,,Offensive rebound by K. Leonard
7:12.0,,,9-2,,T. Parker misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by K. Durant,,9-2,,
7:05.0,Turnover by R. Westbrook (lost ball; steal by K. Leonard),,9-2,,
6:55.0,,,9-4,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
6:42.0,Oklahoma City full timeout,,9-4,,
6:36.0,K. Durant makes 2-pt shot from 15 ft,2,11-4,,
6:20.0,,,11-4,,D. Green misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by S. Adams,,11-4,,
6:11.0,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook),3,14-4,,
6:11.0,,,14-4,,San Antonio full timeout
6:11.0,,,14-4,,K. Anderson enters the game for K. Leonard
6:11.0,,,14-4,,M. Ginobili enters the game for D. Green
6:11.0,,,14-4,,D. West enters the game for T. Duncan
6:11.0,,,14-4,,P. Mills enters the game for T. Parker
6:04.0,,,14-4,,Turnover by P. Mills (lost ball; steal by A. Roberson)
6:02.0,Shooting foul by M. Ginobili (drawn by A. Roberson),,14-4,,
6:02.0,A. Roberson misses free throw 1 of 2,,14-4,,
6:02.0,Offensive rebound by Team,,14-4,,
6:02.0,A. Roberson misses free throw 2 of 2,,14-4,,
6:01.0,,,14-4,,Defensive rebound by D. West
5:47.0,,,14-4,,Turnover by M. Ginobili (lost ball; steal by S. Adams)
5:43.0,Shooting foul by D. West (drawn by K. Durant),,14-4,,
5:43.0,K. Durant makes free throw 1 of 2,1,15-4,,
5:43.0,K. Durant makes free throw 2 of 2,1,16-4,,
5:26.0,,,16-4,,L. Aldridge misses 2-pt shot from 1 ft
5:25.0,Defensive rebound by R. Westbrook,,16-4,,
5:23.0,Shooting foul by K. Anderson (drawn by R. Westbrook),,16-4,,
5:23.0,R. Westbrook misses free throw 1 of 2,,16-4,,
5:23.0,Offensive rebound by Team,,16-4,,
5:23.0,D. Waiters enters the game for K. Durant,,16-4,,
5:23.0,R. Westbrook makes free throw 2 of 2,1,17-4,,
5:04.0,,,17-6,2,L. Aldridge makes 2-pt shot from 12 ft
4:54.0,R. Westbrook makes 2-pt shot from 16 ft,2,19-6,,
4:38.0,,,19-6,,Turnover by D. West (lost ball; steal by R. Westbrook)
4:35.0,Offensive charge foul by R. Westbrook,,19-6,,
4:35.0,Turnover by R. Westbrook (offensive foul),,19-6,,
4:35.0,A. Morrow enters the game for A. Roberson,,19-6,,
4:21.0,,,19-8,2,M. Ginobili makes 2-pt shot from 14 ft
4:03.0,S. Ibaka misses 2-pt shot from 17 ft,,19-8,,
4:02.0,Offensive rebound by S. Ibaka,,19-8,,
3:42.0,S. Ibaka makes 2-pt shot from 4 ft,2,21-8,,
3:26.0,,,21-10,2,D. West makes 2-pt shot from 2 ft (assist by P. Mills)
3:04.0,D. Waiters misses 2-pt shot from 15 ft,,21-10,,
3:03.0,,,21-10,,Defensive rebound by M. Ginobili
2:50.0,,,21-12,2,L. Aldridge makes 2-pt shot from 8 ft
2:31.0,R. Westbrook makes 2-pt shot from 16 ft,2,23-12,,
2:16.0,,,23-14,2,D. West makes 2-pt shot from 1 ft (assist by L. Aldridge)
1:58.0,R. Westbrook misses 3-pt shot from 26 ft,,23-14,,
1:57.0,,,23-14,,Defensive rebound by D. West
1:47.0,,,23-14,,D. West misses 2-pt shot from 20 ft
1:46.0,Defensive rebound by S. Adams,,23-14,,
1:39.0,Shooting foul by K. Anderson (drawn by R. Westbrook),,23-14,,
1:39.0,R. Westbrook makes free throw 1 of 2,1,24-14,,
1:39.0,,,24-14,,K. Leonard enters the game for K. Anderson
1:39.0,E. Kanter enters the game for S. Adams,,24-14,,
1:39.0,K. Durant enters the game for S. Ibaka,,24-14,,
1:39.0,R. Westbrook makes free throw 2 of 2,1,25-14,,
1:28.0,,,25-16,2,M. Ginobili makes 2-pt shot from 1 ft (assist by L. Aldridge)
1:13.0,R. Westbrook misses 2-pt shot from 1 ft,,25-16,,
1:12.0,Offensive rebound by E. Kanter,,25-16,,
1:12.0,E. Kanter makes 2-pt shot from 1 ft,2,27-16,,
1:00.0,,,27-18,2,L. Aldridge makes 2-pt shot from 15 ft (assist by P. Mills)
0:50.0,Shooting foul by D. West (drawn by E. Kanter),,27-18,,
0:50.0,E. Kanter makes free throw 1 of 2,1,28-18,,
0:50.0,C. Payne enters the game for R. Westbrook,,28-18,,
0:50.0,,,28-18,,T. Duncan enters the game for D. West
0:50.0,,,28-18,,B. Diaw enters the game for L. Aldridge
0:50.0,E. Kanter makes free throw 2 of 2,1,29-18,,
0:33.0,,,29-18,,M. Ginobili misses 2-pt shot from 16 ft
0:32.0,Defensive rebound by E. Kanter,,29-18,,
0:29.0,Turnover by E. Kanter (bad pass),,29-18,,
0:13.0,Personal foul by D. Waiters,,29-18,,
0:01.0,,,29-21,3,M. Ginobili makes 3-pt shot from 25 ft (assist by B. Diaw)
0:00.0,C. Payne misses 3-pt shot from 60 ft,,29-21,,
0:00.0,Offensive rebound by Team,,29-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,29-21,,Personal foul by K. Leonard
11:35.0,D. Waiters misses 2-pt shot from 2 ft (block by M. Ginobili),,29-21,,
11:34.0,,,29-21,,Defensive rebound by P. Mills
11:26.0,,,29-21,,T. Duncan misses 2-pt shot from 1 ft
11:25.0,Defensive rebound by K. Durant,,29-21,,
11:23.0,Offensive charge foul by D. Waiters,,29-21,,
11:23.0,Turnover by D. Waiters (offensive foul),,29-21,,
11:07.0,,,29-21,,K. Leonard misses 2-pt shot from 4 ft (block by E. Kanter)
11:06.0,,,29-21,,Offensive rebound by Team
11:06.0,,,29-21,,D. Green enters the game for M. Ginobili
11:05.0,Personal foul by C. Payne,,29-21,,
10:52.0,,,29-24,3,P. Mills makes 3-pt shot from 27 ft
10:40.0,C. Payne misses 2-pt shot from 7 ft,,29-24,,
10:39.0,,,29-24,,Defensive rebound by T. Duncan
10:31.0,,,29-24,,P. Mills misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by E. Kanter,,29-24,,
10:23.0,A. Morrow misses 3-pt shot from 24 ft,,29-24,,
10:22.0,,,29-24,,Defensive rebound by K. Leonard
10:16.0,,,29-27,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
10:16.0,Oklahoma City full timeout,,29-27,,
10:16.0,S. Adams enters the game for A. Morrow,,29-27,,
10:01.0,Offensive foul by K. Durant,,29-27,,
10:01.0,Turnover by K. Durant (offensive foul),,29-27,,
10:01.0,,,29-27,,L. Aldridge enters the game for B. Diaw
9:48.0,,,29-27,,Turnover by K. Leonard (lost ball; steal by C. Payne)
9:43.0,K. Durant makes 2-pt shot at rim,2,31-27,,
9:33.0,Personal foul by C. Payne,,31-27,,
9:33.0,,,31-27,,B. Marjanovic enters the game for T. Duncan
9:23.0,,,31-29,2,L. Aldridge makes 2-pt shot from 3 ft
9:05.0,D. Waiters misses 2-pt shot from 2 ft (block by K. Leonard),,31-29,,
9:05.0,,,31-29,,Defensive rebound by B. Marjanovic
9:05.0,,,31-29,,Turnover by B. Marjanovic (step out of bounds)
9:05.0,R. Westbrook enters the game for C. Payne,,31-29,,
9:05.0,,,31-29,,T. Parker enters the game for P. Mills
9:02.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,33-29,,
8:43.0,,,33-31,2,L. Aldridge makes 2-pt shot from 14 ft
8:31.0,Turnover by K. Durant (bad pass),,33-31,,
8:13.0,,,33-33,2,K. Leonard makes 2-pt shot from 15 ft
8:02.0,,,33-33,,Shooting block foul by B. Marjanovic (drawn by E. Kanter)
8:02.0,E. Kanter makes free throw 1 of 2,1,34-33,,
8:02.0,E. Kanter makes free throw 2 of 2,1,35-33,,
7:47.0,,,35-33,,Shooting foul by S. Adams (drawn by L. Aldridge)
7:47.0,,,35-34,1,L. Aldridge makes free throw 1 of 2
7:47.0,S. Ibaka enters the game for E. Kanter,,35-34,,
7:47.0,A. Roberson enters the game for D. Waiters,,35-34,,
7:47.0,,,35-35,1,L. Aldridge makes free throw 2 of 2
7:36.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,37-35,,
7:22.0,,,37-37,2,K. Leonard makes 2-pt shot from 7 ft
7:06.0,S. Ibaka misses 3-pt shot from 24 ft,,37-37,,
7:04.0,,,37-37,,Defensive rebound by Team
6:42.0,,,37-39,2,K. Leonard makes 2-pt shot from 14 ft
6:27.0,K. Durant misses 2-pt shot from 15 ft,,37-39,,
6:26.0,,,37-39,,Defensive rebound by B. Marjanovic
6:20.0,,,37-39,,Turnover by T. Parker (bad pass)
6:20.0,,,37-39,,T. Duncan enters the game for B. Marjanovic
6:06.0,S. Ibaka misses 3-pt shot from 23 ft,,37-39,,
6:05.0,,,37-39,,Defensive rebound by D. Green
6:01.0,,,37-39,,San Antonio full timeout
5:51.0,,,37-39,,Shooting foul by A. Roberson (drawn by K. Leonard)
5:51.0,,,37-39,,K. Leonard misses free throw 1 of 2
5:51.0,,,37-39,,Offensive rebound by Team
5:51.0,,,37-39,,K. Leonard misses free throw 2 of 2
5:50.0,Defensive rebound by S. Adams,,37-39,,
5:34.0,Turnover by K. Durant (bad pass),,37-39,,
5:34.0,,,37-39,,M. Ginobili enters the game for K. Leonard
5:16.0,,,37-41,2,L. Aldridge makes 2-pt shot from 14 ft
5:02.0,S. Ibaka misses 2-pt shot from 20 ft,,37-41,,
5:01.0,Offensive rebound by Team,,37-41,,
5:01.0,,,37-41,,Loose ball foul by T. Duncan
5:01.0,A. Morrow enters the game for A. Roberson,,37-41,,
4:54.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,39-41,,
4:38.0,,,39-43,2,L. Aldridge makes 2-pt shot from 6 ft
4:27.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,41-43,,
4:03.0,,,41-45,2,L. Aldridge makes 2-pt shot from 6 ft
3:57.0,S. Ibaka makes 3-pt shot from 27 ft (assist by R. Westbrook),3,44-45,,
3:41.0,Personal foul by S. Ibaka,,44-45,,
3:41.0,,,44-46,1,L. Aldridge makes free throw 1 of 2
3:41.0,E. Kanter enters the game for S. Adams,,44-46,,
3:41.0,,,44-47,1,L. Aldridge makes free throw 2 of 2
3:31.0,R. Westbrook makes 2-pt shot from 1 ft,2,46-47,,
3:11.0,,,46-47,,B. Diaw enters the game for T. Duncan
3:03.0,,,46-47,,D. Green misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by E. Kanter,,46-47,,
2:56.0,R. Westbrook misses 2-pt shot from 1 ft (block by L. Aldridge),,46-47,,
2:54.0,Offensive rebound by E. Kanter,,46-47,,
2:53.0,E. Kanter makes 2-pt shot from 1 ft,2,48-47,,
2:40.0,,,48-49,2,T. Parker makes 2-pt shot from 1 ft
