time,Cleveland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. A. Stoudemire (L. Deng gains possession),,,,Jump ball: K. Love vs. A. Stoudemire (L. Deng gains possession)
11:36.0,,,0-0,,Shooting foul by K. Love (drawn by D. Wade)
11:36.0,,,0-1,1,D. Wade makes free throw 1 of 2
11:36.0,,,0-2,1,D. Wade makes free throw 2 of 2
11:24.0,K. Love misses 3-pt shot from 22 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by D. Wade
11:09.0,,,0-2,,J. Johnson misses 2-pt shot from 3 ft
11:08.0,,,0-2,,Offensive rebound by J. Johnson
11:07.0,,,0-4,2,J. Johnson makes 2-pt shot from 2 ft
10:56.0,,,0-4,,Personal block foul by A. Stoudemire
10:48.0,L. James makes 2-pt shot from 1 ft (assist by K. Irving),2,2-4,,
10:32.0,,,2-4,,Turnover by A. Stoudemire (3 sec)
10:15.0,K. Irving makes 2-pt shot from 19 ft,2,4-4,,
10:00.0,,,4-7,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
9:48.0,K. Irving makes 3-pt shot from 24 ft,3,7-7,,
9:27.0,,,7-7,,A. Stoudemire misses 2-pt shot from 8 ft
9:26.0,,,7-7,,Offensive rebound by D. Wade
9:25.0,,,7-9,2,D. Wade makes 2-pt shot at rim
9:11.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,9-9,,
8:53.0,,,9-11,2,G. Dragic makes 2-pt shot from 9 ft (assist by A. Stoudemire)
8:40.0,Offensive charge foul by K. Love,,9-11,,
8:40.0,Turnover by K. Love (offensive foul),,9-11,,
8:40.0,T. Thompson enters the game for K. Love,,9-11,,
8:30.0,,,9-13,2,A. Stoudemire makes 2-pt shot from 2 ft (assist by J. Johnson)
8:07.0,L. James misses 2-pt shot from 13 ft,,9-13,,
8:06.0,,,9-13,,Defensive rebound by A. Stoudemire
7:55.0,,,9-13,,D. Wade misses 2-pt shot from 16 ft
7:54.0,Defensive rebound by L. James,,9-13,,
7:48.0,L. James makes 2-pt shot from 1 ft,2,11-13,,
7:28.0,,,11-15,2,A. Stoudemire makes 2-pt shot from 17 ft (assist by G. Dragic)
7:09.0,I. Shumpert misses 3-pt shot from 23 ft,,11-15,,
7:08.0,,,11-15,,Defensive rebound by L. Deng
7:01.0,,,11-18,3,J. Johnson makes 3-pt shot from 23 ft (assist by D. Wade)
6:36.0,Shooting foul by A. Stoudemire (drawn by I. Shumpert),,11-18,,
6:36.0,I. Shumpert makes free throw 1 of 2,1,12-18,,
6:36.0,,,12-18,,H. Whiteside enters the game for A. Stoudemire
6:36.0,I. Shumpert makes free throw 2 of 2,1,13-18,,
6:17.0,,,13-18,,Turnover by L. Deng (traveling)
6:04.0,L. James misses 3-pt shot from 25 ft,,13-18,,
6:03.0,Offensive rebound by I. Shumpert,,13-18,,
5:55.0,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving),2,15-18,,
5:44.0,,,15-18,,Offensive charge foul by D. Wade
5:44.0,,,15-18,,Turnover by D. Wade (offensive foul)
5:44.0,,,15-18,,Miami full timeout
5:44.0,,,15-18,,J. Winslow enters the game for L. Deng
5:44.0,,,15-18,,J. Richardson enters the game for G. Dragic
5:31.0,J. Smith misses 3-pt shot from 23 ft,,15-18,,
5:30.0,,,15-18,,Defensive rebound by H. Whiteside
5:22.0,Personal foul by L. James,,15-18,,
5:22.0,M. Dellavedova enters the game for K. Irving,,15-18,,
5:15.0,Personal foul by J. Smith,,15-18,,
5:05.0,,,15-20,2,D. Wade makes 2-pt shot from 11 ft
4:56.0,M. Dellavedova misses 2-pt shot from 1 ft (block by J. Richardson),,15-20,,
4:55.0,,,15-20,,Defensive rebound by J. Winslow
4:50.0,,,15-20,,D. Wade misses 2-pt shot at rim
4:49.0,Defensive rebound by L. James,,15-20,,
4:30.0,Turnover by L. James (lost ball; steal by D. Wade),,15-20,,
4:28.0,,,15-20,,Turnover by D. Wade (lost ball; steal by L. James)
4:25.0,L. James makes 2-pt shot from 1 ft,2,17-20,,
3:56.0,,,17-22,2,J. Johnson makes 2-pt shot from 1 ft (assist by H. Whiteside)
3:32.0,T. Thompson misses 2-pt shot from 1 ft (block by H. Whiteside),,17-22,,
3:31.0,,,17-22,,Defensive rebound by H. Whiteside
3:24.0,,,17-25,3,J. Richardson makes 3-pt shot from 25 ft (assist by J. Winslow)
3:23.0,Cleveland full timeout,,17-25,,
3:23.0,K. Irving enters the game for L. James,,17-25,,
3:23.0,C. Frye enters the game for I. Shumpert,,17-25,,
3:23.0,,,17-25,,G. Dragic enters the game for D. Wade
3:00.0,K. Irving makes 2-pt shot at rim,2,19-25,,
2:37.0,,,19-25,,J. Winslow misses 2-pt shot from 21 ft
2:34.0,,,19-25,,Offensive rebound by G. Dragic
2:33.0,,,19-25,,Turnover by Team (shot clock)
2:25.0,Offensive foul by C. Frye,,19-25,,
2:25.0,Turnover by C. Frye (offensive foul),,19-25,,
2:25.0,R. Jefferson enters the game for J. Smith,,19-25,,
2:07.0,,,19-25,,Turnover by H. Whiteside (lost ball; steal by K. Irving)
1:59.0,Turnover by K. Irving (lost ball),,19-25,,
1:48.0,,,19-27,2,G. Dragic makes 2-pt shot from 1 ft
1:32.0,,,19-27,,Personal foul by J. Winslow
1:32.0,,,19-27,,L. Deng enters the game for J. Johnson
1:21.0,K. Irving misses 2-pt shot from 18 ft,,19-27,,
1:20.0,,,19-27,,Defensive rebound by H. Whiteside
1:13.0,,,19-29,2,J. Winslow makes 2-pt shot from 5 ft (assist by G. Dragic)
0:55.0,R. Jefferson misses 2-pt shot at rim,,19-29,,
0:54.0,,,19-29,,Defensive rebound by J. Richardson
0:41.0,,,19-29,,G. Dragic misses 2-pt shot from 10 ft
0:40.0,,,19-29,,Offensive rebound by H. Whiteside
