time,Indiana,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. N. Noel,,,,Jump ball: I. Mahinmi vs. N. Noel
11:47.0,,,0-3,3,T. McConnell makes 3-pt shot from 25 ft (assist by N. Stauskas)
11:22.0,L. Allen makes 2-pt shot from 2 ft,2,2-3,,
11:08.0,,,2-3,,Turnover by N. Noel (bad pass; steal by P. George)
10:59.0,P. George misses 2-pt shot from 17 ft,,2-3,,
10:58.0,,,2-3,,Defensive rebound by T. McConnell
10:53.0,,,2-3,,Turnover by T. McConnell (bad pass; steal by M. Ellis)
10:47.0,C. Miles makes 2-pt shot from 16 ft (assist by M. Ellis),2,4-3,,
10:32.0,,,4-5,2,N. Stauskas makes 2-pt shot from 3 ft
10:17.0,C. Miles misses 2-pt shot from 4 ft (block by J. Grant),,4-5,,
10:17.0,Offensive rebound by Team,,4-5,,
10:09.0,L. Allen misses 2-pt shot from 20 ft,,4-5,,
10:07.0,,,4-5,,Defensive rebound by T. McConnell
9:58.0,,,4-5,,Turnover by T. McConnell (lost ball)
9:44.0,P. George misses 2-pt shot from 11 ft,,4-5,,
9:42.0,Offensive rebound by L. Allen,,4-5,,
9:40.0,L. Allen makes 2-pt shot from 5 ft,2,6-5,,
9:26.0,,,6-5,,Turnover by J. Okafor (3 sec)
9:17.0,P. George misses 3-pt shot from 25 ft,,6-5,,
9:16.0,,,6-5,,Defensive rebound by J. Okafor
9:08.0,,,6-5,,J. Grant misses 2-pt shot from 3 ft (block by L. Allen)
9:08.0,,,6-5,,Offensive rebound by Team
8:57.0,,,6-8,3,N. Stauskas makes 3-pt shot from 26 ft (assist by T. McConnell)
8:43.0,C. Miles makes 2-pt shot from 9 ft (assist by I. Mahinmi),2,8-8,,
8:20.0,,,8-8,,T. McConnell misses 3-pt shot from 25 ft
8:18.0,,,8-8,,Offensive rebound by N. Noel
8:00.0,,,8-8,,Shooting foul by I. Mahinmi (drawn by J. Okafor)
8:00.0,,,8-9,1,J. Okafor makes free throw 1 of 2
8:00.0,,,8-9,,R. Covington enters the game for N. Noel
8:00.0,,,8-9,,J. Okafor misses free throw 2 of 2
7:58.0,Defensive rebound by P. George,,8-9,,
7:47.0,C. Miles misses 3-pt shot from 25 ft (block by N. Stauskas),,8-9,,
7:46.0,Offensive rebound by C. Miles,,8-9,,
7:35.0,P. George makes 2-pt shot from 20 ft,2,10-9,,
7:12.0,,,10-11,2,J. Okafor makes 2-pt shot from 6 ft
6:56.0,I. Mahinmi misses 2-pt shot from 16 ft,,10-11,,
6:54.0,,,10-11,,Defensive rebound by R. Covington
6:33.0,,,10-11,,R. Covington misses 3-pt shot from 26 ft
6:33.0,,,10-11,,Offensive rebound by Team
6:33.0,,,10-11,,H. Thompson enters the game for N. Stauskas
6:31.0,,,10-11,,Turnover by Team (shot clock)
6:25.0,C. Budinger enters the game for L. Allen,,10-11,,
6:17.0,P. George misses 2-pt shot from 9 ft,,10-11,,
