time,Denver,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. N. Jokic (K. Faried gains possession),,,,Jump ball: R. Gobert vs. N. Jokic (K. Faried gains possession)
11:45.0,Turnover by E. Mudiay (bad pass),,0-0,,
11:32.0,,,0-0,,R. Neto misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by D. Gallinari,,0-0,,
11:11.0,G. Harris misses 3-pt shot from 24 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by R. Hood
10:59.0,,,0-0,,D. Favors misses 2-pt shot from 15 ft
10:59.0,Defensive rebound by G. Harris,,0-0,,
10:38.0,N. Jokic misses 2-pt shot from 16 ft,,0-0,,
10:37.0,,,0-0,,Defensive rebound by D. Favors
10:23.0,,,0-0,,Turnover by R. Hood (bad pass; steal by N. Jokic)
10:19.0,Shooting foul by R. Neto (drawn by K. Faried),,0-0,,
10:19.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,2-0,,
10:19.0,K. Faried makes free throw 1 of 1,1,3-0,,
9:58.0,,,3-2,2,D. Favors makes 2-pt shot at rim
9:48.0,K. Faried misses 2-pt shot from 18 ft,,3-2,,
9:47.0,,,3-2,,Defensive rebound by R. Gobert
9:26.0,,,3-5,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Neto)
9:06.0,D. Gallinari misses 2-pt shot from 3 ft,,3-5,,
9:05.0,,,3-5,,Defensive rebound by G. Hayward
9:00.0,Personal foul by G. Harris (drawn by R. Neto),,3-5,,
8:58.0,Personal foul by K. Faried (drawn by R. Neto),,3-5,,
8:49.0,,,3-5,,D. Favors misses 2-pt shot from 17 ft
8:48.0,Defensive rebound by G. Harris,,3-5,,
8:30.0,E. Mudiay makes 2-pt shot from 8 ft,2,5-5,,
8:11.0,,,5-7,2,R. Gobert makes 2-pt shot at rim (assist by R. Neto)
7:46.0,E. Mudiay makes 2-pt shot from 15 ft (assist by N. Jokic),2,7-7,,
7:25.0,,,7-7,,D. Favors misses 2-pt shot from 16 ft
7:24.0,Defensive rebound by Team,,7-7,,
7:12.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,10-7,,
6:52.0,,,10-9,2,D. Favors makes 2-pt shot at rim (assist by R. Gobert)
6:32.0,K. Faried makes 2-pt shot from 5 ft,2,12-9,,
6:12.0,,,12-11,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto)
5:50.0,D. Gallinari misses 2-pt shot from 7 ft,,12-11,,
5:49.0,,,12-11,,Defensive rebound by D. Favors
5:47.0,,,12-11,,Turnover by D. Favors (bad pass; steal by E. Mudiay)
5:42.0,D. Gallinari misses 3-pt shot from 24 ft,,12-11,,
5:42.0,,,12-11,,Defensive rebound by R. Neto
5:31.0,,,12-14,3,R. Neto makes 3-pt shot from 23 ft
5:08.0,K. Faried makes 2-pt shot from 2 ft (assist by N. Jokic),2,14-14,,
5:07.0,,,14-14,,Utah full timeout
4:47.0,,,14-14,,G. Hayward misses 2-pt shot from 10 ft
4:47.0,Defensive rebound by N. Jokic,,14-14,,
4:37.0,G. Harris misses 3-pt shot from 23 ft,,14-14,,
4:36.0,,,14-14,,Defensive rebound by R. Gobert
4:24.0,,,14-14,,R. Hood misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by K. Faried,,14-14,,
4:04.0,D. Gallinari makes 3-pt shot from 24 ft (assist by E. Mudiay),3,17-14,,
3:41.0,Personal foul by N. Jokic (drawn by R. Gobert),,17-14,,
3:41.0,,,17-14,,T. Booker enters the game for D. Favors
3:23.0,,,17-16,2,R. Gobert makes 2-pt shot from 2 ft
3:12.0,Shooting foul by R. Neto (drawn by E. Mudiay),,17-16,,
3:12.0,E. Mudiay misses free throw 1 of 2,,17-16,,
3:12.0,Offensive rebound by Team,,17-16,,
3:12.0,W. Barton enters the game for G. Harris,,17-16,,
3:12.0,J. Lauvergne enters the game for N. Jokic,,17-16,,
3:12.0,,,17-16,,C. Johnson enters the game for R. Hood
3:12.0,,,17-16,,T. Burke enters the game for R. Neto
3:12.0,E. Mudiay makes free throw 2 of 2,1,18-16,,
3:01.0,,,18-19,3,C. Johnson makes 3-pt shot from 22 ft (assist by G. Hayward)
2:42.0,Denver full timeout,,18-19,,
2:42.0,J. Nurkic enters the game for K. Faried,,18-19,,
