time,Portland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Plumlee (P. Beverley gains possession),,,,Jump ball: D. Howard vs. M. Plumlee (P. Beverley gains possession)
11:46.0,,,0-0,,Turnover by C. Brewer (lost ball; steal by C. McCollum)
11:41.0,Turnover by D. Lillard (bad pass; steal by J. Harden),,0-0,,
11:38.0,,,0-0,,Turnover by J. Harden (lost ball; steal by A. Aminu)
11:32.0,M. Harkless makes 3-pt shot from 22 ft (assist by A. Aminu),3,3-0,,
11:15.0,,,3-0,,P. Beverley misses 3-pt shot from 24 ft
11:13.0,,,3-0,,Offensive rebound by Team
11:07.0,,,3-3,3,T. Ariza makes 3-pt shot from 23 ft (assist by C. Brewer)
10:50.0,Turnover by M. Plumlee (bad pass; steal by D. Howard),,3-3,,
10:39.0,,,3-5,2,J. Harden makes 2-pt shot from 2 ft (assist by C. Brewer)
10:14.0,M. Plumlee misses 2-pt shot from 1 ft,,3-5,,
10:14.0,Offensive rebound by C. McCollum,,3-5,,
10:11.0,C. McCollum misses 2-pt shot from 1 ft,,3-5,,
10:10.0,,,3-5,,Defensive rebound by J. Harden
10:06.0,,,3-5,,Turnover by J. Harden (bad pass)
9:43.0,M. Plumlee makes 2-pt shot from 6 ft (assist by A. Aminu),2,5-5,,
9:23.0,,,5-5,,J. Harden misses 2-pt shot from 11 ft
9:22.0,Defensive rebound by A. Aminu,,5-5,,
9:14.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,7-5,,
9:07.0,,,7-5,,Turnover by C. Brewer (lost ball; steal by C. McCollum)
9:01.0,C. McCollum makes 2-pt shot from 9 ft,2,9-5,,
8:40.0,,,9-5,,Turnover by J. Harden (bad pass; steal by C. McCollum)
8:36.0,Turnover by C. McCollum (bad pass; steal by T. Ariza),,9-5,,
8:22.0,,,9-7,2,T. Ariza makes 2-pt shot from 2 ft
8:03.0,M. Harkless makes 3-pt shot from 25 ft (assist by C. McCollum),3,12-7,,
7:50.0,,,12-7,,P. Beverley misses 3-pt shot from 25 ft
7:49.0,,,12-7,,Offensive rebound by D. Howard
7:47.0,,,12-9,2,D. Howard makes 2-pt shot from 5 ft
7:32.0,Offensive charge foul by M. Plumlee,,12-9,,
7:32.0,Turnover by M. Plumlee (offensive foul),,12-9,,
7:14.0,,,12-11,2,D. Howard makes 2-pt shot from 1 ft (assist by C. Brewer)
7:01.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,14-11,,
6:48.0,,,14-11,,C. Brewer misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by D. Lillard,,14-11,,
6:37.0,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard),3,17-11,,
6:36.0,,,17-11,,Houston full timeout
6:36.0,,,17-11,,J. Smith enters the game for C. Brewer
