time,Dallas,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Mejri vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: S. Mejri vs. M. Plumlee (D. Lillard gains possession)
11:41.0,,,0-0,,M. Harkless misses 3-pt shot from 22 ft
11:40.0,Defensive rebound by W. Matthews,,0-0,,
11:21.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Williams),2,2-0,,
11:03.0,,,2-0,,Shooting foul by D. Nowitzki (drawn by M. Harkless)
11:03.0,,,2-1,1,M. Harkless makes free throw 1 of 2
11:03.0,,,2-2,1,M. Harkless makes free throw 2 of 2
10:46.0,D. Williams misses 2-pt shot from 3 ft (block by D. Lillard),,2-2,,
10:45.0,,,2-2,,Defensive rebound by D. Lillard
10:40.0,,,2-4,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
10:26.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Williams),2,4-4,,
10:12.0,,,4-6,2,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Harkless)
10:02.0,S. Mejri misses 2-pt shot from 1 ft (block by M. Plumlee),,4-6,,
10:01.0,Offensive rebound by S. Mejri,,4-6,,
9:59.0,Turnover by S. Mejri (lost ball; steal by M. Plumlee),,4-6,,
9:51.0,,,4-6,,M. Harkless misses 2-pt shot at rim
9:50.0,Defensive rebound by S. Mejri,,4-6,,
9:35.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,7-6,,
9:11.0,,,7-9,3,D. Lillard makes 3-pt shot from 28 ft (assist by M. Harkless)
9:00.0,S. Mejri makes 2-pt shot at rim (assist by D. Williams),2,9-9,,
8:39.0,,,9-9,,M. Harkless misses 2-pt shot from 2 ft
8:39.0,Defensive rebound by S. Mejri,,9-9,,
8:25.0,R. Felton misses 3-pt shot from 25 ft,,9-9,,
8:24.0,,,9-9,,Defensive rebound by A. Aminu
8:15.0,,,9-9,,A. Aminu misses 2-pt shot from 4 ft
8:13.0,Defensive rebound by S. Mejri,,9-9,,
8:04.0,D. Williams misses 3-pt shot from 25 ft,,9-9,,
8:01.0,,,9-9,,Defensive rebound by M. Plumlee
7:57.0,Personal foul by S. Mejri,,9-9,,
7:46.0,,,9-9,,M. Harkless misses 3-pt shot from 24 ft
7:45.0,,,9-9,,Offensive rebound by M. Plumlee
7:36.0,,,9-9,,D. Lillard misses 2-pt shot from 9 ft
7:35.0,Defensive rebound by D. Nowitzki,,9-9,,
7:26.0,Shooting foul by M. Harkless (drawn by S. Mejri),,9-9,,
7:26.0,S. Mejri makes free throw 1 of 2,1,10-9,,
7:26.0,S. Mejri makes free throw 2 of 2,1,11-9,,
7:09.0,,,11-11,2,C. McCollum makes 2-pt shot from 16 ft
6:57.0,S. Mejri misses 2-pt shot from 4 ft,,11-11,,
6:56.0,,,11-11,,Defensive rebound by M. Plumlee
6:49.0,,,11-13,2,M. Harkless makes 2-pt shot at rim
6:38.0,S. Mejri makes 2-pt shot at rim (assist by D. Williams),2,13-13,,
6:37.0,Violation by Team (jump ball),,13-13,,
6:22.0,,,13-15,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
6:10.0,D. Nowitzki misses 2-pt shot from 17 ft,,13-15,,
6:10.0,,,13-15,,Defensive rebound by D. Lillard
6:00.0,,,13-15,,Turnover by D. Lillard (lost ball; steal by W. Matthews)
5:52.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Williams),3,16-15,,
5:52.0,,,16-15,,Portland full timeout
5:52.0,C. Villanueva enters the game for D. Nowitzki,,16-15,,
5:52.0,,,16-15,,N. Vonleh enters the game for C. McCollum
5:52.0,,,16-15,,A. Crabbe enters the game for A. Aminu
5:28.0,,,16-15,,M. Plumlee misses 2-pt shot from 3 ft
5:26.0,Defensive rebound by C. Villanueva,,16-15,,
5:18.0,D. Lee enters the game for S. Mejri,,16-15,,
5:14.0,Turnover by C. Villanueva (lost ball; steal by M. Plumlee),,16-15,,
5:09.0,,,16-17,2,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard)
4:48.0,Turnover by R. Felton (lost ball; steal by A. Crabbe),,16-17,,
4:44.0,,,16-19,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
4:44.0,Dallas full timeout,,16-19,,
4:44.0,,,16-19,,E. Davis enters the game for M. Plumlee
4:44.0,D. Harris enters the game for R. Felton,,16-19,,
4:29.0,D. Williams makes 2-pt shot from 3 ft,2,18-19,,
4:10.0,,,18-21,2,E. Davis makes 2-pt shot from 6 ft (assist by A. Crabbe)
4:10.0,,,18-21,,Shooting foul by C. Villanueva (drawn by E. Davis)
4:10.0,,,18-21,,G. Henderson enters the game for M. Harkless
4:10.0,,,18-22,1,E. Davis makes free throw 1 of 1
3:57.0,D. Williams misses 2-pt shot from 5 ft,,18-22,,
3:57.0,Offensive rebound by C. Villanueva,,18-22,,
3:48.0,D. Lee misses 2-pt shot from 1 ft,,18-22,,
3:47.0,,,18-22,,Defensive rebound by N. Vonleh
3:41.0,,,18-22,,Turnover by D. Lillard (lost ball; steal by W. Matthews)
3:25.0,W. Matthews misses 2-pt shot from 6 ft,,18-22,,
3:24.0,Offensive rebound by D. Lee,,18-22,,
3:22.0,D. Lee makes 2-pt shot from 1 ft,2,20-22,,
3:01.0,,,20-22,,Turnover by E. Davis (lost ball; steal by D. Harris)
2:54.0,C. Villanueva misses 3-pt shot from 26 ft,,20-22,,
2:53.0,Offensive rebound by D. Williams,,20-22,,
2:44.0,D. Williams misses 2-pt shot from 15 ft,,20-22,,
2:44.0,Offensive rebound by Team,,20-22,,
2:44.0,,,20-22,,Loose ball foul by E. Davis
2:35.0,C. Villanueva misses 2-pt shot from 1 ft,,20-22,,
2:35.0,,,20-22,,Defensive rebound by E. Davis
2:24.0,,,20-22,,D. Lillard misses 2-pt shot from 6 ft
2:24.0,,,20-22,,Offensive rebound by E. Davis
2:24.0,,,20-22,,Shooting foul by D. Lee (drawn by E. Davis)
2:24.0,,,20-23,1,E. Davis makes free throw 1 of 2
2:24.0,D. Nowitzki enters the game for C. Villanueva,,20-23,,
2:24.0,J. Barea enters the game for D. Williams,,20-23,,
2:24.0,,,20-23,,A. Aminu enters the game for N. Vonleh
2:24.0,J. Anderson enters the game for W. Matthews,,20-23,,
2:24.0,,,20-24,1,E. Davis makes free throw 2 of 2
2:15.0,D. Harris makes 2-pt shot from 9 ft (assist by J. Barea),2,22-24,,
1:58.0,,,22-26,2,E. Davis makes 2-pt shot from 9 ft (assist by D. Lillard)
1:45.0,J. Barea makes 2-pt shot from 4 ft,2,24-26,,
1:29.0,,,24-26,,G. Henderson misses 2-pt shot from 19 ft
1:28.0,Defensive rebound by J. Anderson,,24-26,,
1:20.0,Turnover by J. Anderson (lost ball; steal by E. Davis),,24-26,,
1:18.0,,,24-26,,Shooting foul by J. Barea (drawn by G. Henderson)
1:18.0,,,24-27,1,G. Henderson makes free throw 1 of 2
1:18.0,,,24-28,1,G. Henderson makes free throw 2 of 2
1:07.0,Turnover by J. Barea (bad pass),,24-28,,
0:56.0,,,24-28,,D. Lillard misses 2-pt shot from 15 ft
0:54.0,Defensive rebound by J. Anderson,,24-28,,
0:47.0,Shooting foul by A. Crabbe (drawn by J. Barea),,24-28,,
0:47.0,J. Barea makes free throw 1 of 2,1,25-28,,
0:47.0,J. Barea makes free throw 2 of 2,1,26-28,,
0:34.0,,,26-28,,A. Aminu misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by D. Harris,,26-28,,
0:11.0,J. Anderson misses 3-pt shot from 24 ft,,26-28,,
0:10.0,,,26-28,,Defensive rebound by A. Aminu
0:08.0,,,26-28,,Turnover by A. Aminu (bad pass)
0:08.0,D. Williams enters the game for J. Anderson,,26-28,,
0:01.0,D. Williams misses 2-pt shot from 5 ft,,26-28,,
0:00.0,Offensive rebound by D. Lee,,26-28,,
0:00.0,D. Lee misses 2-pt shot from 1 ft,,26-28,,
0:00.0,Offensive rebound by Team,,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Anderson misses 3-pt shot from 25 ft,,26-28,,
11:44.0,,,26-28,,Defensive rebound by Team
11:32.0,,,26-28,,A. Crabbe misses 2-pt shot from 13 ft (block by D. Nowitzki)
11:31.0,,,26-28,,Offensive rebound by E. Davis
11:29.0,,,26-30,2,E. Davis makes 2-pt shot at rim
11:09.0,D. Harris makes 2-pt shot from 21 ft (assist by J. Barea),2,28-30,,
10:59.0,,,28-30,,C. McCollum misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by D. Harris,,28-30,,
10:52.0,J. Barea makes 2-pt shot from 16 ft,2,30-30,,
10:32.0,,,30-30,,A. Aminu misses 2-pt shot from 3 ft
10:32.0,,,30-30,,Offensive rebound by Team
10:23.0,,,30-30,,A. Crabbe misses 2-pt shot from 15 ft
10:22.0,,,30-30,,Offensive rebound by A. Crabbe
10:18.0,,,30-30,,E. Davis misses 2-pt shot from 2 ft
10:17.0,Defensive rebound by D. Lee,,30-30,,
10:06.0,Turnover by D. Harris (lost ball; steal by A. Aminu),,30-30,,
10:03.0,,,30-32,2,E. Davis makes 2-pt shot from 4 ft (assist by A. Aminu)
10:03.0,,,30-32,,Shooting foul by D. Harris (drawn by E. Davis)
10:03.0,,,30-33,1,E. Davis makes free throw 1 of 1
9:41.0,D. Harris makes 2-pt shot from 15 ft (assist by D. Nowitzki),2,32-33,,
9:28.0,,,32-33,,C. McCollum misses 2-pt shot from 2 ft
9:27.0,,,32-33,,Offensive rebound by E. Davis
9:27.0,,,32-35,2,E. Davis makes 2-pt shot from 1 ft
9:15.0,J. Barea makes 2-pt shot from 8 ft,2,34-35,,
9:00.0,,,34-37,2,C. McCollum makes 2-pt shot from 1 ft
8:49.0,J. Barea misses 2-pt shot from 5 ft (block by A. Aminu),,34-37,,
8:49.0,Offensive rebound by Team,,34-37,,
8:49.0,Official timeout,,34-37,,
8:49.0,,,34-37,,B. Roberts enters the game for A. Crabbe
8:49.0,D. Williams enters the game for D. Nowitzki,,34-37,,
8:49.0,C. Villanueva enters the game for D. Lee,,34-37,,
8:49.0,S. Mejri enters the game for D. Harris,,34-37,,
8:49.0,W. Matthews enters the game for J. Anderson,,34-37,,
8:49.0,,,34-37,,M. Harkless enters the game for A. Aminu
8:45.0,Turnover by C. Villanueva (lost ball; steal by M. Harkless),,34-37,,
8:38.0,,,34-37,,C. McCollum misses 2-pt shot from 2 ft (block by C. Villanueva)
8:35.0,,,34-37,,Offensive rebound by G. Henderson
8:35.0,,,34-39,2,G. Henderson makes 2-pt shot at rim
8:25.0,Turnover by D. Williams (lost ball; steal by E. Davis),,34-39,,
8:14.0,,,34-41,2,B. Roberts makes 2-pt shot from 15 ft
8:14.0,Dallas full timeout,,34-41,,
8:00.0,J. Barea misses 2-pt shot from 1 ft,,34-41,,
8:00.0,Offensive rebound by J. Barea,,34-41,,
8:00.0,J. Barea misses 2-pt shot from 1 ft,,34-41,,
7:59.0,Offensive rebound by C. Villanueva,,34-41,,
7:59.0,C. Villanueva makes 2-pt shot at rim,2,36-41,,
7:59.0,Shooting foul by E. Davis (drawn by C. Villanueva),,36-41,,
