time,Houston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. R. Lopez (P. Beverley gains possession),,,,Jump ball: D. Howard vs. R. Lopez (P. Beverley gains possession)
11:40.0,D. Howard makes 2-pt shot from 6 ft,2,2-0,,
11:23.0,,,2-0,,K. Porzingis misses 2-pt shot from 8 ft
11:22.0,Defensive rebound by P. Beverley,,2-0,,
11:12.0,J. Harden misses 3-pt shot from 24 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by R. Lopez
10:59.0,,,2-0,,Turnover by A. Afflalo (bad pass; steal by J. Harden)
10:54.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,4-0,,
10:32.0,,,4-3,3,L. Thomas makes 3-pt shot from 22 ft (assist by K. Porzingis)
10:10.0,C. Capela misses 2-pt shot from 2 ft (block by K. Porzingis),,4-3,,
10:09.0,,,4-3,,Defensive rebound by J. Calderon
10:03.0,,,4-3,,J. Calderon misses 2-pt shot from 16 ft
10:03.0,,,4-3,,Offensive rebound by K. Porzingis
9:45.0,,,4-5,2,A. Afflalo makes 2-pt shot from 19 ft (assist by R. Lopez)
9:40.0,,,4-5,,Personal foul by R. Lopez (drawn by P. Beverley)
9:28.0,J. Harden misses 2-pt shot from 20 ft,,4-5,,
9:28.0,,,4-5,,Defensive rebound by K. Porzingis
9:18.0,,,4-5,,J. Calderon misses 2-pt shot from 19 ft
9:17.0,,,4-5,,Offensive rebound by Team
9:17.0,Loose ball foul by D. Howard (drawn by K. Porzingis),,4-5,,
9:10.0,,,4-5,,Shooting foul by T. Ariza (drawn by A. Afflalo)
9:10.0,,,4-6,1,A. Afflalo makes free throw 1 of 2
9:10.0,,,4-6,,A. Afflalo misses free throw 2 of 2
9:09.0,Defensive rebound by C. Capela,,4-6,,
8:54.0,Shooting foul by R. Lopez (drawn by C. Capela),,4-6,,
8:54.0,C. Capela makes 2-pt shot from 2 ft (assist by D. Howard),2,6-6,,
8:54.0,,,6-6,,K. Seraphin enters the game for R. Lopez
8:54.0,C. Capela misses free throw 1 of 1,,6-6,,
8:53.0,Offensive rebound by T. Ariza,,6-6,,
8:53.0,T. Ariza makes 2-pt shot at rim,2,8-6,,
8:33.0,,,8-8,2,K. Porzingis makes 2-pt shot from 10 ft
8:19.0,,,8-8,,Personal foul by K. Porzingis (drawn by C. Capela)
8:19.0,T. Jones enters the game for D. Howard,,8-8,,
8:09.0,J. Harden makes 2-pt shot from 1 ft,2,10-8,,
7:54.0,,,10-8,,K. Seraphin misses 2-pt shot from 14 ft
7:53.0,Defensive rebound by C. Capela,,10-8,,
7:42.0,P. Beverley misses 3-pt shot from 23 ft,,10-8,,
7:42.0,,,10-8,,Defensive rebound by K. Porzingis
7:32.0,,,10-8,,A. Afflalo misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by T. Jones,,10-8,,
7:23.0,J. Harden misses 3-pt shot from 26 ft,,10-8,,
7:23.0,,,10-8,,Defensive rebound by A. Afflalo
7:10.0,,,10-8,,K. Seraphin misses 2-pt shot from 18 ft
7:10.0,Defensive rebound by C. Capela,,10-8,,
6:56.0,T. Jones misses 2-pt shot from 1 ft,,10-8,,
6:55.0,,,10-8,,Defensive rebound by K. Seraphin
6:33.0,,,10-10,2,K. Seraphin makes 2-pt shot from 8 ft
6:07.0,P. Beverley misses 3-pt shot from 25 ft,,10-10,,
6:07.0,,,10-10,,Defensive rebound by K. Porzingis
5:52.0,,,10-10,,K. Porzingis misses 2-pt shot from 13 ft
5:51.0,Defensive rebound by C. Capela,,10-10,,
5:41.0,J. Harden makes 2-pt shot from 14 ft,2,12-10,,
5:35.0,,,12-10,,New York full timeout
5:35.0,J. Terry enters the game for P. Beverley,,12-10,,
5:17.0,,,12-10,,K. Seraphin misses 2-pt shot from 5 ft
5:17.0,Defensive rebound by T. Ariza,,12-10,,
4:57.0,,,12-10,,Personal foul by L. Thomas (drawn by J. Harden)
4:50.0,Turnover by J. Terry (traveling),,12-10,,
4:44.0,,,12-10,,Shooting foul by J. Terry (drawn by J. Calderon)
4:44.0,,,12-11,1,J. Calderon makes free throw 1 of 2
4:44.0,,,12-12,1,J. Calderon makes free throw 2 of 2
4:28.0,T. Ariza misses 2-pt shot from 1 ft,,12-12,,
4:27.0,Offensive rebound by C. Capela,,12-12,,
4:27.0,C. Capela misses 2-pt shot at rim,,12-12,,
4:26.0,,,12-12,,Defensive rebound by A. Afflalo
4:14.0,,,12-14,2,A. Afflalo makes 2-pt shot from 19 ft (assist by J. Calderon)
3:51.0,J. Terry makes 3-pt shot from 25 ft (assist by T. Jones),3,15-14,,
3:37.0,,,15-17,3,A. Afflalo makes 3-pt shot from 24 ft (assist by J. Calderon)
3:22.0,Shooting foul by K. Seraphin (drawn by C. Capela),,15-17,,
3:22.0,C. Capela makes free throw 1 of 2,1,16-17,,
3:22.0,,,16-17,,D. Williams enters the game for K. Porzingis
3:22.0,,,16-17,,L. Galloway enters the game for J. Calderon
3:22.0,K. McDaniels enters the game for T. Ariza,,16-17,,
3:22.0,C. Capela misses free throw 2 of 2,,16-17,,
3:21.0,,,16-17,,Defensive rebound by K. Seraphin
3:04.0,,,16-19,2,L. Galloway makes 2-pt shot from 1 ft (assist by K. Seraphin)
2:46.0,J. Harden misses 2-pt shot from 16 ft,,16-19,,
2:46.0,Offensive rebound by T. Jones,,16-19,,
2:45.0,T. Jones misses 2-pt shot at rim,,16-19,,
2:43.0,Offensive rebound by T. Jones,,16-19,,
2:42.0,T. Jones makes 2-pt shot from 1 ft,2,18-19,,
2:24.0,,,18-19,,Shooting foul by K. McDaniels (drawn by A. Afflalo)
2:24.0,Houston full timeout,,18-19,,
2:24.0,D. Howard enters the game for C. Capela,,18-19,,
2:24.0,M. Thornton enters the game for J. Harden,,18-19,,
2:24.0,,,18-20,1,A. Afflalo makes free throw 1 of 2
2:24.0,,,18-20,,C. Early enters the game for L. Thomas
2:24.0,,,18-21,1,A. Afflalo makes free throw 2 of 2
2:05.0,D. Howard misses 2-pt shot at rim,,18-21,,
2:05.0,,,18-21,,Defensive rebound by A. Afflalo
1:54.0,,,18-23,2,K. Seraphin makes 2-pt shot from 7 ft
1:38.0,D. Howard misses 2-pt shot from 1 ft (block by K. Seraphin),,18-23,,
1:37.0,,,18-23,,Defensive rebound by D. Williams
1:35.0,,,18-23,,J. Grant enters the game for A. Afflalo
1:27.0,,,18-23,,Turnover by L. Galloway (bad pass; steal by J. Terry)
