time,Dallas,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. S. Mejri (W. Matthews gains possession),,,,Jump ball: R. Hibbert vs. S. Mejri (W. Matthews gains possession)
11:35.0,W. Matthews makes 3-pt shot from 25 ft (assist by C. Parsons),3,3-0,,
11:17.0,,,3-0,,L. Williams misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by C. Parsons,,3-0,,
11:01.0,C. Parsons makes 3-pt shot from 26 ft (assist by W. Matthews),3,6-0,,
10:40.0,,,6-2,2,J. Randle makes 2-pt shot from 19 ft (assist by J. Clarkson)
10:22.0,C. Parsons makes 2-pt shot from 18 ft,2,8-2,,
10:02.0,,,8-4,2,J. Randle makes 2-pt shot from 19 ft (assist by J. Clarkson)
9:42.0,W. Matthews misses 3-pt shot from 24 ft,,8-4,,
9:40.0,,,8-4,,Defensive rebound by J. Randle
9:30.0,,,8-4,,L. Williams misses 3-pt shot from 22 ft
9:29.0,Defensive rebound by D. Nowitzki,,8-4,,
9:11.0,S. Mejri makes 2-pt shot at rim (assist by W. Matthews),2,10-4,,
9:01.0,Personal foul by D. Williams (drawn by J. Clarkson),,10-4,,
8:56.0,,,10-4,,J. Clarkson misses 2-pt shot from 21 ft
8:53.0,,,10-4,,Offensive rebound by R. Hibbert
8:49.0,,,10-6,2,R. Hibbert makes 2-pt shot at rim
8:31.0,C. Parsons makes 3-pt shot from 25 ft (assist by S. Mejri),3,13-6,,
8:17.0,,,13-6,,R. Hibbert misses 2-pt shot from 4 ft
8:16.0,Defensive rebound by Team,,13-6,,
8:03.0,W. Matthews misses 2-pt shot at rim (block by L. Williams),,13-6,,
8:01.0,,,13-6,,Defensive rebound by A. Brown
7:52.0,,,13-6,,Shooting foul by D. Nowitzki (drawn by J. Randle)
7:52.0,,,13-7,1,J. Randle makes free throw 1 of 2
7:52.0,,,13-8,1,J. Randle makes free throw 2 of 2
7:42.0,S. Mejri makes 2-pt shot at rim (assist by D. Williams),2,15-8,,
7:24.0,,,15-10,2,J. Randle makes 2-pt shot from 17 ft
7:24.0,,,15-10,,Violation by Team (delay of game)
7:08.0,S. Mejri makes 2-pt shot at rim (assist by C. Parsons),2,17-10,,
6:53.0,,,17-10,,L. Williams misses 2-pt shot from 13 ft
6:50.0,Defensive rebound by C. Parsons,,17-10,,
6:47.0,Shooting foul by A. Brown (drawn by C. Parsons),,17-10,,
6:47.0,C. Parsons makes free throw 1 of 2,1,18-10,,
6:47.0,R. Felton enters the game for D. Nowitzki,,18-10,,
6:47.0,C. Parsons makes free throw 2 of 2,1,19-10,,
6:35.0,,,19-12,2,R. Hibbert makes 2-pt shot from 4 ft
6:18.0,Shooting foul by J. Randle (drawn by C. Parsons),,19-12,,
6:18.0,C. Parsons misses free throw 1 of 2,,19-12,,
6:18.0,Offensive rebound by Team,,19-12,,
6:18.0,C. Parsons makes free throw 2 of 2,1,20-12,,
6:06.0,Def 3 sec tech foul by S. Mejri,,20-12,,
6:06.0,,,20-13,1,L. Williams makes technical free throw
5:55.0,,,20-13,,J. Randle misses 2-pt shot from 11 ft
5:51.0,Defensive rebound by R. Felton,,20-13,,
5:45.0,W. Matthews makes 2-pt shot from 2 ft (assist by R. Felton),2,22-13,,
5:32.0,,,22-16,3,A. Brown makes 3-pt shot from 25 ft (assist by J. Clarkson)
5:18.0,D. Williams makes 2-pt shot from 17 ft,2,24-16,,
5:04.0,,,24-16,,J. Clarkson misses 2-pt shot from 1 ft
5:03.0,,,24-16,,Offensive rebound by J. Clarkson
5:00.0,,,24-18,2,J. Clarkson makes 2-pt shot at rim
4:49.0,S. Mejri misses 2-pt shot from 5 ft (block by J. Randle),,24-18,,
4:47.0,,,24-18,,Defensive rebound by L. Williams
4:47.0,,,24-18,,Shooting foul by C. Parsons (drawn by J. Randle)
4:47.0,,,24-18,,LA Lakers full timeout
4:47.0,J. McGee enters the game for S. Mejri,,24-18,,
4:47.0,,,24-18,,D. Russell enters the game for L. Williams
4:47.0,,,24-19,1,J. Randle makes free throw 1 of 2
4:47.0,,,24-19,,J. Randle misses free throw 2 of 2
4:45.0,Defensive rebound by D. Williams,,24-19,,
4:29.0,W. Matthews misses 3-pt shot from 26 ft,,24-19,,
4:28.0,,,24-19,,Defensive rebound by J. Randle
4:08.0,,,24-22,3,J. Clarkson makes 3-pt shot from 25 ft (assist by R. Hibbert)
3:50.0,J. McGee misses 2-pt shot from 5 ft (block by R. Hibbert),,24-22,,
3:48.0,Offensive rebound by J. McGee,,24-22,,
3:44.0,J. McGee misses 2-pt shot from 2 ft,,24-22,,
3:43.0,,,24-22,,Defensive rebound by R. Hibbert
3:37.0,,,24-24,2,D. Russell makes 2-pt shot from 15 ft
3:37.0,Dallas full timeout,,24-24,,
3:37.0,,,24-24,,L. Nance enters the game for J. Randle
3:37.0,,,24-24,,B. Bass enters the game for R. Hibbert
3:24.0,D. Williams misses 3-pt shot from 25 ft,,24-24,,
3:23.0,,,24-24,,Defensive rebound by B. Bass
3:08.0,,,24-24,,Shooting foul by D. Williams (drawn by J. Clarkson)
3:08.0,,,24-25,1,J. Clarkson makes free throw 1 of 2
3:08.0,J. Barea enters the game for W. Matthews,,24-25,,
3:08.0,D. Nowitzki enters the game for C. Parsons,,24-25,,
3:08.0,J. Anderson enters the game for D. Williams,,24-25,,
3:08.0,,,24-25,,N. Young enters the game for A. Brown
3:08.0,,,24-25,,J. Clarkson misses free throw 2 of 2
3:06.0,Defensive rebound by J. McGee,,24-25,,
2:45.0,D. Nowitzki misses 2-pt shot from 16 ft,,24-25,,
2:42.0,,,24-25,,Defensive rebound by B. Bass
2:34.0,,,24-25,,Turnover by Team (back court)
2:18.0,R. Felton misses 2-pt shot from 19 ft,,24-25,,
2:15.0,,,24-25,,Defensive rebound by L. Nance
2:09.0,,,24-25,,Turnover by D. Russell (lost ball; steal by J. McGee)
1:46.0,J. Barea makes 2-pt shot from 1 ft,2,26-25,,
1:31.0,,,26-25,,B. Bass misses 2-pt shot from 5 ft (block by J. McGee)
1:27.0,,,26-25,,Offensive rebound by B. Bass
1:25.0,,,26-25,,Turnover by B. Bass (bad pass; steal by R. Felton)
1:17.0,,,26-25,,Def 3 sec tech foul by B. Bass
1:17.0,D. Nowitzki makes technical free throw,1,27-25,,
1:07.0,Shooting foul by B. Bass (drawn by D. Nowitzki),,27-25,,
1:07.0,D. Nowitzki makes free throw 1 of 2,1,28-25,,
1:07.0,D. Nowitzki makes free throw 2 of 2,1,29-25,,
0:57.0,,,29-25,,L. Nance misses 2-pt shot from 19 ft
0:56.0,Defensive rebound by J. Anderson,,29-25,,
0:36.0,,,29-25,,Personal foul by B. Bass (drawn by J. McGee)
