time,Boston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. M. Plumlee (M. Harkless gains possession),,,,Jump ball: A. Johnson vs. M. Plumlee (M. Harkless gains possession)
11:42.0,,,0-0,,M. Plumlee misses 2-pt shot from 9 ft
11:42.0,Defensive rebound by J. Crowder,,0-0,,
11:31.0,Turnover by I. Thomas (bad pass),,0-0,,
11:17.0,Personal foul by A. Johnson,,0-0,,
11:07.0,,,0-0,,Turnover by M. Harkless (lost ball; steal by J. Crowder)
11:00.0,I. Thomas makes 3-pt shot from 24 ft (assist by J. Crowder),3,3-0,,
10:45.0,,,3-0,,Turnover by C. McCollum (lost ball; steal by J. Sullinger)
10:35.0,A. Bradley makes 2-pt shot from 20 ft,2,5-0,,
10:21.0,,,5-0,,D. Lillard misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by J. Crowder,,5-0,,
10:05.0,J. Crowder misses 3-pt shot from 24 ft,,5-0,,
10:05.0,,,5-0,,Defensive rebound by Team
9:46.0,,,5-0,,A. Aminu misses 3-pt shot from 23 ft
9:46.0,Defensive rebound by J. Sullinger,,5-0,,
9:39.0,A. Bradley misses 2-pt shot from 20 ft,,5-0,,
9:39.0,,,5-0,,Defensive rebound by A. Aminu
9:31.0,,,5-0,,M. Harkless misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by J. Crowder,,5-0,,
9:27.0,,,5-0,,Personal foul by M. Harkless
9:18.0,J. Sullinger misses 2-pt shot from 20 ft,,5-0,,
9:17.0,,,5-0,,Defensive rebound by M. Harkless
9:03.0,,,5-2,2,C. McCollum makes 2-pt shot from 2 ft
8:48.0,J. Crowder makes 2-pt shot from 15 ft,2,7-2,,
8:31.0,,,7-4,2,D. Lillard makes 2-pt shot from 11 ft (assist by M. Plumlee)
8:12.0,J. Sullinger makes 2-pt shot from 3 ft,2,9-4,,
7:58.0,,,9-4,,D. Lillard misses 2-pt shot from 14 ft
7:57.0,Defensive rebound by Team,,9-4,,
7:42.0,Shooting foul by C. McCollum (drawn by I. Thomas),,9-4,,
7:42.0,I. Thomas makes 2-pt shot from 5 ft,2,11-4,,
7:42.0,I. Thomas makes free throw 1 of 1,1,12-4,,
7:28.0,,,12-7,3,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard)
7:17.0,A. Bradley misses 2-pt shot from 19 ft,,12-7,,
7:17.0,,,12-7,,Defensive rebound by M. Plumlee
7:06.0,,,12-7,,Turnover by M. Plumlee (lost ball; steal by A. Johnson)
6:56.0,I. Thomas misses 2-pt shot from 22 ft,,12-7,,
6:53.0,,,12-7,,Defensive rebound by M. Plumlee
6:37.0,,,12-10,3,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum)
6:37.0,Boston full timeout,,12-10,,
6:21.0,I. Thomas makes 2-pt shot from 14 ft (assist by J. Sullinger),2,14-10,,
6:04.0,,,14-10,,C. McCollum misses 3-pt shot from 24 ft
6:01.0,,,14-10,,Offensive rebound by M. Plumlee
6:01.0,,,14-10,,M. Plumlee misses 2-pt shot at rim
6:01.0,,,14-10,,Offensive rebound by M. Plumlee
6:01.0,,,14-12,2,M. Plumlee makes 2-pt shot at rim
5:45.0,J. Crowder misses 3-pt shot from 22 ft,,14-12,,
5:44.0,,,14-12,,Defensive rebound by A. Aminu
5:36.0,,,14-12,,D. Lillard misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by A. Bradley,,14-12,,
5:22.0,I. Thomas misses 2-pt shot from 7 ft,,14-12,,
5:21.0,Offensive rebound by A. Johnson,,14-12,,
5:21.0,A. Johnson misses 2-pt shot from 1 ft,,14-12,,
5:19.0,,,14-12,,Defensive rebound by M. Plumlee
5:07.0,,,14-12,,Shooting foul by J. Sullinger (drawn by M. Plumlee)
