time,Chicago,pts.away,score,pts.home,Brooklyn
6:07.0,,,18-8,,D. Sloan enters the game for S. Larkin
6:07.0,,,18-8,,B. Bogdanovic enters the game for W. Ellington
6:07.0,,,18-8,,A. Bargnani enters the game for T. Young
6:07.0,J. Butler makes free throw 1 of 1,1,19-8,,
5:42.0,,,19-10,2,B. Lopez makes 2-pt shot from 5 ft
5:25.0,T. Snell misses 3-pt shot from 24 ft,,19-10,,
5:24.0,,,19-10,,Defensive rebound by J. Johnson
5:12.0,,,19-10,,A. Bargnani misses 2-pt shot from 2 ft
5:10.0,Defensive rebound by P. Gasol,,19-10,,
5:08.0,Shooting foul by B. Bogdanovic (drawn by T. Snell),,19-10,,
5:08.0,J. Noah enters the game for P. Gasol,,19-10,,
5:08.0,T. Snell makes free throw 1 of 2,1,20-10,,
5:08.0,T. Snell makes free throw 2 of 2,1,21-10,,
4:54.0,,,21-10,,Turnover by B. Lopez (lost ball; steal by J. Noah)
4:44.0,Turnover by J. Noah (bad pass),,21-10,,
4:44.0,D. McDermott enters the game for T. Snell,,21-10,,
4:29.0,,,21-10,,A. Bargnani misses 2-pt shot from 18 ft
4:28.0,Defensive rebound by N. Mirotic,,21-10,,
4:17.0,D. McDermott makes 3-pt shot from 23 ft (assist by A. Brooks),3,24-10,,
4:11.0,,,24-10,,Brooklyn full timeout
4:11.0,,,24-10,,R. Hollis-Jefferson enters the game for J. Johnson
3:52.0,,,24-12,2,B. Bogdanovic makes 2-pt shot from 19 ft
3:43.0,,,24-12,,Personal foul by A. Bargnani (drawn by A. Brooks)
3:34.0,D. McDermott misses 2-pt shot from 20 ft,,24-12,,
3:33.0,,,24-12,,Defensive rebound by R. Hollis-Jefferson
3:26.0,,,24-12,,Turnover by A. Bargnani (lost ball; steal by N. Mirotic)
3:21.0,J. Noah misses 2-pt shot at rim,,24-12,,
3:20.0,Offensive rebound by D. McDermott,,24-12,,
3:09.0,Turnover by D. McDermott (bad pass; steal by R. Hollis-Jefferson),,24-12,,
3:01.0,,,24-12,,D. Sloan misses 2-pt shot from 19 ft
3:00.0,Defensive rebound by N. Mirotic,,24-12,,
2:45.0,J. Butler makes 2-pt shot from 15 ft (assist by J. Noah),2,26-12,,
2:29.0,,,26-12,,B. Bogdanovic misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by N. Mirotic,,26-12,,
2:18.0,A. Brooks makes 2-pt shot from 2 ft,2,28-12,,
