time,Cleveland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Mozgov (K. Irving gains possession),,,,Jump ball: R. Gobert vs. T. Mozgov (K. Irving gains possession)
11:44.0,K. Irving makes 3-pt shot from 24 ft (assist by L. James),3,3-0,,
11:29.0,,,3-2,2,D. Favors makes 2-pt shot at rim (assist by R. Gobert)
11:12.0,K. Love misses 3-pt shot from 22 ft,,3-2,,
11:12.0,,,3-2,,Defensive rebound by R. Gobert
11:02.0,,,3-2,,S. Mack misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by K. Love,,3-2,,
10:50.0,Turnover by L. James (bad pass),,3-2,,
10:36.0,,,3-2,,R. Hood misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by L. James,,3-2,,
10:22.0,L. James makes 2-pt shot from 2 ft,2,5-2,,
10:07.0,,,5-2,,D. Favors misses 2-pt shot from 17 ft
10:07.0,Defensive rebound by K. Love,,5-2,,
9:54.0,K. Love misses 2-pt shot from 2 ft (block by D. Favors),,5-2,,
9:54.0,Offensive rebound by Team,,5-2,,
9:49.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,7-2,,
9:29.0,,,7-4,2,S. Mack makes 2-pt shot from 11 ft
9:15.0,K. Irving misses 2-pt shot from 9 ft,,7-4,,
9:15.0,,,7-4,,Defensive rebound by D. Favors
9:00.0,,,7-4,,R. Hood misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by K. Love,,7-4,,
8:40.0,L. James makes 2-pt shot from 12 ft,2,9-4,,
8:26.0,,,9-4,,Turnover by J. Ingles (lost ball; steal by K. Irving)
8:21.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,11-4,,
8:01.0,,,11-6,2,D. Favors makes 2-pt shot from 1 ft
7:38.0,Shooting foul by R. Gobert (drawn by K. Love),,11-6,,
7:38.0,K. Love makes free throw 1 of 2,1,12-6,,
7:38.0,K. Love makes free throw 2 of 2,1,13-6,,
7:16.0,,,13-9,3,S. Mack makes 3-pt shot from 24 ft
7:00.0,K. Love misses 3-pt shot from 24 ft,,13-9,,
6:59.0,,,13-9,,Defensive rebound by S. Mack
6:50.0,,,13-9,,Shooting foul by T. Mozgov (drawn by R. Gobert)
6:50.0,,,13-11,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
6:50.0,,,13-12,1,R. Gobert makes free throw 1 of 1
6:37.0,L. James misses 3-pt shot from 24 ft,,13-12,,
6:36.0,,,13-12,,Defensive rebound by J. Ingles
6:21.0,,,13-12,,D. Favors misses 2-pt shot from 18 ft
6:20.0,,,13-12,,Offensive rebound by R. Gobert
6:15.0,,,13-12,,S. Mack misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by K. Irving,,13-12,,
5:53.0,K. Irving misses 3-pt shot from 24 ft,,13-12,,
5:53.0,,,13-12,,Defensive rebound by R. Gobert
5:45.0,,,13-14,2,R. Hood makes 2-pt shot from 2 ft (assist by J. Ingles)
5:41.0,Cleveland full timeout,,13-14,,
5:41.0,R. Jefferson enters the game for L. James,,13-14,,
5:31.0,J. Smith misses 2-pt shot from 20 ft,,13-14,,
5:29.0,Offensive rebound by T. Mozgov,,13-14,,
