time,Charlotte,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Jefferson (N. Batum gains possession),,,,Jump ball: A. Horford vs. A. Jefferson (N. Batum gains possession)
11:57.0,N. Batum makes 2-pt shot from 1 ft,2,2-0,,
11:57.0,Shooting foul by K. Bazemore (drawn by N. Batum),,2-0,,
11:57.0,N. Batum makes free throw 1 of 1,1,3-0,,
11:40.0,,,3-2,2,J. Teague makes 2-pt shot from 19 ft (assist by P. Millsap)
11:24.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,6-2,,
11:06.0,,,6-2,,P. Millsap misses 3-pt shot from 23 ft
11:05.0,Defensive rebound by A. Jefferson,,6-2,,
10:52.0,M. Williams misses 2-pt shot from 1 ft,,6-2,,
10:50.0,Offensive rebound by M. Williams,,6-2,,
10:50.0,M. Williams misses 2-pt shot from 1 ft,,6-2,,
10:49.0,,,6-2,,Defensive rebound by P. Millsap
10:42.0,,,6-2,,Shooting foul by K. Walker (drawn by D. Schroder)
10:42.0,,,6-3,1,D. Schroder makes free throw 1 of 2
10:42.0,,,6-4,1,D. Schroder makes free throw 2 of 2
10:28.0,A. Jefferson misses 2-pt shot from 2 ft (block by P. Millsap),,6-4,,
10:26.0,,,6-4,,Defensive rebound by K. Bazemore
10:22.0,,,6-6,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Bazemore)
10:09.0,P. Hairston misses 3-pt shot from 24 ft,,6-6,,
10:08.0,Offensive rebound by A. Jefferson,,6-6,,
9:53.0,A. Jefferson misses 2-pt shot from 10 ft,,6-6,,
9:51.0,,,6-6,,Defensive rebound by P. Millsap
9:44.0,,,6-6,,D. Schroder misses 2-pt shot from 1 ft
9:43.0,Defensive rebound by A. Jefferson,,6-6,,
9:36.0,M. Williams misses 3-pt shot from 23 ft,,6-6,,
9:34.0,Offensive rebound by N. Batum,,6-6,,
9:31.0,K. Walker misses 3-pt shot from 24 ft,,6-6,,
9:30.0,,,6-6,,Defensive rebound by K. Bazemore
9:14.0,,,6-6,,K. Bazemore misses 2-pt shot from 2 ft
9:12.0,,,6-6,,Offensive rebound by A. Horford
9:12.0,,,6-6,,A. Horford misses 2-pt shot at rim
9:11.0,Defensive rebound by N. Batum,,6-6,,
9:06.0,P. Hairston makes 3-pt shot from 24 ft (assist by N. Batum),3,9-6,,
8:53.0,,,9-6,,J. Teague misses 2-pt shot from 19 ft
8:51.0,,,9-6,,Offensive rebound by P. Millsap
8:51.0,,,9-8,2,P. Millsap makes 2-pt shot at rim
8:28.0,A. Jefferson makes 2-pt shot from 2 ft,2,11-8,,
8:13.0,,,11-8,,D. Schroder misses 3-pt shot from 24 ft
8:12.0,Defensive rebound by M. Williams,,11-8,,
8:05.0,,,11-8,,Personal foul by A. Horford (drawn by N. Batum)
8:00.0,A. Jefferson misses 2-pt shot from 16 ft,,11-8,,
7:59.0,,,11-8,,Defensive rebound by P. Millsap
7:45.0,,,11-11,3,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap)
7:17.0,Turnover by Team (shot clock),,11-11,,
7:01.0,,,11-13,2,A. Horford makes 2-pt shot from 19 ft
6:45.0,A. Jefferson misses 2-pt shot from 10 ft,,11-13,,
6:42.0,Offensive rebound by M. Williams,,11-13,,
6:42.0,M. Williams makes 2-pt shot at rim,2,13-13,,
6:30.0,,,13-13,,D. Schroder misses 2-pt shot from 2 ft (block by A. Jefferson)
6:28.0,Defensive rebound by K. Walker,,13-13,,
6:24.0,K. Walker misses 2-pt shot from 18 ft,,13-13,,
6:20.0,Offensive rebound by N. Batum,,13-13,,
6:20.0,N. Batum makes 2-pt shot at rim,2,15-13,,
6:19.0,,,15-13,,Atlanta full timeout
6:19.0,,,15-13,,L. Patterson enters the game for K. Bazemore
6:19.0,,,15-13,,T. Splitter enters the game for D. Schroder
6:19.0,C. Zeller enters the game for M. Williams,,15-13,,
6:08.0,,,15-15,2,P. Millsap makes 2-pt shot from 2 ft
6:08.0,,,15-15,,Shooting foul by P. Hairston (drawn by P. Millsap)
