time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. A. Stoudemire (P. Patterson gains possession),,,,Jump ball: B. Biyombo vs. A. Stoudemire (P. Patterson gains possession)
11:41.0,,,0-0,,D. DeRozan misses 2-pt shot from 16 ft
11:40.0,Defensive rebound by G. Dragic,,0-0,,
11:24.0,G. Dragic misses 3-pt shot from 24 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by B. Biyombo
11:15.0,,,0-0,,Shooting foul by G. Dragic (drawn by K. Lowry)
11:15.0,,,0-1,1,K. Lowry makes free throw 1 of 2
11:15.0,,,0-2,1,K. Lowry makes free throw 2 of 2
10:52.0,G. Dragic misses 2-pt shot from 2 ft (block by B. Biyombo),,0-2,,
10:51.0,,,0-2,,Defensive rebound by B. Biyombo
10:50.0,,,0-2,,Turnover by B. Biyombo (lost ball; steal by A. Stoudemire)
10:49.0,Turnover by A. Stoudemire (lost ball; steal by B. Biyombo),,0-2,,
10:40.0,,,0-2,,D. DeRozan misses 2-pt shot from 19 ft
10:39.0,Defensive rebound by J. Johnson,,0-2,,
10:31.0,,,0-2,,Personal foul by K. Lowry
10:14.0,J. Johnson misses 2-pt shot from 20 ft,,0-2,,
10:13.0,,,0-2,,Defensive rebound by K. Lowry
10:10.0,Personal foul by J. Johnson,,0-2,,
10:04.0,,,0-4,2,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry)
9:44.0,L. Deng misses 2-pt shot from 19 ft,,0-4,,
9:43.0,Offensive rebound by A. Stoudemire,,0-4,,
9:36.0,L. Deng misses 2-pt shot from 19 ft,,0-4,,
9:35.0,,,0-4,,Defensive rebound by Team
9:18.0,,,0-4,,P. Patterson misses 3-pt shot from 25 ft
9:18.0,,,0-4,,Offensive rebound by Team
9:18.0,Loose ball foul by A. Stoudemire,,0-4,,
9:10.0,,,0-7,3,K. Lowry makes 3-pt shot from 24 ft (assist by P. Patterson)
8:54.0,Turnover by D. Wade (lost ball; steal by D. DeRozan),,0-7,,
8:50.0,,,0-9,2,D. DeRozan makes 2-pt shot from 2 ft
8:50.0,Miami full timeout,,0-9,,
8:50.0,J. McRoberts enters the game for A. Stoudemire,,0-9,,
8:34.0,D. Wade misses 2-pt shot from 13 ft,,0-9,,
8:34.0,Offensive rebound by Team,,0-9,,
8:34.0,,,0-9,,Loose ball foul by B. Biyombo
8:31.0,,,0-9,,Violation by K. Lowry (kicked ball)
8:09.0,J. Johnson misses 3-pt shot from 27 ft,,0-9,,
8:08.0,Offensive rebound by D. Wade,,0-9,,
8:02.0,J. McRoberts makes 2-pt shot from 20 ft (assist by D. Wade),2,2-9,,
7:38.0,,,2-11,2,D. DeRozan makes 2-pt shot from 8 ft
7:24.0,Turnover by D. Wade (lost ball; steal by B. Biyombo),,2-11,,
7:20.0,,,2-11,,Shooting foul by J. McRoberts (drawn by D. Carroll)
7:20.0,,,2-12,1,D. Carroll makes free throw 1 of 2
7:20.0,,,2-13,1,D. Carroll makes free throw 2 of 2
7:09.0,D. Wade makes 2-pt shot from 12 ft (assist by G. Dragic),2,4-13,,
