time,Milwaukee,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. T. Mozgov (K. Irving gains possession),,,,Jump ball: G. Monroe vs. T. Mozgov (K. Irving gains possession)
11:46.0,,,0-2,2,K. Irving makes 2-pt shot from 16 ft (assist by L. James)
11:25.0,K. Middleton misses 2-pt shot from 18 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by K. Love
11:19.0,,,0-4,2,L. James makes 2-pt shot at rim (assist by K. Love)
11:05.0,J. Parker makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,2-4,,
10:50.0,,,2-6,2,K. Irving makes 2-pt shot at rim
10:38.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,2-6,,
10:37.0,,,2-6,,Defensive rebound by K. Irving
10:24.0,,,2-6,,J. Smith misses 3-pt shot from 23 ft
10:24.0,Defensive rebound by G. Antetokounmpo,,2-6,,
10:15.0,J. Bayless makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,5-6,,
9:56.0,,,5-8,2,T. Mozgov makes 2-pt shot at rim (assist by J. Smith)
9:39.0,J. Bayless misses 2-pt shot from 1 ft,,5-8,,
9:39.0,,,5-8,,Defensive rebound by K. Irving
9:32.0,,,5-8,,K. Love misses 3-pt shot from 26 ft
9:32.0,,,5-8,,Offensive rebound by L. James
9:32.0,,,5-8,,L. James misses 2-pt shot at rim
9:30.0,,,5-8,,Offensive rebound by L. James
9:30.0,,,5-10,2,L. James makes 2-pt shot from 1 ft
9:13.0,G. Monroe misses 2-pt shot from 7 ft,,5-10,,
9:12.0,,,5-10,,Defensive rebound by K. Love
9:05.0,,,5-10,,Shooting foul by J. Parker (drawn by K. Love)
9:05.0,,,5-10,,K. Love misses free throw 1 of 2
9:05.0,,,5-10,,Offensive rebound by Team
9:05.0,,,5-11,1,K. Love makes free throw 2 of 2
8:46.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,7-11,,
8:27.0,,,7-13,2,T. Mozgov makes 2-pt shot from 6 ft (assist by K. Irving)
8:17.0,K. Middleton makes 2-pt shot from 16 ft,2,9-13,,
7:50.0,,,9-13,,J. Smith misses 3-pt shot from 24 ft
