time,Minnesota,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. K. Towns (I. Smith gains possession),,,,Jump ball: N. Noel vs. K. Towns (I. Smith gains possession)
11:48.0,Personal block foul by K. Towns (drawn by I. Smith),,0-0,,
11:36.0,,,0-0,,I. Smith misses 2-pt shot from 7 ft
11:35.0,Defensive rebound by K. Towns,,0-0,,
11:19.0,K. Towns makes 2-pt shot from 17 ft (assist by A. Wiggins),2,2-0,,
11:06.0,,,2-0,,N. Stauskas misses 3-pt shot from 25 ft (block by A. Wiggins)
11:05.0,,,2-0,,Offensive rebound by N. Noel
11:03.0,,,2-2,2,N. Noel makes 2-pt shot from 5 ft
10:49.0,K. Garnett makes 2-pt shot from 1 ft (assist by R. Rubio),2,4-2,,
10:44.0,,,4-4,2,J. Grant makes 2-pt shot from 1 ft (assist by I. Smith)
10:31.0,K. Towns misses 2-pt shot from 19 ft,,4-4,,
10:30.0,,,4-4,,Defensive rebound by N. Stauskas
10:15.0,Def 3 sec tech foul by K. Garnett,,4-4,,
10:15.0,,,4-4,,N. Stauskas misses technical free throw
10:15.0,,,4-4,,Offensive rebound by Team
10:05.0,,,4-4,,Turnover by I. Smith (lost ball; steal by K. Garnett)
10:00.0,Shooting foul by N. Stauskas (drawn by A. Wiggins),,4-4,,
10:00.0,A. Wiggins misses free throw 1 of 2,,4-4,,
10:00.0,Offensive rebound by Team,,4-4,,
10:00.0,A. Wiggins makes free throw 2 of 2,1,5-4,,
9:38.0,,,5-4,,J. Grant misses 2-pt shot from 2 ft
9:37.0,Defensive rebound by K. Towns,,5-4,,
9:29.0,R. Rubio makes 2-pt shot from 18 ft (assist by T. Prince),2,7-4,,
9:16.0,Personal foul by A. Wiggins (drawn by N. Stauskas),,7-4,,
9:03.0,,,7-6,2,N. Noel makes 2-pt shot from 1 ft (assist by J. Grant)
8:47.0,Shooting foul by J. Okafor (drawn by A. Wiggins),,7-6,,
8:47.0,A. Wiggins makes free throw 1 of 2,1,8-6,,
8:47.0,A. Wiggins makes free throw 2 of 2,1,9-6,,
8:31.0,,,9-8,2,N. Stauskas makes 2-pt shot at rim (assist by I. Smith)
8:23.0,Minnesota full timeout,,9-8,,
8:11.0,T. Prince makes 2-pt shot from 9 ft (assist by K. Garnett),2,11-8,,
7:47.0,,,11-8,,N. Stauskas misses 2-pt shot from 21 ft
7:44.0,Defensive rebound by Team,,11-8,,
7:34.0,,,11-8,,Personal foul by J. Grant (drawn by A. Wiggins)
7:23.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,13-8,,
7:07.0,,,13-10,2,I. Smith makes 2-pt shot from 11 ft (assist by J. Grant)
6:52.0,G. Dieng enters the game for K. Garnett,,13-10,,
6:52.0,Turnover by T. Prince (bad pass),,13-10,,
6:28.0,,,13-10,,I. Smith misses 2-pt shot from 18 ft
6:25.0,Defensive rebound by A. Wiggins,,13-10,,
6:21.0,Turnover by R. Rubio (lost ball; steal by J. Okafor),,13-10,,
6:15.0,,,13-12,2,I. Smith makes 2-pt shot from 4 ft (assist by J. Okafor)
6:00.0,,,13-12,,Personal block foul by J. Grant (drawn by A. Wiggins)
6:00.0,,,13-12,,J. Sampson enters the game for J. Grant
5:54.0,T. Prince misses 2-pt shot from 11 ft,,13-12,,
5:54.0,,,13-12,,Defensive rebound by N. Noel
5:44.0,,,13-14,2,N. Noel makes 2-pt shot from 17 ft (assist by I. Smith)
5:30.0,R. Rubio makes 2-pt shot from 18 ft,2,15-14,,
5:07.0,Personal foul by A. Wiggins (drawn by N. Noel),,15-14,,
5:07.0,,,15-14,,Philadelphia full timeout
5:07.0,S. Muhammad enters the game for A. Wiggins,,15-14,,
4:56.0,,,15-16,2,J. Okafor makes 2-pt shot from 6 ft
4:29.0,G. Dieng misses 2-pt shot from 4 ft (block by N. Noel),,15-16,,
4:27.0,Offensive rebound by Team,,15-16,,
4:27.0,Turnover by Team (shot clock),,15-16,,
4:27.0,,,15-16,,H. Thompson enters the game for N. Stauskas
