time,Milwaukee,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. C. Zeller (K. Walker gains possession),,,,Jump ball: G. Monroe vs. C. Zeller (K. Walker gains possession)
11:40.0,,,0-3,3,K. Walker makes 3-pt shot from 25 ft (assist by P. Hairston)
11:21.0,K. Middleton makes 2-pt shot from 18 ft (assist by G. Monroe),2,2-3,,
11:02.0,,,2-6,3,K. Walker makes 3-pt shot from 24 ft (assist by M. Williams)
10:38.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,4-6,,
10:15.0,,,4-9,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
10:00.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,4-9,,
9:59.0,,,4-9,,Defensive rebound by C. Zeller
9:49.0,,,4-9,,K. Walker misses 2-pt shot from 2 ft (block by G. Monroe)
9:47.0,,,4-9,,Offensive rebound by K. Walker
9:47.0,,,4-9,,K. Walker misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
9:44.0,,,4-9,,Offensive rebound by P. Hairston
9:42.0,,,4-9,,C. Zeller misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by G. Monroe,,4-9,,
9:26.0,G. Monroe misses 2-pt shot from 3 ft,,4-9,,
9:23.0,Offensive rebound by G. Antetokounmpo,,4-9,,
9:19.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,4-9,,
9:18.0,Offensive rebound by Team,,4-9,,
9:14.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,6-9,,
8:51.0,Personal foul by G. Antetokounmpo (drawn by M. Williams),,6-9,,
8:51.0,,,6-10,1,M. Williams makes free throw 1 of 2
8:51.0,,,6-11,1,M. Williams makes free throw 2 of 2
8:37.0,Turnover by G. Antetokounmpo (bad pass; steal by M. Williams),,6-11,,
8:31.0,,,6-13,2,P. Hairston makes 2-pt shot at rim (assist by K. Walker)
8:31.0,Milwaukee full timeout,,6-13,,
8:14.0,K. Middleton misses 3-pt shot from 24 ft,,6-13,,
8:13.0,,,6-13,,Defensive rebound by M. Williams
7:59.0,,,6-13,,K. Walker misses 2-pt shot from 6 ft (block by M. Carter-Williams)
7:57.0,Defensive rebound by K. Middleton,,6-13,,
7:49.0,J. Parker makes 2-pt shot at rim (assist by G. Monroe),2,8-13,,
7:26.0,,,8-16,3,N. Batum makes 3-pt shot from 25 ft
7:11.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,10-16,,
7:03.0,,,10-16,,Charlotte full timeout
6:47.0,,,10-16,,K. Walker misses 2-pt shot from 9 ft
6:45.0,Defensive rebound by M. Carter-Williams,,10-16,,
6:37.0,Turnover by M. Carter-Williams (bad pass; steal by K. Walker),,10-16,,
6:29.0,,,10-16,,M. Williams misses 2-pt shot at rim (block by G. Antetokounmpo)
6:27.0,,,10-16,,Offensive rebound by P. Hairston
6:23.0,,,10-16,,C. Zeller misses 2-pt shot from 16 ft
6:22.0,,,10-16,,Offensive rebound by M. Williams
6:15.0,,,10-16,,Shooting foul by M. Carter-Williams (drawn by K. Walker)
6:15.0,,,10-17,1,K. Walker makes free throw 1 of 2
6:15.0,,,10-18,1,K. Walker makes free throw 2 of 2
6:01.0,J. Parker makes 2-pt shot at rim (assist by G. Monroe),2,12-18,,
5:44.0,,,12-18,,K. Walker misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by M. Carter-Williams,,12-18,,
5:38.0,J. Henson enters the game for G. Monroe,,12-18,,
5:33.0,Turnover by G. Antetokounmpo (traveling),,12-18,,
5:19.0,,,12-20,2,N. Batum makes 2-pt shot from 16 ft (assist by K. Walker)
5:09.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,14-20,,
4:43.0,,,14-20,,P. Hairston misses 3-pt shot from 29 ft
4:43.0,Defensive rebound by Team,,14-20,,
