time,Golden State,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (D. Green gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (D. Green gains possession)
11:45.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,2-0,,
11:25.0,,,2-2,2,M. Plumlee makes 2-pt shot from 2 ft (assist by C. McCollum)
11:06.0,K. Thompson misses 2-pt shot from 19 ft,,2-2,,
11:05.0,,,2-2,,Defensive rebound by A. Aminu
10:58.0,,,2-2,,D. Lillard misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by D. Green,,2-2,,
10:50.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,4-2,,
10:36.0,,,4-5,3,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard)
10:24.0,H. Barnes misses 2-pt shot from 6 ft,,4-5,,
10:23.0,,,4-5,,Defensive rebound by M. Plumlee
10:14.0,,,4-5,,Turnover by A. Aminu (traveling)
10:09.0,H. Barnes makes 2-pt shot from 20 ft (assist by S. Curry),2,6-5,,
9:50.0,,,6-7,2,A. Aminu makes 2-pt shot from 21 ft (assist by D. Lillard)
9:41.0,S. Curry makes 3-pt shot from 24 ft,3,9-7,,
9:26.0,,,9-9,2,C. McCollum makes 2-pt shot from 14 ft (assist by M. Plumlee)
9:17.0,K. Thompson misses 2-pt shot from 11 ft,,9-9,,
9:17.0,,,9-9,,Defensive rebound by A. Aminu
9:02.0,,,9-9,,Turnover by C. McCollum (lost ball; steal by S. Curry)
8:56.0,S. Curry misses 3-pt shot from 25 ft,,9-9,,
8:55.0,,,9-9,,Defensive rebound by N. Vonleh
8:45.0,,,9-12,3,N. Vonleh makes 3-pt shot from 25 ft (assist by D. Lillard)
8:30.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,11-12,,
8:20.0,,,11-12,,Shooting foul by S. Curry (drawn by D. Lillard)
8:20.0,,,11-14,2,D. Lillard makes 2-pt shot from 14 ft
8:20.0,,,11-15,1,D. Lillard makes free throw 1 of 1
8:05.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,14-15,,
7:48.0,Personal foul by A. Bogut,,14-15,,
7:41.0,,,14-17,2,D. Lillard makes 2-pt shot from 20 ft
7:32.0,Turnover by D. Green (bad pass),,14-17,,
7:19.0,,,14-19,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
7:06.0,S. Curry misses 3-pt shot from 23 ft,,14-19,,
7:06.0,,,14-19,,Defensive rebound by M. Plumlee
6:57.0,,,14-19,,D. Lillard misses 2-pt shot from 15 ft
6:56.0,Defensive rebound by A. Bogut,,14-19,,
6:48.0,S. Curry makes 3-pt shot from 22 ft (assist by K. Thompson),3,17-19,,
6:29.0,,,17-21,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
6:28.0,Golden State full timeout,,17-21,,
6:14.0,A. Bogut misses 2-pt shot from 5 ft,,17-21,,
6:13.0,Offensive rebound by S. Curry,,17-21,,
6:09.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,19-21,,
5:49.0,,,19-21,,C. McCollum misses 2-pt shot from 19 ft
5:49.0,Defensive rebound by K. Thompson,,19-21,,
5:44.0,Shooting foul by C. McCollum (drawn by K. Thompson),,19-21,,
5:44.0,K. Thompson makes free throw 1 of 2,1,20-21,,
5:44.0,A. Iguodala enters the game for H. Barnes,,20-21,,
5:44.0,K. Thompson makes free throw 2 of 2,1,21-21,,
5:29.0,,,21-23,2,D. Lillard makes 2-pt shot at rim
5:17.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,23-23,,
4:58.0,,,23-23,,C. McCollum misses 2-pt shot from 3 ft (block by A. Bogut)
4:58.0,,,23-23,,Offensive rebound by Team
4:58.0,,,23-23,,A. Crabbe enters the game for C. McCollum
4:58.0,,,23-23,,M. Harkless enters the game for N. Vonleh
4:58.0,L. Barbosa enters the game for K. Thompson,,23-23,,
4:50.0,,,23-23,,M. Harkless misses 2-pt shot from 2 ft (block by A. Bogut)
4:49.0,,,23-23,,Offensive rebound by M. Plumlee
4:42.0,,,23-25,2,A. Crabbe makes 2-pt shot from 17 ft
4:33.0,S. Curry misses 3-pt shot from 24 ft,,23-25,,
