time,San Antonio,pts.away,score,pts.home,Oklahoma City
4:16.0,,,16-13,3,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook)
3:57.0,K. Leonard makes 2-pt shot from 2 ft,2,18-13,,
3:57.0,Shooting foul by A. Roberson (drawn by K. Leonard),,18-13,,
3:57.0,K. Leonard makes free throw 1 of 1,1,19-13,,
3:46.0,,,19-15,2,R. Westbrook makes 2-pt shot from 15 ft
3:25.0,D. West misses 2-pt shot from 7 ft,,19-15,,
3:25.0,,,19-15,,Defensive rebound by S. Ibaka
3:19.0,,,19-17,2,R. Westbrook makes 2-pt shot from 16 ft
3:07.0,L. Aldridge misses 2-pt shot from 20 ft,,19-17,,
3:06.0,,,19-17,,Defensive rebound by E. Kanter
2:53.0,,,19-17,,D. Waiters misses 2-pt shot from 2 ft
2:52.0,,,19-17,,Offensive rebound by E. Kanter
2:51.0,,,19-17,,E. Kanter misses 2-pt shot from 1 ft (block by D. West)
2:49.0,Defensive rebound by K. Leonard,,19-17,,
2:47.0,,,19-17,,Loose ball foul by D. Waiters
2:47.0,,,19-17,,R. Foye enters the game for S. Ibaka
2:47.0,,,19-17,,K. Durant enters the game for A. Roberson
2:47.0,,,19-17,,S. Adams enters the game for R. Westbrook
2:47.0,K. Anderson enters the game for K. Leonard,,19-17,,
2:37.0,Turnover by K. Anderson (lost ball; steal by S. Adams),,19-17,,
2:26.0,,,19-19,2,K. Durant makes 2-pt shot from 11 ft (assist by D. Waiters)
2:07.0,Turnover by P. Mills (step out of bounds),,19-19,,
1:51.0,,,19-19,,Shooting foul by M. Ginobili (drawn by K. Durant)
1:51.0,,,19-20,1,K. Durant makes free throw 1 of 2
1:51.0,K. Martin enters the game for P. Mills,,19-20,,
1:51.0,,,19-21,1,K. Durant makes free throw 2 of 2
1:41.0,K. Martin misses 2-pt shot from 2 ft (block by R. Foye),,19-21,,
1:40.0,,,19-21,,Defensive rebound by K. Durant
1:31.0,,,19-21,,K. Durant misses 2-pt shot from 10 ft
1:30.0,Defensive rebound by K. Martin,,19-21,,
1:12.0,K. Anderson misses 2-pt shot from 20 ft,,19-21,,
1:12.0,,,19-21,,Defensive rebound by Team
0:49.0,,,19-21,,R. Foye misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by K. Anderson,,19-21,,
0:41.0,K. Martin misses 3-pt shot from 24 ft,,19-21,,
0:40.0,,,19-21,,Defensive rebound by S. Adams
0:26.0,,,19-23,2,S. Adams makes 2-pt shot at rim (assist by R. Foye)
0:06.0,Turnover by M. Ginobili (lost ball; steal by D. Waiters),,19-23,,
0:02.0,,,19-25,2,K. Durant makes 2-pt shot at rim (assist by D. Waiters)
0:01.0,,,19-25,,Personal foul by D. Waiters
0:00.0,M. Ginobili misses 3-pt shot from 44 ft,,19-25,,
0:00.0,Offensive rebound by Team,,19-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,19-27,2,R. Foye makes 2-pt shot from 19 ft (assist by D. Waiters)
11:25.0,Turnover by D. West (bad pass),,19-27,,
11:15.0,,,19-27,,D. Waiters misses 2-pt shot from 2 ft
11:15.0,Defensive rebound by Team,,19-27,,
10:59.0,Turnover by T. Duncan (lost ball; steal by E. Kanter),,19-27,,
10:59.0,Personal foul by M. Ginobili,,19-27,,
10:49.0,,,19-27,,R. Foye misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by D. West,,19-27,,
10:35.0,D. West misses 2-pt shot from 1 ft,,19-27,,
10:35.0,Offensive rebound by D. West,,19-27,,
10:35.0,D. West misses 2-pt shot from 1 ft,,19-27,,
10:33.0,,,19-27,,Defensive rebound by R. Foye
10:32.0,,,19-27,,Offensive charge foul by R. Foye
10:32.0,,,19-27,,Turnover by R. Foye (offensive foul)
10:32.0,T. Parker enters the game for M. Ginobili,,19-27,,
10:32.0,B. Marjanovic enters the game for D. West,,19-27,,
10:21.0,T. Duncan misses 2-pt shot from 2 ft,,19-27,,
10:20.0,Offensive rebound by B. Marjanovic,,19-27,,
10:19.0,Shooting foul by S. Adams (drawn by T. Duncan),,19-27,,
10:19.0,T. Duncan makes free throw 1 of 2,1,20-27,,
10:19.0,T. Duncan makes free throw 2 of 2,1,21-27,,
10:04.0,,,21-27,,K. Durant misses 2-pt shot from 3 ft
10:02.0,Defensive rebound by K. Martin,,21-27,,
9:47.0,B. Marjanovic makes 2-pt shot from 11 ft (assist by T. Parker),2,23-27,,
9:32.0,,,23-27,,R. Westbrook enters the game for R. Foye
9:32.0,K. Leonard enters the game for K. Martin,,23-27,,
9:20.0,,,23-27,,E. Kanter misses 2-pt shot from 4 ft
9:18.0,,,23-27,,Offensive rebound by Team
9:07.0,,,23-29,2,S. Adams makes 2-pt shot from 1 ft (assist by D. Waiters)
8:42.0,T. Duncan misses 2-pt shot from 4 ft,,23-29,,
8:40.0,,,23-29,,Defensive rebound by K. Durant
8:36.0,,,23-29,,Shooting foul by D. Green (drawn by K. Durant)
8:36.0,,,23-30,1,K. Durant makes free throw 1 of 2
8:36.0,,,23-31,1,K. Durant makes free throw 2 of 2
8:21.0,D. Green misses 3-pt shot from 23 ft,,23-31,,
8:21.0,,,23-31,,Defensive rebound by E. Kanter
8:09.0,,,23-33,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:56.0,T. Parker makes 2-pt shot from 13 ft,2,25-33,,
7:40.0,,,25-33,,R. Westbrook misses 2-pt shot from 21 ft
7:39.0,,,25-33,,Offensive rebound by S. Adams
7:28.0,,,25-35,2,D. Waiters makes 2-pt shot from 19 ft
7:12.0,K. Leonard misses 3-pt shot from 25 ft,,25-35,,
7:12.0,,,25-35,,Defensive rebound by E. Kanter
6:52.0,,,25-35,,Turnover by R. Westbrook (lost ball; steal by K. Leonard)
6:43.0,T. Duncan misses 2-pt shot from 3 ft,,25-35,,
6:43.0,,,25-35,,Defensive rebound by Team
6:43.0,Loose ball foul by B. Marjanovic,,25-35,,
6:43.0,,,25-35,,Oklahoma City full timeout
6:43.0,,,25-35,,S. Ibaka enters the game for E. Kanter
6:43.0,L. Aldridge enters the game for B. Marjanovic,,25-35,,
6:32.0,,,25-35,,K. Durant misses 3-pt shot from 22 ft
6:31.0,Defensive rebound by T. Parker,,25-35,,
6:15.0,,,25-35,,A. Roberson enters the game for D. Waiters
6:11.0,L. Aldridge misses 2-pt shot from 8 ft,,25-35,,
6:11.0,,,25-35,,Defensive rebound by S. Adams
5:50.0,,,25-35,,S. Ibaka misses 2-pt shot from 18 ft
5:50.0,Defensive rebound by K. Leonard,,25-35,,
5:32.0,T. Duncan misses 2-pt shot from 4 ft,,25-35,,
5:32.0,,,25-35,,Defensive rebound by S. Adams
5:12.0,,,25-35,,K. Durant misses 2-pt shot from 17 ft
5:11.0,Defensive rebound by L. Aldridge,,25-35,,
5:01.0,T. Parker makes 2-pt shot from 19 ft,2,27-35,,
4:34.0,,,27-38,3,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:08.0,K. Leonard makes 2-pt shot from 10 ft,2,29-38,,
3:49.0,,,29-40,2,K. Durant makes 2-pt shot from 4 ft
3:37.0,,,29-40,,Personal foul by R. Westbrook
3:37.0,San Antonio full timeout,,29-40,,
3:37.0,M. Ginobili enters the game for D. Green,,29-40,,
3:23.0,L. Aldridge misses 2-pt shot from 11 ft,,29-40,,
3:23.0,,,29-40,,Defensive rebound by K. Durant
3:20.0,,,29-40,,Shooting foul by M. Ginobili (drawn by A. Roberson)
3:20.0,,,29-40,,A. Roberson misses free throw 1 of 2
3:20.0,,,29-40,,Offensive rebound by Team
3:20.0,,,29-41,1,A. Roberson makes free throw 2 of 2
3:03.0,T. Parker misses 2-pt shot from 14 ft,,29-41,,
3:02.0,,,29-41,,Defensive rebound by K. Durant
2:49.0,Def 3 sec tech foul by T. Duncan,,29-41,,
2:49.0,,,29-42,1,K. Durant makes technical free throw
2:49.0,B. Marjanovic enters the game for T. Duncan,,29-42,,
2:43.0,,,29-44,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
2:30.0,,,29-44,,Personal foul by A. Roberson
2:15.0,K. Leonard misses 2-pt shot from 13 ft,,29-44,,
2:14.0,,,29-44,,Defensive rebound by S. Ibaka
2:08.0,,,29-47,3,R. Westbrook makes 3-pt shot from 25 ft (assist by K. Durant)
1:41.0,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Parker),2,31-47,,
1:29.0,,,31-47,,R. Westbrook misses 2-pt shot from 18 ft
1:28.0,Defensive rebound by L. Aldridge,,31-47,,
1:16.0,M. Ginobili misses 2-pt shot from 18 ft,,31-47,,
1:16.0,,,31-47,,Defensive rebound by Team
1:16.0,Loose ball foul by B. Marjanovic,,31-47,,
1:16.0,,,31-48,1,S. Adams makes free throw 1 of 2
1:16.0,,,31-48,,S. Adams misses free throw 2 of 2
1:15.0,Defensive rebound by L. Aldridge,,31-48,,
1:09.0,,,31-48,,Personal foul by S. Adams
1:09.0,,,31-48,,E. Kanter enters the game for S. Adams
0:54.0,T. Parker misses 2-pt shot from 17 ft,,31-48,,
0:53.0,,,31-48,,Defensive rebound by A. Roberson
0:51.0,Personal foul by K. Leonard,,31-48,,
0:51.0,,,31-49,1,R. Westbrook makes free throw 1 of 2
0:51.0,,,31-50,1,R. Westbrook makes free throw 2 of 2
0:39.0,K. Leonard misses 3-pt shot from 25 ft,,31-50,,
0:38.0,,,31-50,,Defensive rebound by S. Ibaka
0:29.0,,,31-50,,S. Ibaka misses 3-pt shot from 24 ft
0:29.0,,,31-50,,Offensive rebound by Team
0:29.0,Loose ball foul by B. Marjanovic,,31-50,,
0:29.0,,,31-51,1,E. Kanter makes free throw 1 of 2
0:29.0,,,31-52,1,E. Kanter makes free throw 2 of 2
0:16.0,M. Ginobili misses 3-pt shot from 25 ft,,31-52,,
0:15.0,,,31-52,,Defensive rebound by S. Ibaka
0:02.0,,,31-55,3,K. Durant makes 3-pt shot from 26 ft
0:00.0,K. Leonard misses 3-pt shot from 24 ft,,31-55,,
0:00.0,Offensive rebound by Team,,31-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,31-55,,R. Westbrook misses 2-pt shot from 1 ft
11:49.0,,,31-55,,Offensive rebound by S. Adams
11:48.0,,,31-55,,Shooting foul by D. Green (drawn by S. Adams)
11:48.0,,,31-56,1,S. Adams makes free throw 1 of 2
11:48.0,,,31-57,1,S. Adams makes free throw 2 of 2
11:39.0,,,31-57,,Violation by S. Adams (kicked ball)
11:29.0,D. Green makes 2-pt shot from 1 ft,2,33-57,,
11:22.0,,,33-57,,Offensive foul by R. Westbrook
11:22.0,,,33-57,,Turnover by R. Westbrook (offensive foul)
11:08.0,K. Leonard misses 2-pt shot from 6 ft,,33-57,,
11:08.0,,,33-57,,Defensive rebound by K. Durant
11:03.0,,,33-59,2,S. Ibaka makes 2-pt shot at rim (assist by K. Durant)
10:47.0,L. Aldridge misses 2-pt shot from 1 ft (block by S. Ibaka),,33-59,,
10:46.0,Offensive rebound by L. Aldridge,,33-59,,
10:43.0,D. Green makes 3-pt shot from 23 ft (assist by L. Aldridge),3,36-59,,
10:36.0,Personal foul by T. Parker,,36-59,,
10:11.0,,,36-59,,Turnover by Team (shot clock)
10:02.0,M. Ginobili misses 2-pt shot from 17 ft,,36-59,,
10:02.0,,,36-59,,Defensive rebound by S. Ibaka
9:41.0,,,36-61,2,R. Westbrook makes 2-pt shot from 14 ft
9:23.0,Turnover by T. Parker (lost ball; steal by A. Roberson),,36-61,,
9:19.0,,,36-63,2,A. Roberson makes 2-pt shot from 2 ft
9:05.0,T. Parker makes 2-pt shot from 1 ft,2,38-63,,
8:58.0,,,38-63,,Shooting foul by K. Leonard (drawn by S. Ibaka)
8:58.0,,,38-65,2,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:58.0,,,38-66,1,S. Ibaka makes free throw 1 of 1
8:48.0,K. Leonard makes 2-pt shot from 2 ft,2,40-66,,
8:48.0,Shooting foul by A. Roberson (drawn by K. Leonard),,40-66,,
8:48.0,K. Leonard makes free throw 1 of 1,1,41-66,,
8:31.0,,,41-68,2,K. Durant makes 2-pt shot from 17 ft
8:23.0,L. Aldridge makes 2-pt shot at rim (assist by M. Ginobili),2,43-68,,
8:14.0,,,43-68,,Shooting foul by L. Aldridge (drawn by R. Westbrook)
8:14.0,,,43-69,1,R. Westbrook makes free throw 1 of 2
8:14.0,,,43-70,1,R. Westbrook makes free throw 2 of 2
8:04.0,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Parker),2,45-70,,
7:54.0,,,45-70,,Turnover by R. Westbrook (lost ball; steal by D. Green)
7:49.0,D. Green misses 3-pt shot from 26 ft,,45-70,,
7:48.0,Offensive rebound by Team,,45-70,,
7:40.0,L. Aldridge misses 2-pt shot from 8 ft,,45-70,,
7:40.0,,,45-70,,Defensive rebound by K. Durant
7:28.0,,,45-70,,S. Adams misses 2-pt shot from 1 ft
7:28.0,,,45-70,,Offensive rebound by S. Adams
7:28.0,,,45-70,,A. Roberson misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by L. Aldridge,,45-70,,
7:18.0,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Leonard),2,47-70,,
7:18.0,,,47-70,,Oklahoma City full timeout
7:18.0,K. Anderson enters the game for T. Parker,,47-70,,
7:18.0,P. Mills enters the game for M. Ginobili,,47-70,,
6:54.0,,,47-70,,R. Westbrook misses 3-pt shot from 25 ft
6:52.0,,,47-70,,Offensive rebound by A. Roberson
6:52.0,,,47-72,2,A. Roberson makes 2-pt shot from 1 ft
6:41.0,K. Leonard misses 2-pt shot from 4 ft,,47-72,,
6:39.0,Offensive rebound by K. Leonard,,47-72,,
6:33.0,K. Leonard misses 2-pt shot from 1 ft (block by S. Adams),,47-72,,
6:33.0,,,47-72,,Defensive rebound by S. Ibaka
6:17.0,,,47-72,,S. Ibaka misses 3-pt shot from 23 ft
6:16.0,,,47-72,,Offensive rebound by A. Roberson
6:13.0,,,47-74,2,S. Adams makes 2-pt shot at rim (assist by A. Roberson)
6:05.0,,,47-74,,Personal foul by S. Ibaka
5:56.0,D. Green misses 3-pt shot from 26 ft,,47-74,,
5:55.0,Offensive rebound by K. Leonard,,47-74,,
5:52.0,K. Leonard makes 2-pt shot at rim,2,49-74,,
5:42.0,Personal foul by D. Green,,49-74,,
5:42.0,,,49-75,1,K. Durant makes free throw 1 of 2
