time,San Antonio,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. N. Noel (D. Green gains possession),,,,Jump ball: L. Aldridge vs. N. Noel (D. Green gains possession)
11:45.0,Shooting foul by T. McConnell (drawn by T. Parker),,0-0,,
11:45.0,T. Parker makes free throw 1 of 2,1,1-0,,
11:45.0,T. Parker makes free throw 2 of 2,1,2-0,,
11:31.0,,,2-0,,I. Canaan misses 3-pt shot from 24 ft
11:29.0,,,2-0,,Offensive rebound by N. Noel
11:24.0,,,2-2,2,N. Noel makes 2-pt shot from 6 ft
11:07.0,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Parker),2,4-2,,
10:47.0,,,4-4,2,J. Grant makes 2-pt shot from 4 ft (assist by R. Covington)
10:29.0,L. Aldridge misses 2-pt shot from 8 ft,,4-4,,
10:28.0,,,4-4,,Defensive rebound by R. Covington
10:17.0,,,4-4,,T. McConnell misses 2-pt shot from 7 ft
10:14.0,Defensive rebound by L. Aldridge,,4-4,,
10:02.0,M. Bonner makes 3-pt shot from 23 ft (assist by T. Parker),3,7-4,,
9:52.0,,,7-4,,N. Noel misses 2-pt shot from 14 ft
9:50.0,Defensive rebound by L. Aldridge,,7-4,,
9:41.0,L. Aldridge misses 2-pt shot from 1 ft,,7-4,,
9:40.0,,,7-4,,Defensive rebound by I. Canaan
9:33.0,,,7-4,,Shooting foul by K. Anderson (drawn by R. Covington)
9:33.0,,,7-4,,R. Covington misses free throw 1 of 2
9:33.0,,,7-4,,Offensive rebound by Team
9:33.0,,,7-5,1,R. Covington makes free throw 2 of 2
9:15.0,,,7-5,,Personal block foul by R. Covington (drawn by K. Anderson)
9:08.0,T. Parker misses 2-pt shot from 4 ft,,7-5,,
9:05.0,,,7-5,,Defensive rebound by J. Grant
8:53.0,,,7-8,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Grant)
8:36.0,,,7-8,,Personal foul by N. Noel (drawn by L. Aldridge)
8:27.0,D. Green misses 3-pt shot from 24 ft,,7-8,,
8:26.0,,,7-8,,Defensive rebound by R. Covington
8:15.0,,,7-8,,T. McConnell misses 2-pt shot from 18 ft
8:13.0,Defensive rebound by K. Anderson,,7-8,,
7:59.0,M. Bonner misses 3-pt shot from 24 ft,,7-8,,
7:58.0,,,7-8,,Defensive rebound by N. Noel
7:48.0,,,7-11,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
7:31.0,Turnover by D. Green (offensive foul),,7-11,,
7:31.0,Offensive foul by D. Green,,7-11,,
7:31.0,,,7-11,,J. Okafor enters the game for N. Noel
7:31.0,,,7-11,,T. Wroten enters the game for T. McConnell
7:31.0,B. Diaw enters the game for M. Bonner,,7-11,,
7:15.0,,,7-11,,J. Okafor misses 2-pt shot from 14 ft
7:14.0,Defensive rebound by K. Anderson,,7-11,,
7:04.0,T. Parker makes 2-pt shot from 1 ft,2,9-11,,
6:55.0,,,9-11,,R. Covington misses 3-pt shot from 27 ft
6:53.0,Defensive rebound by L. Aldridge,,9-11,,
6:46.0,T. Parker misses 2-pt shot from 2 ft,,9-11,,
6:45.0,,,9-11,,Defensive rebound by J. Grant
6:40.0,,,9-11,,T. Wroten misses 2-pt shot from 1 ft
6:37.0,Defensive rebound by L. Aldridge,,9-11,,
6:34.0,,,9-11,,Violation by J. Grant (def goaltending)
6:34.0,T. Parker makes 2-pt shot from 1 ft,2,11-11,,
6:34.0,,,11-11,,Philadelphia full timeout
6:34.0,,,11-11,,N. Stauskas enters the game for I. Canaan
6:24.0,,,11-11,,J. Okafor misses 2-pt shot from 3 ft
6:23.0,Defensive rebound by L. Aldridge,,11-11,,
6:05.0,L. Aldridge makes 2-pt shot from 14 ft (assist by T. Parker),2,13-11,,
5:42.0,,,13-11,,J. Okafor misses 2-pt shot from 8 ft
5:40.0,Defensive rebound by B. Diaw,,13-11,,
5:22.0,T. Parker makes 2-pt shot from 1 ft (assist by B. Diaw),2,15-11,,
5:13.0,,,15-11,,T. Wroten misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by L. Aldridge,,15-11,,
5:00.0,L. Aldridge makes 2-pt shot from 13 ft (assist by B. Diaw),2,17-11,,
4:44.0,,,17-11,,T. Wroten misses 3-pt shot from 23 ft
4:43.0,Defensive rebound by D. Green,,17-11,,
4:27.0,B. Diaw makes 2-pt shot at rim (assist by T. Parker),2,19-11,,
4:05.0,,,19-13,2,N. Stauskas makes 2-pt shot from 15 ft
3:57.0,San Antonio full timeout,,19-13,,
3:57.0,J. Simmons enters the game for K. Anderson,,19-13,,
3:57.0,P. Mills enters the game for T. Parker,,19-13,,
3:57.0,,,19-13,,R. Holmes enters the game for R. Covington
3:57.0,,,19-13,,H. Thompson enters the game for J. Grant
3:44.0,L. Aldridge misses 2-pt shot from 5 ft,,19-13,,
3:42.0,,,19-13,,Defensive rebound by T. Wroten
3:32.0,,,19-13,,Offensive foul by J. Okafor
3:32.0,,,19-13,,Turnover by J. Okafor (offensive foul)
3:32.0,,,19-13,,T. McConnell enters the game for T. Wroten
3:17.0,L. Aldridge misses 2-pt shot from 9 ft,,19-13,,
3:15.0,,,19-13,,Defensive rebound by R. Holmes
3:02.0,,,19-13,,J. Okafor misses 2-pt shot from 5 ft
3:00.0,Defensive rebound by L. Aldridge,,19-13,,
2:53.0,P. Mills makes 2-pt shot from 18 ft,2,21-13,,
2:31.0,,,21-15,2,N. Stauskas makes 2-pt shot from 10 ft
2:22.0,Shooting foul by J. Okafor (drawn by L. Aldridge),,21-15,,
2:22.0,L. Aldridge makes free throw 1 of 2,1,22-15,,
2:22.0,,,22-15,,N. Noel enters the game for J. Okafor
2:22.0,L. Aldridge makes free throw 2 of 2,1,23-15,,
2:13.0,,,23-15,,Offensive foul by R. Holmes
2:13.0,,,23-15,,Turnover by R. Holmes (offensive foul)
2:13.0,D. West enters the game for L. Aldridge,,23-15,,
1:59.0,Turnover by B. Diaw (bad pass; steal by N. Stauskas),,23-15,,
1:49.0,Personal foul by D. Green (drawn by N. Noel),,23-15,,
1:41.0,,,23-15,,Turnover by T. McConnell (bad pass)
