time,San Antonio,pts.away,score,pts.home,Brooklyn
10:51.0,,,24-20,,Turnover by W. Reed (lost ball)
10:39.0,,,24-20,,Personal foul by A. Bargnani (drawn by M. Ginobili)
10:39.0,,,24-20,,B. Lopez enters the game for W. Reed
10:30.0,B. Diaw makes 3-pt shot from 24 ft (assist by P. Mills),3,27-20,,
10:08.0,,,27-22,2,B. Lopez makes 2-pt shot from 2 ft
9:55.0,M. Ginobili misses 2-pt shot from 2 ft,,27-22,,
9:54.0,,,27-22,,Defensive rebound by A. Bargnani
9:41.0,,,27-22,,B. Lopez misses 2-pt shot from 17 ft
9:40.0,Defensive rebound by K. Anderson,,27-22,,
9:36.0,Turnover by P. Mills (lost ball),,27-22,,
9:22.0,,,27-22,,A. Bargnani misses 2-pt shot from 19 ft
9:21.0,Defensive rebound by K. Anderson,,27-22,,
9:16.0,K. Anderson makes 2-pt shot from 1 ft,2,29-22,,
8:58.0,,,29-24,2,B. Lopez makes 2-pt shot from 14 ft
8:57.0,San Antonio full timeout,,29-24,,
8:41.0,P. Mills misses 3-pt shot from 26 ft,,29-24,,
8:40.0,,,29-24,,Defensive rebound by M. Brown
8:19.0,,,29-26,2,B. Lopez makes 2-pt shot from 1 ft
8:08.0,,,29-26,,Violation by M. Brown (kicked ball)
8:08.0,T. Parker enters the game for P. Mills,,29-26,,
8:08.0,D. Green enters the game for M. Ginobili,,29-26,,
8:08.0,T. Duncan enters the game for B. Diaw,,29-26,,
7:57.0,Turnover by D. West (bad pass),,29-26,,
7:47.0,,,29-26,,B. Lopez misses 2-pt shot from 3 ft (block by T. Duncan)
7:46.0,,,29-26,,Offensive rebound by B. Lopez
7:46.0,,,29-26,,W. Ellington enters the game for M. Brown
7:44.0,Jump ball: T. Duncan vs. B. Lopez (S. Larkin gains possession),,,,Jump ball: T. Duncan vs. B. Lopez (S. Larkin gains possession)
7:31.0,,,29-26,,B. Lopez misses 2-pt shot from 10 ft (block by T. Duncan)
7:30.0,,,29-26,,Offensive rebound by Team
7:30.0,,,29-26,,Turnover by Team (shot clock)
7:16.0,D. West makes 2-pt shot from 2 ft (assist by K. Anderson),2,31-26,,
6:58.0,,,31-26,,Offensive foul by B. Lopez
6:58.0,,,31-26,,Turnover by B. Lopez (offensive foul)
6:58.0,K. Leonard enters the game for K. Anderson,,31-26,,
6:58.0,,,31-26,,J. Johnson enters the game for B. Bogdanovic
6:48.0,K. Leonard misses 2-pt shot from 17 ft,,31-26,,
6:47.0,Offensive rebound by K. Leonard,,31-26,,
6:41.0,K. Leonard makes 2-pt shot at rim,2,33-26,,
6:18.0,,,33-26,,B. Lopez misses 2-pt shot from 12 ft
6:17.0,Defensive rebound by K. Leonard,,33-26,,
6:13.0,Offensive foul by K. Leonard,,33-26,,
6:13.0,Turnover by K. Leonard (offensive foul),,33-26,,
6:03.0,,,33-26,,Shooting foul by T. Duncan (drawn by B. Lopez)
6:03.0,,,33-27,1,B. Lopez makes free throw 1 of 2
6:03.0,L. Aldridge enters the game for D. West,,33-27,,
6:03.0,,,33-27,,D. Sloan enters the game for S. Larkin
6:03.0,,,33-28,1,B. Lopez makes free throw 2 of 2
5:53.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,35-28,,
5:38.0,,,35-28,,A. Bargnani misses 2-pt shot from 18 ft
5:37.0,Defensive rebound by L. Aldridge,,35-28,,
5:21.0,T. Duncan misses 2-pt shot from 9 ft,,35-28,,
5:20.0,Offensive rebound by Team,,35-28,,
5:20.0,,,35-28,,Loose ball foul by A. Bargnani (drawn by L. Aldridge)
5:20.0,Official timeout,,35-28,,
5:20.0,,,35-28,,T. Young enters the game for A. Bargnani
5:12.0,,,35-28,,Personal foul by T. Young (drawn by L. Aldridge)
4:57.0,T. Parker misses 2-pt shot from 5 ft,,35-28,,
4:56.0,,,35-28,,Defensive rebound by B. Lopez
4:42.0,,,35-28,,D. Sloan misses 2-pt shot from 19 ft
4:41.0,Defensive rebound by K. Leonard,,35-28,,
4:35.0,,,35-28,,Violation by W. Ellington (kicked ball)
4:29.0,T. Parker makes 2-pt shot from 5 ft,2,37-28,,
4:16.0,,,37-28,,W. Ellington misses 2-pt shot from 20 ft
4:15.0,Defensive rebound by K. Leonard,,37-28,,
4:02.0,L. Aldridge makes 2-pt shot from 11 ft,2,39-28,,
4:00.0,,,39-28,,Brooklyn full timeout
3:50.0,,,39-28,,Shooting foul by L. Aldridge (drawn by T. Young)
3:50.0,,,39-29,1,T. Young makes free throw 1 of 2
3:50.0,M. Ginobili enters the game for D. Green,,39-29,,
3:50.0,,,39-29,,T. Young misses free throw 2 of 2
3:49.0,Defensive rebound by T. Duncan,,39-29,,
3:36.0,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Duncan),2,41-29,,
3:22.0,,,41-31,2,T. Young makes 2-pt shot from 18 ft
3:00.0,L. Aldridge makes 2-pt shot from 5 ft (assist by M. Ginobili),2,43-31,,
2:51.0,,,43-31,,T. Young misses 2-pt shot from 19 ft
2:50.0,Defensive rebound by K. Leonard,,43-31,,
2:29.0,T. Parker misses 2-pt shot from 10 ft,,43-31,,
2:28.0,,,43-31,,Defensive rebound by B. Lopez
2:22.0,,,43-34,3,J. Johnson makes 3-pt shot from 25 ft (assist by D. Sloan)
1:59.0,Turnover by T. Duncan (bad pass; steal by W. Ellington),,43-34,,
1:55.0,,,43-36,2,W. Ellington makes 2-pt shot at rim
1:42.0,T. Parker makes 2-pt shot from 17 ft,2,45-36,,
1:25.0,,,45-36,,Turnover by D. Sloan (bad pass; steal by M. Ginobili)
1:19.0,T. Parker misses 2-pt shot from 1 ft,,45-36,,
1:18.0,,,45-36,,Defensive rebound by J. Johnson
1:05.0,,,45-36,,Turnover by W. Ellington (bad pass)
1:05.0,,,45-36,,T. Robinson enters the game for T. Young
1:05.0,,,45-36,,S. Larkin enters the game for D. Sloan
0:53.0,K. Leonard misses 3-pt shot from 24 ft,,45-36,,
0:51.0,Offensive rebound by K. Leonard,,45-36,,
0:43.0,Jump ball: K. Leonard vs. T. Robinson,,,,Jump ball: K. Leonard vs. T. Robinson
0:25.0,Turnover by M. Ginobili (bad pass; steal by T. Robinson),,45-36,,
0:19.0,,,45-38,2,J. Johnson makes 2-pt shot from 5 ft (assist by B. Lopez)
0:05.0,,,45-38,,Personal foul by S. Larkin (drawn by T. Parker)
0:05.0,,,45-38,,W. Reed enters the game for B. Lopez
0:05.0,P. Mills enters the game for T. Parker,,45-38,,
0:01.0,T. Duncan misses 2-pt shot from 16 ft,,45-38,,
0:00.0,,,45-38,,Defensive rebound by J. Johnson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by D. Green (lost ball; steal by W. Ellington),,45-38,,
11:44.0,Personal foul by D. Green (drawn by W. Ellington),,45-38,,
11:24.0,,,45-38,,W. Ellington misses 3-pt shot from 27 ft
11:23.0,Defensive rebound by T. Duncan,,45-38,,
11:13.0,L. Aldridge misses 2-pt shot from 7 ft,,45-38,,
11:12.0,,,45-38,,Defensive rebound by T. Young
11:06.0,,,45-40,2,T. Young makes 2-pt shot from 1 ft
10:53.0,T. Parker misses 2-pt shot from 15 ft,,45-40,,
10:52.0,Offensive rebound by T. Duncan,,45-40,,
10:51.0,T. Duncan makes 2-pt shot from 2 ft,2,47-40,,
10:35.0,,,47-40,,B. Lopez misses 2-pt shot from 12 ft
10:34.0,Defensive rebound by L. Aldridge,,47-40,,
10:27.0,Turnover by T. Parker (bad pass),,47-40,,
10:14.0,,,47-42,2,D. Sloan makes 2-pt shot from 2 ft
9:56.0,T. Duncan makes 2-pt shot from 1 ft (assist by L. Aldridge),2,49-42,,
9:32.0,,,49-45,3,J. Johnson makes 3-pt shot from 23 ft (assist by B. Lopez)
9:18.0,,,49-45,,Def 3 sec tech foul by B. Lopez
9:18.0,K. Leonard makes technical free throw,1,50-45,,
9:10.0,,,50-45,,Personal foul by J. Johnson (drawn by K. Leonard)
8:55.0,D. Green misses 3-pt shot from 26 ft,,50-45,,
8:53.0,,,50-45,,Defensive rebound by J. Johnson
8:46.0,,,50-45,,Turnover by W. Ellington (lost ball; steal by T. Parker)
8:39.0,L. Aldridge misses 2-pt shot from 1 ft,,50-45,,
8:38.0,Offensive rebound by L. Aldridge,,50-45,,
8:37.0,L. Aldridge makes 2-pt shot from 2 ft,2,52-45,,
8:15.0,,,52-45,,T. Young misses 2-pt shot from 17 ft
8:14.0,Defensive rebound by Team,,52-45,,
7:55.0,D. Green misses 3-pt shot from 23 ft,,52-45,,
7:54.0,Offensive rebound by L. Aldridge,,52-45,,
7:53.0,L. Aldridge makes 2-pt shot from 1 ft,2,54-45,,
7:39.0,,,54-45,,T. Young misses 2-pt shot from 5 ft
7:38.0,Defensive rebound by L. Aldridge,,54-45,,
7:33.0,Shooting foul by D. Sloan (drawn by T. Parker),,54-45,,
7:33.0,T. Parker makes free throw 1 of 2,1,55-45,,
7:33.0,J. Simmons enters the game for D. Green,,55-45,,
7:33.0,,,55-45,,S. Karasev enters the game for W. Ellington
7:33.0,T. Parker makes free throw 2 of 2,1,56-45,,
7:18.0,,,56-47,2,S. Karasev makes 2-pt shot from 18 ft (assist by D. Sloan)
7:02.0,K. Leonard misses 2-pt shot from 2 ft,,56-47,,
7:01.0,,,56-47,,Defensive rebound by B. Lopez
6:50.0,,,56-47,,B. Lopez misses 2-pt shot from 18 ft
6:49.0,Defensive rebound by K. Leonard,,56-47,,
6:35.0,K. Leonard makes 2-pt shot from 19 ft (assist by T. Parker),2,58-47,,
6:28.0,,,58-47,,Brooklyn full timeout
6:28.0,,,58-47,,T. Robinson enters the game for T. Young
6:28.0,,,58-47,,S. Larkin enters the game for D. Sloan
6:12.0,,,58-47,,Shooting foul by L. Aldridge (drawn by S. Larkin)
6:12.0,,,58-47,,S. Larkin misses free throw 1 of 2
6:12.0,,,58-47,,Offensive rebound by Team
6:12.0,,,58-48,1,S. Larkin makes free throw 2 of 2
5:54.0,Shooting foul by J. Johnson (drawn by K. Leonard),,58-48,,
5:54.0,K. Leonard makes free throw 1 of 2,1,59-48,,
5:54.0,,,59-48,,B. Bogdanovic enters the game for J. Johnson
5:54.0,K. Leonard makes free throw 2 of 2,1,60-48,,
5:38.0,,,60-48,,B. Bogdanovic misses 3-pt shot from 23 ft
5:37.0,Defensive rebound by T. Duncan,,60-48,,
5:30.0,K. Leonard misses 2-pt shot from 4 ft,,60-48,,
5:29.0,Offensive rebound by L. Aldridge,,60-48,,
5:27.0,L. Aldridge misses 2-pt shot from 2 ft (block by B. Lopez),,60-48,,
5:26.0,Offensive rebound by J. Simmons,,60-48,,
5:15.0,K. Leonard misses 2-pt shot from 12 ft,,60-48,,
5:14.0,,,60-48,,Defensive rebound by B. Lopez
5:09.0,,,60-48,,Shooting foul by J. Simmons (drawn by T. Robinson)
5:09.0,,,60-49,1,T. Robinson makes free throw 1 of 2
5:09.0,P. Mills enters the game for T. Parker,,60-49,,
5:09.0,B. Marjanovic enters the game for T. Duncan,,60-49,,
5:09.0,M. Ginobili enters the game for K. Leonard,,60-49,,
5:09.0,,,60-50,1,T. Robinson makes free throw 2 of 2
4:48.0,L. Aldridge misses 2-pt shot from 18 ft,,60-50,,
4:46.0,,,60-50,,Defensive rebound by S. Karasev
4:35.0,,,60-50,,Turnover by B. Bogdanovic (bad pass)
4:35.0,,,60-50,,W. Reed enters the game for B. Lopez
4:26.0,L. Aldridge makes 2-pt shot from 2 ft (assist by M. Ginobili),2,62-50,,
4:26.0,Shooting foul by T. Robinson (drawn by L. Aldridge),,62-50,,
4:26.0,L. Aldridge makes free throw 1 of 1,1,63-50,,
4:11.0,,,63-50,,Turnover by W. Reed (3 sec)
3:51.0,M. Ginobili makes 3-pt shot from 24 ft (assist by B. Marjanovic),3,66-50,,
3:51.0,,,66-50,,Brooklyn full timeout
3:30.0,,,66-52,2,S. Larkin makes 2-pt shot from 2 ft
3:17.0,Shooting foul by B. Bogdanovic (drawn by B. Marjanovic),,66-52,,
3:17.0,B. Marjanovic makes 2-pt shot at rim (assist by M. Ginobili),2,68-52,,
3:17.0,B. Marjanovic makes free throw 1 of 1,1,69-52,,
2:59.0,,,69-52,,T. Robinson misses 2-pt shot from 2 ft (block by B. Marjanovic)
2:58.0,Defensive rebound by B. Marjanovic,,69-52,,
2:53.0,P. Mills misses 2-pt shot from 20 ft,,69-52,,
2:52.0,,,69-52,,Defensive rebound by Team
2:52.0,Loose ball foul by B. Marjanovic (drawn by W. Reed),,69-52,,
2:52.0,San Antonio full timeout,,69-52,,
2:52.0,,,69-52,,J. Johnson enters the game for S. Karasev
2:52.0,,,69-52,,T. Young enters the game for T. Robinson
2:52.0,,,69-52,,B. Lopez enters the game for W. Reed
2:52.0,B. Diaw enters the game for L. Aldridge,,69-52,,
2:35.0,,,69-52,,Turnover by S. Larkin (lost ball; steal by B. Diaw)
2:19.0,M. Ginobili makes 2-pt shot from 16 ft (assist by B. Diaw),2,71-52,,
2:04.0,,,71-52,,T. Young misses 2-pt shot from 6 ft
2:03.0,Defensive rebound by B. Diaw,,71-52,,
1:54.0,Turnover by M. Ginobili (bad pass; steal by B. Bogdanovic),,71-52,,
1:46.0,,,71-52,,B. Bogdanovic misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by J. Simmons,,71-52,,
1:36.0,,,71-52,,Personal foul by B. Bogdanovic (drawn by B. Diaw)
1:36.0,B. Diaw makes free throw 1 of 2,1,72-52,,
1:36.0,,,72-52,,W. Ellington enters the game for B. Bogdanovic
1:36.0,,,72-52,,D. Sloan enters the game for S. Larkin
1:36.0,B. Diaw makes free throw 2 of 2,1,73-52,,
1:14.0,,,73-54,2,J. Johnson makes 2-pt shot from 10 ft
0:54.0,Shooting foul by B. Lopez (drawn by B. Marjanovic),,73-54,,
0:54.0,B. Marjanovic makes free throw 1 of 2,1,74-54,,
0:54.0,B. Marjanovic misses free throw 2 of 2,,74-54,,
0:52.0,,,74-54,,Defensive rebound by T. Young
0:40.0,,,74-54,,B. Lopez misses 2-pt shot from 1 ft
0:39.0,Defensive rebound by M. Ginobili,,74-54,,
0:31.0,B. Marjanovic makes 2-pt shot from 2 ft (assist by M. Ginobili),2,76-54,,
0:16.0,Personal foul by J. Simmons (drawn by J. Johnson),,76-54,,
0:16.0,,,76-55,1,J. Johnson makes free throw 1 of 2
0:16.0,,,76-56,1,J. Johnson makes free throw 2 of 2
0:03.0,B. Marjanovic misses 2-pt shot from 4 ft,,76-56,,
0:02.0,Offensive rebound by Team,,76-56,,
0:02.0,,,76-56,,Loose ball foul by B. Lopez (drawn by B. Marjanovic)
0:02.0,,,76-56,,Violation by Team (delay of game)
0:02.0,B. Marjanovic misses free throw 1 of 2,,76-56,,
0:02.0,Offensive rebound by Team,,76-56,,
0:02.0,B. Marjanovic makes free throw 2 of 2,1,77-56,,
0:00.0,,,77-56,,D. Sloan misses 3-pt shot from 48 ft
0:00.0,,,77-56,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,77-58,2,W. Ellington makes 2-pt shot from 17 ft
11:21.0,J. Simmons misses 2-pt shot from 8 ft,,77-58,,
11:20.0,,,77-58,,Defensive rebound by W. Ellington
11:12.0,,,77-58,,W. Ellington misses 2-pt shot from 15 ft
11:11.0,,,77-58,,Offensive rebound by Team
11:11.0,Loose ball foul by B. Marjanovic (drawn by B. Lopez),,77-58,,
11:02.0,,,77-60,2,J. Johnson makes 2-pt shot from 6 ft
10:39.0,B. Marjanovic misses 2-pt shot from 8 ft (block by B. Lopez),,77-60,,
10:37.0,,,77-60,,Defensive rebound by T. Young
10:29.0,,,77-62,2,B. Lopez makes 2-pt shot from 9 ft
10:27.0,San Antonio full timeout,,77-62,,
10:27.0,T. Parker enters the game for P. Mills,,77-62,,
10:27.0,K. Leonard enters the game for J. Simmons,,77-62,,
10:12.0,B. Diaw makes 2-pt shot from 3 ft,2,79-62,,
9:55.0,,,79-64,2,B. Lopez makes 2-pt shot from 3 ft
9:34.0,K. Leonard makes 3-pt shot from 25 ft (assist by B. Diaw),3,82-64,,
9:24.0,Personal foul by B. Diaw (drawn by T. Young),,82-64,,
9:24.0,L. Aldridge enters the game for B. Marjanovic,,82-64,,
9:08.0,,,82-64,,Turnover by Team (shot clock)
8:49.0,L. Aldridge makes 2-pt shot from 14 ft,2,84-64,,
8:39.0,,,84-64,,Turnover by T. Young (bad pass)
8:24.0,K. Leonard makes 3-pt shot from 23 ft (assist by L. Aldridge),3,87-64,,
8:24.0,,,87-64,,Brooklyn full timeout
8:24.0,D. West enters the game for L. Aldridge,,87-64,,
8:24.0,,,87-64,,T. Robinson enters the game for T. Young
8:24.0,,,87-64,,M. Brown enters the game for B. Lopez
8:24.0,,,87-64,,S. Larkin enters the game for W. Ellington
8:24.0,,,87-64,,A. Bargnani enters the game for D. Sloan
7:59.0,,,87-64,,J. Johnson misses 2-pt shot from 16 ft
7:58.0,Defensive rebound by K. Anderson,,87-64,,
7:38.0,D. West makes 2-pt shot from 2 ft (assist by K. Anderson),2,89-64,,
7:21.0,Personal foul by K. Anderson (drawn by M. Brown),,89-64,,
7:21.0,M. Bonner enters the game for T. Parker,,89-64,,
7:21.0,,,89-64,,B. Bogdanovic enters the game for J. Johnson
7:07.0,,,89-64,,M. Brown misses 3-pt shot from 23 ft
7:06.0,Defensive rebound by D. West,,89-64,,
6:57.0,B. Diaw makes 2-pt shot from 1 ft,2,91-64,,
6:39.0,,,91-66,2,T. Robinson makes 2-pt shot from 2 ft (assist by S. Larkin)
6:31.0,San Antonio full timeout,,91-66,,
6:31.0,D. Green enters the game for K. Leonard,,91-66,,
6:18.0,Shooting foul by A. Bargnani (drawn by B. Diaw),,91-66,,
6:18.0,B. Diaw misses free throw 1 of 2,,91-66,,
6:18.0,Offensive rebound by Team,,91-66,,
6:18.0,B. Diaw misses free throw 2 of 2,,91-66,,
6:17.0,,,91-66,,Defensive rebound by T. Robinson
6:07.0,,,91-66,,M. Brown misses 2-pt shot from 19 ft
6:05.0,,,91-66,,Offensive rebound by Team
5:52.0,,,91-66,,Turnover by Team (back court)
5:39.0,Shooting foul by M. Brown (drawn by K. Anderson),,91-66,,
5:39.0,K. Anderson makes free throw 1 of 2,1,92-66,,
5:39.0,B. Marjanovic enters the game for B. Diaw,,92-66,,
5:39.0,K. Anderson makes free throw 2 of 2,1,93-66,,
5:27.0,,,93-66,,B. Bogdanovic misses 2-pt shot from 1 ft (block by B. Marjanovic)
5:25.0,Defensive rebound by D. Green,,93-66,,
5:16.0,B. Marjanovic makes 2-pt shot from 2 ft (assist by D. West),2,95-66,,
5:04.0,,,95-66,,Turnover by M. Brown (bad pass; steal by D. West)
5:00.0,Turnover by D. West (bad pass; steal by S. Larkin),,95-66,,
4:55.0,,,95-66,,M. Brown misses 3-pt shot from 25 ft
4:54.0,,,95-66,,Offensive rebound by A. Bargnani
4:42.0,,,95-66,,T. Robinson misses 2-pt shot from 15 ft
4:41.0,Defensive rebound by D. West,,95-66,,
4:19.0,Shooting foul by M. Brown (drawn by K. Anderson),,95-66,,
4:19.0,K. Anderson misses free throw 1 of 2,,95-66,,
4:19.0,Offensive rebound by Team,,95-66,,
4:19.0,K. Anderson makes free throw 2 of 2,1,96-66,,
4:08.0,,,96-68,2,A. Bargnani makes 2-pt shot from 7 ft (assist by S. Larkin)
4:08.0,,,96-68,,Shooting foul by D. West (drawn by A. Bargnani)
4:08.0,,,96-69,1,A. Bargnani makes free throw 1 of 1
3:53.0,D. West misses 2-pt shot from 18 ft,,96-69,,
