time,Indiana,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. M. Plumlee (O. Mayo gains possession),,,,Jump ball: I. Mahinmi vs. M. Plumlee (O. Mayo gains possession)
11:44.0,,,0-0,,J. Parker misses 2-pt shot from 14 ft
11:42.0,Defensive rebound by P. George,,0-0,,
11:29.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,2-0,,
11:12.0,,,2-0,,Turnover by G. Antetokounmpo (bad pass; steal by I. Mahinmi)
10:54.0,G. Hill misses 2-pt shot from 13 ft,,2-0,,
10:53.0,,,2-0,,Defensive rebound by G. Antetokounmpo
10:48.0,,,2-0,,Shooting foul by I. Mahinmi (drawn by G. Antetokounmpo)
10:48.0,,,2-1,1,G. Antetokounmpo makes free throw 1 of 2
10:48.0,,,2-2,1,G. Antetokounmpo makes free throw 2 of 2
10:36.0,Shooting foul by O. Mayo (drawn by I. Mahinmi),,2-2,,
10:36.0,I. Mahinmi misses free throw 1 of 2,,2-2,,
10:36.0,Offensive rebound by Team,,2-2,,
10:36.0,I. Mahinmi makes free throw 2 of 2,1,3-2,,
10:19.0,,,3-4,2,K. Middleton makes 2-pt shot from 12 ft
10:07.0,M. Turner misses 2-pt shot from 8 ft,,3-4,,
10:05.0,,,3-4,,Defensive rebound by M. Plumlee
10:00.0,,,3-4,,J. Parker misses 2-pt shot from 1 ft
9:58.0,Defensive rebound by I. Mahinmi,,3-4,,
9:51.0,P. George misses 2-pt shot from 18 ft,,3-4,,
9:50.0,,,3-4,,Defensive rebound by K. Middleton
9:43.0,,,3-4,,K. Middleton misses 2-pt shot from 15 ft
9:41.0,Defensive rebound by P. George,,3-4,,
9:30.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,5-4,,
9:14.0,,,5-4,,J. Parker misses 2-pt shot from 19 ft
9:12.0,Defensive rebound by M. Ellis,,5-4,,
8:59.0,I. Mahinmi misses 2-pt shot from 9 ft,,5-4,,
8:58.0,,,5-4,,Defensive rebound by M. Plumlee
8:40.0,,,5-6,2,M. Plumlee makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
8:14.0,G. Hill misses 2-pt shot from 17 ft,,5-6,,
8:13.0,,,5-6,,Defensive rebound by G. Antetokounmpo
8:07.0,,,5-6,,Turnover by K. Middleton (lost ball; steal by M. Ellis)
8:00.0,M. Ellis misses 2-pt shot from 17 ft,,5-6,,
7:58.0,Offensive rebound by G. Hill,,5-6,,
7:58.0,,,5-6,,Personal foul by G. Antetokounmpo (drawn by G. Hill)
7:39.0,M. Turner misses 2-pt shot from 10 ft,,5-6,,
