time,Charlotte,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Landry vs. C. Zeller (H. Thompson gains possession),,,,Jump ball: C. Landry vs. C. Zeller (H. Thompson gains possession)
11:49.0,,,0-0,,I. Canaan misses 3-pt shot from 24 ft
11:46.0,Defensive rebound by C. Zeller,,0-0,,
11:32.0,C. Zeller makes 2-pt shot from 3 ft (assist by N. Batum),2,2-0,,
11:22.0,,,2-0,,H. Thompson misses 3-pt shot from 27 ft
11:21.0,Defensive rebound by C. Zeller,,2-0,,
11:10.0,N. Batum misses 2-pt shot from 9 ft,,2-0,,
11:09.0,,,2-0,,Defensive rebound by R. Covington
10:57.0,Def 3 sec tech foul by N. Batum,,2-0,,
10:57.0,,,2-1,1,I. Canaan makes technical free throw
10:52.0,,,2-1,,R. Covington misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by C. Zeller,,2-1,,
10:43.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,4-1,,
10:23.0,,,4-1,,I. Smith misses 3-pt shot from 25 ft
10:22.0,,,4-1,,Offensive rebound by H. Thompson
10:20.0,,,4-4,3,H. Thompson makes 3-pt shot from 22 ft
10:03.0,C. Lee makes 3-pt shot from 25 ft (assist by N. Batum),3,7-4,,
9:40.0,,,7-4,,I. Canaan misses 3-pt shot from 26 ft
9:39.0,Defensive rebound by M. Williams,,7-4,,
9:23.0,K. Walker misses 3-pt shot from 25 ft,,7-4,,
9:22.0,,,7-4,,Defensive rebound by I. Smith
9:08.0,,,7-4,,Shooting foul by C. Zeller (drawn by C. Landry)
9:08.0,,,7-5,1,C. Landry makes free throw 1 of 2
9:08.0,,,7-6,1,C. Landry makes free throw 2 of 2
8:53.0,N. Batum misses 2-pt shot from 17 ft,,7-6,,
8:52.0,,,7-6,,Defensive rebound by H. Thompson
8:37.0,,,7-6,,I. Smith misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by C. Zeller,,7-6,,
8:26.0,M. Williams misses 3-pt shot from 25 ft,,7-6,,
8:25.0,,,7-6,,Defensive rebound by I. Smith
8:18.0,,,7-9,3,R. Covington makes 3-pt shot from 24 ft (assist by I. Smith)
8:01.0,N. Batum misses 3-pt shot from 26 ft,,7-9,,
8:00.0,,,7-9,,Defensive rebound by C. Landry
7:41.0,,,7-9,,I. Canaan misses 2-pt shot from 2 ft
7:40.0,Defensive rebound by C. Zeller,,7-9,,
7:33.0,Shooting foul by H. Thompson (drawn by K. Walker),,7-9,,
7:33.0,K. Walker makes free throw 1 of 2,1,8-9,,
7:33.0,,,8-9,,N. Stauskas enters the game for H. Thompson
7:33.0,K. Walker makes free throw 2 of 2,1,9-9,,
7:24.0,,,9-9,,C. Landry misses 2-pt shot from 19 ft
7:22.0,Defensive rebound by C. Lee,,9-9,,
7:16.0,,,9-9,,Personal foul by R. Covington
7:11.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams),3,12-9,,
6:44.0,,,12-9,,I. Canaan misses 2-pt shot from 6 ft
6:42.0,Defensive rebound by K. Walker,,12-9,,
6:36.0,K. Walker misses 2-pt shot from 4 ft (block by I. Smith),,12-9,,
6:35.0,Offensive rebound by M. Williams,,12-9,,
6:35.0,M. Williams makes 2-pt shot at rim,2,14-9,,
6:35.0,,,14-9,,Philadelphia full timeout
6:23.0,,,14-9,,R. Covington misses 3-pt shot from 26 ft
6:22.0,Defensive rebound by N. Batum,,14-9,,
6:09.0,C. Lee misses 2-pt shot from 14 ft,,14-9,,
6:08.0,,,14-9,,Defensive rebound by R. Covington
5:57.0,,,14-12,3,N. Stauskas makes 3-pt shot from 23 ft (assist by I. Smith)
5:42.0,K. Walker misses 2-pt shot from 19 ft,,14-12,,
5:41.0,,,14-12,,Defensive rebound by R. Covington
5:28.0,,,14-12,,R. Covington misses 2-pt shot from 14 ft
5:26.0,Defensive rebound by N. Batum,,14-12,,
5:15.0,M. Williams misses 3-pt shot from 24 ft,,14-12,,
5:14.0,,,14-12,,Defensive rebound by C. Landry
4:54.0,,,14-12,,N. Stauskas misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by N. Batum,,14-12,,
4:53.0,A. Jefferson enters the game for C. Zeller,,14-12,,
4:53.0,,,14-12,,Loose ball foul by R. Covington
4:53.0,J. Lamb enters the game for N. Batum,,14-12,,
4:53.0,,,14-12,,T. McConnell enters the game for R. Covington
4:53.0,,,14-12,,E. Brand enters the game for C. Landry
4:53.0,,,14-12,,H. Thompson enters the game for I. Canaan
4:43.0,A. Jefferson misses 2-pt shot from 8 ft,,14-12,,
4:42.0,,,14-12,,Defensive rebound by E. Brand
4:29.0,,,14-15,3,N. Stauskas makes 3-pt shot from 24 ft (assist by I. Smith)
4:20.0,Charlotte full timeout,,14-15,,
4:13.0,J. Lamb misses 2-pt shot from 2 ft,,14-15,,
4:11.0,,,14-15,,Defensive rebound by T. McConnell
4:04.0,,,14-17,2,N. Stauskas makes 2-pt shot from 4 ft (assist by T. McConnell)
3:49.0,J. Lamb makes 2-pt shot from 7 ft (assist by C. Lee),2,16-17,,
3:34.0,,,16-17,,E. Brand misses 2-pt shot from 15 ft
3:33.0,Defensive rebound by A. Jefferson,,16-17,,
3:19.0,K. Walker misses 3-pt shot from 25 ft,,16-17,,
3:18.0,,,16-17,,Defensive rebound by H. Thompson
3:09.0,,,16-17,,Turnover by H. Thompson (lost ball; steal by K. Walker)
3:04.0,C. Lee makes 2-pt shot at rim (assist by J. Lamb),2,18-17,,
3:04.0,Shooting foul by E. Brand (drawn by C. Lee),,18-17,,
3:04.0,C. Lee makes free throw 1 of 1,1,19-17,,
2:55.0,,,19-17,,Turnover by N. Stauskas (lost ball; steal by C. Lee)
2:50.0,J. Lamb makes 2-pt shot at rim (assist by C. Lee),2,21-17,,
2:33.0,,,21-17,,H. Thompson misses 2-pt shot from 12 ft
2:31.0,Defensive rebound by J. Lamb,,21-17,,
2:26.0,K. Walker misses 2-pt shot from 1 ft,,21-17,,
2:23.0,Offensive rebound by M. Williams,,21-17,,
2:23.0,M. Williams misses 2-pt shot from 1 ft,,21-17,,
2:21.0,,,21-17,,Defensive rebound by H. Thompson
2:16.0,,,21-17,,I. Smith misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by A. Jefferson,,21-17,,
2:04.0,J. Lamb misses 2-pt shot from 19 ft,,21-17,,
2:02.0,,,21-17,,Defensive rebound by T. McConnell
1:56.0,,,21-17,,T. McConnell misses 2-pt shot from 13 ft
1:53.0,Defensive rebound by J. Lamb,,21-17,,
1:43.0,Turnover by K. Walker (lost ball),,21-17,,
1:43.0,F. Kaminsky enters the game for M. Williams,,21-17,,
1:43.0,,,21-17,,K. Marshall enters the game for I. Smith
1:27.0,,,21-17,,E. Brand misses 2-pt shot from 3 ft (block by A. Jefferson)
1:25.0,,,21-17,,Offensive rebound by E. Brand
1:23.0,,,21-19,2,E. Brand makes 2-pt shot from 1 ft
1:06.0,Shooting foul by T. McConnell (drawn by F. Kaminsky),,21-19,,
1:06.0,F. Kaminsky makes free throw 1 of 2,1,22-19,,
1:06.0,F. Kaminsky makes free throw 2 of 2,1,23-19,,
0:51.0,,,23-19,,H. Thompson misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by J. Lamb,,23-19,,
0:32.0,K. Walker misses 3-pt shot from 25 ft,,23-19,,
0:31.0,,,23-19,,Defensive rebound by E. Brand
0:07.0,,,23-19,,H. Thompson misses 2-pt shot from 15 ft
