time,Milwaukee,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. G. Monroe (K. Leonard gains possession),,,,Jump ball: T. Duncan vs. G. Monroe (K. Leonard gains possession)
11:39.0,,,0-2,2,T. Duncan makes 2-pt shot from 5 ft
11:20.0,Shooting foul by K. Leonard (drawn by K. Middleton),,0-2,,
11:20.0,K. Middleton makes free throw 1 of 3,1,1-2,,
11:20.0,K. Middleton makes free throw 2 of 3,1,2-2,,
11:20.0,K. Middleton makes free throw 3 of 3,1,3-2,,
10:56.0,,,3-4,2,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Green)
10:44.0,G. Monroe makes 2-pt shot from 2 ft (assist by T. Ennis),2,5-4,,
10:22.0,,,5-4,,T. Duncan misses 2-pt shot from 17 ft
10:21.0,Defensive rebound by K. Middleton,,5-4,,
10:13.0,Shooting foul by L. Aldridge (drawn by G. Antetokounmpo),,5-4,,
10:13.0,G. Antetokounmpo makes free throw 1 of 2,1,6-4,,
10:13.0,,,6-4,,D. West enters the game for L. Aldridge
10:13.0,G. Antetokounmpo makes free throw 2 of 2,1,7-4,,
10:00.0,,,7-6,2,T. Duncan makes 2-pt shot from 7 ft (assist by T. Parker)
9:46.0,G. Monroe misses 2-pt shot from 5 ft,,7-6,,
9:45.0,Offensive rebound by G. Antetokounmpo,,7-6,,
9:45.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,7-6,,
9:43.0,,,7-6,,Defensive rebound by D. West
9:35.0,,,7-8,2,T. Duncan makes 2-pt shot from 2 ft (assist by D. West)
9:14.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Duncan),,7-8,,
9:04.0,,,7-10,2,K. Leonard makes 2-pt shot at rim (assist by T. Duncan)
9:04.0,Milwaukee full timeout,,7-10,,
9:04.0,,,7-10,,L. Aldridge enters the game for D. West
8:49.0,T. Ennis misses 2-pt shot from 13 ft,,7-10,,
8:48.0,,,7-10,,Defensive rebound by T. Duncan
8:38.0,,,7-10,,Shooting foul by K. Middleton (drawn by K. Leonard)
8:38.0,,,7-11,1,K. Leonard makes free throw 1 of 2
8:38.0,,,7-12,1,K. Leonard makes free throw 2 of 2
8:22.0,T. Ennis misses 3-pt shot from 24 ft,,7-12,,
8:21.0,,,7-12,,Defensive rebound by L. Aldridge
8:09.0,,,7-12,,K. Leonard misses 3-pt shot from 23 ft
8:08.0,Defensive rebound by G. Antetokounmpo,,7-12,,
7:59.0,G. Monroe makes 2-pt shot at rim (assist by O. Mayo),2,9-12,,
7:43.0,,,9-12,,Shooting foul by O. Mayo (drawn by T. Parker)
7:43.0,,,9-13,1,T. Parker makes free throw 1 of 2
7:43.0,,,9-14,1,T. Parker makes free throw 2 of 2
7:31.0,K. Middleton misses 2-pt shot from 15 ft,,9-14,,
7:30.0,,,9-14,,Defensive rebound by T. Duncan
7:18.0,,,9-14,,T. Parker misses 2-pt shot at rim
7:17.0,Defensive rebound by O. Mayo,,9-14,,
7:10.0,K. Middleton misses 3-pt shot from 24 ft,,9-14,,
7:09.0,,,9-14,,Defensive rebound by T. Duncan
7:05.0,,,9-14,,Shooting foul by T. Ennis (drawn by K. Leonard)
7:05.0,,,9-14,,K. Leonard misses free throw 1 of 2
7:05.0,,,9-14,,Offensive rebound by Team
7:05.0,M. Carter-Williams enters the game for T. Ennis,,9-14,,
7:05.0,,,9-15,1,K. Leonard makes free throw 2 of 2
6:55.0,O. Mayo makes 2-pt shot from 16 ft (assist by M. Carter-Williams),2,11-15,,
6:39.0,,,11-17,2,L. Aldridge makes 2-pt shot from 21 ft (assist by D. Green)
6:22.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by L. Aldridge),,11-17,,
6:21.0,,,11-17,,Defensive rebound by L. Aldridge
6:12.0,,,11-17,,Shooting foul by G. Monroe (drawn by T. Duncan)
6:12.0,,,11-18,1,T. Duncan makes free throw 1 of 2
6:12.0,,,11-19,1,T. Duncan makes free throw 2 of 2
5:58.0,O. Mayo misses 3-pt shot from 25 ft,,11-19,,
5:57.0,,,11-19,,Defensive rebound by K. Leonard
5:38.0,,,11-19,,K. Leonard misses 2-pt shot from 14 ft
5:38.0,Defensive rebound by Team,,11-19,,
5:38.0,J. Parker enters the game for O. Mayo,,11-19,,
5:31.0,Shooting foul by D. Green (drawn by J. Parker),,11-19,,
5:31.0,J. Parker makes free throw 1 of 2,1,12-19,,
5:31.0,,,12-19,,M. Ginobili enters the game for D. Green
5:31.0,,,12-19,,B. Diaw enters the game for T. Duncan
5:31.0,,,12-19,,P. Mills enters the game for T. Parker
5:31.0,J. Parker makes free throw 2 of 2,1,13-19,,
5:14.0,,,13-19,,Turnover by M. Ginobili (lost ball; steal by M. Carter-Williams)
5:06.0,M. Carter-Williams misses 2-pt shot from 10 ft,,13-19,,
5:05.0,,,13-19,,Defensive rebound by L. Aldridge
