time,Houston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Howard (T. Allen gains possession),,,,Jump ball: M. Gasol vs. D. Howard (T. Allen gains possession)
11:36.0,,,0-0,,J. Green misses 2-pt shot from 19 ft
11:34.0,Defensive rebound by T. Jones,,0-0,,
11:20.0,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza),3,3-0,,
11:09.0,,,3-2,2,M. Gasol makes 2-pt shot from 14 ft (assist by T. Allen)
10:53.0,J. Terry makes 2-pt shot from 23 ft (assist by D. Howard),2,5-2,,
10:37.0,,,5-2,,T. Allen misses 2-pt shot from 8 ft
10:36.0,Defensive rebound by D. Howard,,5-2,,
10:26.0,T. Jones makes 2-pt shot from 1 ft,2,7-2,,
10:17.0,,,7-2,,M. Conley misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by Team,,7-2,,
10:02.0,,,7-2,,Personal foul by T. Allen (drawn by J. Harden)
9:48.0,T. Jones misses 2-pt shot from 20 ft,,7-2,,
9:45.0,,,7-2,,Defensive rebound by J. Green
9:37.0,,,7-2,,M. Gasol misses 2-pt shot from 20 ft
9:34.0,,,7-2,,Offensive rebound by J. Green
9:26.0,,,7-2,,T. Allen misses 2-pt shot from 3 ft (block by D. Howard)
9:24.0,Defensive rebound by J. Terry,,7-2,,
9:18.0,T. Ariza misses 3-pt shot from 25 ft,,7-2,,
9:16.0,,,7-2,,Defensive rebound by M. Conley
9:08.0,,,7-2,,J. Green misses 2-pt shot from 2 ft (block by J. Terry)
9:07.0,Defensive rebound by J. Terry,,7-2,,
9:03.0,,,7-2,,Personal foul by J. Green (drawn by T. Ariza)
8:55.0,T. Jones misses 2-pt shot from 2 ft,,7-2,,
8:55.0,Offensive rebound by Team,,7-2,,
8:55.0,,,7-2,,Loose ball foul by J. Green (drawn by D. Howard)
8:49.0,Turnover by T. Ariza (bad pass; steal by M. Gasol),,7-2,,
8:42.0,,,7-4,2,M. Conley makes 2-pt shot from 7 ft (assist by T. Allen)
8:28.0,Turnover by J. Harden (turnover),,7-4,,
8:05.0,,,7-4,,J. Green misses 2-pt shot from 23 ft
8:03.0,Defensive rebound by J. Harden,,7-4,,
7:54.0,J. Harden makes 2-pt shot from 1 ft,2,9-4,,
7:48.0,Personal foul by T. Ariza (drawn by J. Green),,9-4,,
7:38.0,,,9-4,,T. Allen misses 2-pt shot from 2 ft (block by J. Harden)
7:36.0,Defensive rebound by T. Jones,,9-4,,
7:25.0,J. Harden misses 2-pt shot from 8 ft,,9-4,,
7:23.0,,,9-4,,Defensive rebound by J. Green
7:22.0,,,9-4,,Shooting foul by T. Ariza (drawn by T. Allen)
7:22.0,,,9-4,,T. Allen misses free throw 1 of 2
7:22.0,,,9-4,,Offensive rebound by Team
7:22.0,,,9-4,,M. Barnes enters the game for J. Green
7:22.0,,,9-4,,V. Carter enters the game for J. Green
7:22.0,,,9-5,1,T. Allen makes free throw 2 of 2
6:56.0,J. Terry misses 2-pt shot from 17 ft (block by V. Carter),,9-5,,
6:55.0,,,9-5,,Defensive rebound by M. Conley
6:46.0,,,9-5,,Turnover by M. Conley (bad pass; steal by T. Ariza)
6:41.0,T. Ariza makes 2-pt shot at rim,2,11-5,,
6:33.0,Personal foul by J. Terry (drawn by M. Gasol),,11-5,,
6:33.0,,,11-5,,Memphis full timeout
6:26.0,,,11-7,2,M. Conley makes 2-pt shot from 7 ft (assist by M. Gasol)
6:05.0,D. Howard misses 2-pt shot from 3 ft,,11-7,,
6:04.0,,,11-7,,Defensive rebound by T. Allen
6:04.0,Loose ball foul by T. Jones (drawn by T. Allen),,11-7,,
5:53.0,,,11-7,,M. Barnes misses 2-pt shot from 4 ft
5:52.0,Defensive rebound by D. Howard,,11-7,,
5:45.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,14-7,,
5:29.0,,,14-7,,T. Allen misses 2-pt shot from 18 ft
5:26.0,,,14-7,,Offensive rebound by V. Carter
5:26.0,,,14-7,,V. Carter misses 2-pt shot from 2 ft
5:25.0,Defensive rebound by D. Howard,,14-7,,
5:12.0,T. Ariza misses 3-pt shot from 23 ft,,14-7,,
5:11.0,,,14-7,,Defensive rebound by M. Conley
5:00.0,,,14-10,3,V. Carter makes 3-pt shot from 24 ft (assist by M. Gasol)
4:37.0,Shooting foul by V. Carter (drawn by D. Howard),,14-10,,
4:37.0,D. Howard makes free throw 1 of 2,1,15-10,,
4:37.0,T. Lawson enters the game for J. Terry,,15-10,,
4:37.0,,,15-10,,C. Lee enters the game for T. Allen
4:37.0,C. Brewer enters the game for T. Ariza,,15-10,,
4:37.0,D. Howard misses free throw 2 of 2,,15-10,,
4:35.0,,,15-10,,Defensive rebound by M. Barnes
4:18.0,C. Capela enters the game for D. Howard,,15-10,,
4:14.0,,,15-10,,M. Gasol misses 2-pt shot from 5 ft
4:12.0,Defensive rebound by C. Capela,,15-10,,
3:55.0,Shooting foul by C. Lee (drawn by J. Harden),,15-10,,
3:55.0,J. Harden misses free throw 1 of 2,,15-10,,
3:55.0,Offensive rebound by Team,,15-10,,
3:55.0,J. Harden makes free throw 2 of 2,1,16-10,,
3:40.0,,,16-12,2,M. Gasol makes 2-pt shot from 2 ft
3:31.0,J. Harden misses 3-pt shot from 27 ft,,16-12,,
3:31.0,,,16-12,,Defensive rebound by M. Gasol
3:25.0,,,16-12,,Turnover by C. Lee (bad pass; steal by T. Lawson)
3:13.0,T. Lawson misses 2-pt shot from 11 ft,,16-12,,
3:12.0,,,16-12,,Defensive rebound by M. Gasol
3:02.0,,,16-14,2,M. Barnes makes 2-pt shot from 3 ft (assist by M. Conley)
2:57.0,Houston full timeout,,16-14,,
2:57.0,M. Harrell enters the game for T. Jones,,16-14,,
2:57.0,M. Thornton enters the game for J. Harden,,16-14,,
2:57.0,,,16-14,,J. Green enters the game for M. Gasol
2:57.0,,,16-14,,M. Chalmers enters the game for M. Conley
2:45.0,Offensive charge foul by M. Harrell,,16-14,,
2:45.0,Turnover by M. Harrell (offensive foul),,16-14,,
2:32.0,,,16-17,3,V. Carter makes 3-pt shot from 24 ft (assist by M. Chalmers)
