time,LA Lakers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Hibbert (J. Green gains possession),,,,Jump ball: M. Gasol vs. R. Hibbert (J. Green gains possession)
11:43.0,,,0-2,2,M. Conley makes 2-pt shot from 22 ft (assist by M. Gasol)
11:21.0,R. Hibbert misses 2-pt shot from 14 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by M. Barnes
11:03.0,,,0-4,2,C. Lee makes 2-pt shot from 21 ft (assist by M. Gasol)
10:51.0,Shooting foul by M. Gasol (drawn by R. Hibbert),,0-4,,
10:51.0,R. Hibbert misses free throw 1 of 2,,0-4,,
10:51.0,Offensive rebound by Team,,0-4,,
10:51.0,R. Hibbert makes free throw 2 of 2,1,1-4,,
10:32.0,,,1-6,2,M. Gasol makes 2-pt shot from 5 ft
10:10.0,K. Bryant misses 3-pt shot from 26 ft,,1-6,,
10:10.0,,,1-6,,Defensive rebound by J. Green
10:04.0,,,1-6,,Shooting foul by L. Nance (drawn by J. Green)
10:04.0,,,1-6,,J. Green misses free throw 1 of 2
10:04.0,,,1-6,,Offensive rebound by Team
10:04.0,,,1-7,1,J. Green makes free throw 2 of 2
9:52.0,K. Bryant makes 2-pt shot from 1 ft (assist by R. Hibbert),2,3-7,,
9:39.0,,,3-7,,M. Gasol misses 2-pt shot from 6 ft
9:37.0,,,3-7,,Offensive rebound by M. Barnes
9:33.0,,,3-7,,M. Barnes misses 3-pt shot from 24 ft
9:31.0,,,3-7,,Offensive rebound by J. Green
9:31.0,,,3-7,,J. Green misses 2-pt shot at rim
9:29.0,,,3-7,,Offensive rebound by J. Green
9:29.0,,,3-9,2,J. Green makes 2-pt shot from 1 ft
9:14.0,L. Williams misses 2-pt shot from 1 ft,,3-9,,
9:13.0,,,3-9,,Defensive rebound by Team
8:57.0,,,3-11,2,J. Green makes 2-pt shot from 21 ft (assist by M. Barnes)
8:40.0,L. Nance makes 2-pt shot from 9 ft,2,5-11,,
8:22.0,,,5-13,2,M. Conley makes 2-pt shot from 6 ft
8:08.0,J. Clarkson misses 2-pt shot from 1 ft,,5-13,,
8:07.0,,,5-13,,Defensive rebound by M. Conley
8:01.0,,,5-13,,J. Green misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by L. Nance,,5-13,,
7:53.0,L. Nance misses 2-pt shot from 1 ft,,5-13,,
7:51.0,Offensive rebound by J. Clarkson,,5-13,,
7:51.0,J. Clarkson makes 2-pt shot from 1 ft,2,7-13,,
7:28.0,,,7-13,,M. Gasol misses 2-pt shot from 15 ft
