time,San Antonio,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. T. Duncan (K. Leonard gains possession),,,,Jump ball: D. Cousins vs. T. Duncan (K. Leonard gains possession)
11:45.0,T. Parker makes 2-pt shot from 18 ft,2,2-0,,
11:29.0,,,2-2,2,Q. Acy makes 2-pt shot at rim (assist by R. Rondo)
11:08.0,K. Leonard misses 2-pt shot from 18 ft,,2-2,,
11:08.0,,,2-2,,Defensive rebound by Q. Acy
10:58.0,,,2-4,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
10:58.0,,,2-4,,Shooting foul by D. Green (drawn by R. Gay)
10:58.0,,,2-4,,R. Gay misses free throw 1 of 1
10:57.0,Defensive rebound by K. Leonard,,2-4,,
10:40.0,Turnover by T. Parker (lost ball; steal by R. Rondo),,2-4,,
10:34.0,,,2-4,,B. McLemore misses 2-pt shot from 3 ft
10:33.0,,,2-4,,Offensive rebound by B. McLemore
10:29.0,,,2-4,,R. Rondo misses 2-pt shot from 4 ft
10:28.0,Defensive rebound by L. Aldridge,,2-4,,
10:15.0,T. Duncan misses 2-pt shot from 19 ft,,2-4,,
10:14.0,,,2-4,,Defensive rebound by R. Rondo
10:01.0,,,2-4,,D. Cousins misses 2-pt shot from 17 ft
10:00.0,Defensive rebound by T. Duncan,,2-4,,
9:47.0,L. Aldridge misses 2-pt shot from 15 ft,,2-4,,
9:47.0,,,2-4,,Defensive rebound by D. Cousins
9:36.0,,,2-4,,Q. Acy misses 2-pt shot from 18 ft
9:36.0,Defensive rebound by L. Aldridge,,2-4,,
9:25.0,D. Green misses 3-pt shot from 24 ft,,2-4,,
9:24.0,,,2-4,,Defensive rebound by Team
9:04.0,,,2-4,,Turnover by R. Rondo (lost ball; steal by D. Green)
8:58.0,K. Leonard misses 2-pt shot from 1 ft,,2-4,,
8:58.0,Offensive rebound by L. Aldridge,,2-4,,
8:58.0,Shooting foul by Q. Acy (drawn by L. Aldridge),,2-4,,
8:58.0,L. Aldridge misses free throw 1 of 2,,2-4,,
8:58.0,Offensive rebound by Team,,2-4,,
8:58.0,L. Aldridge misses free throw 2 of 2,,2-4,,
8:57.0,,,2-4,,Defensive rebound by D. Cousins
8:40.0,,,2-4,,B. McLemore misses 3-pt shot from 24 ft
8:39.0,,,2-4,,Offensive rebound by B. McLemore
8:32.0,,,2-7,3,B. McLemore makes 3-pt shot from 22 ft
