time,Detroit,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (T. Harris gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (T. Harris gains possession)
11:37.0,A. Drummond makes 2-pt shot from 11 ft,2,2-0,,
11:27.0,Personal foul by A. Drummond,,2-0,,
11:17.0,,,2-0,,L. James misses 2-pt shot from 13 ft
11:16.0,Defensive rebound by K. Caldwell-Pope,,2-0,,
11:12.0,,,2-0,,Personal foul by T. Thompson
11:02.0,T. Harris misses 3-pt shot from 24 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by Team
10:43.0,,,2-0,,K. Love misses 2-pt shot from 14 ft
10:40.0,Defensive rebound by K. Caldwell-Pope,,2-0,,
10:34.0,R. Jackson misses 2-pt shot from 6 ft,,2-0,,
10:33.0,Offensive rebound by Team,,2-0,,
10:25.0,K. Caldwell-Pope makes 2-pt shot from 14 ft (assist by R. Jackson),2,4-0,,
10:01.0,,,4-2,2,K. Irving makes 2-pt shot from 11 ft (assist by T. Thompson)
9:49.0,M. Morris misses 3-pt shot from 25 ft,,4-2,,
9:48.0,,,4-2,,Defensive rebound by K. Love
9:34.0,,,4-2,,K. Love misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by M. Morris,,4-2,,
9:25.0,Shooting foul by T. Thompson (drawn by A. Drummond),,4-2,,
9:25.0,A. Drummond misses free throw 1 of 2,,4-2,,
9:25.0,Offensive rebound by Team,,4-2,,
9:25.0,,,4-2,,T. Mozgov enters the game for T. Thompson
9:25.0,A. Drummond makes free throw 2 of 2,1,5-2,,
9:07.0,,,5-2,,T. Mozgov misses 2-pt shot at rim
9:06.0,,,5-2,,Offensive rebound by Team
8:55.0,,,5-2,,K. Irving misses 2-pt shot from 14 ft
8:55.0,Defensive rebound by Team,,5-2,,
8:37.0,M. Morris makes 3-pt shot from 26 ft (assist by T. Harris),3,8-2,,
8:22.0,,,8-4,2,K. Love makes 2-pt shot from 12 ft
7:59.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by M. Morris),3,11-4,,
7:45.0,,,11-7,3,K. Irving makes 3-pt shot from 28 ft
7:30.0,R. Jackson makes 2-pt shot from 17 ft,2,13-7,,
7:24.0,Personal foul by T. Harris,,13-7,,
7:13.0,,,13-7,,K. Love misses 2-pt shot from 7 ft
7:11.0,Defensive rebound by K. Caldwell-Pope,,13-7,,
7:01.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,13-7,,
7:01.0,,,13-7,,Defensive rebound by L. James
6:54.0,,,13-7,,Turnover by L. James (lost ball; steal by A. Drummond)
6:47.0,M. Morris misses 2-pt shot from 1 ft,,13-7,,
6:46.0,Offensive rebound by T. Harris,,13-7,,
6:46.0,T. Harris makes 2-pt shot at rim,2,15-7,,
6:46.0,,,15-7,,Cleveland full timeout
6:33.0,,,15-7,,K. Love misses 3-pt shot from 24 ft
6:33.0,Defensive rebound by K. Caldwell-Pope,,15-7,,
6:22.0,Shooting foul by K. Love (drawn by T. Harris),,15-7,,
6:22.0,T. Harris makes free throw 1 of 2,1,16-7,,
6:22.0,T. Harris makes free throw 2 of 2,1,17-7,,
