time,Memphis,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. R. Hibbert (J. Clarkson gains possession),,,,Jump ball: C. Andersen vs. R. Hibbert (J. Clarkson gains possession)
11:40.0,,,0-0,,D. Russell misses 2-pt shot from 20 ft
11:39.0,,,0-0,,Offensive rebound by R. Hibbert
11:37.0,,,0-2,2,R. Hibbert makes 2-pt shot from 8 ft
11:16.0,Z. Randolph misses 2-pt shot from 1 ft,,0-2,,
11:12.0,Offensive rebound by C. Andersen,,0-2,,
11:12.0,C. Andersen misses 2-pt shot from 2 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by J. Randle
11:12.0,Personal foul by T. Allen,,0-2,,
10:58.0,,,0-4,2,J. Clarkson makes 2-pt shot from 2 ft
10:42.0,,,0-4,,Violation by K. Bryant (kicked ball)
10:33.0,M. Barnes misses 3-pt shot from 25 ft,,0-4,,
10:32.0,,,0-4,,Defensive rebound by J. Randle
10:21.0,,,0-6,2,D. Russell makes 2-pt shot from 2 ft
10:03.0,Z. Randolph misses 2-pt shot from 15 ft,,0-6,,
10:02.0,,,0-6,,Defensive rebound by J. Randle
9:53.0,,,0-9,3,J. Clarkson makes 3-pt shot from 26 ft (assist by J. Randle)
9:53.0,Memphis full timeout,,0-9,,
9:40.0,T. Allen makes 2-pt shot from 3 ft (assist by M. Barnes),2,2-9,,
9:18.0,,,2-9,,J. Randle misses 2-pt shot from 19 ft
9:17.0,Defensive rebound by C. Andersen,,2-9,,
9:08.0,C. Andersen makes 2-pt shot from 2 ft (assist by T. Allen),2,4-9,,
8:49.0,,,4-9,,Turnover by J. Randle (3 sec)
8:32.0,M. Barnes makes 2-pt shot at rim (assist by Z. Randolph),2,6-9,,
8:12.0,,,6-11,2,D. Russell makes 2-pt shot from 9 ft (assist by J. Randle)
8:12.0,,,6-11,,Shooting foul by R. McCallum (drawn by D. Russell)
8:12.0,,,6-12,1,D. Russell makes free throw 1 of 1
7:56.0,Turnover by Z. Randolph (lost ball),,6-12,,
7:42.0,,,6-12,,Offensive foul by J. Clarkson
7:42.0,,,6-12,,Turnover by J. Clarkson (offensive foul)
7:35.0,,,6-12,,Personal foul by D. Russell
7:24.0,Z. Randolph makes 2-pt shot at rim (assist by T. Allen),2,8-12,,
7:06.0,,,8-12,,D. Russell misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by Team,,8-12,,
6:46.0,Z. Randolph makes 2-pt shot from 16 ft,2,10-12,,
6:31.0,,,10-12,,K. Bryant misses 2-pt shot from 19 ft
6:28.0,Defensive rebound by T. Allen,,10-12,,
6:16.0,Z. Randolph misses 2-pt shot from 2 ft,,10-12,,
6:14.0,,,10-12,,Defensive rebound by J. Clarkson
6:06.0,,,10-12,,Turnover by J. Clarkson (lost ball; steal by Z. Randolph)
6:00.0,T. Allen makes 2-pt shot at rim (assist by Z. Randolph),2,12-12,,
5:29.0,,,12-12,,K. Bryant misses 2-pt shot from 11 ft
5:29.0,,,12-12,,Offensive rebound by Team
5:29.0,,,12-12,,B. Bass enters the game for R. Hibbert
5:29.0,,,12-12,,L. Williams enters the game for D. Russell
5:29.0,R. Hollins enters the game for C. Andersen,,12-12,,
5:23.0,,,12-12,,K. Bryant misses 2-pt shot from 14 ft
5:22.0,Defensive rebound by T. Allen,,12-12,,
5:20.0,Turnover by T. Allen (lost ball; steal by L. Williams),,12-12,,
5:16.0,,,12-12,,K. Bryant misses 3-pt shot from 26 ft
5:13.0,Defensive rebound by R. Hollins,,12-12,,
5:09.0,M. Barnes misses 3-pt shot from 26 ft,,12-12,,
5:06.0,,,12-12,,Defensive rebound by K. Bryant
5:02.0,,,12-12,,K. Bryant misses 2-pt shot from 1 ft
4:54.0,Defensive rebound by Z. Randolph,,12-12,,
4:43.0,R. McCallum misses 3-pt shot from 24 ft,,12-12,,
4:42.0,,,12-12,,Defensive rebound by J. Randle
4:36.0,,,12-14,2,J. Randle makes 2-pt shot from 2 ft
4:18.0,T. Allen makes 2-pt shot from 11 ft (assist by R. McCallum),2,14-14,,
4:06.0,,,14-17,3,L. Williams makes 3-pt shot from 24 ft
3:48.0,T. Allen makes 2-pt shot from 20 ft (assist by R. McCallum),2,16-17,,
3:32.0,,,16-17,,Turnover by B. Bass (bad pass)
3:32.0,,,16-17,,M. World Peace enters the game for K. Bryant
3:32.0,,,16-17,,T. Black enters the game for J. Randle
3:32.0,,,16-17,,M. Huertas enters the game for J. Clarkson
3:32.0,J. Farmar enters the game for R. McCallum,,16-17,,
3:22.0,T. Allen makes 2-pt shot from 2 ft,2,18-17,,
3:16.0,,,18-17,,Shooting foul by T. Allen (drawn by L. Williams)
3:16.0,,,18-18,1,L. Williams makes free throw 1 of 2
3:16.0,L. Stephenson enters the game for T. Allen,,18-18,,
3:16.0,,,18-18,,L. Williams misses free throw 2 of 2
3:15.0,Defensive rebound by R. Hollins,,18-18,,
2:51.0,L. Stephenson makes 3-pt shot from 25 ft,3,21-18,,
2:25.0,,,21-20,2,B. Bass makes 2-pt shot from 2 ft (assist by M. Huertas)
2:11.0,,,21-20,,Personal foul by M. World Peace
2:11.0,,,21-20,,LA Lakers full timeout
2:11.0,J. Green enters the game for M. Barnes,,21-20,,
2:11.0,V. Carter enters the game for Z. Randolph,,21-20,,
1:55.0,J. Farmar misses 2-pt shot from 18 ft,,21-20,,
1:52.0,,,21-20,,Defensive rebound by B. Bass
1:39.0,,,21-23,3,L. Williams makes 3-pt shot from 27 ft (assist by B. Bass)
1:31.0,Turnover by R. Hollins (offensive foul),,21-23,,
1:31.0,Offensive foul by R. Hollins,,21-23,,
1:22.0,,,21-23,,Offensive foul by M. World Peace
1:22.0,,,21-23,,Turnover by M. World Peace (offensive foul)
1:11.0,Offensive foul by V. Carter,,21-23,,
1:11.0,Turnover by V. Carter (offensive foul),,21-23,,
1:11.0,J. Martin enters the game for R. Hollins,,21-23,,
1:03.0,,,21-23,,L. Williams misses 2-pt shot from 2 ft
1:01.0,,,21-23,,Offensive rebound by B. Bass
1:01.0,,,21-23,,B. Bass misses 2-pt shot at rim
0:58.0,Defensive rebound by J. Martin,,21-23,,
0:52.0,Turnover by J. Farmar (lost ball; steal by M. World Peace),,21-23,,
0:47.0,,,21-23,,Shooting foul by J. Martin (drawn by B. Bass)
0:47.0,,,21-24,1,B. Bass makes free throw 1 of 2
0:47.0,,,21-25,1,B. Bass makes free throw 2 of 2
0:36.0,L. Stephenson makes 2-pt shot from 12 ft,2,23-25,,
0:30.0,,,23-25,,Turnover by M. Huertas (lost ball; steal by J. Martin)
0:08.0,L. Stephenson misses 2-pt shot from 3 ft,,23-25,,
0:08.0,Offensive rebound by V. Carter,,23-25,,
0:08.0,V. Carter misses 2-pt shot from 1 ft,,23-25,,
0:07.0,Offensive rebound by J. Martin,,23-25,,
0:07.0,J. Martin makes 2-pt shot from 1 ft,2,25-25,,
0:01.0,,,25-25,,M. World Peace misses 2-pt shot from 3 ft
0:00.0,,,25-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,L. Stephenson makes 2-pt shot from 4 ft,2,27-25,,
11:18.0,,,27-27,2,M. World Peace makes 2-pt shot from 8 ft
11:04.0,V. Carter misses 3-pt shot from 26 ft,,27-27,,
11:03.0,,,27-27,,Defensive rebound by T. Black
10:58.0,,,27-27,,M. Huertas misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by V. Carter,,27-27,,
10:35.0,J. Farmar makes 3-pt shot from 24 ft,3,30-27,,
10:18.0,,,30-27,,Turnover by L. Williams (lost ball; steal by J. Martin)
10:15.0,Turnover by J. Martin (offensive foul),,30-27,,
10:15.0,Offensive charge foul by J. Martin,,30-27,,
10:15.0,M. Barnes enters the game for J. Martin,,30-27,,
10:00.0,,,30-29,2,M. Huertas makes 2-pt shot from 19 ft (assist by L. Williams)
9:40.0,M. Barnes makes 2-pt shot from 2 ft (assist by J. Farmar),2,32-29,,
9:27.0,,,32-29,,Offensive foul by T. Black
9:27.0,,,32-29,,Turnover by T. Black (offensive foul)
9:27.0,,,32-29,,D. Russell enters the game for L. Williams
9:12.0,M. Barnes misses 2-pt shot from 1 ft,,32-29,,
9:10.0,,,32-29,,Defensive rebound by T. Black
8:56.0,,,32-29,,Turnover by D. Russell (lost ball; steal by J. Farmar)
8:50.0,M. Barnes makes 2-pt shot from 1 ft (assist by J. Farmar),2,34-29,,
8:32.0,,,34-31,2,B. Bass makes 2-pt shot at rim (assist by T. Black)
8:19.0,L. Stephenson misses 2-pt shot from 3 ft,,34-31,,
8:15.0,,,34-31,,Defensive rebound by T. Black
8:11.0,,,34-33,2,D. Russell makes 2-pt shot from 20 ft (assist by M. Huertas)
7:55.0,V. Carter makes 3-pt shot from 25 ft (assist by J. Farmar),3,37-33,,
7:34.0,,,37-35,2,B. Bass makes 2-pt shot from 1 ft (assist by M. Huertas)
7:13.0,L. Stephenson misses 2-pt shot from 2 ft,,37-35,,
7:10.0,Offensive rebound by J. Green,,37-35,,
7:09.0,J. Green misses 2-pt shot from 2 ft,,37-35,,
7:09.0,Offensive rebound by V. Carter,,37-35,,
7:09.0,V. Carter misses 2-pt shot from 1 ft,,37-35,,
7:09.0,Offensive rebound by V. Carter,,37-35,,
7:09.0,V. Carter misses 2-pt shot from 1 ft,,37-35,,
7:09.0,Offensive rebound by Team,,37-35,,
7:09.0,Official timeout,,37-35,,
7:09.0,,,37-35,,J. Randle enters the game for T. Black
7:09.0,,,37-35,,K. Bryant enters the game for M. World Peace
7:09.0,Z. Randolph enters the game for J. Green,,37-35,,
7:05.0,J. Farmar misses 3-pt shot from 24 ft,,37-35,,
7:00.0,,,37-35,,Defensive rebound by D. Russell
6:44.0,,,37-37,2,D. Russell makes 2-pt shot from 1 ft (assist by M. Huertas)
6:27.0,M. Barnes misses 2-pt shot from 1 ft,,37-37,,
6:24.0,,,37-37,,Defensive rebound by J. Randle
6:19.0,,,37-39,2,D. Russell makes 2-pt shot from 11 ft (assist by M. Huertas)
6:19.0,Memphis full timeout,,37-39,,
6:19.0,C. Andersen enters the game for J. Farmar,,37-39,,
6:19.0,R. McCallum enters the game for V. Carter,,37-39,,
6:19.0,,,37-39,,J. Clarkson enters the game for M. Huertas
6:00.0,Z. Randolph misses 2-pt shot from 3 ft,,37-39,,
5:59.0,,,37-39,,Defensive rebound by Team
5:59.0,,,37-39,,R. Hibbert enters the game for B. Bass
5:37.0,,,37-42,3,K. Bryant makes 3-pt shot from 26 ft (assist by J. Randle)
5:13.0,Z. Randolph misses 2-pt shot from 6 ft,,37-42,,
5:10.0,,,37-42,,Defensive rebound by J. Randle
5:02.0,,,37-42,,K. Bryant misses 3-pt shot from 25 ft
5:00.0,,,37-42,,Offensive rebound by R. Hibbert
4:55.0,,,37-42,,J. Randle misses 2-pt shot from 9 ft
4:52.0,Defensive rebound by L. Stephenson,,37-42,,
4:50.0,,,37-42,,Personal foul by K. Bryant
4:50.0,T. Allen enters the game for L. Stephenson,,37-42,,
4:44.0,Turnover by R. McCallum (traveling),,37-42,,
4:27.0,,,37-42,,R. Hibbert misses 2-pt shot from 15 ft
4:26.0,Defensive rebound by C. Andersen,,37-42,,
4:20.0,Turnover by M. Barnes (lost ball; steal by K. Bryant),,37-42,,
4:15.0,,,37-42,,Turnover by K. Bryant (lost ball; steal by T. Allen)
4:09.0,R. McCallum misses 3-pt shot from 23 ft,,37-42,,
4:05.0,,,37-42,,Defensive rebound by J. Clarkson
4:00.0,,,37-42,,D. Russell misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by Team,,37-42,,
3:47.0,C. Andersen makes 2-pt shot from 18 ft,2,39-42,,
3:28.0,,,39-42,,Shooting foul by Z. Randolph (drawn by R. Hibbert)
3:28.0,,,39-43,1,R. Hibbert makes free throw 1 of 2
3:28.0,X. Munford enters the game for M. Barnes,,39-43,,
3:28.0,,,39-44,1,R. Hibbert makes free throw 2 of 2
3:14.0,Turnover by T. Allen (lost ball; steal by D. Russell),,39-44,,
3:01.0,,,39-46,2,J. Randle makes 2-pt shot from 2 ft (assist by K. Bryant)
2:44.0,Shooting foul by J. Randle (drawn by Z. Randolph),,39-46,,
2:44.0,,,39-46,,LA Lakers full timeout
2:44.0,J. Green enters the game for C. Andersen,,39-46,,
2:44.0,J. Farmar enters the game for R. McCallum,,39-46,,
2:44.0,Z. Randolph makes free throw 1 of 2,1,40-46,,
2:44.0,Z. Randolph misses free throw 2 of 2,,40-46,,
2:43.0,,,40-46,,Defensive rebound by J. Randle
2:33.0,Personal foul by X. Munford,,40-46,,
2:19.0,,,40-46,,Turnover by Team (shot clock)
2:00.0,J. Farmar misses 3-pt shot from 26 ft (block by K. Bryant),,40-46,,
1:59.0,,,40-46,,Defensive rebound by J. Randle
