time,San Antonio,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. G. Monroe (M. Carter-Williams gains possession),,,,Jump ball: T. Duncan vs. G. Monroe (M. Carter-Williams gains possession)
11:47.0,,,0-2,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
11:32.0,D. Green misses 3-pt shot from 23 ft,,0-2,,
11:31.0,,,0-2,,Defensive rebound by G. Monroe
11:18.0,,,0-4,2,J. Parker makes 2-pt shot from 21 ft (assist by G. Monroe)
11:06.0,Shooting foul by J. Parker (drawn by K. Leonard),,0-4,,
11:06.0,K. Leonard makes free throw 1 of 2,1,1-4,,
11:06.0,K. Leonard makes free throw 2 of 2,1,2-4,,
10:48.0,,,2-6,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
10:38.0,L. Aldridge misses 2-pt shot from 6 ft,,2-6,,
10:37.0,Offensive rebound by L. Aldridge,,2-6,,
10:36.0,L. Aldridge misses 2-pt shot from 4 ft,,2-6,,
10:35.0,Offensive rebound by T. Duncan,,2-6,,
10:35.0,T. Duncan misses 2-pt shot from 2 ft,,2-6,,
10:33.0,Offensive rebound by D. Green,,2-6,,
10:28.0,K. Leonard misses 2-pt shot from 18 ft,,2-6,,
10:27.0,Offensive rebound by D. Green,,2-6,,
10:27.0,D. Green misses 2-pt shot at rim,,2-6,,
10:23.0,,,2-6,,Defensive rebound by G. Monroe
10:19.0,,,2-6,,Turnover by G. Antetokounmpo (lost ball)
9:56.0,T. Duncan makes 2-pt shot from 5 ft,2,4-6,,
9:41.0,,,4-6,,Shooting foul by L. Aldridge (drawn by G. Antetokounmpo)
9:41.0,,,4-6,,G. Antetokounmpo misses free throw 1 of 2
9:41.0,,,4-6,,Offensive rebound by Team
9:41.0,,,4-7,1,G. Antetokounmpo makes free throw 2 of 2
9:19.0,D. Green misses 3-pt shot from 25 ft,,4-7,,
9:18.0,,,4-7,,Defensive rebound by J. Parker
9:10.0,,,4-9,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by M. Carter-Williams)
8:49.0,P. Mills misses 3-pt shot from 26 ft,,4-9,,
8:48.0,,,4-9,,Defensive rebound by J. Parker
8:30.0,,,4-9,,J. Parker misses 3-pt shot from 24 ft
