time,Utah,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. R. Gobert (S. Mack gains possession),,,,Jump ball: C. Andersen vs. R. Gobert (S. Mack gains possession)
11:37.0,D. Favors makes 2-pt shot from 9 ft (assist by S. Mack),2,2-0,,
11:19.0,,,2-2,2,M. Barnes makes 2-pt shot from 8 ft
11:05.0,S. Mack makes 3-pt shot from 24 ft (assist by R. Hood),3,5-2,,
10:47.0,,,5-2,,Z. Randolph misses 2-pt shot from 2 ft (block by R. Gobert)
10:44.0,Defensive rebound by G. Hayward,,5-2,,
10:21.0,D. Favors makes 2-pt shot from 6 ft (assist by S. Mack),2,7-2,,
10:05.0,,,7-4,2,Z. Randolph makes 2-pt shot from 5 ft
9:47.0,Shooting foul by M. Conley (drawn by S. Mack),,7-4,,
9:47.0,S. Mack misses free throw 1 of 2,,7-4,,
9:47.0,Offensive rebound by Team,,7-4,,
9:47.0,S. Mack misses free throw 2 of 2,,7-4,,
9:46.0,,,7-4,,Defensive rebound by C. Andersen
9:32.0,,,7-4,,Turnover by P. Hairston (bad pass; steal by G. Hayward)
9:26.0,G. Hayward makes 2-pt shot from 5 ft,2,9-4,,
9:26.0,Shooting foul by M. Barnes (drawn by G. Hayward),,9-4,,
9:26.0,G. Hayward makes free throw 1 of 1,1,10-4,,
9:17.0,,,10-4,,M. Barnes misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by R. Hood,,10-4,,
9:02.0,D. Favors makes 2-pt shot from 10 ft (assist by G. Hayward),2,12-4,,
9:02.0,,,12-4,,Memphis full timeout
8:44.0,,,12-4,,P. Hairston misses 3-pt shot from 27 ft
8:44.0,,,12-4,,Offensive rebound by C. Andersen
8:33.0,,,12-4,,M. Barnes misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by R. Gobert,,12-4,,
8:17.0,S. Mack misses 2-pt shot from 8 ft,,12-4,,
8:15.0,,,12-4,,Defensive rebound by Z. Randolph
8:05.0,,,12-4,,P. Hairston misses 2-pt shot from 5 ft
8:04.0,,,12-4,,Offensive rebound by P. Hairston
8:03.0,,,12-6,2,P. Hairston makes 2-pt shot from 1 ft
7:42.0,D. Favors misses 2-pt shot from 17 ft,,12-6,,
7:42.0,Offensive rebound by R. Gobert,,12-6,,
7:37.0,R. Gobert makes 2-pt shot from 1 ft,2,14-6,,
7:27.0,,,14-6,,Shooting foul by R. Hood (drawn by C. Andersen)
7:27.0,,,14-7,1,C. Andersen makes free throw 1 of 2
7:27.0,,,14-8,1,C. Andersen makes free throw 2 of 2
7:05.0,G. Hayward makes 2-pt shot from 10 ft,2,16-8,,
6:52.0,,,16-8,,M. Conley misses 2-pt shot from 8 ft
6:50.0,Defensive rebound by R. Gobert,,16-8,,
6:44.0,G. Hayward misses 2-pt shot from 4 ft,,16-8,,
6:41.0,,,16-8,,Defensive rebound by C. Andersen
6:37.0,,,16-8,,P. Hairston misses 2-pt shot from 1 ft
6:37.0,,,16-8,,Offensive rebound by Team
6:37.0,T. Lyles enters the game for D. Favors,,16-8,,
6:24.0,,,16-8,,M. Conley misses 2-pt shot from 7 ft
6:22.0,Defensive rebound by R. Hood,,16-8,,
6:17.0,Shooting foul by M. Barnes (drawn by R. Hood),,16-8,,
6:17.0,R. Hood makes free throw 1 of 2,1,17-8,,
6:17.0,R. Hood misses free throw 2 of 2,,17-8,,
6:16.0,,,17-8,,Defensive rebound by C. Andersen
5:56.0,,,17-10,2,Z. Randolph makes 2-pt shot from 6 ft
5:43.0,T. Lyles makes 2-pt shot from 21 ft (assist by R. Hood),2,19-10,,
5:29.0,,,19-10,,Z. Randolph misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by R. Hood,,19-10,,
5:11.0,T. Lyles makes 2-pt shot from 7 ft (assist by S. Mack),2,21-10,,
4:54.0,,,21-10,,Z. Randolph misses 2-pt shot from 5 ft (block by R. Gobert)
4:52.0,Defensive rebound by R. Hood,,21-10,,
4:41.0,T. Lyles makes 3-pt shot from 22 ft (assist by R. Hood),3,24-10,,
4:34.0,Personal foul by S. Mack (drawn by M. Conley),,24-10,,
4:34.0,,,24-10,,J. Green enters the game for C. Andersen
4:34.0,,,24-10,,M. Chalmers enters the game for M. Conley
4:34.0,C. Johnson enters the game for R. Hood,,24-10,,
4:25.0,,,24-10,,P. Hairston misses 2-pt shot from 18 ft
4:22.0,Defensive rebound by G. Hayward,,24-10,,
4:15.0,T. Lyles misses 3-pt shot from 25 ft,,24-10,,
4:14.0,,,24-10,,Defensive rebound by P. Hairston
3:58.0,,,24-10,,Offensive foul by Z. Randolph
3:58.0,,,24-10,,Turnover by Z. Randolph (offensive foul)
3:58.0,R. Neto enters the game for S. Mack,,24-10,,
3:58.0,,,24-10,,V. Carter enters the game for M. Barnes
3:43.0,Turnover by G. Hayward (bad pass),,24-10,,
3:30.0,,,24-10,,Turnover by Z. Randolph (traveling)
3:11.0,T. Lyles misses 2-pt shot from 13 ft,,24-10,,
3:07.0,,,24-10,,Defensive rebound by M. Chalmers
2:47.0,,,24-10,,J. Green misses 3-pt shot from 24 ft
2:47.0,Defensive rebound by R. Neto,,24-10,,
2:37.0,Turnover by R. Neto (bad pass; steal by P. Hairston),,24-10,,
2:23.0,,,24-10,,M. Chalmers misses 3-pt shot from 26 ft
2:22.0,Defensive rebound by R. Gobert,,24-10,,
2:13.0,,,24-10,,Personal foul by P. Hairston (drawn by R. Neto)
2:13.0,Utah full timeout,,24-10,,
2:13.0,,,24-10,,L. Stephenson enters the game for P. Hairston
1:58.0,R. Neto misses 3-pt shot from 28 ft,,24-10,,
1:57.0,,,24-10,,Defensive rebound by L. Stephenson
1:35.0,,,24-12,2,J. Green makes 2-pt shot from 2 ft (assist by L. Stephenson)
1:18.0,G. Hayward makes 2-pt shot at rim (assist by T. Lyles),2,26-12,,
1:01.0,,,26-14,2,L. Stephenson makes 2-pt shot from 1 ft (assist by V. Carter)
0:43.0,Turnover by G. Hayward (bad pass; steal by M. Chalmers),,26-14,,
0:40.0,Personal foul by R. Neto (drawn by M. Chalmers),,26-14,,
0:40.0,,,26-14,,R. Hollins enters the game for Z. Randolph
0:40.0,D. Favors enters the game for R. Gobert,,26-14,,
0:40.0,T. Booker enters the game for T. Lyles,,26-14,,
0:28.0,,,26-16,2,V. Carter makes 2-pt shot from 2 ft
0:07.0,T. Booker makes 2-pt shot from 1 ft (assist by R. Neto),2,28-16,,
0:00.0,,,28-19,3,M. Chalmers makes 3-pt shot from 24 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,28-21,2,V. Carter makes 2-pt shot from 2 ft (assist by J. Green)
11:15.0,R. Neto misses 2-pt shot from 1 ft (block by R. Hollins),,28-21,,
11:13.0,Offensive rebound by T. Booker,,28-21,,
11:13.0,Jump ball: T. Booker vs. J. Green (V. Carter gains possession),,,,Jump ball: T. Booker vs. J. Green (V. Carter gains possession)
11:13.0,Turnover by T. Booker (lost ball),,28-21,,
10:54.0,,,28-23,2,M. Chalmers makes 2-pt shot from 5 ft
10:27.0,R. Hood makes 2-pt shot from 19 ft,2,30-23,,
10:00.0,,,30-23,,V. Carter misses 3-pt shot from 22 ft
10:00.0,Defensive rebound by T. Booker,,30-23,,
9:49.0,R. Hood misses 3-pt shot from 24 ft,,30-23,,
9:48.0,,,30-23,,Defensive rebound by Team
9:34.0,,,30-25,2,L. Stephenson makes 2-pt shot from 1 ft
9:08.0,R. Neto misses 2-pt shot from 9 ft,,30-25,,
9:08.0,,,30-25,,Defensive rebound by J. Green
9:00.0,,,30-27,2,L. Stephenson makes 2-pt shot at rim
9:00.0,Utah full timeout,,30-27,,
9:00.0,,,30-27,,J. Martin enters the game for J. Green
8:40.0,D. Favors makes 2-pt shot from 1 ft,2,32-27,,
8:19.0,,,32-27,,Shooting foul by T. Booker (drawn by R. Hollins)
8:19.0,,,32-28,1,R. Hollins makes free throw 1 of 2
8:19.0,,,32-29,1,R. Hollins makes free throw 2 of 2
7:58.0,R. Hood misses 3-pt shot from 25 ft,,32-29,,
7:57.0,,,32-29,,Defensive rebound by V. Carter
7:50.0,,,32-29,,M. Chalmers misses 2-pt shot from 19 ft
7:48.0,Defensive rebound by D. Favors,,32-29,,
7:29.0,D. Favors misses 2-pt shot from 7 ft,,32-29,,
7:27.0,,,32-29,,Defensive rebound by L. Stephenson
7:12.0,,,32-31,2,L. Stephenson makes 2-pt shot from 17 ft
6:54.0,Turnover by D. Favors (lost ball; steal by M. Chalmers),,32-31,,
6:45.0,,,32-31,,V. Carter misses 2-pt shot at rim
6:42.0,,,32-31,,Offensive rebound by M. Chalmers
6:39.0,,,32-31,,V. Carter misses 3-pt shot from 22 ft
6:39.0,,,32-31,,Offensive rebound by R. Hollins
6:39.0,,,32-31,,Offensive foul by R. Hollins
6:39.0,,,32-31,,Turnover by R. Hollins (offensive foul)
6:39.0,,,32-31,,C. Andersen enters the game for R. Hollins
6:39.0,R. Gobert enters the game for R. Neto,,32-31,,
6:39.0,T. Burke enters the game for T. Booker,,32-31,,
6:20.0,Offensive foul by R. Hood,,32-31,,
6:20.0,Turnover by R. Hood (offensive foul),,32-31,,
6:20.0,Technical foul by R. Hood,,32-31,,
6:20.0,,,32-32,1,M. Chalmers makes technical free throw
6:20.0,,,32-32,,M. Conley enters the game for M. Chalmers
6:20.0,G. Hayward enters the game for R. Hood,,32-32,,
6:00.0,,,32-32,,L. Stephenson misses 2-pt shot from 6 ft
5:59.0,Defensive rebound by R. Gobert,,32-32,,
5:58.0,Turnover by R. Gobert (bad pass; steal by V. Carter),,32-32,,
5:49.0,,,32-32,,Turnover by L. Stephenson (bad pass)
5:49.0,Utah full timeout,,32-32,,
5:49.0,,,32-32,,Z. Randolph enters the game for J. Martin
5:49.0,C. Johnson enters the game for D. Favors,,32-32,,
5:49.0,T. Lyles enters the game for J. Ingles,,32-32,,
5:37.0,G. Hayward misses 3-pt shot from 25 ft,,32-32,,
5:36.0,,,32-32,,Defensive rebound by Team
5:11.0,,,32-34,2,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Conley)
4:58.0,T. Burke misses 3-pt shot from 23 ft,,32-34,,
4:57.0,,,32-34,,Defensive rebound by L. Stephenson
4:48.0,,,32-34,,V. Carter misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by T. Lyles,,32-34,,
4:47.0,,,32-34,,Personal foul by C. Andersen (drawn by T. Lyles)
4:47.0,,,32-34,,M. Barnes enters the game for V. Carter
4:29.0,T. Lyles makes 2-pt shot from 10 ft (assist by T. Burke),2,34-34,,
4:07.0,,,34-36,2,Z. Randolph makes 2-pt shot from 7 ft
3:51.0,C. Johnson misses 2-pt shot from 1 ft (block by M. Barnes),,34-36,,
3:51.0,,,34-36,,Defensive rebound by Team
3:38.0,,,34-36,,Shooting foul by T. Lyles (drawn by M. Conley)
3:38.0,,,34-36,,M. Conley misses free throw 1 of 2
3:38.0,,,34-36,,Offensive rebound by Team
3:38.0,S. Mack enters the game for C. Johnson,,34-36,,
3:38.0,,,34-36,,M. Conley misses free throw 2 of 2
3:37.0,Defensive rebound by R. Gobert,,34-36,,
3:25.0,S. Mack makes 2-pt shot from 2 ft,2,36-36,,
3:25.0,Shooting foul by L. Stephenson (drawn by S. Mack),,36-36,,
3:25.0,,,36-36,,M. Chalmers enters the game for L. Stephenson
3:25.0,S. Mack makes free throw 1 of 1,1,37-36,,
3:12.0,,,37-38,2,C. Andersen makes 2-pt shot from 1 ft (assist by M. Chalmers)
2:47.0,S. Mack misses 3-pt shot from 24 ft,,37-38,,
2:47.0,,,37-38,,Defensive rebound by C. Andersen
2:38.0,,,37-41,3,M. Barnes makes 3-pt shot from 23 ft (assist by M. Chalmers)
2:37.0,Utah full timeout,,37-41,,
2:37.0,,,37-41,,Memphis full timeout
2:37.0,D. Favors enters the game for T. Lyles,,37-41,,
2:25.0,D. Favors misses 2-pt shot from 16 ft,,37-41,,
2:25.0,Offensive rebound by G. Hayward,,37-41,,
2:20.0,Turnover by T. Burke (back court),,37-41,,
2:20.0,,,37-41,,Memphis full timeout
2:03.0,,,37-43,2,Z. Randolph makes 2-pt shot from 1 ft
1:47.0,T. Burke makes 2-pt shot from 9 ft,2,39-43,,
1:24.0,,,39-45,2,M. Chalmers makes 2-pt shot from 7 ft
1:07.0,D. Favors misses 2-pt shot from 12 ft,,39-45,,
1:07.0,,,39-45,,Defensive rebound by M. Conley
0:55.0,,,39-47,2,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Conley)
0:41.0,,,39-47,,Violation by Z. Randolph (kicked ball)
0:35.0,,,39-47,,Personal foul by Z. Randolph (drawn by R. Gobert)
0:27.0,S. Mack misses 2-pt shot from 7 ft,,39-47,,
0:24.0,,,39-47,,Defensive rebound by M. Conley
0:22.0,,,39-47,,Shooting foul by T. Burke (drawn by M. Conley)
0:22.0,,,39-48,1,M. Conley makes free throw 1 of 2
0:22.0,,,39-48,,J. Green enters the game for Z. Randolph
0:22.0,,,39-48,,L. Stephenson enters the game for M. Barnes
0:22.0,,,39-49,1,M. Conley makes free throw 2 of 2
0:01.0,G. Hayward misses 2-pt shot from 11 ft (block by M. Chalmers),,39-49,,
0:00.0,,,39-49,,Defensive rebound by M. Chalmers
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,39-49,,Turnover by M. Conley (bad pass; steal by G. Hayward)
11:45.0,G. Hayward makes 2-pt shot at rim (assist by S. Mack),2,41-49,,
11:20.0,,,41-49,,Z. Randolph misses 2-pt shot from 19 ft
11:19.0,Defensive rebound by R. Gobert,,41-49,,
11:06.0,R. Gobert makes 2-pt shot from 1 ft (assist by S. Mack),2,43-49,,
10:48.0,Def 3 sec tech foul by R. Gobert,,43-49,,
10:48.0,,,43-50,1,M. Conley makes technical free throw
10:35.0,,,43-50,,M. Conley misses 3-pt shot from 25 ft
10:35.0,,,43-50,,Offensive rebound by C. Andersen
10:34.0,Personal foul by R. Hood (drawn by C. Andersen),,43-50,,
10:29.0,,,43-50,,Turnover by M. Barnes (bad pass)
10:09.0,Turnover by G. Hayward (bad pass; steal by C. Andersen),,43-50,,
10:03.0,,,43-50,,M. Conley misses 2-pt shot at rim
10:01.0,Defensive rebound by S. Mack,,43-50,,
9:56.0,R. Gobert makes 2-pt shot at rim (assist by S. Mack),2,45-50,,
9:36.0,,,45-50,,M. Barnes misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by S. Mack,,45-50,,
9:20.0,D. Favors misses 2-pt shot from 1 ft,,45-50,,
9:17.0,Offensive rebound by R. Gobert,,45-50,,
9:17.0,R. Gobert misses 2-pt shot from 1 ft (block by C. Andersen),,45-50,,
9:14.0,,,45-50,,Defensive rebound by P. Hairston
8:57.0,,,45-50,,P. Hairston misses 3-pt shot from 23 ft
8:57.0,Defensive rebound by R. Gobert,,45-50,,
8:53.0,Offensive foul by G. Hayward,,45-50,,
8:53.0,Turnover by G. Hayward (offensive foul),,45-50,,
8:39.0,,,45-50,,M. Barnes misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by R. Gobert,,45-50,,
8:24.0,S. Mack makes 2-pt shot from 9 ft (assist by R. Hood),2,47-50,,
8:15.0,,,47-52,2,M. Conley makes 2-pt shot from 1 ft
8:15.0,,,47-52,,Shooting foul by R. Hood (drawn by M. Conley)
8:15.0,T. Burke enters the game for R. Hood,,47-52,,
8:15.0,,,47-53,1,M. Conley makes free throw 1 of 1
8:00.0,D. Favors misses 2-pt shot from 9 ft,,47-53,,
7:58.0,,,47-53,,Defensive rebound by Z. Randolph
7:41.0,,,47-55,2,Z. Randolph makes 2-pt shot from 10 ft (assist by M. Conley)
7:19.0,Turnover by D. Favors (lost ball),,47-55,,
7:08.0,,,47-55,,M. Conley misses 2-pt shot from 7 ft
7:05.0,Defensive rebound by G. Hayward,,47-55,,
7:03.0,Shooting foul by P. Hairston (drawn by T. Burke),,47-55,,
7:03.0,T. Burke makes 2-pt shot from 1 ft (assist by G. Hayward),2,49-55,,
7:03.0,T. Burke makes free throw 1 of 1,1,50-55,,
6:50.0,,,50-57,2,Z. Randolph makes 2-pt shot from 7 ft
6:32.0,D. Favors makes 2-pt shot from 1 ft,2,52-57,,
6:10.0,,,52-59,2,M. Conley makes 2-pt shot from 17 ft
6:04.0,S. Mack makes 2-pt shot from 1 ft,2,54-59,,
6:04.0,Shooting foul by P. Hairston (drawn by S. Mack),,54-59,,
6:04.0,T. Booker enters the game for D. Favors,,54-59,,
6:04.0,,,54-59,,J. Green enters the game for C. Andersen
6:04.0,S. Mack misses free throw 1 of 1,,54-59,,
6:04.0,,,54-59,,Defensive rebound by Z. Randolph
5:49.0,,,54-59,,M. Conley misses 2-pt shot from 18 ft
5:46.0,Defensive rebound by T. Booker,,54-59,,
5:34.0,G. Hayward makes 3-pt shot from 22 ft (assist by S. Mack),3,57-59,,
5:12.0,,,57-59,,Z. Randolph misses 2-pt shot from 17 ft
5:11.0,Defensive rebound by G. Hayward,,57-59,,
4:50.0,T. Booker makes 3-pt shot from 24 ft (assist by T. Burke),3,60-59,,
4:44.0,,,60-59,,Memphis full timeout
4:44.0,,,60-59,,L. Stephenson enters the game for P. Hairston
4:44.0,,,60-59,,M. Chalmers enters the game for M. Conley
4:32.0,,,60-61,2,J. Green makes 2-pt shot at rim
4:32.0,,,60-61,,Technical foul by J. Green
4:32.0,G. Hayward makes technical free throw,1,61-61,,
4:07.0,T. Booker misses 2-pt shot from 4 ft,,61-61,,
4:05.0,,,61-61,,Defensive rebound by Z. Randolph
4:02.0,,,61-61,,Turnover by M. Chalmers (bad pass; steal by T. Burke)
3:58.0,T. Burke misses 2-pt shot from 1 ft (block by M. Chalmers),,61-61,,
3:55.0,Offensive rebound by S. Mack,,61-61,,
3:53.0,T. Burke misses 3-pt shot from 23 ft,,61-61,,
3:51.0,Offensive rebound by T. Burke,,61-61,,
3:43.0,Turnover by T. Booker (lost ball),,61-61,,
3:26.0,,,61-61,,M. Chalmers misses 2-pt shot from 4 ft
3:25.0,Defensive rebound by S. Mack,,61-61,,
3:22.0,Shooting foul by M. Barnes (drawn by R. Gobert),,61-61,,
3:22.0,R. Gobert makes free throw 1 of 2,1,62-61,,
