time,Denver,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. J. Lauvergne,,,,Jump ball: L. Aldridge vs. J. Lauvergne
11:45.0,,,0-0,,Shooting foul by G. Harris (drawn by D. Green)
11:45.0,,,0-1,1,D. Green makes free throw 1 of 2
11:45.0,,,0-2,1,D. Green makes free throw 2 of 2
11:31.0,Shooting foul by L. Aldridge (drawn by G. Harris),,0-2,,
11:31.0,G. Harris makes free throw 1 of 2,1,1-2,,
11:31.0,G. Harris makes free throw 2 of 2,1,2-2,,
11:16.0,,,2-4,2,D. West makes 2-pt shot from 6 ft (assist by T. Parker)
10:58.0,J. Lauvergne makes 2-pt shot at rim,2,4-4,,
10:43.0,,,4-4,,T. Parker misses 2-pt shot from 14 ft
10:42.0,Defensive rebound by J. Nelson,,4-4,,
10:33.0,J. Nelson makes 2-pt shot from 18 ft,2,6-4,,
10:19.0,,,6-6,2,K. Leonard makes 2-pt shot from 13 ft
9:56.0,G. Harris misses 2-pt shot from 2 ft (block by D. West),,6-6,,
9:55.0,,,6-6,,Defensive rebound by L. Aldridge
9:46.0,,,6-8,2,D. West makes 2-pt shot from 20 ft (assist by T. Parker)
9:21.0,K. Papanikolaou misses 3-pt shot from 24 ft,,6-8,,
9:21.0,,,6-8,,Defensive rebound by D. Green
8:58.0,,,6-8,,L. Aldridge misses 2-pt shot from 14 ft
8:57.0,,,6-8,,Offensive rebound by Team
8:57.0,,,6-8,,Turnover by Team (shot clock)
8:43.0,J. Nelson misses 3-pt shot from 25 ft,,6-8,,
8:42.0,,,6-8,,Defensive rebound by K. Leonard
8:35.0,,,6-8,,K. Leonard misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by K. Papanikolaou,,6-8,,
8:27.0,K. Papanikolaou misses 2-pt shot from 1 ft,,6-8,,
8:26.0,,,6-8,,Defensive rebound by L. Aldridge
8:05.0,,,6-8,,K. Leonard misses 2-pt shot from 1 ft (block by K. Papanikolaou)
8:03.0,,,6-8,,Offensive rebound by K. Leonard
8:03.0,,,6-8,,K. Leonard misses 2-pt shot at rim
8:01.0,,,6-8,,Offensive rebound by K. Leonard
8:01.0,,,6-10,2,K. Leonard makes 2-pt shot from 1 ft
7:54.0,Turnover by J. Nelson (bad pass; steal by D. Green),,6-10,,
7:54.0,Loose ball foul by J. Nelson (drawn by K. Leonard),,6-10,,
7:30.0,,,6-10,,T. Parker misses 2-pt shot from 19 ft
7:29.0,Defensive rebound by J. Nelson,,6-10,,
7:14.0,G. Harris makes 2-pt shot from 2 ft,2,8-10,,
7:02.0,,,8-12,2,K. Leonard makes 2-pt shot from 19 ft (assist by D. West)
6:40.0,K. Faried makes 2-pt shot at rim (assist by G. Harris),2,10-12,,
6:20.0,,,10-12,,Turnover by D. Green (bad pass; steal by K. Papanikolaou)
6:15.0,K. Papanikolaou makes 2-pt shot from 1 ft,2,12-12,,
5:59.0,,,12-12,,T. Parker misses 2-pt shot from 2 ft
5:58.0,Defensive rebound by J. Lauvergne,,12-12,,
5:52.0,K. Faried misses 2-pt shot from 1 ft (block by L. Aldridge),,12-12,,
5:51.0,Offensive rebound by Team,,12-12,,
5:51.0,,,12-12,,Loose ball foul by D. West (drawn by K. Faried)
5:51.0,,,12-12,,San Antonio full timeout
5:51.0,,,12-12,,P. Mills enters the game for T. Parker
5:51.0,,,12-12,,B. Diaw enters the game for D. West
5:51.0,,,12-12,,J. Simmons enters the game for D. Green
5:51.0,,,12-12,,Violation by Team (delay of game)
5:43.0,K. Faried makes 2-pt shot at rim (assist by G. Harris),2,14-12,,
5:20.0,,,14-14,2,L. Aldridge makes 2-pt shot from 5 ft
5:08.0,Turnover by G. Harris (lost ball; steal by J. Simmons),,14-14,,
5:02.0,,,14-17,3,P. Mills makes 3-pt shot from 22 ft (assist by J. Simmons)
4:47.0,G. Harris misses 2-pt shot from 14 ft,,14-17,,
4:46.0,,,14-17,,Defensive rebound by L. Aldridge
4:28.0,,,14-17,,Turnover by K. Leonard (traveling)
4:15.0,J. Lauvergne misses 2-pt shot from 6 ft,,14-17,,
4:14.0,,,14-17,,Defensive rebound by L. Aldridge
4:04.0,,,14-17,,L. Aldridge misses 2-pt shot from 13 ft
4:03.0,Defensive rebound by J. Nelson,,14-17,,
3:54.0,J. Nelson misses 2-pt shot from 12 ft,,14-17,,
3:53.0,,,14-17,,Defensive rebound by L. Aldridge
3:34.0,,,14-17,,Turnover by L. Aldridge (bad pass; steal by K. Papanikolaou)
3:29.0,Turnover by K. Papanikolaou (bad pass; steal by K. Leonard),,14-17,,
3:19.0,,,14-20,3,P. Mills makes 3-pt shot from 25 ft (assist by J. Simmons)
3:18.0,Denver full timeout,,14-20,,
3:18.0,R. Foye enters the game for J. Nelson,,14-20,,
3:18.0,N. Jokic enters the game for J. Lauvergne,,14-20,,
3:18.0,D. Arthur enters the game for K. Faried,,14-20,,
3:08.0,D. Arthur makes 2-pt shot from 18 ft (assist by N. Jokic),2,16-20,,
2:49.0,,,16-20,,K. Leonard misses 2-pt shot from 18 ft
2:48.0,Defensive rebound by N. Jokic,,16-20,,
2:28.0,D. Arthur misses 2-pt shot from 18 ft,,16-20,,
2:27.0,Offensive rebound by N. Jokic,,16-20,,
2:23.0,R. Foye misses 3-pt shot from 24 ft,,16-20,,
2:22.0,,,16-20,,Defensive rebound by K. Leonard
2:13.0,,,16-20,,J. Simmons misses 2-pt shot from 9 ft
2:11.0,Defensive rebound by N. Jokic,,16-20,,
1:56.0,D. Arthur makes 2-pt shot from 18 ft (assist by K. Papanikolaou),2,18-20,,
1:42.0,,,18-20,,Turnover by B. Diaw (bad pass; steal by K. Papanikolaou)
1:39.0,Turnover by K. Papanikolaou (lost ball; steal by P. Mills),,18-20,,
1:34.0,,,18-22,2,L. Aldridge makes 2-pt shot at rim (assist by K. Leonard)
1:07.0,G. Harris makes 2-pt shot from 17 ft,2,20-22,,
0:56.0,,,20-22,,B. Diaw misses 2-pt shot from 2 ft
0:54.0,,,20-22,,Offensive rebound by B. Diaw
0:54.0,,,20-22,,B. Diaw misses 2-pt shot at rim
0:53.0,,,20-22,,Offensive rebound by B. Diaw
0:53.0,,,20-22,,B. Diaw misses 2-pt shot at rim
0:50.0,Defensive rebound by K. Papanikolaou,,20-22,,
0:43.0,N. Jokic misses 2-pt shot from 4 ft,,20-22,,
0:43.0,,,20-22,,Defensive rebound by Team
0:43.0,,,20-22,,K. Anderson enters the game for K. Leonard
0:43.0,,,20-22,,B. Marjanovic enters the game for L. Aldridge
0:43.0,W. Barton enters the game for K. Papanikolaou,,20-22,,
0:26.0,,,20-22,,P. Mills misses 2-pt shot from 1 ft
0:24.0,,,20-22,,Offensive rebound by B. Marjanovic
0:24.0,,,20-22,,B. Marjanovic misses 2-pt shot at rim
0:22.0,Defensive rebound by G. Harris,,20-22,,
0:02.0,Turnover by R. Foye (bad pass),,20-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-22,,Personal foul by J. Simmons (drawn by W. Barton)
11:37.0,N. Jokic makes 2-pt shot from 1 ft,2,22-22,,
11:37.0,Shooting foul by B. Marjanovic (drawn by N. Jokic),,22-22,,
11:37.0,N. Jokic makes free throw 1 of 1,1,23-22,,
11:13.0,,,23-24,2,B. Diaw makes 2-pt shot from 9 ft
10:56.0,N. Jokic misses 2-pt shot from 13 ft,,23-24,,
10:56.0,,,23-24,,Defensive rebound by B. Marjanovic
10:46.0,,,23-24,,Turnover by B. Diaw (bad pass; steal by R. Foye)
10:44.0,,,23-24,,Personal foul by J. Simmons (drawn by R. Foye)
10:44.0,R. Foye makes free throw 1 of 2,1,24-24,,
10:44.0,R. Foye makes free throw 2 of 2,1,25-24,,
10:20.0,,,25-24,,P. Mills misses 3-pt shot from 24 ft
10:19.0,,,25-24,,Offensive rebound by B. Marjanovic
10:04.0,,,25-24,,Shooting foul by D. Arthur (drawn by B. Marjanovic)
10:04.0,,,25-25,1,B. Marjanovic makes free throw 1 of 2
10:04.0,,,25-26,1,B. Marjanovic makes free throw 2 of 2
9:46.0,N. Jokic makes 2-pt shot from 6 ft (assist by D. Arthur),2,27-26,,
9:38.0,,,27-26,,Shooting foul by D. Arthur (drawn by B. Diaw)
