time,Memphis,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (M. Conley gains possession),,,,Jump ball: A. Davis vs. M. Gasol (M. Conley gains possession)
11:46.0,Turnover by C. Lee (traveling),,0-0,,
11:37.0,,,0-0,,A. Davis misses 2-pt shot from 8 ft
11:36.0,Defensive rebound by M. Conley,,0-0,,
11:17.0,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley),2,2-0,,
10:58.0,,,2-2,2,N. Cole makes 2-pt shot from 20 ft (assist by A. Davis)
10:41.0,Z. Randolph makes 2-pt shot from 15 ft,2,4-2,,
10:30.0,,,4-4,2,N. Cole makes 2-pt shot from 1 ft (assist by A. Gee)
10:14.0,Turnover by Z. Randolph (bad pass; steal by A. Davis),,4-4,,
10:10.0,,,4-7,3,N. Cole makes 3-pt shot from 24 ft (assist by A. Davis)
9:46.0,M. Gasol makes 2-pt shot from 14 ft,2,6-7,,
9:37.0,,,6-7,,N. Cole misses 2-pt shot from 12 ft
9:33.0,Defensive rebound by T. Allen,,6-7,,
9:24.0,Shooting foul by N. Cole (drawn by M. Conley),,6-7,,
9:24.0,M. Conley makes free throw 1 of 2,1,7-7,,
9:24.0,M. Conley makes free throw 2 of 2,1,8-7,,
9:11.0,,,8-7,,A. Davis misses 2-pt shot at rim
9:09.0,Defensive rebound by M. Conley,,8-7,,
9:08.0,T. Allen misses 2-pt shot from 1 ft,,8-7,,
9:03.0,,,8-7,,Defensive rebound by O. Asik
8:48.0,,,8-7,,A. Davis misses 2-pt shot from 9 ft
8:47.0,Defensive rebound by T. Allen,,8-7,,
8:40.0,Shooting foul by O. Asik (drawn by M. Gasol),,8-7,,
8:40.0,M. Gasol misses free throw 1 of 2,,8-7,,
8:40.0,Offensive rebound by Team,,8-7,,
8:40.0,M. Gasol misses free throw 2 of 2,,8-7,,
8:39.0,,,8-7,,Defensive rebound by O. Asik
8:27.0,,,8-9,2,A. Davis makes 2-pt shot from 17 ft
8:03.0,C. Lee makes 2-pt shot from 3 ft (assist by M. Gasol),2,10-9,,
7:54.0,Personal foul by Z. Randolph (drawn by A. Davis),,10-9,,
7:46.0,,,10-9,,O. Asik misses 2-pt shot from 2 ft (block by M. Gasol)
7:45.0,,,10-9,,Offensive rebound by O. Asik
7:42.0,,,10-9,,O. Asik misses 2-pt shot from 1 ft
7:42.0,Defensive rebound by Z. Randolph,,10-9,,
7:25.0,M. Gasol makes 2-pt shot from 16 ft,2,12-9,,
7:10.0,,,12-11,2,A. Davis makes 2-pt shot from 18 ft (assist by N. Cole)
6:52.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley),2,14-11,,
6:38.0,Def 3 sec tech foul by M. Gasol,,14-11,,
6:38.0,,,14-12,1,A. Davis makes technical free throw
6:30.0,,,14-14,2,A. Davis makes 2-pt shot from 17 ft (assist by N. Cole)
6:16.0,Offensive foul by M. Gasol,,14-14,,
6:16.0,Turnover by M. Gasol (offensive foul),,14-14,,
6:08.0,,,14-17,3,A. Davis makes 3-pt shot from 24 ft (assist by N. Cole)
5:47.0,Z. Randolph makes 2-pt shot from 15 ft (assist by M. Gasol),2,16-17,,
5:34.0,,,16-17,,New Orleans full timeout
5:34.0,J. Green enters the game for T. Allen,,16-17,,
5:28.0,,,16-17,,N. Cole misses 2-pt shot from 10 ft
5:26.0,Defensive rebound by J. Green,,16-17,,
5:03.0,M. Gasol makes 2-pt shot from 1 ft,2,18-17,,
4:53.0,,,18-17,,A. Davis misses 2-pt shot from 16 ft
4:51.0,Defensive rebound by J. Green,,18-17,,
4:38.0,Z. Randolph makes 2-pt shot from 2 ft,2,20-17,,
4:16.0,,,20-17,,Shooting foul by J. Green (drawn by O. Asik)
4:16.0,,,20-17,,O. Asik misses free throw 1 of 2
4:16.0,,,20-17,,Offensive rebound by Team
4:16.0,,,20-17,,R. Anderson enters the game for A. Davis
4:16.0,M. Chalmers enters the game for M. Conley,,20-17,,
4:16.0,,,20-17,,O. Asik misses free throw 2 of 2
4:15.0,,,20-17,,Offensive rebound by B. Dejean-Jones
4:12.0,,,20-19,2,B. Dejean-Jones makes 2-pt shot at rim
3:48.0,Jump ball: B. Dejean-Jones vs. M. Gasol,,,,Jump ball: B. Dejean-Jones vs. M. Gasol
3:48.0,Turnover by M. Gasol (lost ball; steal by B. Dejean-Jones),,20-19,,
3:22.0,,,20-19,,B. Dejean-Jones misses 2-pt shot from 17 ft
3:22.0,,,20-19,,Offensive rebound by Team
3:22.0,Loose ball foul by M. Gasol (drawn by O. Asik),,20-19,,
3:22.0,V. Carter enters the game for Z. Randolph,,20-19,,
3:10.0,,,20-19,,R. Anderson misses 2-pt shot from 17 ft
3:09.0,,,20-19,,Offensive rebound by B. Dejean-Jones
3:07.0,,,20-21,2,B. Dejean-Jones makes 2-pt shot from 13 ft
2:57.0,Memphis full timeout,,20-21,,
