time,New York,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. R. Lopez (J. Calderon gains possession),,,,Jump ball: R. Hibbert vs. R. Lopez (J. Calderon gains possession)
11:42.0,C. Anthony misses 2-pt shot from 17 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Russell
11:25.0,,,0-0,,J. Clarkson misses 2-pt shot from 7 ft
11:25.0,Defensive rebound by Team,,0-0,,
11:05.0,R. Lopez makes 2-pt shot at rim,2,2-0,,
10:45.0,,,2-0,,Shooting foul by S. Vujacic (drawn by K. Bryant)
10:45.0,,,2-0,,K. Bryant misses free throw 1 of 2
10:45.0,,,2-0,,Offensive rebound by Team
10:45.0,,,2-1,1,K. Bryant makes free throw 2 of 2
10:32.0,D. Williams misses 2-pt shot from 18 ft,,2-1,,
10:32.0,,,2-1,,Defensive rebound by Team
10:17.0,,,2-1,,K. Bryant misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by S. Vujacic,,2-1,,
10:04.0,D. Williams misses 2-pt shot from 1 ft,,2-1,,
10:03.0,,,2-1,,Defensive rebound by J. Randle
9:57.0,,,2-1,,J. Randle misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by D. Williams,,2-1,,
9:44.0,J. Calderon misses 3-pt shot from 25 ft,,2-1,,
9:42.0,,,2-1,,Defensive rebound by D. Russell
9:31.0,,,2-3,2,K. Bryant makes 2-pt shot from 1 ft
9:12.0,Shooting foul by J. Randle (drawn by D. Williams),,2-3,,
9:12.0,D. Williams misses free throw 1 of 2,,2-3,,
9:12.0,Offensive rebound by Team,,2-3,,
9:12.0,D. Williams misses free throw 2 of 2,,2-3,,
9:12.0,,,2-3,,Defensive rebound by R. Hibbert
8:56.0,,,2-3,,D. Russell misses 2-pt shot from 2 ft
8:55.0,Defensive rebound by D. Williams,,2-3,,
8:46.0,Turnover by J. Calderon (lost ball; steal by D. Russell),,2-3,,
8:33.0,,,2-3,,Turnover by J. Clarkson (lost ball; steal by J. Calderon)
8:26.0,J. Calderon makes 2-pt shot from 1 ft (assist by S. Vujacic),2,4-3,,
8:13.0,,,4-3,,D. Russell misses 2-pt shot from 3 ft (block by C. Anthony)
8:11.0,Defensive rebound by C. Anthony,,4-3,,
8:05.0,S. Vujacic misses 3-pt shot from 24 ft,,4-3,,
8:04.0,,,4-3,,Defensive rebound by J. Randle
7:53.0,,,4-5,2,J. Clarkson makes 2-pt shot from 1 ft
7:34.0,D. Williams makes 2-pt shot at rim (assist by J. Calderon),2,6-5,,
7:16.0,,,6-5,,J. Randle misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by R. Lopez,,6-5,,
7:07.0,,,6-5,,Personal foul by J. Clarkson
7:00.0,Shooting foul by D. Russell (drawn by R. Lopez),,6-5,,
7:00.0,R. Lopez makes free throw 1 of 2,1,7-5,,
7:00.0,R. Lopez makes free throw 2 of 2,1,8-5,,
6:42.0,,,8-5,,R. Hibbert misses 2-pt shot from 11 ft
6:41.0,Defensive rebound by D. Williams,,8-5,,
6:28.0,C. Anthony makes 2-pt shot from 1 ft (assist by J. Calderon),2,10-5,,
6:18.0,,,10-5,,K. Bryant misses 2-pt shot from 16 ft
6:15.0,Defensive rebound by R. Lopez,,10-5,,
6:10.0,S. Vujacic misses 3-pt shot from 24 ft,,10-5,,
6:08.0,,,10-5,,Defensive rebound by R. Hibbert
6:00.0,,,10-5,,Shooting foul by J. Calderon (drawn by D. Russell)
6:00.0,,,10-6,1,D. Russell makes free throw 1 of 2
6:00.0,,,10-6,,M. Huertas enters the game for J. Clarkson
6:00.0,A. Afflalo enters the game for S. Vujacic,,10-6,,
6:00.0,,,10-6,,D. Russell misses free throw 2 of 2
5:59.0,Defensive rebound by D. Williams,,10-6,,
5:44.0,,,10-6,,LA Lakers full timeout
5:40.0,Shooting foul by D. Russell (drawn by A. Afflalo),,10-6,,
5:40.0,A. Afflalo misses free throw 1 of 2,,10-6,,
5:40.0,Offensive rebound by Team,,10-6,,
5:40.0,,,10-6,,L. Williams enters the game for D. Russell
5:40.0,A. Afflalo makes free throw 2 of 2,1,11-6,,
5:23.0,,,11-6,,K. Bryant misses 3-pt shot from 23 ft
5:22.0,Defensive rebound by R. Lopez,,11-6,,
5:11.0,C. Anthony misses 2-pt shot from 1 ft,,11-6,,
5:10.0,Offensive rebound by C. Anthony,,11-6,,
5:07.0,C. Anthony makes 2-pt shot from 1 ft,2,13-6,,
5:00.0,Violation by Team (jump ball),,13-6,,
4:52.0,,,13-6,,Shooting foul by D. Williams (drawn by M. Huertas)
4:52.0,,,13-7,1,M. Huertas makes free throw 1 of 2
4:52.0,J. Grant enters the game for J. Calderon,,13-7,,
4:52.0,,,13-7,,M. Huertas misses free throw 2 of 2
4:51.0,Defensive rebound by C. Anthony,,13-7,,
4:36.0,J. Grant misses 2-pt shot from 5 ft,,13-7,,
4:35.0,,,13-7,,Defensive rebound by J. Randle
4:29.0,,,13-9,2,J. Randle makes 2-pt shot from 1 ft
4:09.0,C. Anthony misses 2-pt shot from 7 ft,,13-9,,
4:08.0,,,13-9,,Defensive rebound by J. Randle
3:59.0,,,13-9,,J. Randle misses 2-pt shot from 2 ft
3:58.0,,,13-9,,Offensive rebound by R. Hibbert
3:52.0,,,13-9,,K. Bryant misses 2-pt shot from 7 ft
3:51.0,Defensive rebound by A. Afflalo,,13-9,,
3:31.0,Turnover by C. Anthony (3 sec),,13-9,,
3:31.0,,,13-9,,B. Bass enters the game for J. Randle
3:31.0,,,13-9,,L. Nance enters the game for R. Hibbert
3:18.0,,,13-9,,L. Williams misses 2-pt shot from 18 ft
3:17.0,Defensive rebound by C. Anthony,,13-9,,
3:05.0,R. Lopez makes 2-pt shot from 7 ft (assist by C. Anthony),2,15-9,,
2:47.0,,,15-9,,K. Bryant misses 2-pt shot from 14 ft
2:45.0,Defensive rebound by D. Williams,,15-9,,
2:39.0,D. Williams misses 2-pt shot from 2 ft,,15-9,,
2:38.0,,,15-9,,Defensive rebound by L. Nance
2:19.0,,,15-9,,Turnover by K. Bryant (lost ball; steal by D. Williams)
2:18.0,,,15-9,,Personal foul by L. Nance
2:18.0,New York full timeout,,15-9,,
2:18.0,,,15-9,,M. World Peace enters the game for K. Bryant
2:18.0,D. Williams misses free throw 1 of 2,,15-9,,
2:18.0,Offensive rebound by Team,,15-9,,
2:18.0,D. Williams makes free throw 2 of 2,1,16-9,,
2:06.0,,,16-9,,Turnover by L. Williams (traveling)
2:06.0,L. Galloway enters the game for D. Williams,,16-9,,
1:44.0,C. Anthony misses 2-pt shot from 17 ft,,16-9,,
1:43.0,,,16-9,,Defensive rebound by B. Bass
1:26.0,,,16-9,,M. Huertas misses 2-pt shot from 12 ft
1:22.0,Defensive rebound by R. Lopez,,16-9,,
1:08.0,C. Anthony misses 2-pt shot from 8 ft,,16-9,,
1:07.0,,,16-9,,Defensive rebound by M. World Peace
0:58.0,K. O'Quinn enters the game for R. Lopez,,16-9,,
0:46.0,,,16-9,,M. World Peace misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by K. O'Quinn,,16-9,,
0:38.0,J. Grant makes 2-pt shot from 2 ft (assist by C. Anthony),2,18-9,,
0:30.0,,,18-9,,Shooting foul by C. Anthony (drawn by B. Bass)
0:30.0,,,18-10,1,B. Bass makes free throw 1 of 2
0:30.0,D. Williams enters the game for C. Anthony,,18-10,,
0:30.0,,,18-11,1,B. Bass makes free throw 2 of 2
0:05.0,J. Grant misses 2-pt shot from 12 ft,,18-11,,
0:01.0,,,18-11,,Defensive rebound by M. Huertas
0:00.0,,,18-11,,M. Huertas misses 3-pt shot from 48 ft
0:00.0,,,18-11,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,18-11,,L. Williams misses 2-pt shot from 1 ft
11:39.0,Defensive rebound by A. Afflalo,,18-11,,
11:19.0,Turnover by A. Afflalo (step out of bounds),,18-11,,
11:05.0,,,18-11,,L. Nance misses 2-pt shot from 18 ft
11:03.0,Defensive rebound by L. Galloway,,18-11,,
10:56.0,L. Galloway makes 2-pt shot at rim,2,20-11,,
10:38.0,,,20-11,,M. World Peace misses 2-pt shot from 4 ft
10:36.0,,,20-11,,Offensive rebound by M. World Peace
10:35.0,,,20-11,,M. World Peace misses 2-pt shot from 1 ft
10:34.0,Defensive rebound by K. O'Quinn,,20-11,,
10:15.0,L. Galloway misses 3-pt shot from 24 ft,,20-11,,
10:14.0,,,20-11,,Defensive rebound by M. World Peace
10:09.0,,,20-13,2,L. Williams makes 2-pt shot from 1 ft (assist by M. World Peace)
9:56.0,New York full timeout,,20-13,,
9:56.0,,,20-13,,J. Clarkson enters the game for M. Huertas
9:56.0,S. Vujacic enters the game for A. Afflalo,,20-13,,
9:56.0,J. Calderon enters the game for J. Grant,,20-13,,
9:48.0,D. Williams misses 2-pt shot from 4 ft (block by B. Bass),,20-13,,
9:46.0,,,20-13,,Defensive rebound by L. Williams
9:42.0,,,20-15,2,B. Bass makes 2-pt shot at rim (assist by L. Williams)
9:26.0,K. O'Quinn misses 2-pt shot from 18 ft,,20-15,,
9:23.0,,,20-15,,Defensive rebound by M. World Peace
9:19.0,Personal foul by S. Vujacic,,20-15,,
9:02.0,,,20-15,,J. Clarkson misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by Team,,20-15,,
8:39.0,K. O'Quinn makes 2-pt shot from 14 ft (assist by D. Williams),2,22-15,,
8:18.0,,,22-17,2,M. World Peace makes 2-pt shot from 7 ft
7:53.0,S. Vujacic misses 3-pt shot from 24 ft,,22-17,,
7:52.0,,,22-17,,Defensive rebound by L. Nance
7:40.0,,,22-19,2,J. Clarkson makes 2-pt shot from 4 ft
7:19.0,S. Vujacic makes 3-pt shot from 25 ft (assist by L. Galloway),3,25-19,,
7:06.0,,,25-21,2,J. Clarkson makes 2-pt shot from 6 ft
6:47.0,S. Vujacic misses 2-pt shot from 20 ft,,25-21,,
6:46.0,,,25-21,,Defensive rebound by J. Clarkson
6:38.0,,,25-21,,M. World Peace misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by D. Williams,,25-21,,
6:32.0,Shooting foul by J. Clarkson (drawn by D. Williams),,25-21,,
6:32.0,D. Williams misses free throw 1 of 2,,25-21,,
6:32.0,Offensive rebound by Team,,25-21,,
6:32.0,C. Anthony enters the game for S. Vujacic,,25-21,,
6:32.0,R. Lopez enters the game for K. O'Quinn,,25-21,,
6:32.0,,,25-21,,R. Hibbert enters the game for L. Williams
6:32.0,,,25-21,,K. Bryant enters the game for B. Bass
6:32.0,,,25-21,,D. Russell enters the game for M. World Peace
6:32.0,D. Williams makes free throw 2 of 2,1,26-21,,
6:10.0,,,26-21,,K. Bryant misses 3-pt shot from 27 ft
6:08.0,Defensive rebound by J. Calderon,,26-21,,
6:03.0,Shooting foul by R. Hibbert (drawn by L. Galloway),,26-21,,
6:03.0,L. Galloway makes free throw 1 of 2,1,27-21,,
6:03.0,,,27-21,,J. Randle enters the game for L. Nance
6:03.0,L. Galloway misses free throw 2 of 2,,27-21,,
6:02.0,Offensive rebound by C. Anthony,,27-21,,
5:59.0,C. Anthony misses 2-pt shot from 1 ft,,27-21,,
5:57.0,Offensive rebound by C. Anthony,,27-21,,
5:57.0,C. Anthony misses 2-pt shot at rim,,27-21,,
5:55.0,,,27-21,,Defensive rebound by J. Randle
5:43.0,,,27-21,,Turnover by J. Randle (lost ball; steal by L. Galloway)
5:38.0,Turnover by L. Galloway (lost ball; steal by J. Clarkson),,27-21,,
5:34.0,,,27-23,2,J. Clarkson makes 2-pt shot at rim
5:17.0,R. Lopez makes 2-pt shot at rim (assist by C. Anthony),2,29-23,,
4:56.0,,,29-25,2,J. Clarkson makes 2-pt shot from 9 ft
4:36.0,L. Galloway makes 2-pt shot from 18 ft,2,31-25,,
4:15.0,,,31-25,,J. Clarkson misses 2-pt shot from 12 ft
4:14.0,Defensive rebound by C. Anthony,,31-25,,
