time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (D. Green gains possession),,,,Jump ball: A. Bogut vs. D. Howard (D. Green gains possession)
11:46.0,S. Curry misses 3-pt shot from 26 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by J. Harden
11:42.0,Personal foul by A. Bogut,,0-0,,
11:21.0,,,0-2,2,T. Ariza makes 2-pt shot from 13 ft
11:09.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,3-2,,
10:51.0,,,3-2,,P. Beverley misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by D. Green,,3-2,,
10:39.0,H. Barnes misses 2-pt shot from 20 ft,,3-2,,
10:39.0,,,3-2,,Defensive rebound by D. Howard
10:27.0,,,3-2,,D. Motiejunas misses 3-pt shot from 25 ft
10:26.0,,,3-2,,Offensive rebound by P. Beverley
10:23.0,,,3-4,2,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas)
10:12.0,A. Bogut misses 2-pt shot from 8 ft,,3-4,,
10:10.0,,,3-4,,Defensive rebound by J. Harden
10:00.0,,,3-4,,P. Beverley misses 3-pt shot from 23 ft
9:59.0,Defensive rebound by H. Barnes,,3-4,,
9:45.0,S. Curry misses 3-pt shot from 26 ft,,3-4,,
9:44.0,Offensive rebound by D. Green,,3-4,,
9:39.0,K. Thompson misses 2-pt shot from 17 ft,,3-4,,
9:38.0,Offensive rebound by H. Barnes,,3-4,,
9:34.0,K. Thompson makes 2-pt shot from 3 ft (assist by D. Green),2,5-4,,
9:25.0,,,5-6,2,P. Beverley makes 2-pt shot from 3 ft
9:12.0,K. Thompson misses 3-pt shot from 24 ft,,5-6,,
9:11.0,,,5-6,,Defensive rebound by D. Motiejunas
8:53.0,,,5-8,2,T. Ariza makes 2-pt shot from 4 ft
8:45.0,H. Barnes misses 2-pt shot from 1 ft,,5-8,,
8:44.0,,,5-8,,Defensive rebound by D. Howard
8:41.0,,,5-8,,Turnover by P. Beverley (step out of bounds)
8:24.0,S. Curry misses 3-pt shot from 25 ft,,5-8,,
8:23.0,,,5-8,,Defensive rebound by D. Howard
8:20.0,,,5-8,,Turnover by P. Beverley (lost ball; steal by S. Curry)
8:17.0,S. Curry makes 2-pt shot from 3 ft,2,7-8,,
8:17.0,Shooting foul by P. Beverley (drawn by S. Curry),,7-8,,
8:17.0,S. Curry makes free throw 1 of 1,1,8-8,,
7:57.0,,,8-8,,Shooting foul by D. Green (drawn by J. Harden)
7:57.0,,,8-9,1,J. Harden makes free throw 1 of 2
7:57.0,,,8-9,,J. Harden misses free throw 2 of 2
7:57.0,Defensive rebound by A. Bogut,,8-9,,
7:31.0,D. Green makes 3-pt shot from 27 ft (assist by S. Curry),3,11-9,,
7:19.0,,,11-9,,D. Motiejunas misses 3-pt shot from 24 ft
7:18.0,Defensive rebound by A. Bogut,,11-9,,
7:07.0,K. Thompson makes 3-pt shot from 23 ft (assist by H. Barnes),3,14-9,,
7:06.0,,,14-9,,Houston full timeout
6:57.0,,,14-9,,Turnover by D. Motiejunas (lost ball; steal by A. Bogut)
6:33.0,S. Curry misses 2-pt shot from 12 ft,,14-9,,
6:32.0,,,14-9,,Defensive rebound by D. Howard
6:18.0,,,14-11,2,D. Howard makes 2-pt shot from 2 ft (assist by P. Beverley)
6:04.0,,,14-11,,Personal foul by J. Harden
6:04.0,A. Iguodala enters the game for H. Barnes,,14-11,,
5:56.0,D. Green misses 2-pt shot from 3 ft,,14-11,,
5:55.0,,,14-11,,Defensive rebound by D. Motiejunas
5:48.0,,,14-11,,T. Ariza misses 3-pt shot from 23 ft
5:47.0,Defensive rebound by A. Bogut,,14-11,,
5:32.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,17-11,,
5:06.0,,,17-11,,D. Motiejunas misses 2-pt shot from 11 ft
5:05.0,Defensive rebound by A. Bogut,,17-11,,
5:00.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,19-11,,
4:41.0,,,19-13,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden)
4:27.0,,,19-13,,Personal foul by P. Beverley
4:27.0,,,19-13,,M. Beasley enters the game for D. Motiejunas
