time,Golden State,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. G. Monroe (G. Antetokounmpo gains possession),,,,Jump ball: A. Bogut vs. G. Monroe (G. Antetokounmpo gains possession)
11:46.0,,,0-2,2,J. Parker makes 2-pt shot from 13 ft (assist by G. Antetokounmpo)
11:27.0,D. Green misses 3-pt shot from 26 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by Team
11:15.0,,,0-2,,G. Antetokounmpo misses 2-pt shot from 10 ft
11:14.0,Defensive rebound by S. Curry,,0-2,,
11:07.0,S. Curry misses 3-pt shot from 29 ft,,0-2,,
11:03.0,Offensive rebound by K. Thompson,,0-2,,
11:01.0,A. Bogut makes 2-pt shot at rim (assist by K. Thompson),2,2-2,,
10:45.0,,,2-4,2,K. Middleton makes 2-pt shot at rim
10:27.0,A. Bogut misses 2-pt shot from 4 ft,,2-4,,
10:25.0,,,2-4,,Defensive rebound by G. Monroe
10:05.0,,,2-4,,O. Mayo misses 2-pt shot from 20 ft
10:04.0,Defensive rebound by K. Thompson,,2-4,,
9:59.0,K. Thompson makes 3-pt shot from 23 ft,3,5-4,,
9:50.0,,,5-4,,Turnover by J. Parker (lost ball; steal by K. Thompson)
9:43.0,K. Thompson misses 3-pt shot from 28 ft,,5-4,,
9:39.0,,,5-4,,Defensive rebound by J. Parker
9:34.0,,,5-7,3,K. Middleton makes 3-pt shot from 26 ft
9:15.0,K. Thompson misses 2-pt shot from 7 ft,,5-7,,
9:14.0,,,5-7,,Defensive rebound by G. Antetokounmpo
9:02.0,,,5-9,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
8:52.0,B. Rush misses 3-pt shot from 28 ft,,5-9,,
8:50.0,,,5-9,,Defensive rebound by G. Antetokounmpo
8:38.0,,,5-9,,G. Monroe misses 2-pt shot from 8 ft
8:38.0,,,5-9,,Offensive rebound by Team
8:38.0,Loose ball foul by K. Thompson (drawn by J. Parker),,5-9,,
8:27.0,,,5-11,2,O. Mayo makes 2-pt shot from 14 ft (assist by G. Monroe)
8:07.0,D. Green misses 2-pt shot from 6 ft (block by J. Parker),,5-11,,
8:05.0,,,5-11,,Defensive rebound by G. Antetokounmpo
7:54.0,,,5-14,3,O. Mayo makes 3-pt shot from 26 ft (assist by G. Monroe)
7:43.0,Shooting foul by O. Mayo (drawn by S. Curry),,5-14,,
7:43.0,S. Curry makes free throw 1 of 2,1,6-14,,
7:43.0,S. Curry makes free throw 2 of 2,1,7-14,,
7:27.0,,,7-14,,Turnover by G. Monroe (lost ball; steal by D. Green)
7:16.0,S. Curry misses 3-pt shot from 25 ft,,7-14,,
7:14.0,,,7-14,,Defensive rebound by G. Antetokounmpo
7:09.0,,,7-14,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:09.0,,,7-14,,Offensive rebound by Team
7:09.0,Loose ball foul by A. Bogut (drawn by J. Parker),,7-14,,
7:06.0,,,7-14,,K. Middleton misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by S. Curry,,7-14,,
