time,LA Clippers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Koufos (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. K. Koufos (B. Griffin gains possession)
11:34.0,L. Stephenson makes 3-pt shot from 25 ft (assist by C. Paul),3,3-0,,
11:18.0,,,3-2,2,R. Gay makes 2-pt shot from 2 ft
11:01.0,B. Griffin makes 2-pt shot from 22 ft (assist by L. Stephenson),2,5-2,,
10:35.0,,,5-2,,R. Rondo misses 3-pt shot from 24 ft (block by D. Jordan)
10:35.0,,,5-2,,Offensive rebound by Team
10:34.0,,,5-2,,Turnover by Team (shot clock)
10:28.0,B. Griffin makes 2-pt shot from 4 ft (assist by D. Jordan),2,7-2,,
10:28.0,Shooting foul by D. Cousins (drawn by B. Griffin),,7-2,,
10:28.0,B. Griffin misses free throw 1 of 1,,7-2,,
10:26.0,,,7-2,,Defensive rebound by K. Koufos
10:16.0,,,7-2,,Turnover by D. Cousins (bad pass)
10:05.0,L. Stephenson makes 2-pt shot from 21 ft (assist by B. Griffin),2,9-2,,
9:49.0,,,9-2,,Turnover by D. Cousins (bad pass; steal by C. Paul)
9:45.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,11-2,,
9:32.0,,,11-2,,D. Cousins misses 2-pt shot from 19 ft
9:31.0,Defensive rebound by C. Paul,,11-2,,
9:24.0,Turnover by L. Stephenson (bad pass),,11-2,,
9:05.0,,,11-2,,B. McLemore misses 2-pt shot from 4 ft
9:04.0,,,11-2,,Offensive rebound by K. Koufos
8:57.0,,,11-2,,R. Rondo misses 2-pt shot from 21 ft
8:56.0,,,11-2,,Offensive rebound by K. Koufos
8:56.0,,,11-4,2,K. Koufos makes 2-pt shot from 1 ft
8:42.0,J. Redick misses 2-pt shot from 21 ft,,11-4,,
8:41.0,,,11-4,,Defensive rebound by R. Rondo
8:32.0,,,11-4,,Turnover by R. Rondo (bad pass)
8:09.0,B. Griffin makes 2-pt shot from 20 ft,2,13-4,,
7:53.0,Personal foul by D. Jordan (drawn by D. Cousins),,13-4,,
7:39.0,,,13-4,,Turnover by Team (shot clock)
7:28.0,C. Paul misses 2-pt shot from 16 ft,,13-4,,
7:27.0,,,13-4,,Defensive rebound by K. Koufos
7:19.0,,,13-4,,R. Gay misses 2-pt shot from 5 ft
7:19.0,Defensive rebound by D. Jordan,,13-4,,
7:19.0,,,13-4,,Personal foul by R. Gay (drawn by D. Jordan)
6:55.0,B. Griffin makes 2-pt shot from 4 ft,2,15-4,,
6:43.0,,,15-7,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Gay)
6:25.0,B. Griffin misses 2-pt shot from 21 ft,,15-7,,
6:24.0,,,15-7,,Defensive rebound by D. Cousins
6:17.0,,,15-7,,D. Cousins misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by L. Stephenson,,15-7,,
5:59.0,J. Redick misses 3-pt shot from 25 ft,,15-7,,
5:58.0,,,15-7,,Defensive rebound by D. Cousins
5:53.0,,,15-9,2,D. Cousins makes 2-pt shot from 3 ft
5:53.0,Shooting block foul by B. Griffin (drawn by D. Cousins),,15-9,,
5:53.0,,,15-9,,Sacramento full timeout
5:53.0,,,15-9,,O. Casspi enters the game for R. Gay
5:53.0,,,15-10,1,D. Cousins makes free throw 1 of 1
5:45.0,,,15-10,,Personal foul by D. Cousins (drawn by D. Jordan)
5:45.0,,,15-10,,W. Cauley-Stein enters the game for D. Cousins
5:34.0,B. Griffin makes 2-pt shot from 16 ft,2,17-10,,
5:23.0,Violation by D. Jordan (def goaltending),,17-10,,
5:23.0,,,17-12,2,K. Koufos makes 2-pt shot from 7 ft
5:10.0,C. Paul makes 2-pt shot from 15 ft (assist by B. Griffin),2,19-12,,
4:58.0,,,19-12,,R. Rondo misses 2-pt shot from 20 ft
4:57.0,Defensive rebound by B. Griffin,,19-12,,
4:39.0,C. Paul misses 2-pt shot from 8 ft,,19-12,,
4:37.0,Offensive rebound by D. Jordan,,19-12,,
4:37.0,D. Jordan makes 2-pt shot from 1 ft,2,21-12,,
4:21.0,,,21-12,,Turnover by O. Casspi (lost ball; steal by L. Stephenson)
4:08.0,B. Griffin makes 2-pt shot from 18 ft,2,23-12,,
3:51.0,,,23-12,,W. Cauley-Stein misses 2-pt shot from 12 ft
3:51.0,Defensive rebound by D. Jordan,,23-12,,
3:35.0,Shooting foul by K. Koufos (drawn by D. Jordan),,23-12,,
3:35.0,D. Jordan misses free throw 1 of 2,,23-12,,
3:35.0,Offensive rebound by Team,,23-12,,
3:35.0,J. Crawford enters the game for L. Stephenson,,23-12,,
3:35.0,P. Pierce enters the game for J. Redick,,23-12,,
3:35.0,,,23-12,,M. Belinelli enters the game for B. McLemore
3:35.0,,,23-12,,D. Collison enters the game for R. Rondo
3:35.0,D. Jordan misses free throw 2 of 2,,23-12,,
3:33.0,Offensive rebound by B. Griffin,,23-12,,
3:24.0,Turnover by C. Paul (bad pass),,23-12,,
3:24.0,J. Smith enters the game for D. Jordan,,23-12,,
3:10.0,,,23-15,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Collison)
2:53.0,B. Griffin misses 2-pt shot from 4 ft (block by K. Koufos),,23-15,,
2:52.0,,,23-15,,Defensive rebound by W. Cauley-Stein
2:49.0,,,23-15,,Shooting foul by J. Crawford (drawn by D. Collison)
2:49.0,LA Clippers full timeout,,23-15,,
2:49.0,,,23-15,,R. Gay enters the game for K. Koufos
2:49.0,,,23-15,,D. Collison misses free throw 1 of 2
2:49.0,,,23-15,,Offensive rebound by Team
2:49.0,,,23-15,,D. Collison misses free throw 2 of 2
2:48.0,Defensive rebound by P. Pierce,,23-15,,
2:27.0,W. Johnson enters the game for C. Paul,,23-15,,
2:27.0,A. Rivers enters the game for B. Griffin,,23-15,,
2:24.0,P. Pierce misses 3-pt shot from 25 ft,,23-15,,
2:23.0,,,23-15,,Defensive rebound by R. Gay
2:11.0,,,23-15,,O. Casspi misses 2-pt shot from 14 ft
2:10.0,Defensive rebound by J. Smith,,23-15,,
2:08.0,Turnover by J. Smith (lost ball; steal by D. Collison),,23-15,,
2:03.0,,,23-17,2,O. Casspi makes 2-pt shot at rim (assist by D. Collison)
1:42.0,P. Pierce misses 2-pt shot from 6 ft,,23-17,,
1:41.0,Offensive rebound by P. Pierce,,23-17,,
1:41.0,Shooting foul by R. Gay (drawn by P. Pierce),,23-17,,
1:41.0,P. Pierce makes free throw 1 of 2,1,24-17,,
1:41.0,,,24-17,,C. Butler enters the game for R. Gay
1:41.0,P. Pierce makes free throw 2 of 2,1,25-17,,
1:27.0,Personal foul by J. Smith (drawn by M. Belinelli),,25-17,,
1:13.0,,,25-17,,M. Belinelli misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by P. Pierce,,25-17,,
1:06.0,Turnover by P. Pierce (lost ball; steal by C. Butler),,25-17,,
1:01.0,,,25-17,,D. Collison misses 2-pt shot from 3 ft (block by J. Smith)
0:59.0,,,25-17,,Offensive rebound by O. Casspi
0:59.0,,,25-17,,Offensive foul by O. Casspi
0:59.0,,,25-17,,Turnover by O. Casspi (offensive foul)
0:50.0,J. Crawford misses 2-pt shot from 8 ft,,25-17,,
0:49.0,,,25-17,,Defensive rebound by O. Casspi
0:25.0,,,25-17,,M. Belinelli misses 3-pt shot from 27 ft
0:23.0,,,25-17,,Offensive rebound by Team
0:01.0,,,25-17,,D. Collison misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by J. Smith,,25-17,,
