time,Miami,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. C. Bosh (G. Dragic gains possession),,,,Jump ball: A. Bogut vs. C. Bosh (G. Dragic gains possession)
11:37.0,C. Bosh makes 2-pt shot from 18 ft (assist by D. Wade),2,2-0,,
11:19.0,,,2-0,,A. Bogut misses 2-pt shot from 10 ft
11:18.0,Defensive rebound by D. Wade,,2-0,,
11:05.0,G. Dragic misses 3-pt shot from 25 ft,,2-0,,
11:04.0,,,2-0,,Defensive rebound by D. Green
10:53.0,,,2-2,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
10:32.0,D. Wade misses 2-pt shot from 13 ft,,2-2,,
10:30.0,,,2-2,,Defensive rebound by A. Bogut
10:18.0,,,2-4,2,K. Thompson makes 2-pt shot from 10 ft (assist by D. Green)
10:02.0,C. Bosh misses 3-pt shot from 25 ft,,2-4,,
10:02.0,,,2-4,,Defensive rebound by B. Rush
9:53.0,,,2-4,,S. Curry misses 2-pt shot from 22 ft
9:53.0,Defensive rebound by C. Bosh,,2-4,,
9:41.0,J. Winslow misses 2-pt shot from 17 ft,,2-4,,
9:41.0,,,2-4,,Defensive rebound by A. Bogut
9:35.0,,,2-4,,Turnover by A. Bogut (bad pass; steal by J. Winslow)
9:26.0,L. Deng misses 3-pt shot from 23 ft,,2-4,,
9:26.0,,,2-4,,Defensive rebound by A. Bogut
9:18.0,,,2-7,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
8:55.0,J. Winslow makes 3-pt shot from 24 ft (assist by L. Deng),3,5-7,,
8:48.0,Personal foul by J. Winslow (drawn by K. Thompson),,5-7,,
8:43.0,,,5-7,,K. Thompson misses 2-pt shot from 1 ft
8:42.0,Defensive rebound by J. Winslow,,5-7,,
8:28.0,G. Dragic makes 2-pt shot from 13 ft,2,7-7,,
8:18.0,Personal foul by G. Dragic (drawn by A. Bogut),,7-7,,
8:05.0,,,7-7,,S. Curry misses 2-pt shot from 6 ft
8:04.0,Defensive rebound by C. Bosh,,7-7,,
7:53.0,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade),2,9-7,,
7:40.0,,,9-7,,K. Thompson misses 2-pt shot from 11 ft
7:39.0,Defensive rebound by L. Deng,,9-7,,
7:30.0,G. Dragic makes 2-pt shot from 1 ft,2,11-7,,
7:20.0,,,11-7,,D. Green misses 2-pt shot from 2 ft (block by C. Bosh)
7:19.0,Defensive rebound by G. Dragic,,11-7,,
7:14.0,L. Deng misses 2-pt shot from 1 ft,,11-7,,
7:13.0,,,11-7,,Defensive rebound by K. Thompson
7:13.0,Technical foul by L. Deng,,11-7,,
7:13.0,,,11-8,1,S. Curry makes technical free throw
6:54.0,,,11-8,,S. Curry misses 2-pt shot from 2 ft (block by J. Winslow)
6:53.0,Defensive rebound by L. Deng,,11-8,,
6:49.0,G. Dragic misses 2-pt shot from 2 ft (block by A. Bogut),,11-8,,
6:49.0,Offensive rebound by Team,,11-8,,
6:49.0,G. Green enters the game for L. Deng,,11-8,,
6:49.0,T. Johnson enters the game for G. Dragic,,11-8,,
6:41.0,D. Wade makes 2-pt shot from 8 ft (assist by C. Bosh),2,13-8,,
6:34.0,,,13-8,,K. Thompson misses 3-pt shot from 27 ft
6:34.0,Defensive rebound by Team,,13-8,,
6:19.0,J. Winslow misses 3-pt shot from 24 ft,,13-8,,
6:18.0,,,13-8,,Defensive rebound by D. Green
6:12.0,,,13-8,,B. Rush misses 3-pt shot from 23 ft
6:09.0,Defensive rebound by C. Bosh,,13-8,,
5:58.0,C. Bosh makes 2-pt shot from 14 ft (assist by T. Johnson),2,15-8,,
5:50.0,,,15-10,2,S. Curry makes 2-pt shot from 2 ft (assist by A. Bogut)
5:50.0,,,15-10,,Shooting foul by T. Johnson (drawn by S. Curry)
5:50.0,,,15-10,,Golden State full timeout
5:50.0,,,15-10,,A. Iguodala enters the game for A. Bogut
5:50.0,,,15-11,1,S. Curry makes free throw 1 of 1
5:36.0,Shooting foul by K. Thompson (drawn by D. Wade),,15-11,,
5:36.0,D. Wade makes free throw 1 of 2,1,16-11,,
5:36.0,D. Wade makes free throw 2 of 2,1,17-11,,
5:21.0,,,17-13,2,S. Curry makes 2-pt shot from 1 ft (assist by K. Thompson)
5:13.0,D. Wade makes 2-pt shot at rim (assist by T. Johnson),2,19-13,,
5:04.0,,,19-15,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
5:04.0,,,19-15,,Shooting foul by D. Wade (drawn by D. Green)
5:04.0,,,19-15,,D. Green misses free throw 1 of 1
5:01.0,Defensive rebound by J. Winslow,,19-15,,
4:53.0,T. Johnson makes 2-pt shot at rim (assist by C. Bosh),2,21-15,,
4:42.0,,,21-17,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
4:33.0,Miami full timeout,,21-17,,
4:33.0,,,21-17,,H. Barnes enters the game for B. Rush
4:24.0,D. Wade misses 2-pt shot from 12 ft,,21-17,,
4:24.0,,,21-17,,Defensive rebound by S. Curry
4:12.0,,,21-17,,Shooting foul by G. Green (drawn by D. Green)
4:12.0,,,21-18,1,D. Green makes free throw 1 of 2
4:12.0,G. Dragic enters the game for D. Wade,,21-18,,
4:12.0,,,21-19,1,D. Green makes free throw 2 of 2
3:55.0,C. Bosh makes 2-pt shot from 11 ft,2,23-19,,
3:43.0,,,23-21,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
3:24.0,C. Bosh misses 2-pt shot from 20 ft,,23-21,,
3:23.0,,,23-21,,Defensive rebound by D. Green
3:15.0,,,23-21,,S. Curry misses 2-pt shot from 1 ft
3:15.0,Defensive rebound by T. Johnson,,23-21,,
3:01.0,C. Bosh makes 2-pt shot from 19 ft (assist by G. Dragic),2,25-21,,
2:45.0,,,25-23,2,K. Thompson makes 2-pt shot from 6 ft (assist by H. Barnes)
2:30.0,G. Green misses 2-pt shot from 18 ft,,25-23,,
2:30.0,,,25-23,,Defensive rebound by K. Thompson
2:19.0,,,25-23,,H. Barnes misses 2-pt shot from 12 ft
2:17.0,Defensive rebound by G. Dragic,,25-23,,
2:05.0,C. Bosh misses 2-pt shot from 10 ft,,25-23,,
2:02.0,,,25-23,,Defensive rebound by K. Thompson
1:57.0,L. Deng enters the game for J. Winslow,,25-23,,
1:57.0,J. Richardson enters the game for T. Johnson,,25-23,,
1:57.0,U. Haslem enters the game for C. Bosh,,25-23,,
1:57.0,,,25-23,,S. Livingston enters the game for K. Thompson
1:57.0,,,25-23,,F. Ezeli enters the game for D. Green
1:50.0,,,25-23,,S. Livingston misses 2-pt shot from 8 ft
1:49.0,Defensive rebound by U. Haslem,,25-23,,
