time,Philadelphia,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. J. Henson (T. Snell gains possession),,,,Jump ball: J. Embiid vs. J. Henson (T. Snell gains possession)
11:40.0,,,0-0,,J. Henson misses 2-pt shot from 6 ft
11:39.0,Defensive rebound by E. Ilyasova,,0-0,,
11:17.0,Turnover by Team (shot clock),,0-0,,
11:09.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
11:09.0,,,0-2,,Shooting foul by R. Covington (drawn by G. Antetokounmpo)
11:09.0,,,0-3,1,G. Antetokounmpo makes free throw 1 of 1
10:56.0,R. Covington misses 3-pt shot from 25 ft,,0-3,,
10:55.0,,,0-3,,Defensive rebound by G. Antetokounmpo
10:47.0,,,0-3,,J. Parker misses 2-pt shot from 1 ft (block by J. Embiid)
10:46.0,,,0-3,,Offensive rebound by J. Henson
10:45.0,,,0-3,,J. Henson misses 2-pt shot from 2 ft (block by R. Covington)
10:44.0,Defensive rebound by S. Rodriguez,,0-3,,
10:34.0,E. Ilyasova misses 2-pt shot from 4 ft,,0-3,,
10:31.0,Offensive rebound by R. Covington,,0-3,,
10:27.0,R. Covington misses 3-pt shot from 26 ft,,0-3,,
10:26.0,,,0-3,,Defensive rebound by T. Snell
10:20.0,,,0-5,2,G. Antetokounmpo makes 2-pt shot from 2 ft
10:09.0,N. Stauskas misses 2-pt shot from 18 ft,,0-5,,
10:08.0,Offensive rebound by J. Embiid,,0-5,,
10:08.0,Shooting foul by J. Henson (drawn by J. Embiid),,0-5,,
10:08.0,J. Embiid misses free throw 1 of 2,,0-5,,
10:08.0,Offensive rebound by Team,,0-5,,
10:08.0,J. Embiid misses free throw 2 of 2,,0-5,,
10:07.0,,,0-5,,Defensive rebound by J. Henson
9:43.0,,,0-7,2,G. Antetokounmpo makes 2-pt shot from 16 ft
9:26.0,J. Embiid misses 2-pt shot from 2 ft (block by J. Henson),,0-7,,
9:24.0,,,0-7,,Defensive rebound by J. Parker
9:09.0,,,0-9,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:48.0,J. Embiid misses 3-pt shot from 26 ft,,0-9,,
8:47.0,Offensive rebound by E. Ilyasova,,0-9,,
8:44.0,E. Ilyasova misses 2-pt shot from 7 ft,,0-9,,
8:42.0,,,0-9,,Defensive rebound by T. Snell
8:31.0,,,0-9,,J. Henson misses 2-pt shot from 1 ft
8:29.0,Defensive rebound by S. Rodriguez,,0-9,,
8:23.0,R. Covington makes 3-pt shot from 27 ft (assist by S. Rodriguez),3,3-9,,
8:05.0,,,3-9,,J. Parker misses 2-pt shot from 18 ft
8:03.0,Defensive rebound by N. Stauskas,,3-9,,
7:57.0,N. Stauskas misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,3-9,,
7:54.0,,,3-9,,Defensive rebound by J. Parker
7:53.0,Personal foul by S. Rodriguez,,3-9,,
7:42.0,,,3-9,,Turnover by G. Antetokounmpo (lost ball; steal by J. Embiid)
7:35.0,E. Ilyasova misses 3-pt shot from 24 ft,,3-9,,
7:34.0,Offensive rebound by J. Embiid,,3-9,,
7:27.0,R. Covington makes 3-pt shot from 22 ft (assist by S. Rodriguez),3,6-9,,
7:09.0,,,6-9,,G. Antetokounmpo misses 2-pt shot from 2 ft
7:08.0,Defensive rebound by J. Embiid,,6-9,,
6:51.0,R. Covington makes 2-pt shot from 8 ft (assist by S. Rodriguez),2,8-9,,
6:37.0,,,8-9,,J. Parker misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by S. Rodriguez,,8-9,,
6:28.0,S. Rodriguez misses 3-pt shot from 27 ft,,8-9,,
