time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (J. Wall gains possession),,,,Jump ball: M. Gortat vs. D. Howard (J. Wall gains possession)
11:42.0,M. Morris makes 2-pt shot from 15 ft,2,2-0,,
11:21.0,,,2-0,,D. Schroder misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by O. Porter,,2-0,,
11:09.0,Turnover by M. Gortat (3 sec),,2-0,,
10:58.0,,,2-2,2,T. Hardaway makes 2-pt shot from 18 ft (assist by D. Howard)
10:37.0,M. Morris misses 2-pt shot from 17 ft,,2-2,,
10:35.0,,,2-2,,Defensive rebound by D. Howard
10:31.0,,,2-2,,Turnover by D. Howard (bad pass; steal by J. Wall)
10:23.0,B. Beal makes 3-pt shot from 25 ft,3,5-2,,
10:01.0,,,5-5,3,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap)
9:48.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Beal),3,8-5,,
9:34.0,,,8-5,,P. Millsap misses 2-pt shot from 13 ft
9:33.0,Defensive rebound by O. Porter,,8-5,,
9:17.0,M. Morris misses 3-pt shot from 25 ft,,8-5,,
9:15.0,Offensive rebound by M. Gortat,,8-5,,
9:15.0,M. Gortat misses 2-pt shot from 2 ft,,8-5,,
9:14.0,,,8-5,,Defensive rebound by D. Howard
8:54.0,,,8-5,,T. Hardaway misses 2-pt shot from 13 ft
8:52.0,Defensive rebound by M. Gortat,,8-5,,
8:48.0,B. Beal makes 2-pt shot from 7 ft (assist by M. Gortat),2,10-5,,
8:25.0,,,10-5,,P. Millsap misses 3-pt shot from 25 ft
8:21.0,,,10-5,,Offensive rebound by D. Howard
8:20.0,,,10-5,,Turnover by D. Howard (bad pass; steal by J. Wall)
8:15.0,O. Porter misses 3-pt shot from 25 ft,,10-5,,
8:14.0,,,10-5,,Defensive rebound by T. Waller-Prince
8:05.0,,,10-7,2,D. Howard makes 2-pt shot from 4 ft
8:05.0,,,10-7,,Shooting foul by M. Gortat (drawn by D. Howard)
8:05.0,,,10-8,1,D. Howard makes free throw 1 of 1
7:44.0,J. Wall misses 2-pt shot from 8 ft,,10-8,,
7:43.0,,,10-8,,Defensive rebound by Team
7:33.0,,,10-8,,Shooting foul by M. Gortat (drawn by D. Howard)
7:33.0,,,10-9,1,D. Howard makes free throw 1 of 2
7:33.0,,,10-10,1,D. Howard makes free throw 2 of 2
7:33.0,J. Smith enters the game for M. Gortat,,10-9,,
7:12.0,O. Porter makes 2-pt shot from 11 ft,2,12-10,,
6:45.0,,,12-10,,D. Schroder misses 2-pt shot from 1 ft (block by M. Morris)
6:45.0,,,12-10,,Offensive rebound by Team
6:41.0,,,12-10,,T. Hardaway misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by J. Smith,,12-10,,
6:35.0,J. Wall makes 2-pt shot from 1 ft,2,14-10,,
6:20.0,,,14-10,,T. Hardaway misses 2-pt shot from 19 ft
6:18.0,Defensive rebound by O. Porter,,14-10,,
6:08.0,M. Morris makes 3-pt shot from 24 ft (assist by O. Porter),3,17-10,,
6:08.0,,,17-10,,Atlanta full timeout
5:56.0,,,17-12,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
5:40.0,Turnover by J. Wall (bad pass; steal by P. Millsap),,17-12,,
5:35.0,,,17-14,2,D. Schroder makes 2-pt shot at rim (assist by T. Hardaway)
5:26.0,B. Beal misses 2-pt shot from 1 ft,,17-14,,
5:26.0,,,17-14,,Defensive rebound by Team
5:26.0,,,17-14,,K. Bazemore enters the game for T. Waller-Prince
5:07.0,,,17-16,2,D. Howard makes 2-pt shot from 4 ft (assist by D. Schroder)
4:52.0,Turnover by J. Wall (bad pass; steal by D. Howard),,17-16,,
4:44.0,,,17-16,,P. Millsap misses 2-pt shot from 3 ft
4:43.0,,,17-16,,Offensive rebound by D. Howard
4:38.0,,,17-16,,K. Bazemore misses 3-pt shot from 24 ft
4:37.0,,,17-16,,Offensive rebound by D. Howard
4:34.0,,,17-16,,D. Howard misses 2-pt shot from 1 ft (block by B. Beal)
4:32.0,Defensive rebound by M. Morris,,17-16,,
4:24.0,Shooting foul by T. Hardaway (drawn by J. Wall),,17-16,,
4:24.0,J. Wall makes free throw 1 of 2,1,18-16,,
4:24.0,J. Wall makes free throw 2 of 2,1,19-16,,
4:24.0,,,18-16,,E. Ilyasova enters the game for P. Millsap
4:24.0,,,18-16,,M. Dunleavy enters the game for T. Hardaway
4:24.0,B. Bogdanovic enters the game for M. Morris,,18-16,,
4:07.0,,,19-16,,Turnover by D. Howard (traveling)
3:57.0,Shooting foul by E. Ilyasova (drawn by J. Wall),,19-16,,
3:57.0,J. Wall makes free throw 1 of 2,1,20-16,,
3:57.0,J. Wall makes free throw 2 of 2,1,21-16,,
3:57.0,K. Oubre enters the game for O. Porter,,20-16,,
3:44.0,,,21-16,,D. Schroder misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by Team,,21-16,,
3:31.0,J. Wall makes 2-pt shot at rim,2,23-16,,
3:13.0,,,23-16,,Offensive foul by D. Howard
3:13.0,,,23-16,,Turnover by D. Howard (offensive foul)
3:13.0,,,23-16,,T. Hardaway enters the game for D. Howard
3:13.0,,,23-16,,P. Millsap enters the game for D. Schroder
3:13.0,,,23-16,,J. Calderon enters the game for M. Dunleavy
2:52.0,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall),3,26-16,,
2:32.0,,,26-16,,P. Millsap misses 2-pt shot from 2 ft
2:32.0,,,26-16,,Offensive rebound by E. Ilyasova
2:32.0,,,26-16,,Shooting foul by J. Smith (drawn by E. Ilyasova)
2:32.0,Washington full timeout,,26-16,,
2:32.0,,,26-16,,E. Ilyasova misses free throw 1 of 2
2:32.0,,,26-16,,Offensive rebound by Team
2:32.0,,,26-17,1,E. Ilyasova makes free throw 2 of 2
2:32.0,B. Jennings enters the game for J. Wall,,26-16,,
2:21.0,,,26-17,,Personal foul by K. Bazemore (drawn by J. Smith)
2:10.0,B. Bogdanovic misses 3-pt shot from 24 ft,,26-17,,
2:08.0,Offensive rebound by J. Smith,,26-17,,
1:49.0,Turnover by B. Bogdanovic (lost ball; steal by P. Millsap),,26-17,,
1:49.0,Jump ball: B. Bogdanovic vs. P. Millsap (E. Ilyasova gains possession),,,,Jump ball: B. Bogdanovic vs. P. Millsap (E. Ilyasova gains possession)
1:34.0,,,26-19,2,K. Bazemore makes 2-pt shot from 2 ft (assist by P. Millsap)
1:28.0,Shooting foul by T. Hardaway (drawn by B. Beal),,26-19,,
1:28.0,B. Beal makes free throw 1 of 2,1,27-19,,
1:28.0,B. Beal makes free throw 2 of 2,1,28-19,,
1:18.0,,,28-19,,K. Bazemore misses 2-pt shot from 1 ft
1:18.0,,,28-19,,Offensive rebound by Team
1:18.0,Loose ball foul by B. Beal (drawn by P. Millsap),,28-19,,
1:13.0,,,28-21,2,P. Millsap makes 2-pt shot from 18 ft (assist by K. Bazemore)
1:00.0,B. Beal misses 2-pt shot from 8 ft,,28-21,,
0:58.0,,,28-21,,Defensive rebound by K. Bazemore
0:55.0,,,28-21,,Turnover by K. Bazemore (lost ball; steal by K. Oubre)
0:52.0,B. Beal makes 2-pt shot at rim (assist by K. Oubre),2,30-21,,
0:52.0,,,30-21,,Technical foul by K. Bazemore
0:52.0,Technical foul by B. Beal,,30-21,,
0:52.0,,,30-21,,Technical foul by T. Hardaway
0:52.0,Technical foul by J. Smith,,30-21,,
0:39.0,,,30-23,2,P. Millsap makes 2-pt shot from 5 ft
0:35.0,Offensive charge foul by B. Beal,,30-23,,
0:35.0,Turnover by B. Beal (offensive foul),,30-23,,
0:35.0,J. Wall enters the game for B. Beal,,30-23,,
0:26.0,,,30-23,,Turnover by K. Bazemore (lost ball; steal by K. Oubre)
