time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (P. Millsap gains possession),,,,Jump ball: M. Gortat vs. D. Howard (P. Millsap gains possession)
11:42.0,Violation by M. Morris (def goaltending),,0-0,,
11:42.0,,,0-2,2,D. Schroder makes 2-pt shot from 2 ft
11:23.0,J. Wall misses 2-pt shot from 13 ft,,0-2,,
11:21.0,Offensive rebound by M. Gortat,,0-2,,
11:16.0,B. Beal misses 3-pt shot from 26 ft,,0-2,,
11:14.0,Offensive rebound by O. Porter,,0-2,,
11:09.0,O. Porter misses 2-pt shot from 18 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by P. Millsap
10:53.0,,,0-2,,T. Waller-Prince misses 2-pt shot from 5 ft
10:53.0,,,0-2,,Offensive rebound by P. Millsap
10:53.0,,,0-4,2,P. Millsap makes 2-pt shot from 1 ft
10:53.0,,,0-4,,Shooting foul by O. Porter (drawn by P. Millsap)
10:53.0,,,0-4,,P. Millsap misses free throw 1 of 1
10:52.0,Defensive rebound by M. Gortat,,0-4,,
10:38.0,B. Beal makes 2-pt shot from 21 ft (assist by J. Wall),2,2-4,,
10:18.0,,,2-7,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by P. Millsap)
9:52.0,M. Morris misses 3-pt shot from 23 ft,,2-7,,
9:50.0,,,2-7,,Defensive rebound by T. Waller-Prince
9:48.0,Personal foul by J. Wall (drawn by T. Waller-Prince),,2-7,,
9:42.0,,,2-10,3,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap)
9:27.0,O. Porter misses 2-pt shot from 12 ft,,2-10,,
9:26.0,,,2-10,,Defensive rebound by P. Millsap
9:21.0,,,2-10,,P. Millsap misses 2-pt shot from 10 ft
9:21.0,Defensive rebound by Team,,2-10,,
9:21.0,,,2-10,,Loose ball foul by D. Howard (drawn by M. Gortat)
9:12.0,Turnover by J. Wall (bad pass; steal by D. Howard),,2-10,,
9:01.0,,,2-13,3,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Howard)
9:00.0,Washington full timeout,,2-13,,
8:43.0,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall),2,4-13,,
8:24.0,,,4-15,2,D. Schroder makes 2-pt shot from 12 ft (assist by T. Hardaway)
8:12.0,B. Beal misses 2-pt shot from 14 ft,,4-15,,
8:11.0,,,4-15,,Defensive rebound by P. Millsap
8:11.0,,,4-15,,Turnover by P. Millsap (bad pass)
8:07.0,M. Morris misses 2-pt shot from 18 ft,,4-15,,
8:06.0,,,4-15,,Defensive rebound by T. Waller-Prince
7:54.0,,,4-15,,Turnover by T. Hardaway (bad pass; steal by O. Porter)
7:49.0,Turnover by O. Porter (lost ball; steal by T. Waller-Prince),,4-15,,
7:44.0,,,4-17,2,T. Waller-Prince makes 2-pt shot from 6 ft
7:26.0,M. Morris misses 2-pt shot from 2 ft,,4-17,,
7:25.0,,,4-17,,Defensive rebound by D. Howard
7:19.0,,,4-19,2,P. Millsap makes 2-pt shot from 3 ft (assist by D. Schroder)
7:00.0,B. Beal misses 3-pt shot from 26 ft,,4-19,,
6:58.0,,,4-19,,Defensive rebound by P. Millsap
6:50.0,,,4-19,,D. Schroder misses 2-pt shot from 16 ft
6:48.0,Defensive rebound by B. Beal,,4-19,,
6:39.0,M. Morris misses 2-pt shot from 18 ft,,4-19,,
6:37.0,,,4-19,,Defensive rebound by P. Millsap
6:30.0,,,4-19,,Atlanta full timeout
6:27.0,,,4-19,,P. Millsap misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by B. Beal,,4-19,,
6:02.0,J. Wall makes 2-pt shot from 19 ft,2,6-19,,
5:42.0,,,6-21,2,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder)
5:42.0,,,6-21,,Shooting foul by M. Morris (drawn by D. Howard)
5:42.0,,,6-22,1,D. Howard makes free throw 1 of 1
5:31.0,Shooting foul by P. Millsap (drawn by J. Wall),,6-22,,
5:31.0,J. Wall makes free throw 1 of 2,1,7-22,,
5:31.0,J. Wall makes free throw 2 of 2,1,8-22,,
5:31.0,K. Oubre enters the game for M. Morris,,7-22,,
5:31.0,J. Smith enters the game for O. Porter,,7-22,,
5:21.0,,,8-22,,Shooting foul by J. Smith (drawn by P. Millsap)
5:21.0,,,8-22,,P. Millsap misses free throw 1 of 2
5:21.0,,,8-22,,Offensive rebound by Team
5:21.0,,,8-23,1,P. Millsap makes free throw 2 of 2
5:21.0,,,8-22,,K. Bazemore enters the game for T. Waller-Prince
5:05.0,Offensive charge foul by J. Smith,,8-23,,
5:05.0,Turnover by J. Smith (offensive foul),,8-23,,
4:52.0,,,8-23,,T. Hardaway misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by K. Oubre,,8-23,,
4:38.0,,,8-23,,Def 3 sec tech foul by D. Howard
4:38.0,J. Wall misses technical free throw,,8-23,,
