time,Memphis,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Jordan (C. Paul gains possession),,,,Jump ball: M. Gasol vs. D. Jordan (C. Paul gains possession)
11:45.0,,,0-0,,Shooting foul by J. Ennis (drawn by D. Jordan)
11:45.0,,,0-0,,D. Jordan misses free throw 1 of 2
11:45.0,,,0-0,,Offensive rebound by Team
11:45.0,,,0-0,,D. Jordan misses free throw 2 of 2
11:44.0,Defensive rebound by J. Green,,0-0,,
11:25.0,J. Green makes 2-pt shot from 3 ft (assist by J. Ennis),2,2-0,,
11:08.0,,,2-0,,Shooting foul by J. Green (drawn by B. Griffin)
11:08.0,,,2-1,1,B. Griffin makes free throw 1 of 2
11:08.0,,,2-1,,B. Griffin misses free throw 2 of 2
11:07.0,Defensive rebound by C. Parsons,,2-1,,
10:49.0,M. Gasol makes 2-pt shot from 9 ft,2,4-1,,
10:24.0,,,4-3,2,B. Griffin makes 2-pt shot from 19 ft
10:07.0,M. Gasol misses 2-pt shot from 18 ft,,4-3,,
10:05.0,,,4-3,,Defensive rebound by B. Griffin
9:56.0,,,4-3,,L. Mbah a Moute misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by M. Conley,,4-3,,
9:46.0,M. Gasol misses 3-pt shot from 26 ft,,4-3,,
9:45.0,,,4-3,,Defensive rebound by D. Jordan
9:27.0,,,4-3,,J. Redick misses 3-pt shot from 25 ft
9:26.0,,,4-3,,Offensive rebound by D. Jordan
9:21.0,,,4-3,,B. Griffin misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by J. Green,,4-3,,
9:15.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley),2,6-3,,
9:15.0,,,6-3,,Shooting block foul by J. Redick (drawn by M. Gasol)
9:15.0,M. Gasol misses free throw 1 of 1,,6-3,,
9:13.0,,,6-3,,Defensive rebound by B. Griffin
9:02.0,,,6-3,,L. Mbah a Moute misses 2-pt shot from 2 ft
8:58.0,,,6-3,,Offensive rebound by D. Jordan
8:58.0,,,6-5,2,D. Jordan makes 2-pt shot from 2 ft
8:46.0,C. Parsons misses 3-pt shot from 26 ft,,6-5,,
8:45.0,,,6-5,,Defensive rebound by D. Jordan
8:38.0,,,6-7,2,J. Redick makes 2-pt shot from 15 ft (assist by B. Griffin)
8:24.0,Turnover by M. Gasol (bad pass; steal by L. Mbah a Moute),,6-7,,
8:13.0,,,6-7,,Shooting foul by J. Green (drawn by B. Griffin)
8:13.0,,,6-7,,B. Griffin misses free throw 1 of 2
8:13.0,,,6-7,,Offensive rebound by Team
8:13.0,,,6-8,1,B. Griffin makes free throw 2 of 2
8:13.0,J. Martin enters the game for J. Green,,6-7,,
7:53.0,M. Gasol makes 2-pt shot from 12 ft,2,8-8,,
7:36.0,,,8-8,,L. Mbah a Moute misses 2-pt shot from 2 ft (block by C. Parsons)
7:36.0,Defensive rebound by C. Parsons,,8-8,,
7:30.0,M. Conley makes 3-pt shot from 24 ft (assist by J. Ennis),3,11-8,,
7:15.0,Personal foul by J. Martin (drawn by B. Griffin),,11-8,,
7:04.0,,,11-10,2,B. Griffin makes 2-pt shot from 15 ft
6:53.0,C. Parsons misses 3-pt shot from 25 ft,,11-10,,
6:51.0,,,11-10,,Defensive rebound by D. Jordan
6:49.0,,,11-10,,Offensive charge foul by C. Paul
6:49.0,,,11-10,,Turnover by C. Paul (offensive foul)
6:49.0,,,11-10,,Violation by Team (jump ball)
6:32.0,J. Ennis misses 2-pt shot from 1 ft (block by J. Redick),,11-10,,
6:30.0,Offensive rebound by J. Martin,,11-10,,
6:30.0,J. Martin misses 2-pt shot from 1 ft,,11-10,,
6:28.0,,,11-10,,Defensive rebound by B. Griffin
6:22.0,,,11-12,2,B. Griffin makes 2-pt shot from 2 ft
6:09.0,M. Conley makes 3-pt shot from 25 ft (assist by C. Parsons),3,14-12,,
5:53.0,,,14-12,,Shooting foul by J. Martin (drawn by J. Redick)
5:53.0,,,14-12,,LA Clippers full timeout
5:53.0,,,14-13,1,J. Redick makes free throw 1 of 2
5:53.0,,,14-14,1,J. Redick makes free throw 2 of 2
5:53.0,Z. Randolph enters the game for J. Martin,,14-12,,
5:32.0,J. Ennis misses 2-pt shot from 4 ft (block by D. Jordan),,14-14,,
5:32.0,Offensive rebound by Team,,14-14,,
5:32.0,,,14-14,,J. Crawford enters the game for L. Mbah a Moute
5:32.0,A. Harrison enters the game for M. Conley,,14-14,,
5:32.0,V. Carter enters the game for C. Parsons,,14-14,,
5:28.0,M. Gasol misses 2-pt shot from 23 ft,,14-14,,
5:27.0,,,14-14,,Defensive rebound by D. Jordan
5:16.0,,,14-14,,Shooting foul by J. Ennis (drawn by J. Redick)
5:16.0,,,14-14,,J. Redick misses free throw 1 of 2
5:16.0,,,14-14,,Offensive rebound by Team
5:16.0,,,14-15,1,J. Redick makes free throw 2 of 2
5:16.0,T. Williams enters the game for J. Ennis,,14-14,,
4:59.0,Z. Randolph misses 2-pt shot from 13 ft,,14-15,,
4:58.0,,,14-15,,Defensive rebound by D. Jordan
4:52.0,,,14-18,3,C. Paul makes 3-pt shot from 26 ft
4:33.0,V. Carter misses 3-pt shot from 25 ft,,14-18,,
4:33.0,Offensive rebound by Team,,14-18,,
4:33.0,,,14-18,,A. Rivers enters the game for J. Redick
4:26.0,V. Carter misses 3-pt shot from 26 ft,,14-18,,
4:25.0,,,14-18,,Defensive rebound by D. Jordan
