time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. T. Thompson (K. Love gains possession),,,,Jump ball: Z. Pachulia vs. T. Thompson (K. Love gains possession)
11:48.0,,,0-0,,Personal foul by K. Thompson (drawn by K. Irving)
11:42.0,T. Thompson makes 2-pt shot from 1 ft,2,2-0,,
11:30.0,Def 3 sec tech foul by T. Thompson,,2-0,,
11:30.0,,,2-1,1,S. Curry makes technical free throw
11:22.0,,,2-3,2,K. Durant makes 2-pt shot from 2 ft
11:08.0,L. James makes 2-pt shot from 9 ft,2,4-3,,
10:50.0,,,4-6,3,D. Green makes 3-pt shot from 27 ft (assist by K. Thompson)
10:29.0,Turnover by T. Thompson (lost ball; steal by D. Green),,4-6,,
10:25.0,,,4-6,,Shooting foul by K. Love (drawn by D. Green)
10:25.0,,,4-6,,D. Green misses free throw 1 of 2
10:25.0,,,4-6,,Offensive rebound by Team
10:25.0,,,4-6,,D. Green misses free throw 2 of 2
10:24.0,,,4-6,,Offensive rebound by Z. Pachulia
10:17.0,,,4-9,3,K. Thompson makes 3-pt shot from 25 ft (assist by Z. Pachulia)
10:00.0,K. Love misses 2-pt shot from 12 ft (block by K. Thompson),,4-9,,
9:59.0,,,4-9,,Defensive rebound by K. Thompson
9:53.0,Personal block foul by L. James (drawn by K. Durant),,4-9,,
9:50.0,,,4-9,,S. Curry misses 2-pt shot from 22 ft
9:49.0,Defensive rebound by Team,,4-9,,
9:29.0,J. Smith makes 2-pt shot from 1 ft (assist by T. Thompson),2,6-9,,
9:12.0,,,6-9,,K. Durant misses 2-pt shot from 12 ft
9:12.0,,,6-9,,Offensive rebound by Team
9:12.0,Loose ball foul by K. Love (drawn by Z. Pachulia),,6-9,,
9:12.0,R. Jefferson enters the game for K. Love,,6-9,,
9:05.0,,,6-9,,K. Thompson misses 3-pt shot from 27 ft
9:05.0,Defensive rebound by J. Smith,,6-9,,
8:59.0,L. James makes 2-pt shot from 2 ft (assist by J. Smith),2,8-9,,
8:59.0,Shooting foul by K. Durant (drawn by L. James),,8-9,,
8:59.0,L. James makes free throw 1 of 1,1,9-9,,
8:54.0,,,9-9,,Turnover by S. Curry (lost ball; steal by K. Irving)
8:48.0,K. Irving makes 2-pt shot from 2 ft,2,11-9,,
8:44.0,,,11-9,,Turnover by K. Durant (bad pass; steal by L. James)
8:42.0,L. James makes 2-pt shot from 12 ft,2,13-9,,
8:42.0,,,13-9,,Golden State full timeout
8:26.0,,,13-11,2,K. Durant makes 2-pt shot from 2 ft (assist by S. Curry)
8:04.0,Turnover by R. Jefferson (bad pass),,13-11,,
7:52.0,,,13-11,,K. Thompson misses 2-pt shot from 3 ft (block by J. Smith)
7:52.0,,,13-11,,Offensive rebound by Team
7:42.0,,,13-11,,Turnover by K. Durant (bad pass; steal by T. Thompson)
7:36.0,L. James misses 2-pt shot from 2 ft,,13-11,,
7:35.0,Offensive rebound by T. Thompson,,13-11,,
7:35.0,T. Thompson makes 2-pt shot from 1 ft,2,15-11,,
7:23.0,,,15-11,,Offensive foul by Z. Pachulia
7:23.0,,,15-11,,Turnover by Z. Pachulia (offensive foul)
7:02.0,L. James makes 3-pt shot from 25 ft (assist by K. Irving),3,18-11,,
6:51.0,,,18-11,,D. Green misses 3-pt shot from 27 ft
6:51.0,,,18-11,,Offensive rebound by Z. Pachulia
6:48.0,,,18-11,,Z. Pachulia misses 2-pt shot from 4 ft
6:48.0,,,18-11,,Offensive rebound by Team
6:48.0,Inbound foul by R. Jefferson,,18-11,,
6:48.0,,,18-12,1,S. Curry makes free throw 1 of 1
6:44.0,,,18-12,,S. Curry misses 2-pt shot from 19 ft
6:43.0,,,18-12,,Offensive rebound by Z. Pachulia
6:37.0,,,18-12,,K. Durant misses 3-pt shot from 26 ft
6:37.0,Defensive rebound by L. James,,18-12,,
6:27.0,L. James makes 2-pt shot from 19 ft,2,20-12,,
6:14.0,,,20-12,,Shooting foul by K. Irving (drawn by K. Durant)
6:14.0,,,20-13,1,K. Durant makes free throw 1 of 2
6:14.0,,,20-14,1,K. Durant makes free throw 2 of 2
6:14.0,,,20-13,,A. Iguodala enters the game for Z. Pachulia
5:58.0,Turnover by L. James (lost ball; steal by S. Curry),,20-14,,
5:52.0,,,20-16,2,S. Curry makes 2-pt shot from 1 ft
5:38.0,Shooting foul by K. Thompson (drawn by K. Irving),,20-16,,
5:38.0,K. Irving makes free throw 1 of 2,1,21-16,,
5:38.0,K. Irving makes free throw 2 of 2,1,22-16,,
5:38.0,,,21-16,,S. Livingston enters the game for K. Thompson
5:24.0,,,22-18,2,K. Durant makes 2-pt shot from 12 ft
5:03.0,L. James misses 2-pt shot from 10 ft,,22-18,,
5:03.0,Offensive rebound by Team,,22-18,,
5:03.0,,,22-18,,Personal foul by K. Durant (drawn by K. Irving)
4:58.0,K. Irving misses 2-pt shot from 2 ft,,22-18,,
4:57.0,,,22-18,,Defensive rebound by S. Curry
4:49.0,,,22-20,2,S. Curry makes 2-pt shot from 2 ft
4:47.0,Cleveland full timeout,,22-20,,
4:47.0,,,22-20,,P. McCaw enters the game for K. Durant
4:35.0,L. James misses 2-pt shot from 19 ft,,22-20,,
4:35.0,Offensive rebound by T. Thompson,,22-20,,
4:33.0,T. Thompson makes 2-pt shot from 2 ft,2,24-20,,
4:19.0,,,24-20,,S. Curry misses 3-pt shot from 26 ft
4:19.0,Defensive rebound by J. Smith,,24-20,,
4:11.0,Turnover by L. James (bad pass; steal by D. Green),,24-20,,
4:03.0,,,24-20,,D. Green misses 2-pt shot from 1 ft
4:02.0,,,24-20,,Offensive rebound by D. Green
