time,Boston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. R. Lopez (N. Mirotic gains possession),,,,Jump ball: A. Horford vs. R. Lopez (N. Mirotic gains possession)
11:46.0,,,0-0,,J. Butler misses 2-pt shot from 2 ft
11:45.0,,,0-0,,Offensive rebound by R. Lopez
11:45.0,,,0-0,,R. Lopez misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by G. Green,,0-0,,
11:27.0,G. Green misses 3-pt shot from 26 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by N. Mirotic
11:11.0,,,0-0,,N. Mirotic misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by I. Thomas,,0-0,,
11:00.0,J. Crowder makes 2-pt shot from 18 ft (assist by A. Horford),2,2-0,,
10:39.0,,,2-0,,J. Grant misses 2-pt shot from 16 ft
10:38.0,Defensive rebound by G. Green,,2-0,,
10:21.0,G. Green makes 3-pt shot from 26 ft (assist by I. Thomas),3,5-0,,
10:04.0,,,5-2,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Grant)
9:42.0,Shooting foul by J. Butler (drawn by A. Bradley),,5-2,,
9:42.0,A. Bradley makes free throw 1 of 2,1,6-2,,
9:42.0,A. Bradley misses free throw 2 of 2,,6-2,,
9:41.0,,,6-2,,Defensive rebound by D. Wade
9:21.0,,,6-4,2,D. Wade makes 2-pt shot from 13 ft (assist by J. Butler)
9:03.0,G. Green makes 3-pt shot from 26 ft (assist by I. Thomas),3,9-4,,
8:42.0,,,9-4,,N. Mirotic misses 3-pt shot from 26 ft
8:41.0,,,9-4,,Offensive rebound by R. Lopez
8:41.0,,,9-4,,R. Lopez misses 2-pt shot from 2 ft
8:40.0,,,9-4,,Offensive rebound by R. Lopez
8:40.0,,,9-4,,Turnover by R. Lopez (traveling)
8:18.0,A. Horford makes 2-pt shot from 5 ft,2,11-4,,
7:58.0,,,11-4,,J. Grant misses 3-pt shot from 24 ft
