time,Utah,pts.away,score,pts.home,Denver
2:08.0,D. Favors makes 2-pt shot from 6 ft (assist by J. Johnson),2,20-10,,
2:08.0,,,20-10,,Denver full timeout
2:08.0,Utah full timeout,,20-10,,
2:08.0,,,20-10,,J. Nurkic enters the game for N. Jokic
1:53.0,,,20-10,,J. Murray misses 2-pt shot from 19 ft
1:52.0,Defensive rebound by D. Favors,,20-10,,
1:30.0,G. Hill misses 2-pt shot from 11 ft,,20-10,,
1:27.0,Offensive rebound by T. Lyles,,20-10,,
1:27.0,T. Lyles makes 2-pt shot at rim,2,22-10,,
1:17.0,,,22-13,3,D. Arthur makes 3-pt shot from 25 ft (assist by J. Murray)
0:58.0,Turnover by T. Lyles (bad pass; steal by J. Nurkic),,22-13,,
0:52.0,,,22-16,3,D. Arthur makes 3-pt shot from 24 ft (assist by J. Murray)
0:28.0,G. Hill misses 2-pt shot from 1 ft,,22-16,,
0:28.0,,,22-16,,Defensive rebound by J. Nurkic
0:10.0,,,22-18,2,J. Nurkic makes 2-pt shot from 2 ft (assist by W. Barton)
0:02.0,A. Burks misses 2-pt shot from 2 ft (block by W. Barton),,22-18,,
0:00.0,,,22-18,,Defensive rebound by W. Barton
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Personal foul by T. Lyles (drawn by D. Arthur),,22-18,,
11:39.0,,,22-21,3,D. Arthur makes 3-pt shot from 24 ft (assist by W. Chandler)
11:26.0,,,22-21,,Def 3 sec tech foul by D. Arthur
11:26.0,G. Hayward makes technical free throw,1,23-21,,
11:13.0,G. Hill makes 2-pt shot from 3 ft,2,25-21,,
11:00.0,,,25-21,,Offensive foul by J. Nurkic
11:00.0,,,25-21,,Turnover by J. Nurkic (offensive foul)
11:00.0,J. Ingles enters the game for A. Burks,,25-21,,
10:33.0,B. Diaw makes 3-pt shot from 25 ft (assist by G. Hayward),3,28-21,,
10:13.0,,,28-24,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Murray)
9:53.0,G. Hill makes 2-pt shot from 7 ft (assist by B. Diaw),2,30-24,,
9:48.0,,,30-24,,Shooting foul by G. Hill (drawn by W. Barton)
9:48.0,,,30-25,1,W. Barton makes free throw 1 of 2
9:48.0,,,30-25,,W. Barton misses free throw 2 of 2
9:48.0,J. Johnson enters the game for T. Lyles,,30-25,,
9:48.0,S. Mack enters the game for G. Hill,,30-25,,
9:47.0,Defensive rebound by G. Hayward,,30-25,,
9:45.0,Turnover by G. Hayward (lost ball; steal by J. Murray),,30-25,,
9:31.0,,,30-25,,J. Nurkic misses 2-pt shot from 6 ft
9:31.0,Defensive rebound by G. Hayward,,30-25,,
9:16.0,B. Diaw misses 2-pt shot from 1 ft (block by J. Nurkic),,30-25,,
9:14.0,,,30-25,,Defensive rebound by W. Barton
9:00.0,,,30-25,,Shooting foul by J. Ingles (drawn by J. Nurkic)
9:00.0,,,30-25,,J. Nurkic misses free throw 1 of 2
9:00.0,,,30-25,,Offensive rebound by Team
9:00.0,,,30-25,,J. Nurkic misses free throw 2 of 2
8:58.0,Defensive rebound by J. Johnson,,30-25,,
8:43.0,G. Hayward misses 2-pt shot from 16 ft,,30-25,,
8:42.0,,,30-25,,Defensive rebound by D. Arthur
8:32.0,,,30-25,,W. Chandler misses 3-pt shot from 26 ft
8:31.0,,,30-25,,Offensive rebound by J. Nurkic
8:28.0,,,30-25,,J. Nurkic misses 2-pt shot from 2 ft
8:27.0,Defensive rebound by B. Diaw,,30-25,,
8:21.0,B. Diaw makes 2-pt shot from 2 ft,2,32-25,,
8:08.0,,,32-25,,Shooting foul by J. Ingles (drawn by D. Arthur)
8:08.0,Official timeout,,32-25,,
8:08.0,,,32-26,1,D. Arthur makes free throw 1 of 3
8:08.0,,,32-27,1,D. Arthur makes free throw 2 of 3
8:08.0,,,32-28,1,D. Arthur makes free throw 3 of 3
8:08.0,R. Gobert enters the game for J. Ingles,,32-25,,
7:53.0,G. Hayward misses 2-pt shot from 10 ft,,32-28,,
7:52.0,,,32-28,,Defensive rebound by D. Arthur
7:38.0,,,32-28,,Shooting foul by J. Johnson (drawn by J. Murray)
7:38.0,,,32-29,1,J. Murray makes free throw 1 of 2
7:38.0,,,32-30,1,J. Murray makes free throw 2 of 2
7:38.0,,,32-29,,K. Faried enters the game for D. Arthur
7:18.0,,,32-30,,D. Gallinari enters the game for W. Chandler
7:18.0,Utah full timeout,,32-30,,
7:13.0,J. Johnson misses 2-pt shot from 10 ft,,32-30,,
7:12.0,,,32-30,,Defensive rebound by J. Murray
6:53.0,,,32-30,,Turnover by J. Nurkic (lost ball; steal by J. Johnson)
6:27.0,J. Johnson misses 2-pt shot from 8 ft (block by D. Gallinari),,32-30,,
6:26.0,,,32-30,,Defensive rebound by K. Faried
6:25.0,Personal foul by S. Mack (drawn by K. Faried),,32-30,,
6:25.0,,,32-30,,K. Faried misses free throw 1 of 2
6:25.0,,,32-30,,Offensive rebound by Team
6:25.0,,,32-30,,K. Faried misses free throw 2 of 2
6:25.0,J. Ingles enters the game for G. Hayward,,32-30,,
6:25.0,A. Burks enters the game for J. Johnson,,32-30,,
6:25.0,T. Lyles enters the game for B. Diaw,,32-30,,
6:25.0,,,32-30,,N. Jokic enters the game for J. Nurkic
6:23.0,Defensive rebound by T. Lyles,,32-30,,
6:11.0,A. Burks misses 3-pt shot from 24 ft,,32-30,,
6:10.0,,,32-30,,Defensive rebound by D. Gallinari
6:04.0,Personal foul by A. Burks (drawn by K. Faried),,32-30,,
6:04.0,,,32-31,1,K. Faried makes free throw 1 of 2
6:04.0,,,32-32,1,K. Faried makes free throw 2 of 2
5:52.0,S. Mack misses 2-pt shot from 21 ft,,32-32,,
5:51.0,,,32-32,,Defensive rebound by J. Murray
5:43.0,,,32-32,,Turnover by W. Barton (bad pass)
5:43.0,,,32-32,,G. Harris enters the game for W. Barton
5:27.0,A. Burks makes 2-pt shot from 8 ft,2,34-32,,
5:07.0,,,34-34,2,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari)
4:53.0,Shooting foul by N. Jokic (drawn by R. Gobert),,34-34,,
4:53.0,R. Gobert misses free throw 1 of 2,,34-34,,
4:53.0,Offensive rebound by Team,,34-34,,
4:53.0,R. Gobert makes free throw 2 of 2,1,35-34,,
4:53.0,,,34-34,,J. Nelson enters the game for J. Murray
4:53.0,G. Hill enters the game for S. Mack,,34-34,,
4:46.0,Personal foul by T. Lyles (drawn by J. Nelson),,35-34,,
4:46.0,,,35-35,1,J. Nelson makes free throw 1 of 2
4:46.0,,,35-36,1,J. Nelson makes free throw 2 of 2
4:46.0,D. Favors enters the game for R. Gobert,,35-35,,
4:33.0,Turnover by A. Burks (bad pass; steal by D. Gallinari),,35-36,,
4:27.0,,,35-36,,G. Harris misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by T. Lyles,,35-36,,
4:12.0,A. Burks misses 2-pt shot from 17 ft,,35-36,,
4:12.0,,,35-36,,Defensive rebound by G. Harris
4:00.0,,,35-38,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
3:35.0,D. Favors misses 2-pt shot at rim (block by N. Jokic),,35-38,,
3:35.0,,,35-38,,Defensive rebound by K. Faried
3:29.0,,,35-40,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Nelson)
3:06.0,,,35-40,,Personal block foul by K. Faried (drawn by T. Lyles)
3:06.0,G. Hayward enters the game for A. Burks,,35-40,,
3:06.0,B. Diaw enters the game for T. Lyles,,35-40,,
2:55.0,G. Hill misses 2-pt shot from 18 ft,,35-40,,
2:55.0,Offensive rebound by D. Favors,,35-40,,
2:51.0,D. Favors misses 2-pt shot from 19 ft,,35-40,,
2:50.0,,,35-40,,Defensive rebound by Team
2:50.0,,,35-40,,Denver full timeout
2:50.0,R. Gobert enters the game for D. Favors,,35-40,,
2:33.0,,,35-42,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
2:08.0,G. Hayward misses 2-pt shot from 17 ft,,35-42,,
2:07.0,,,35-42,,Defensive rebound by Team
1:47.0,,,35-45,3,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Nelson)
1:28.0,B. Diaw makes 2-pt shot from 1 ft,2,37-45,,
1:18.0,,,37-45,,K. Faried misses 2-pt shot from 2 ft
1:17.0,Defensive rebound by J. Ingles,,37-45,,
1:10.0,,,37-45,,Personal foul by J. Nelson (drawn by G. Hill)
1:02.0,R. Gobert misses 2-pt shot from 2 ft (block by N. Jokic),,37-45,,
1:01.0,,,37-45,,Defensive rebound by N. Jokic
0:55.0,,,37-47,2,G. Harris makes 2-pt shot from 13 ft (assist by N. Jokic)
0:42.0,J. Ingles misses 2-pt shot from 2 ft,,37-47,,
0:41.0,,,37-47,,Defensive rebound by Team
0:41.0,Loose ball foul by R. Gobert (drawn by N. Jokic),,37-47,,
0:41.0,,,37-48,1,N. Jokic makes free throw 1 of 2
0:41.0,,,37-49,1,N. Jokic makes free throw 2 of 2
0:35.0,G. Hill makes 2-pt shot from 2 ft,2,39-49,,
0:27.0,,,39-51,2,N. Jokic makes 2-pt shot from 3 ft (assist by J. Nelson)
0:03.0,G. Hill misses 3-pt shot from 26 ft,,39-51,,
0:02.0,,,39-51,,Defensive rebound by N. Jokic
0:00.0,,,39-51,,N. Jokic misses 3-pt shot from 66 ft
0:00.0,,,39-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,39-51,,N. Jokic misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by G. Hayward,,39-51,,
11:19.0,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hill),2,41-51,,
11:01.0,,,41-53,2,J. Nelson makes 2-pt shot from 2 ft (assist by N. Jokic)
10:47.0,Turnover by G. Hayward (traveling),,41-53,,
10:37.0,,,41-53,,G. Harris misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by R. Gobert,,41-53,,
10:22.0,D. Favors makes 2-pt shot from 16 ft (assist by G. Hill),2,43-53,,
10:11.0,,,43-53,,Shooting foul by J. Ingles (drawn by D. Gallinari)
