time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Jordan (C. Paul gains possession),,,,Jump ball: R. Gobert vs. D. Jordan (C. Paul gains possession)
11:43.0,,,0-0,,J. Redick misses 2-pt shot from 20 ft
11:43.0,Defensive rebound by G. Hayward,,0-0,,
11:19.0,G. Hill misses 2-pt shot from 10 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by D. Jordan
11:07.0,,,0-0,,C. Paul misses 3-pt shot from 24 ft
11:07.0,Defensive rebound by G. Hayward,,0-0,,
10:55.0,R. Hood makes 2-pt shot from 10 ft (assist by G. Hill),2,2-0,,
10:30.0,,,2-0,,B. Griffin misses 2-pt shot from 19 ft
10:29.0,,,2-0,,Offensive rebound by C. Paul
10:28.0,Violation by B. Diaw (kicked ball),,2-0,,
10:11.0,,,2-0,,Turnover by L. Mbah a Moute (lost ball)
9:47.0,G. Hayward misses 2-pt shot from 15 ft,,2-0,,
9:45.0,Offensive rebound by R. Gobert,,2-0,,
9:39.0,G. Hill misses 3-pt shot from 23 ft,,2-0,,
9:38.0,,,2-0,,Defensive rebound by D. Jordan
9:30.0,,,2-0,,L. Mbah a Moute misses 2-pt shot from 17 ft
9:24.0,Defensive rebound by G. Hayward,,2-0,,
9:18.0,R. Hood misses 2-pt shot from 15 ft,,2-0,,
9:16.0,,,2-0,,Defensive rebound by B. Griffin
9:02.0,Personal foul by R. Hood (drawn by B. Griffin),,2-0,,
8:54.0,,,2-0,,B. Griffin misses 2-pt shot from 5 ft
8:51.0,,,2-0,,Offensive rebound by D. Jordan
8:51.0,,,2-2,2,D. Jordan makes 2-pt shot at rim
8:35.0,R. Hood misses 2-pt shot from 8 ft (block by D. Jordan),,2-2,,
8:35.0,Offensive rebound by Team,,2-2,,
8:27.0,R. Gobert misses 2-pt shot from 19 ft,,2-2,,
8:27.0,,,2-2,,Defensive rebound by D. Jordan
8:17.0,,,2-4,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
8:17.0,,,2-4,,Shooting foul by G. Hayward (drawn by D. Jordan)
8:17.0,,,2-4,,D. Jordan misses free throw 1 of 1
8:17.0,Defensive rebound by Team,,2-4,,
7:57.0,B. Diaw misses 2-pt shot from 18 ft,,2-4,,
7:54.0,,,2-4,,Defensive rebound by L. Mbah a Moute
7:38.0,,,2-6,2,B. Griffin makes 2-pt shot from 5 ft
7:13.0,B. Diaw makes 2-pt shot from 23 ft (assist by G. Hayward),2,4-6,,
6:57.0,,,4-9,3,B. Griffin makes 3-pt shot from 24 ft (assist by J. Redick)
6:39.0,G. Hill makes 2-pt shot from 1 ft (assist by B. Diaw),2,6-9,,
6:22.0,,,6-11,2,C. Paul makes 2-pt shot from 2 ft
6:11.0,Turnover by R. Gobert (bad pass; steal by L. Mbah a Moute),,6-11,,
5:46.0,,,6-11,,B. Griffin misses 2-pt shot from 19 ft
5:44.0,Defensive rebound by R. Gobert,,6-11,,
5:38.0,B. Diaw misses 3-pt shot from 24 ft,,6-11,,
5:35.0,,,6-11,,Defensive rebound by D. Jordan
5:26.0,,,6-11,,Turnover by C. Paul (bad pass; steal by B. Diaw)
5:20.0,R. Hood misses 3-pt shot from 24 ft,,6-11,,
5:20.0,,,6-11,,Defensive rebound by Team
5:20.0,Loose ball foul by R. Gobert (drawn by L. Mbah a Moute),,6-11,,
5:20.0,,,6-11,,LA Clippers full timeout
5:20.0,J. Johnson enters the game for B. Diaw,,6-11,,
5:20.0,J. Ingles enters the game for R. Hood,,6-11,,
5:04.0,,,6-14,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
4:46.0,Turnover by G. Hill (bad pass; steal by B. Griffin),,6-14,,
4:40.0,,,6-16,2,B. Griffin makes 2-pt shot from 1 ft
4:30.0,G. Hayward misses 2-pt shot from 9 ft,,6-16,,
4:30.0,,,6-16,,Defensive rebound by D. Jordan
4:26.0,,,6-16,,C. Paul misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by Team,,6-16,,
4:26.0,R. Neto enters the game for G. Hill,,6-16,,
4:05.0,G. Hayward misses 3-pt shot from 24 ft,,6-16,,
4:03.0,,,6-16,,Defensive rebound by D. Jordan
3:49.0,,,6-16,,Shooting foul by J. Ingles (drawn by D. Jordan)
3:49.0,,,6-16,,D. Jordan misses free throw 1 of 2
3:49.0,,,6-16,,Offensive rebound by Team
3:49.0,,,6-17,1,D. Jordan makes free throw 2 of 2
3:26.0,J. Ingles misses 2-pt shot from 1 ft,,6-17,,
3:23.0,Offensive rebound by R. Gobert,,6-17,,
3:23.0,R. Gobert makes 2-pt shot from 1 ft,2,8-17,,
